Summary: {Weight} {token}: {words[0:10]}
TOKEN[26]: 0.0036966    2 favor
	favor WORD[26,   1]: 0.0022958 恵沢
	favor WORD[26,   2]: 0.0014009 恩恵
TOKEN[27]: 0.0035390    2 face
	face WORD[27,   1]: 0.0017695 恵比寿顔
	face WORD[27,   2]: 0.0017695 恵比須顔
TOKEN[28]: 0.0035336    2 grace
	grace WORD[28,   1]: 0.0020727 恵み
	grace WORD[28,   2]: 0.0014609 恩恵
TOKEN[29]: 0.0035287    2 insight
	insight WORD[29,   1]: 0.0017644 智恵
	insight WORD[29,   2]: 0.0017643 知恵
TOKEN[30]: 0.0035150    2 intelligence
	intelligence WORD[30,   1]: 0.0017575 智恵
	intelligence WORD[30,   2]: 0.0017575 知恵
TOKEN[31]: 0.0032827    2 god
	god WORD[31,   1]: 0.0020651 恵比須
	god WORD[31,   2]: 0.0012176 恵比寿
TOKEN[32]: 0.0032479    2 leading
	leading WORD[32,   1]: 0.0016240 智恵
	leading WORD[32,   2]: 0.0016239 知恵
TOKEN[33]: 0.0032379    2 fishing
	fishing WORD[33,   1]: 0.0020369 恵比須
	fishing WORD[33,   2]: 0.0012010 恵比寿
TOKEN[34]: 0.0032166    2 presentation
	presentation WORD[34,   1]: 0.0016084 恵与
	presentation WORD[34,   2]: 0.0016082 恵投
TOKEN[35]: 0.0030449    1 recipient
	recipient WORD[35,   1]: 0.0030449 恵存
TOKEN[36]: 0.0029581    2 sense
	sense WORD[36,   1]: 0.0014791 智恵
	sense WORD[36,   2]: 0.0014790 知恵
TOKEN[37]: 0.0029433    1 abound
	abound WORD[37,   1]: 0.0029433 恵まれる
TOKEN[38]: 0.0026360    1 blessed
	blessed WORD[38,   1]: 0.0026360 恵まれる
TOKEN[39]: 0.0025228    1 treatment
	treatment WORD[39,   1]: 0.0025228 特恵
TOKEN[40]: 0.0025144    1 pity
	pity WORD[40,   1]: 0.0025144 恵沢
TOKEN[41]: 0.0023629    1 show
	show WORD[41,   1]: 0.0023629 恵む
TOKEN[42]: 0.0023456    1 favorable
	favorable WORD[42,   1]: 0.0023456 恵方
TOKEN[43]: 0.0022826    1 natural
	natural WORD[43,   1]: 0.0022826 天恵
TOKEN[44]: 0.0022467    1 message
	message WORD[44,   1]: 0.0022467 恵存
TOKEN[45]: 0.0022280    1 lucky
	lucky WORD[45,   1]: 0.0022280 恵方
TOKEN[46]: 0.0022234    1 reciprocity
	reciprocity WORD[46,   1]: 0.0022234 互恵
TOKEN[47]: 0.0022170    1 nature
	nature WORD[47,   1]: 0.0022170 天恵
TOKEN[48]: 0.0021908    1 eightfold
	eightfold WORD[48,   1]: 0.0021908 恵
TOKEN[49]: 0.0021845    1 give
	give WORD[49,   1]: 0.0021845 恵む
TOKEN[50]: 0.0021203    1 note
	note WORD[50,   1]: 0.0021203 恵存
TOKEN[51]: 0.0020676    1 graciousness
	graciousness WORD[51,   1]: 0.0020676 仁恵
TOKEN[52]: 0.0020533    1 money
	money WORD[52,   1]: 0.0020533 恵む
TOKEN[53]: 0.0020268    1 rich
	rich WORD[53,   1]: 0.0020268 恵まれる
TOKEN[54]: 0.0019609    1 keep
	keep WORD[54,   1]: 0.0019609 恵存
TOKEN[55]: 0.0017277    1 hand
	hand WORD[55,   1]: 0.0017277 恵存
TOKEN[56]: 0.0016904    1 charity
	charity WORD[56,   1]: 0.0016904 仁恵
TOKEN[57]: 0.0015477    1 mutual
	mutual WORD[57,   1]: 0.0015477 互恵
TOKEN[58]: 0.0014598    1 noble
	noble WORD[58,   1]: 0.0014598 恵
TOKEN[59]: 0.0013585    1 path
	path WORD[59,   1]: 0.0013585 恵
TOKEN[60]: 0.0013284    1 three
	three WORD[60,   1]: 0.0013284 恵
TOKEN[61]: 0.0012603    1 love
	love WORD[61,   1]: 0.0012603 慈恵
TOKEN[62]: 0.0006222    1 one
	one WORD[62,   1]: 0.0006222 恵
