Summary: {Weight} {token}: {words[0:10]}
0.1091066    4 recommendation : 薦挙, 吹挙, 推挙, 挙
0.0023004    1 everything     : 挙る
0.0022954    1 serve          : 挙がる
0.0022906    1 eat            : 挙がる
0.0022898    1 effort         : 一挙
0.0022722    1 offer          : 挙げる
0.0022721    1 second         : 再挙
0.0022542    1 profit         : 挙がる
0.0022184    1 talent         : 挙げる
0.0021846    1 card           : 挙がる
0.0021758    1 move           : 挙
0.0021644    1 win            : 挙がる
0.0021624    1 bear           : 挙げる
0.0021592    1 skill          : 挙げる
0.0021561    1 praise         : 挙げる
0.0021484    1 result         : 挙がる
0.0021437    1 fly            : 挙げる
0.0021422    1 die            : 挙がる
0.0021322    1 great          : 大挙
0.0021074    1 finish         : 挙がる
0.0020984    1 send           : 挙げる
0.0020984    1 quality        : 挙げる
0.0020939    1 visit          : 挙がる
0.0020835    1 working        : 挙がる
0.0020779    1 boat           : 挙げる
0.0020760    1 next           : 挙がる
0.0020542    1 stage          : 挙がる
0.0020473    1 master         : 挙がる
0.0020360    1 cover          : 挙がる
0.0020360    1 deep           : 挙がる
0.0020230    1 rain           : 挙がる
0.0020148    1 Buddha         : 挙げる
0.0020044    1 drink          : 挙がる
0.0019988    1 surface        : 挙げる
0.0019689    1 voice          : 挙げる
0.0019671    1 sake           : 挙げる
0.0019550    1 price          : 挙げる
0.0019508    1 rise           : 挙がる
0.0019485    1 hand           : 挙手
0.0019103    1 room           : 挙げる
0.0018723    1 sound          : 挙げる
0.0018710    1 home           : 挙がる
0.0018710    1 game           : 挙がる
0.0018542    1 land           : 挙げる
0.0018037    1 turn           : 挙がる
0.0017905    1 hair           : 挙げる
0.0017590    1 cut            : 挙がる
0.0015762    1 water          : 挙がる

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.1091066    4 recommendation
	recommendation WORD[ 1,   1]: 0.1002148 薦挙
	recommendation WORD[ 1,   2]: 0.0030289 吹挙
	recommendation WORD[ 1,   3]: 0.0030289 推挙
	recommendation WORD[ 1,   4]: 0.0028340 挙
TOKEN[ 2]: 0.0442304    1 levator
	levator WORD[ 2,   1]: 0.0442304 挙筋
TOKEN[ 3]: 0.0228197    5 undertaking
	undertaking WORD[ 3,   1]: 0.0053177 美挙
	undertaking WORD[ 3,   2]: 0.0051141 壮挙
	undertaking WORD[ 3,   3]: 0.0048835 盛挙
	undertaking WORD[ 3,   4]: 0.0045275 義挙
	undertaking WORD[ 3,   5]: 0.0029769 愚挙
TOKEN[ 4]: 0.0177793    4 raising
	raising WORD[ 4,   1]: 0.0063291 旗挙
	raising WORD[ 4,   2]: 0.0063291 旗挙げ
	raising WORD[ 4,   3]: 0.0025606 挙兵
	raising WORD[ 4,   4]: 0.0025605 挙手
TOKEN[ 5]: 0.0165938    3 example
	example WORD[ 5,   1]: 0.0103309 挙示
	example WORD[ 5,   2]: 0.0039723 挙例
	example WORD[ 5,   3]: 0.0022906 挙げる
TOKEN[ 6]: 0.0156174    1 muscle
	muscle WORD[ 6,   1]: 0.0156174 挙筋
TOKEN[ 7]: 0.0130698    2 giving
	giving WORD[ 7,   1]: 0.0094401 挙示
	giving WORD[ 7,   2]: 0.0036297 挙例
TOKEN[ 8]: 0.0113080    2 act
	act WORD[ 8,   1]: 0.0071755 軽挙
	act WORD[ 8,   2]: 0.0041325 美挙
TOKEN[ 9]: 0.0112134    1 showing
	showing WORD[ 9,   1]: 0.0112134 挙示
TOKEN[10]: 0.0101121    1 reason
	reason WORD[10,   1]: 0.0101121 挙示
TOKEN[11]: 0.0100877    2 new
	new WORD[11,   1]: 0.0050439 旗挙
	new WORD[11,   2]: 0.0050438 旗挙げ
TOKEN[12]: 0.0100051    1 explanation
	explanation WORD[12,   1]: 0.0100051 挙示
TOKEN[13]: 0.0096439    3 party
	party WORD[13,   1]: 0.0043133 挙党
	party WORD[13,   2]: 0.0026653 旗挙
	party WORD[13,   3]: 0.0026653 旗挙げ
TOKEN[14]: 0.0095555    3 behavior
	behavior WORD[14,   1]: 0.0041887 挙措
	behavior WORD[14,   2]: 0.0026843 挙動
	behavior WORD[14,   3]: 0.0026825 挙
TOKEN[15]: 0.0095456    2 heroic
	heroic WORD[15,   1]: 0.0050632 壮挙
	heroic WORD[15,   2]: 0.0044824 義挙
TOKEN[16]: 0.0092975    2 enumeration
	enumeration WORD[16,   1]: 0.0048379 列挙
	enumeration WORD[16,   2]: 0.0044596 枚挙
TOKEN[17]: 0.0091963    3 behaviour
	behaviour WORD[17,   1]: 0.0040312 挙措
	behaviour WORD[17,   2]: 0.0025834 挙動
	behaviour WORD[17,   3]: 0.0025816 挙
TOKEN[18]: 0.0086947    3 army
	army WORD[18,   1]: 0.0030951 旗挙
	army WORD[18,   2]: 0.0030951 旗挙げ
	army WORD[18,   3]: 0.0025044 挙兵
TOKEN[19]: 0.0085297    3 ceremony
	ceremony WORD[19,   1]: 0.0043738 挙式
	ceremony WORD[19,   2]: 0.0021869 挙行
	ceremony WORD[19,   3]: 0.0019689 挙げる
TOKEN[20]: 0.0081472    1 loan
	loan WORD[20,   1]: 0.0081472 出挙
