Summary: {Weight} {token}: {words[0:10]}
0.1038106    1 Turdus         : 眉白
	delicate WORD[32,   1]: 0.0076132 蛾眉
TOKEN[33]: 0.0075875    1 care
	care WORD[33,   1]: 0.0075875 眉唾
TOKEN[34]: 0.0074703    1 story
	story WORD[34,   1]: 0.0074703 眉唾
TOKEN[35]: 0.0073137    1 information
	information WORD[35,   1]: 0.0073137 眉唾
TOKEN[36]: 0.0072841    1 mountain
	mountain WORD[36,   1]: 0.0072841 眉墨
TOKEN[37]: 0.0071669    1 air
	air WORD[37,   1]: 0.0071669 愁眉
TOKEN[38]: 0.0071237    1 best
	best WORD[38,   1]: 0.0071237 白眉
TOKEN[39]: 0.0070887    1 imminence
	imminence WORD[39,   1]: 0.0070887 焦眉
TOKEN[40]: 0.0070066    1 taking
	taking WORD[40,   1]: 0.0070066 眉唾
TOKEN[41]: 0.0066544    1 look
	look WORD[41,   1]: 0.0066544 愁眉
TOKEN[42]: 0.0064703    1 face
	face WORD[42,   1]: 0.0064703 眉目
TOKEN[43]: 0.0064502    1 white
	white WORD[43,   1]: 0.0064502 白眉
TOKEN[44]: 0.0064139    1 moon
	moon WORD[44,   1]: 0.0064139 蛾眉
TOKEN[45]: 0.0062620    1 urgency
	urgency WORD[45,   1]: 0.0062620 焦眉
TOKEN[46]: 0.0055310    1 pleasure
	pleasure WORD[46,   1]: 0.0055310 拝眉
TOKEN[47]: 0.0054802    1 seeing
	seeing WORD[47,   1]: 0.0054802 拝眉
TOKEN[48]: 0.0051713    1 woman
	woman WORD[48,   1]: 0.0051713 蛾眉
TOKEN[49]: 0.0046705    1 area
	area WORD[49,   1]: 0.0046705 眉間
TOKEN[50]: 0.0044980    1 emergency
	emergency WORD[50,   1]: 0.0044980 焦眉
TOKEN[51]: 0.0030956    1 person
	person WORD[51,   1]: 0.0030956 拝眉
