Summary: {Weight} {token}: {words[0:10]}
0.0018709   27 period         : 村法, 産褥, 遠侍, 官寺, 私寺, 狩衣, 村高, 守宮, 村掟, 縛り, ...
0.0018674    2 birth          : 褥婦, 生まれ付き
0.0018655    1 embezzlement   : 横奪
0.0018560    2 sickbed        : 病蓐, 病褥
0.0018551    1 warble         : 囀り
0.0018360   19 face           : 俯せ, 俯ける, 俯す, 俯け, 俯向け, 俯き, 忍辱, 恵比寿顔, 対論, 対う, ...
0.0018331   10 apology        : ひた謝り, 直謝り, 平謝り, 謝状, 陳謝, 多謝, 深謝, 謝辞, 謝罪, 謝り
0.0018300    3 rumor          : 噂, ばら蒔く, 散蒔く
0.0018300    7 size           : 等倍, 八尋, 実寸, 外寸, 得用, 原寸, 寸法
0.0018276   24 poetry         : 楽府, 詩友, 詩業, 唐詩, 英詩, 詩論, 詩史, 詩歌, 名詩, 詩風, ...
0.0018199    4 captain        : 一尉, １尉, 空尉, 大尉
0.0018145    1 misappropriation: 横奪
0.0017955   18 paper          : 熨斗紙, 熨斗袋, 熨斗, 守り袋, 割り符, 割符, 守り札, 守札, 薄様, 薄葉, ...
0.0017906    3 crouch         : 蹲う, 蹲踞, 蹲る
0.0017891    1 caught         : 寒鮒
0.0017889    1 buffoon        : 幇間
0.0017706    1 soar           : 峙つ
0.0017635    3 piles          : いぼ痔, 疣痔, 痔
0.0017446    2 Taoist         : 符籙, 導引
0.0017362    1 upper          : 上膊
0.0017359    2 bedsore        : 蓐瘡, 褥瘡
0.0017349    9 talisman       : 符籙, 守り袋, 御符, 護符, 守り札, 守札, 符, 守り, 守
0.0017193   25 letter         : 封状, 寸簡, 謝状, 尊書, 尊簡, 尊翰, 附け, 一封, 別封, 封入, ...
0.0017048    4 showing        : 忖度, 導引, 封切, 封切り
0.0016798    1 hearsay        : 噂
0.0016581    7 people         : でぶ専, 特養, 三尊, 引導, 応対, 応待, 近付ける
0.0016495    4 silk           : 薄絹, 熨斗目, 薄衣, 薄物
0.0016137    1 comedian       : 幇間
0.0016137    1 jester         : 幇間
0.0016118    2 tower          : 峙つ, 天守
0.0016113    8 priest         : 監寺, 僧寺, 導師, 詩僧, 入寺, 報謝, 監守, 住持
0.0016104    3 instructor     : 傅, 導師, 博士
0.0015842   19 poem           : 白詩, 旧詩, 英詩, 詩稿, 長詩, 詩行, 名詩, 詩風, 訳詩, 頌詩, ...
0.0015793   18 equal          : 等割, 対等, 耐える, 等値, 等分, 対, 相等, 等量, 等辺, 等比, ...
0.0015790   14 book           : 簿価, 簿冊, 帳簿, 詩篇, 詩編, 詩書, 前付, 前付け, 奥付, 奥付け, ...
0.0015744    1 surmise        : 忖度
0.0015615    5 say            : 禱る, 祷る, 謝する, 言い付ける, 言付ける
0.0015594    9 rot            : 貴腐, 水腐れ, 尻腐れ, 腐らす, 腐蝕, 腐食, 腐朽, 腐れる, 腐る
0.0015556   27 go             : 遵う, 這い蹲う, 這い蹲る, 羽搏く, 射ぬく, 射抜く, 射貫く, 寺入り, 闘う, 狩る, ...
0.0015527    6 rest           : 肘当て, 肘掛, 肘掛け, ケツ持ち, 休符, 付点
0.0015390   16 fighting       : 闘蟋, 闘気, 熱闘, 奮闘, 闘犬, 闘鶏, 闘魚, 闘牛, 乱闘, 闘病, ...
0.0015353    6 common         : 噂, 尋常, 共闘, 守宮, わかち持つ, 分かち持つ
0.0015334    5 hope           : 恃み, 禱る, 祷る, 期待, 望み薄
0.0015307    1 conjecture     : 忖度
0.0015269   81 time           : 稼ぎ時, 手慰み, 慰み, 買い時, 引き時, 引時, 寸時, 時鐘, 闘い, 寸隙, ...
0.0015244    1 energy         : 腑抜ける
0.0015207    5 sea            : 石蓴, 鱒, 大時化, 時化る, 時化
0.0015193    3 sake           : 樽酒, 柳樽, 樽柿
0.0015073    3 protective     : 符籙, 補導, 輔導
0.0014972    2 inch           : 寸地, 寸土
0.0014892    1 wrapping       : 熨斗紙
0.0014884    6 adherence      : 遵行, 遵守, 墨守, 順守, 厳守, 固持
0.0014827    5 resistance     : 耐暑, 耐風, 耐性, 耐寒, 反対
0.0014752    6 talk           : 噂, 持ち切る, 対話, 対談, 持ちきり, 持ち切り
0.0014739    1 whale          : 囀り
0.0014721    9 value          : 簿価, 等値, 尊ぶ, 尊む, 取り得, 対価, 等価, 取得, 時価
0.0014599    6 report         : 噂, 特輯, 特集, 時報, 言い付ける, 言付ける
0.0014597    5 wish           : 寿く, 禱る, 祷る, 寿ぐ, 感得
0.0014575   10 consideration  : 忖度, 薄謝, 検討, 対価, 特旨, 希薄, 稀薄, 気持, 気持ち, 氣持ち
0.0014470    1 guess          : 忖度
0.0014331    8 ground         : 寸地, 俯す, 対地, 射場, 狩り場, 狩場, へばり付く, 固持
0.0014329    3 senior         : 一尉, １尉, 専務
0.0014230    1 please         : 恃む
0.0014100   33 thin           : 薄絹, 熨斗鮑, 熨斗, 薄雲, 薄靄, 薄層, 薄衣, 薄っぺらい, 薄焼き, 薄手, ...
0.0014079    2 sing           : 囀る, 持ち歌
0.0013990    1 squaring       : 対峙
0.0013897    2 lose           : 腑抜ける, 腐る
0.0013743    1 hogshead       : 大樽
0.0013692    5 confrontation  : 対峙, 対立, 対陣, 対審, 対決
0.0013687    8 facing         : 対峙, 双対, 対い, 対面, 対戦, 対する, 対す, 相対
0.0013601    4 sealed         : 封状, 一封, 封じ手, 封書
0.0013595    3 dynasty        : 太傅, 団練, 楽府
0.0013217    1 concubine      : 侍妾
0.0013199    3 entertainer    : 幇間, 門付, 門付け
0.0013175   24 look           : 慰め顔, 尋ねる, 俯く, 俯向く, 待ち設ける, 待設ける, まじめ腐る, 真面目腐る, 尊ぶ, 尊む, ...
0.0013085   16 hunting        : 兎狩り, キツネ狩り, 狐狩り, 鹿狩, 鹿狩り, 熊狩り, 猪狩, 狩り場, 狩場, 巻き狩り, ...
0.0013030    3 blocking       : 待ち駒, 妨碍, 阻碍
0.0012986    1 mintage        : 鋳貨
