Summary: {Weight} {token}: {words[0:10]}
0.0026371    2 grounds        : 庭燎, 原拠
0.0026235    2 interference   : 関渉, 干渉
0.0025965    5 crepe          : 帛紗, 服紗, 袱紗, 金紗, 錦紗
0.0025779    8 frequent       : 頻回, 頻出, 頻尿, 頻用, 頻繁, 頻発, 頻り, 小まめ
0.0025550    1 eraser         : 消し屑
0.0025204    2 madam          : ご寮人, 御寮人
0.0025123    2 rapid          : 捗々しい, 捗捗しい
0.0025054    1 articulate     : 明瞭
0.0024885    4 court          : 縣, 県, 懸ける, 小歌
0.0024882    2 coffee         : 炒りたて, 茶寮
0.0024552    8 ministry       : 某省, 本省, 同省, 省内, 省益, 省, 各省, 寮
0.0024503    1 strabismus     : 眇
0.0024375    3 papermaking    : 抄紙, 抄造, 抄き
0.0024185    4 running        : 残り少な, 残り少ない, 使い歩き, 小竹
0.0024136    3 broad          : 渺, 渺々, 渺渺
0.0024114    1 post           : 哨所
0.0023926    1 disapproval    : 顰蹙
0.0023899    3 looking        : 顰蹙, 私淑, 渉猟
0.0023858    4 quick          : 捗々しい, 捗捗しい, 速歩, 小刻み
0.0023841    6 progress       : 進捗, 捗る, 進歩, 牛歩, 歩み, 歩
0.0023400    2 scratch        : 掻き毟る, 搔き毟る
0.0023259   10 dormitory      : 寮棟, 退寮, 寮長, 全寮, 寮舎, 寮歌, 寮費, 寮, 入寮, 学寮
0.0023155    8 silk           : 帛紗, 服紗, 袱紗, 金紗, 錦紗, 紗, 屑繭, 小袖
0.0022496    2 eye            : 眇める, 眇
0.0022192    3 father         : 伯叔, 寮父, 叔父
0.0022062    2 grimace        : 顰めっ面, 顰め面
0.0021661    2 imperial       : 庭燎, 勅願
0.0021577    1 scorn          : 顰蹙
0.0020814    4 mistress       : ご寮人, 御寮人, 手懸, 手懸け
0.0020760    1 distinct       : 明瞭
0.0020731    3 Zanthoxylum    : 花椒, 山椒, 椒
0.0020343    1 showing        : 顰蹙
0.0020338    1 grasshopper    : 祢宜
0.0020336    2 annotation     : 鈔, 抄
0.0020274    5 cure           : 療病, 療法, 療治, 治療, 妙薬
0.0020252    2 scowl          : 顰めっ面, 顰め面
0.0020244    1 pick           : 毟る
0.0020040    5 book           : 鈔本, 抄本, 小著, 原書, 小部
0.0019915    8 unit           : 鈔, 抄, 秒, 歩掛り, 反歩, 段歩, 原隊, 小
