Summary: {Weight} {token}: {words[0:10]}
TOKEN[22]: 0.0117168    1 burned
	burned WORD[22,   1]: 0.0117168 灸点
TOKEN[23]: 0.0117091    1 rib
	rib WORD[23,   1]: 0.0039030 畝
TOKEN[24]: 0.0104485    1 ridge
	ridge WORD[24,   1]: 0.0034828 畝
TOKEN[25]: 0.0102224    1 planting
	planting WORD[25,   1]: 0.0034075 畝
TOKEN[26]: 0.0100057    1 ink
	ink WORD[26,   1]: 0.0100057 灸点
TOKEN[27]: 0.0099511    1 burning
	burning WORD[27,   1]: 0.0099511 灸点
TOKEN[28]: 0.0097089    1 cord
	cord WORD[28,   1]: 0.0032363 畝
TOKEN[29]: 0.0095734    1 raised
	raised WORD[29,   1]: 0.0031911 畝
TOKEN[30]: 0.0093208    4 perpetuity
	perpetuity WORD[30,   1]: 0.0032033 長久
	perpetuity WORD[30,   2]: 0.0025478 悠久
	perpetuity WORD[30,   3]: 0.0018601 恒久
	perpetuity WORD[30,   4]: 0.0017097 永久
TOKEN[31]: 0.0092167    1 row
	row WORD[31,   1]: 0.0030722 畝
TOKEN[32]: 0.0090660    4 permanence
	permanence WORD[32,   1]: 0.0031157 長久
	permanence WORD[32,   2]: 0.0024781 悠久
	permanence WORD[32,   3]: 0.0018092 恒久
	permanence WORD[32,   4]: 0.0016629 永久
TOKEN[33]: 0.0089214    1 earth
	earth WORD[33,   1]: 0.0029738 畝
TOKEN[34]: 0.0088888    1 spot
	spot WORD[34,   1]: 0.0088888 灸点
TOKEN[35]: 0.0084348    1 catalpa
	catalpa WORD[35,   1]: 0.0084348 久木
TOKEN[36]: 0.0082060    1 skin
	skin WORD[36,   1]: 0.0082060 灸点
TOKEN[37]: 0.0079571    1 field
	field WORD[37,   1]: 0.0026524 畝
TOKEN[38]: 0.0078151    1 sea
	sea WORD[38,   1]: 0.0026050 畝
TOKEN[39]: 0.0073161    1 furrow
	furrow WORD[39,   1]: 0.0073161 畝間
TOKEN[40]: 0.0071042    1 point
	point WORD[40,   1]: 0.0071042 灸点
TOKEN[41]: 0.0067965    2 met
	met WORD[41,   1]: 0.0033982 久濶
	met WORD[41,   2]: 0.0033982 久闊
TOKEN[42]: 0.0066432    3 eternity
	eternity WORD[42,   1]: 0.0026979 久遠
	eternity WORD[42,   2]: 0.0023610 悠久
	eternity WORD[42,   3]: 0.0015843 永久
TOKEN[43]: 0.0053095    2 neglect
	neglect WORD[43,   1]: 0.0026547 久濶
	neglect WORD[43,   2]: 0.0026547 久闊
TOKEN[44]: 0.0048232    1 roof
	roof WORD[44,   1]: 0.0048232 畝間
TOKEN[45]: 0.0046196    1 Mallotus
	Mallotus WORD[45,   1]: 0.0046196 久木
TOKEN[46]: 0.0044416    1 Catalpa
	Catalpa WORD[46,   1]: 0.0044416 久木
TOKEN[47]: 0.0043339    1 room
	room WORD[47,   1]: 0.0043339 畝間
TOKEN[48]: 0.0040259    1 unchanging
	unchanging WORD[48,   1]: 0.0040259 幾久しい
TOKEN[49]: 0.0038193    2 persistence
	persistence WORD[49,   1]: 0.0019339 耐久
	persistence WORD[49,   2]: 0.0018854 持久
TOKEN[50]: 0.0037421    1 continued
	continued WORD[50,   1]: 0.0037421 幾久しい
TOKEN[51]: 0.0037074    2 endurance
	endurance WORD[51,   1]: 0.0018772 耐久
	endurance WORD[51,   2]: 0.0018301 持久
TOKEN[52]: 0.0036938    1 everlasting
	everlasting WORD[52,   1]: 0.0036938 幾久しい
TOKEN[53]: 0.0034582    1 eternal
	eternal WORD[53,   1]: 0.0034582 幾久しい
TOKEN[54]: 0.0031909    1 dissolute
	dissolute WORD[54,   1]: 0.0031909 久離
TOKEN[55]: 0.0031415    1 yellow
	yellow WORD[55,   1]: 0.0031415 久木
TOKEN[56]: 0.0031185    1 sons
	sons WORD[56,   1]: 0.0031185 久離
TOKEN[57]: 0.0027489    2 good
	good WORD[57,   1]: 0.0014505 良久
	good WORD[57,   2]: 0.0012984 久しく
TOKEN[58]: 0.0027076    2 someone
	someone WORD[58,   1]: 0.0013538 久濶
	someone WORD[58,   2]: 0.0013538 久闊
TOKEN[59]: 0.0024201    1 register
	register WORD[59,   1]: 0.0024201 久離
TOKEN[60]: 0.0024201    1 removal
	removal WORD[60,   1]: 0.0024201 久離
TOKEN[61]: 0.0021671    1 Chinese
	Chinese WORD[61,   1]: 0.0021671 久木
TOKEN[62]: 0.0019147    1 Japanese
	Japanese WORD[62,   1]: 0.0019147 久木
TOKEN[63]: 0.0018858    1 Edo
	Edo WORD[63,   1]: 0.0018858 久離
TOKEN[64]: 0.0017594    1 moon
	moon WORD[64,   1]: 0.0017594 久方
TOKEN[65]: 0.0017035    1 sky
	sky WORD[65,   1]: 0.0017035 久方
TOKEN[66]: 0.0016819    1 family
	family WORD[66,   1]: 0.0016819 久離
TOKEN[67]: 0.0016594    1 period
	period WORD[67,   1]: 0.0016594 久離
TOKEN[68]: 0.0015832    1 story
	story WORD[68,   1]: 0.0015832 久しい
TOKEN[69]: 0.0013586    1 old
	old WORD[69,   1]: 0.0013586 久しい
