Summary: {Weight} {token}: {words[0:10]}
0.0022112    3 knowledge      : 圏域, 振り回す, 振回す
0.0021852    8 zoo            : 退園, 転園, 来園, 廃園, 入園, 休園, 園内, 園長
0.0021598    4 become         : 困ずる, 困じる, 固まる, 凝り固まる
0.0021311    1 fortuitous     : 回り合い
0.0021116    2 six            : 六国, 四王天
0.0021099    1 male           : 男囚
0.0020825   12 map            : 全図, 図上, 略図, 付図, 附図, 星図, 公図, 掛け図, 掛図, 読図, ...
0.0020192    2 perplexity     : 困却, 困惑
0.0020132    1 cirque         : 圏谷
0.0020132    1 cwm            : 圏谷
0.0020132    1 corrie         : 圏谷
0.0019973    1 female         : 女囚
0.0019569    7 picture        : 秘図, 図巻, 図録, 図絵, 図画, 図鑑, 図
0.0019362    6 enclosure      : 仮囲い, 外囲い, 囲み, 囲い込み, 囲い, 囲繞
0.0019360    1 reign          : 四神
0.0018992    6 factor         : 因子, 要因, 素因, 主因, 因数, 一因
0.0018898    1 intent         : 異図
0.0018894    8 local          : 団練, 分団, 国言葉, 地回り, 国訛, 国訛り, どさ回り, ドサ回り
0.0018583   14 province       : 國, 因幡, 下国, 半国, 遠国, 国守, 国尽くし, 国表, 豊国, 同国, ...
0.0018537    4 diplomatic     : 國際, 国交, 国書, 国際
0.0018517    3 hardening      : 歯固め, 固結, 乾固
0.0018418    2 international  : 國際, 国際
0.0018388    3 grand          : 宏図, 雄図, 壮図
0.0018255    1 militia        : 団練
0.0018204    3 difficulty     : 困難, 困窮, 困る
0.0018188    1 underlining    : 圏点
0.0018172    1 scapegrace     : 困り者
0.0018145   15 group          : 団体, 船団, 入団, 団子, 団員, 団, 退団, 集団, 財団, 結団, ...
0.0018116    2 destitution    : 貧困, 困窮
0.0018063   10 figure         : 左図, 右図, 上図, 下図, 図表, 図版, 図形, 図, 作図, 四方
0.0017828    1 prospect       : 宏図
0.0017814    6 old            : 回り合う, 旧図, 因習, 因襲, 固陋, 四苦
0.0017640    1 radar          : 圏外
0.0017331   14 drawing        : 図法, 本図, 作図, 図取り, 図工, 図絵, 原図, 製図, 図面, 図像, ...
0.0017300    1 allied         : 俘囚
0.0017252    2 hardship       : 困苦, 困難
0.0017093    1 encounter      : 回り合い
0.0016601    1 crayfish       : 団扇海老
0.0016407    3 stable         : 安固, 強固, 鞏固
0.0016185    1 network        : 圏外
0.0016180   12 period         : 六国, 奴国, お国, 戦国, 国主, 国衙, 国替, 国替え, 国分寺, 回り, ...
0.0015996    1 contention     : 圏外
0.0015993    2 secure         : 安固, 固める
0.0015953    1 sentient       : 四魔
0.0015881    2 sunken         : 囲炉裏, 囲炉裡
0.0015828    2 intercourse    : 國際, 国際
0.0015826    3 tea            : 団茶, 茶園, 囲い
0.0015700    8 opposed        : 國語, 国字, 国ぶり, 国振り, 国風, 在国, 国書, 国語
0.0015616    5 siege          : 重囲, 包囲, 攻囲, 囲む, 囲み
0.0015593    7 graph          : 左図, 上図, 右図, 下図, 図表, 図式, 図
0.0015574    5 tongue         : 國語, なめ回す, 嘗め回す, 舐め回す, 国語
0.0015533    1 lobster        : 団扇海老
0.0015392    1 mobile         : 圏外
0.0015322    2 need           : 貧困, 困窮
0.0015238    2 poverty        : 貧困, 困窮
0.0015209    4 central        : 國, 中国, 国立, 国
0.0015168    1 good           : 善因
0.0015063    1 uniform        : 囚衣
0.0014929    3 hornbeam       : 犬四手, 赤四手, 四手
0.0014902    1 happen         : 回り合う
0.0014874    1 friend         : 回り合う
0.0014852   11 body           : 四大, 身固め, 団長, 団体, 団, 図体, 固体, 一団, 固型, 固形, ...
0.0014811    8 surround       : とり囲む, 取り囲む, 取囲む, 囲む, 囲う, 回る, 回らす, 回す
0.0014693    2 Carpinus       : 犬四手, 赤四手
0.0014527    1 emphasis       : 圏点
0.0014512    3 subject        : 國語, 図工, 国語
0.0014442    1 nuisance       : 困り者
0.0014409    8 hard           : 困る, 固目, 固め, 固焼き, 固い, 使い回す, 追い回す, 追回す
0.0014288    2 mother         : 國語, 国語
0.0014239    2 labour         : 囚役, 禁固
0.0014226    1 boarding       : 板囲い
0.0014225    1 active         : 団練
0.0014028    2 business       : 商圏, 回す
0.0013601    1 outside        : 圏外
0.0013551    1 labor          : 囚役
0.0013546    2 aura           : ふん囲気, 雰囲気
0.0013387    3 waist          : 胴囲, 胴回り, 回す
0.0013346    3 running        : 回り合う, 切り回し, 切回し
0.0013331    3 motive         : 誘因, 動因, 真因
0.0013178    2 dynasty        : 団練, 清国
0.0013072    1 foot           : 足囲
0.0013072    1 meeting        : 回り合い
0.0012997    2 board          : 板囲い, 囲碁
0.0012942    1 bloc           : 圏
0.0012773    2 text           : 圏点, 国記
0.0012726    2 distress       : 困難, 困窮
0.0012620    4 girth          : 胴囲, 腹囲, 胴回り, 周回
0.0012610    2 temporary      : 仮囲い, 休園
0.0012584    5 harden         : 打ち固める, 踏み固める, 練り固める, 固める, 固まる
0.0012402    1 similar        : 圏点
0.0012381    1 privation      : 困苦
0.0012301    4 head           : 頭囲, 園長, 国書, 回らす
0.0012249    1 sand           : 団扇海老
0.0012228    6 origin         : 成因, 原因, 基因, 起因, 因縁, 本国
0.0012168    4 surrounding    : 居回り, 包囲, 囲繞, 四隣
0.0012060    2 mark           : 圏点, 図星
0.0011939    2 type           : 団練, 団扇
0.0011840    2 reach          : 圏外, 回す
0.0011828    4 fourth         : 小四, 四男, 四緑, 四半
0.0011787    1 marketing      : 商圏
0.0011517    8 make           : 四魔, 固める, かけずり回る, 駆けずり回る, 回る, 見回る, 回す, 出回る
0.0011437   11 firm           : 牢固, 堅固, 固目, 断固, 固辞, 強固, 鞏固, 確固, 固め, 固まる, ...
0.0011403    1 significance   : 因
0.0011290    1 Tao            : 四大
0.0011236    4 obstinate      : 偏固, 意固地, 頑固, 固い
0.0011119    1 dilemma        : 困却
0.0011030    4 stubborn       : 偏固, 意固地, 頑固, 固い
0.0010958    4 leaving        : 退園, 退団, 下国, 出国
0.0010885    2 incentive      : 誘因, 導因
0.0010813    6 sovereign      : 国君, 四恩, 国主, 国権, 国書, 国王
0.0010577    3 looking        : 回視, 四顧, 回顧
0.0010561    6 enclose        : 囲い込む, 囲む, 囲う, 回らす, 回る, 回す
0.0010556    1 penury         : 貧困
0.0010541    1 swayed         : 囚われる
0.0010482    1 rigor          : 固縮
0.0010253    1 Taoist         : 四神
0.0010244    1 rigidity       : 固縮
0.0010213    6 square         : 固結び, 四方, 四阿, 四半, 四角, 四角い
0.0010159    7 way            : 圏点, 言い回す, 立ち回る, 立回る, 大回り, 回り, 遠回り
0.0010099    1 variety        : 羅国
0.0009919    1 commercial     : 商圏
0.0009865    1 hear           : 因
0.0009851    5 organization   : 因る, 分団, 団体, 結団, 教団
0.0009799    1 trading        : 商圏
0.0009743    1 zone           : 圏
0.0009681    5 wall           : 掛け図, 掛図, 囲む, 囲う, 囲い
0.0009505    1 muscular       : 固縮
0.0009474   10 world          : 梨園, 文園, 現国, 四海, 園, 四方, 三国, 万国, 回天, 開国
0.0009467    1 slave          : 囚われる
0.0009452    1 bafflement     : 困惑
0.0009452    1 discomfiture   : 困惑
0.0009450    1 infeasibility  : 困難
0.0009292    1 adhere         : 囚われる
0.0009139    1 category       : 圏
0.0009093    4 piece          : 因, 四半, 立ち回り, 立回り
0.0008801    3 gang           : 匪団, 一団, 回し
0.0008687    1 want           : 貧困
0.0008663    5 crowd          : とり囲む, 取り囲む, 取囲む, 団子, 固まり
0.0008660    1 information    : 因
0.0008357    2 vehicle        : 軽四, 足回り
0.0008344    1 shortage       : 貧困
0.0008150    2 animal         : 四つ足, 転園
0.0008137    1 caught         : 囚われる
0.0008117    1 taken          : 囚われる
0.0007975    1 elementary     : 小四
0.0007973    1 fear           : 囚われる
0.0007914    3 king           : 四大, 国主, 国王
0.0007827    3 enrolment      : 在園, 入団, 入園
0.0007811    2 fireplace      : 囲炉裏, 囲炉裡
0.0007728    2 ordinal        : 四隅, 四維
0.0007706    1 reward         : 善因
0.0007700    1 bewilderment   : 困惑
0.0007560    1 lack           : 貧困
0.0007557    1 deed           : 善因
0.0007557    4 plantation     : 農園, 茶園, 桑園, 園長
0.0007530    1 compact        : 締め固める
0.0007510    1 inability      : 困難
0.0007439    1 reef           : 固結び
0.0007439    1 marquisate     : 侯国
0.0007431   17 round          : 布団, 蒲団, 団子, 腰回り, 回頭, 回りこむ, 回り込む, 飲み回す, 回り, 毎回, ...
0.0007429    1 struggling     : 困窮
0.0007423    1 bandit         : 匪団
0.0007412    1 fencing        : 仮囲い
0.0007410    3 mistress       : 囲い者, 囲う, 囲い
0.0007392    3 due            : 因る, 基因, 起因
0.0007281    3 ancient        : 四夷, 因明, 旧国
0.0007236    1 disbandment    : 解団
0.0007232    1 cake           : 団茶
