Summary: {Weight} {token}: {words[0:10]}
0.0023067    5 floor          : 建て坪, 建坪, 坪数, 延べ坪, 延坪
0.0022749   16 period         : 旱魃, 幸若, 軒猿, 銅鐸, 肝いり, 肝入り, 肝煎, 肝煎り, 年期, 年季, ...
0.0022734    3 handle         : 杵柄, 鐸, 手許
0.0022687    2 unfortunate    : 薄倖, 薄幸
0.0022543    1 heinousness    : 兇悍
0.0022543    1 ferocity       : 兇悍
0.0022532    2 soup           : 肝吸, 肝吸い
0.0022230    5 block          : 開かる, 桝形, 升形, 枡形, 形木
0.0022186    7 wide           : 開かる, 開脚, 開け広げる, 見開く, 開けはなつ, 開け放つ, 開け放す
0.0022007    2 earnest        : 真摯, 平謝り
0.0022002   11 square         : 坪量, 坪, 平米, 桝形, 角型, 升形, 枡形, 平方, 角形, 開平, ...
0.0021762    1 mythical       : 白澤
0.0021515    8 long           : 何年, 鐸, 割り干し, 割干し, 年功, 長年, 千年, 永年
0.0021468    8 counter        : 驛, 竿, か年, カ年, ケ年, ヵ年, ヶ年, 箇年
0.0021394    2 godsend        : 僥倖, 僥幸
0.0021118   36 open           : 開かる, 陽報, 平野, 平手, 開き癖, 開渠, 阿形, 開梱, 押し開ける, 開裂, ...
0.0021090    1 stupid         : 烏滸
0.0020974   10 house          : 蟄居, 軒並, 軒並み, 軒灯, 軒先, 平屋, 屋形, 開帳, 開張, 開ける
0.0020923   10 place          : 蟄伏, 其処許, 肝だめし, 肝試し, 干し場, 国許, 膝許, 刑場, 干場, 形勝
0.0020902    1 highway        : 驛
0.0020878    2 rose           : 荊, 荊棘
0.0020753    1 foolish        : 烏滸
0.0020605   27 person         : 刑徒, 鮃, 奸邪, 奸, 幸せ者, 奸悪, 研ぎ屋, 研屋, 膝許, 研師, ...
0.0020520    9 clothing       : 開かる, 甚平, 形姿, 身形, 型くずれ, 型崩れ, 形振り, 形崩れ, 前開き
0.0020450    6 way            : 開かる, 割り干し, 割干し, 手許, 切り開く, 切開く
0.0020324    8 area           : 坪, 地坪, 坪数, 此処許, 爰許, 目許, 眼許, 平場
0.0020256    1 backside       : 尻餠
0.0020083    9 body           : 白澤, 裸形, 正報, 報身, 形骸, 体型, 固型, 体形, 固形
0.0019591    4 city           : 金澤, 市報, 山型, 山形
0.0019520    1 bramble        : 荊棘
0.0019452    1 bus            : 驛
0.0019420    4 home           : 蟄伏, 国許, 親許, 報える
0.0019415    1 stand          : 開かる
0.0019406    1 able           : 白澤
0.0019363    4 post           : 驛, 爪研ぎ, 磔刑, 開局
0.0019354    2 human          : 白澤, 人型
0.0019340    3 later          : 速贄, 晩年, 後年
0.0019258    3 wild           : 荊, 荊棘, 山幸
0.0019138    8 Chinese        : 白澤, 鐸, 漢奸, 干支, 平声, 年女, 平仄, 年男
0.0019038    1 thesis         : 卒研
0.0018922    9 sweating       : 滝汗, 大汗, 汗かき, 汗っかき, 一汗, 寝汗, 盗汗, 汗馬, 発汗
0.0018874    2 weight         : 坪量, 秤量
0.0018822    2 understand     : 白澤, 平俗
0.0018700   12 permission     : 不許, 允許, 許し, 黙許, 免許, 特許, 聴許, 公許, 許容, 許諾, ...
0.0018515    1 consumption    : 速贄
0.0018445    2 animal         : 白澤, 生き肝
0.0018209    1 prey           : 速贄
0.0018100    2 speech         : 白澤, 形容
0.0017969    9 commentary     : 評注, 評註, 評説, 時評, 評釈, 評, 批評, 選評, 講評
0.0017860   15 criticism      : 評説, 酷評, 漫評, 悪評, 適評, 短評, 論評, 妄評, 品評, 評論, ...
0.0017368    1 birthday       : 尻餠
0.0017170    9 space          : 坪数, 延べ坪, 延坪, 建て坪, 建坪, 桝形, 升形, 枡形, 開ける
0.0017156    3 disaster       : 旱害, 不幸, 干害
0.0017124   11 Japan          : 驛, 平調, 平民, 水干, 干支, 丁年, 年度, 年より, 年寄, 年寄り, ...
0.0016895   27 report         : 別報, 風評, 市報, 有報, 詳報, 年報, 誤報, 飛報, 一報, 週報, ...
0.0016710    1 train          : 驛
0.0016662    4 scales         : 秤, 台秤, 皿秤, 天秤
0.0016659    7 happiness      : 倖せ, 多幸, 幸せ, 幸い, 幸福, 幸, 果報
0.0016477    3 steelyard      : 竿秤, 棹秤, 天秤
0.0016384    1 presumptuous   : 烏滸がましい
0.0016286    2 wind           : 風鐸, 鐸
0.0016257    8 many           : 何年, 許多, 幾許, 若干, 長年, 多年, 積年, 永年
0.0016195    4 beam           : 竿秤, 扛秤, 棹秤, 竿
0.0016027    6 fishing        : のべ竿, 延べ竿, 継ぎ竿, 継竿, 釣り竿, 釣竿
0.0015934    4 wicked         : 奸邪, 奸, 佞奸, 奸悪
0.0015583    1 impertinent    : 烏滸がましい
0.0015551    8 paper          : 坪量, 夕刊, 坪, 判型, 判形, 形代, 紙型, 型紙
0.0015394   12 used           : 尻餠, 干飯, 平瓮, 研ぎ汁, 膝許, 干し飯, 判型, 干支, 平仮名, 判形, ...
0.0015202    1 laughable      : 烏滸がましい
0.0014810    1 barley         : 麦稈
0.0014795    3 damage         : 旱害, 虫干し, 干害
0.0014511    1 cheeky         : 烏滸がましい
0.0014401    1 ridiculous     : 烏滸がましい
0.0014376    7 approval       : 不許, 許否, 認許, 裁許, 許認可, 許諾, 許可
0.0014334    3 wickedness     : 奸譎, 奸, 奸悪
0.0014212    1 wheat          : 麦稈
0.0014211    2 clapper        : 木鐸, 鐸
0.0014194   11 comment        : 評説, 評語, 評言, 短評, 論評, 品評, 評する, 評す, 総評, 寸評, ...
0.0014003    1 deductive      : 演繹
0.0014001    3 cubic          : 立坪, 坪, 開立
0.0013858    1 impudent       : 烏滸がましい
0.0013638    5 season         : 速贄, 山開き, 海開き, 川開き, 開ける
0.0013606   21 annual         : 年給, 年刊, 有報, 年差, 年税, 年報, 年休, 年掛け, 年払い, 年賦, ...
0.0013602    1 obstacle       : 荊棘
0.0013463    7 rice           : 餠, 干飯, 研ぎ汁, 干し飯, 研ぐ, 平田, 鏡開き
0.0013317    9 day            : 啓蟄, 初午, 他年, 開炉, 開庁, 店開き, 開店, 開館, 開院
0.0013258    2 flounder       : 鮃, 平目
0.0013254    5 pole           : 竹竿, 天秤, 竿頭, 竿竹, 竿
0.0013190    1 patch          : 荊棘
0.0012929    2 March          : 啓蟄, 年度
0.0012926    1 absurd         : 烏滸がましい
0.0012897    2 speculation    : 射倖, 射幸
0.0012718   27 flat           : 平筆, 平虫, 平麺, 平瓮, 平屋根, 平打, 平打ち, 平置き, 扁形, 平板, ...
0.0012690    9 traditional    : 坪, 初午, 坪庭, 歳刑, 干支, 数え年, 紅型, 古形, 鏡開き
0.0012686    4 emperor        : 贄, 恩幸, 遷幸, 臨幸
0.0012550   24 news           : 虚報, 雑報, 凶報, 外報, 悲報, 朗報, 報道, 敗報, 勝報, 捷報, ...
0.0012547    1 difficulty     : 荊棘
0.0012320    2 awakening      : 啓蟄, 開眼
0.0012218    3 spring         : ばね秤, 発条秤, 開湯
0.0012173    1 condemned      : 刑徒
0.0011883    2 blessing       : 倖せ, 幸せ
0.0011852    1 source         : 荊棘
0.0011829    5 scale          : ばね秤, 発条秤, 秤量, 平調, 平衡
0.0011780    4 hanging        : 絞刑, 風鐸, 部屋干し, 虫干し
0.0011749    3 weighing       : 秤, 台秤, 秤量
0.0011692    2 solar          : 啓蟄, 胸許
0.0011680   18 death          : 絞刑, 不幸, 銃刑, 刑する, 凶報, 悲報, 死刑, 刑死, 極刑, 訃報, ...
0.0011577    1 fierceness     : 剽悍
0.0011568    9 execution      : 執行, 刑戮, 刑死, 磔刑, 行刑, 火刑, 実刑, 処刑, 刑場
0.0011538    5 prime          : 年盛り, 年増女, 壮年, 盛年, 年
0.0011414    3 spell          : 旱魃, 干ばつ, 干魃
0.0011171    2 samurai        : 干飯, 干し飯
0.0010996    2 boiled         : 干飯, 干し飯
0.0010971    2 bronze         : 風鐸, 銅鐸
0.0010875    1 crown          : 荊冠
0.0010873    1 pratfall       : 尻餠
0.0010864   21 level          : 水秤, 平庭, 真っ平ら, 平々, 平平, 平準, 平べったい, 平声, 平か, 平らか, ...
0.0010790    2 lack           : 不許, 平手
0.0010763    5 issue          : 発刊, 日刊, 増刊, 月刊, 刊行
0.0010725    9 review         : 評説, 月評, 論評, 評, 批評, 寸評, 書評, 講評, 合評
0.0010708    1 deduction      : 演繹
0.0010542    1 reasoning      : 演繹
0.0010502    2 Soleidae       : 舌鮃, 舌平目
0.0010500    8 penalty        : 刑戮, 刑名, 主刑, 極刑, 死刑, 減刑, 刑罰, 刑
0.0010396    1 virile         : 精悍
0.0010394    2 monkfish       : あん肝, 鮟肝
0.0010394    2 goosefish      : あん肝, 鮟肝
0.0010387    3 cancer         : 癌研, 肝がん, 肝癌
0.0010291    1 chloasma       : 肝斑
0.0010059    5 light          : 軒灯, 竿灯, 竿燈, 甚平, 開ける
0.0010058    9 bulletin       : 学報, 市報, 週報, 局報, 彙報, 通報, 速報, 公報, 会報
0.0009679    4 afternoon      : 午すぎ, 午過ぎ, 午后, 午後
0.0009670    5 family         : 鮃, 平氏, 平家, 平目, 万年青
0.0009652    3 design         : 奸策, 奸計, 船型
0.0009592    1 daring         : 剽悍
0.0009547    2 indoors        : 蟄居, 部屋干し
0.0009504    2 club           : 落研, 漫研
0.0009500    1 said           : 啓蟄
0.0009436    1 wife           : 荊妻
0.0009429    3 mediate        : 執り持つ, 執りなす, 執り成す
0.0009400    2 seclusion      : 蟄居, 開国
0.0009391    3 lunch          : 午, 午飯, 午餐
0.0009330   10 public         : 木鐸, 衆評, 世評, 評判, 広報, 弘報, 公開, 開放, 開帳, 開張
0.0009311    1 dauntless      : 精悍
0.0009293    3 society        : 落研, 漫研, 会報
0.0009224    1 vixen          : 悍婦
0.0009159    1 masculine      : 精悍
0.0009151    2 cinema         : 映研, 開館
0.0009148    2 floorage       : 建て坪, 建坪
0.0009039    4 lucky          : 幸せ者, 年神, 当たり年, 当り年
0.0008995    4 shutting       : 蟄居, 開け閉め, 開け閉て, 開閉
0.0008962    1 virago         : 悍婦
0.0008929    1 sinister       : 奸策
0.0008838   14 official       : 執事, 肝いり, 肝入り, 肝煎, 肝煎り, 執務, 官許, 官報, 公許, 局報, ...
0.0008834    1 celebrate      : 尻餠
0.0008710    2 tension        : ばね秤, 発条秤
0.0008710    2 gauge          : ばね秤, 発条秤
0.0008693    1 shrewd         : 奸策
0.0008692   13 land           : 山幸, 地坪, 坪, 報土, 平田, 年貢, 干拓, 未開, 新開, 切り開く, ...
0.0008592    1 shrew          : 悍婦
0.0008512    1 tied           : 尻餠
0.0008412    1 prisoner       : 刑徒
0.0008386    4 bamboo         : 竹竿, のべ竿, 延べ竿, 竿竹
0.0008201    1 thorny         : 荊
0.0008201    1 cusp           : 荊
0.0008179    3 come           : 啓蟄, 幸先, 開く
0.0008108    2 craft          : 奸知, 奸智
0.0008034    5 prison         : 刑獄, 体刑, 刑期, 実刑, 刑余
0.0008014    1 arrest         : 蟄居
0.0008000    4 profuse        : 滝汗, 汗かき, 汗っかき, 汗水
0.0007990    2 midday         : 午, 正午
0.0007979   19 model          : 何型, 型落ち, 年式, 型番, 形臨, 型, 木型, 模型, ひな型, 雛型, ...
0.0007947    8 temple         : 風鐸, 軒, 執行, 開炉, 開院, 開創, 開山, 開基
0.0007929    2 January        : 鏡餠, 鏡開き
0.0007899    4 daily          : 日刊, 刊, 官報, 日報
0.0007771    9 number         : 軒数, 増刊, 許多, 幾許, 築年, 型番, 若干, 生年, 年数
0.0007764    1 cessation      : 終刊
0.0007764    1 recitative     : 幸若
0.0007748    1 project        : 卒研
0.0007740    5 life           : 年盛り, 壮年, 盛年, 晩年, 年輪
0.0007710    6 ancient        : 鐸, 汗衫, 宮刑, 平調, 水干, 積年
0.0007683    1 dirty          : 奸策
0.0007683    1 scheme         : 奸策
0.0007670    1 sauna          : 汗蒸幕
0.0007640    1 eaten          : 鏡餠
0.0007610    5 top            : 鏡餠, 竿頭, 桝形, 升形, 枡形
0.0007581    2 street         : 竿灯, 竿燈
0.0007575    1 orange         : 鏡餠
0.0007538    2 sole           : 舌鮃, 舌平目
0.0007536    3 sea            : 海幸, 平鯛, 干拓
0.0007528    1 shrub          : 荊
0.0007474    2 gazette        : 学報, 官報
0.0007437    1 tough          : 精悍
0.0007420    2 sharp          : 精悍, 酷評
0.0007287    2 falling        : 尻餠, 平伏
0.0007267    1 baby           : 尻餠
0.0007234    5 cake           : 餠, 半平, 焼き型, 焼型, 鏡開き
0.0007228   12 drying         : 外干し, 干し場, 部屋干し, 干場, 干割れ, 素干し, 陰干, 陰干し, 物干, 物干し, ...
0.0007194    3 neck           : のべ竿, 延べ竿, 竿
0.0007181    7 daikon         : 割り干し, 割干し, 丸干し, 干葉, 切り干し, 切干, 切干し
0.0007172    1 guide          : 木鐸
0.0007159    1 fierce         : 精悍
0.0007127    1 walking        : 尻餠
0.0007120    1 Arabis         : 旗竿
0.0007103    2 toady          : 鮃, 平目
0.0007087    1 platform       : 台秤
0.0007067    1 sticky         : 餠
0.0007063    4 magazine       : 増刊, 創刊, 再刊, 画報
0.0007041   19 type           : 何型, 病型, 型落ち, 平打, 平打ち, 類型, 熱型, 船型, 象形, 同型, ...
0.0007025    3 sound          : 鼾声, 音形, 音型
0.0006959    7 end            : 年暮れ, 年の瀬, 年の暮, 年の暮れ, 年内, 開ける, 開く
0.0006956    5 single         : のべ竿, 延べ竿, 竿, 紅型, 単形
0.0006934    7 reputation     : 不評, 世評, 高評, 評判, 定評, 好評, 悪評
0.0006916    1 bitter         : 鏡餠
0.0006900    1 iniquity       : 奸譎
0.0006885    2 jointed        : 継ぎ竿, 継竿
0.0006871    1 trick          : 奸策
0.0006865    9 retribution    : 依報, 正報, 業報, 果報, 悪報, 応報, 報い, 報復, 報
0.0006817    2 blood          : 何型, 汗血
0.0006762    3 intercession   : 執りなし, 執り成し, 執成し
0.0006751    4 smoothing      : 執りなし, 執り成し, 執成し, 整形
0.0006732    9 fish           : 舌鮃, 平政, 干し魚, 干魚, 丸干し, 半平, 舌平目, 背開き, 開き
0.0006714    3 red            : 舌鮃, 平草, 舌平目
0.0006664    5 perspiration   : 寝汗, 盗汗, 発汗, 汗だく, 汗
0.0006648    1 cause          : 尻餠
0.0006643    1 art            : 奸策
0.0006642    2 film           : 映研, 公開
0.0006634   10 sentence       : 重刑, 体刑, 行刑, 量刑, 実刑, 減刑, 刑罰, 刑, 求刑, 文型
0.0006622    1 leader         : 木鐸
0.0006597    3 pull           : ばね秤, 発条秤, 引き開ける
0.0006580    4 child          : 尻餠, 忘れ形見, 年弱, 年子
0.0006570    5 piece          : のべ竿, 延べ竿, こぼれ幸い, 零れ幸い, 駒形
0.0006560    5 wooden         : 木鐸, 足型, 木型, 形木, 足形
0.0006522    2 hepatoma       : 肝がん, 肝癌
0.0006519    2 olive          : 鮃, 平目
0.0006514    3 newspaper      : 朝刊, 創刊, 民報
0.0006499    2 evil           : 奸邪, 奸計
0.0006491    2 total          : 延べ坪, 延坪
0.0006487    5 two            : 鏡餠, 十干, 源平, 一昨昨年, 見開き
0.0006443    3 rating         : 評価, 評点, 評定
0.0006423    3 clan           : 軒猿, 平打, 平打ち
0.0006413    1 lunar          : 初午
0.0006407    7 large          : 鐸, 扛秤, 屋形船, なり年, 生り年, 大型, 大形
0.0006405    2 treacherous    : 佞奸, 奸臣
0.0006364    1 spot           : 肝斑
0.0006299    2 bastard        : 鮃, 平目
0.0006195    3 order          : 尻餠, 平定, 年次
0.0006162    1 absorbing      : 吸汗
0.0006104    7 woman          : 悍婦, 年増女, 年増, 年女, 耳年増, 年ごろ, 年頃
0.0006076    3 gift           : 贄, 年賀, 年玉
0.0006073    2 reissue        : 復刊, 再刊
0.0006058    1 unit           : 坪
0.0006050    1 fall           : 尻餠
0.0006041    1 unpublished    : 未刊
0.0006014    4 auspices       : 肝いり, 肝入り, 肝煎, 肝煎り
0.0005984    2 sliced         : 割り干し, 割干し
0.0005959    4 morning        : 朝刊, 刊, 午前, 朝型
0.0005949    3 mediation      : 執りなし, 執り成し, 執成し
0.0005945   35 age            : 年ごろ, 年頃, 数え年, 築年, 年回り, 停年, 定年, 年波, 年, 歿年, ...
0.0005881    2 work           : 卒研, 報える
0.0005841    2 month          : 初午, 開炉
0.0005837    5 pluck          : ド肝, 度肝, 肝っ玉, 肝玉, 肝
0.0005814    1 nakedness      : 裸形
0.0005794    3 garden         : 平庭, 坪庭, 開園
0.0005777    4 line           : のべ竿, 延べ竿, 竿, 一報
0.0005755    4 sponsorship    : 肝いり, 肝入り, 肝煎, 肝煎り
0.0005745    1 daytime        : 午
0.0005735   11 Japanese       : 汗衫, 漢奸, 竿, 平仮名, 射干, 平声, 田平子, 万年青, 年号, 停年, ...
0.0005734    5 ten            : 旬刊, 十干, 年期, 年季, 万年
0.0005703    7 license        : 許状, 允許, 免許, 特許, 公許, 許可, 官許
0.0005681    1 gun            : 午砲
0.0005660   10 door           : 軒灯, 軒並, 軒並み, 内開き, 外開き, 両開き, 開き戸, 開扉, 開放, 開ける
0.0005656   52 form           : 報身, 剤形, 詩型, 形式, 詩形, 丸型, 剤型, 型, 丸形, 形相, ...
0.0005554    4 cut            : 鏡餠, 刈り干す, 切り開く, 切開く
0.0005548    5 book           : 刊本, 新刊, 書評, 開き癖, 開巻
0.0005486    1 four           : 風鐸
0.0005393    4 sharpener      : 爪研ぎ, 研ぎ屋, 研屋, 研師
0.0005381    2 annotation     : 評註, 評釈
0.0005373    4 nerve          : ド肝, 度肝, 肝っ玉, 肝玉
0.0005369    2 connected      : のべ竿, 延べ竿
0.0005343    1 jail           : 刑獄
0.0005340    1 look           : 精悍
0.0005304    3 villain        : 斬奸, 奸賊, 悪形
0.0005301    3 academic       : 学報, 年度, 学年
0.0005299    1 duo            : 鐸
0.0005234    1 repulsive      : 悍ましい
0.0005214    1 dance          : 幸若
0.0005199    1 popular        : 幸若
0.0005194    1 serving        : 軒猿
0.0005181    8 sword          : 斬奸, 研ぎ屋, 研屋, 剣形, 研師, 平打, 平打ち, 段平
0.0005138    1 fortunate      : 幸せ者
0.0005132    2 reel           : のべ竿, 延べ竿
0.0005099    5 criminal       : 刑律, 刑訴, 刑法, 刑罰, 刑事
0.0005092    4 attachment     : 愛執, 執着, 執著, 執心
0.0005067    6 imperial       : 御幸, 行幸, 勅許, 式年, 年号, 元年
0.0005058    9 style          : 幸若, 型, 新型, 旧型, 髪型, 字形, 新形, 形式, 髪形
0.0004998    7 school         : 学報, 評語, 学年, 留年, 年度, 年じゅう, 開校
0.0004971    3 rumor          : 評説, 風評, 評判
0.0004956    3 assessment     : 評定, 評価, 量刑
0.0004955    1 Korean         : 汗蒸幕
0.0004950    3 great          : 大汗, 多幸, 許多
0.0004948    4 critique       : 論評, 評論, 批評, 講評
0.0004917    1 entertain      : 執り持つ
