Summary: {Weight} {token}: {words[0:10]}
0.1585059   16 valley         : 鶯谷, 谷折り, 谷渡り, 河谷, 谷懐, 谷あい, 空谷, 谷風, 谷水, 谷間, ...
TOKEN[21]: 0.0122529    2 lull
	lull WORD[21,   1]: 0.0073970 谷あい
	lull WORD[21,   2]: 0.0048560 谷間
TOKEN[22]: 0.0119126    2 economic
	economic WORD[22,   1]: 0.0071915 谷あい
	economic WORD[22,   2]: 0.0047211 谷間
TOKEN[23]: 0.0117684    2 trough
	trough WORD[23,   1]: 0.0071045 谷あい
	trough WORD[23,   2]: 0.0046640 谷間
TOKEN[24]: 0.0104628    2 activity
	activity WORD[24,   1]: 0.0063163 谷あい
	activity WORD[24,   2]: 0.0041465 谷間
TOKEN[25]: 0.0103306    2 gap
	gap WORD[25,   1]: 0.0062365 谷あい
	gap WORD[25,   2]: 0.0040941 谷間
TOKEN[26]: 0.0101195    2 society
	society WORD[26,   1]: 0.0061091 谷あい
	society WORD[26,   2]: 0.0040105 谷間
TOKEN[27]: 0.0101140    2 deep
	deep WORD[27,   1]: 0.0054071 谷懐
	deep WORD[27,   2]: 0.0047068 幽谷
TOKEN[28]: 0.0093925    3 running
	running WORD[28,   1]: 0.0031308 渓谷
	running WORD[28,   2]: 0.0031308 溪谷
	running WORD[28,   3]: 0.0031308 谿谷
TOKEN[29]: 0.0093709    2 spot
	spot WORD[29,   1]: 0.0056571 谷あい
	spot WORD[29,   2]: 0.0037138 谷間
TOKEN[30]: 0.0091612    1 cirque
	cirque WORD[30,   1]: 0.0091612 圏谷
TOKEN[31]: 0.0091612    1 cwm
	cwm WORD[31,   1]: 0.0091612 圏谷
TOKEN[32]: 0.0091612    1 corrie
	corrie WORD[32,   1]: 0.0091612 圏谷
TOKEN[33]: 0.0090470    2 opening
	opening WORD[33,   1]: 0.0054616 谷あい
	opening WORD[33,   2]: 0.0035854 谷間
TOKEN[34]: 0.0088281    1 marsh
	marsh WORD[34,   1]: 0.0088281 谷地
TOKEN[35]: 0.0087338    1 swamp
	swamp WORD[35,   1]: 0.0087338 谷地
TOKEN[36]: 0.0085303    2 left
	left WORD[36,   1]: 0.0051497 谷あい
	left WORD[36,   2]: 0.0033807 谷間
TOKEN[37]: 0.0083227    1 uninhabited
	uninhabited WORD[37,   1]: 0.0083227 空谷
TOKEN[38]: 0.0082810    2 ward
	ward WORD[38,   1]: 0.0041405 澁谷
	ward WORD[38,   2]: 0.0041405 渋谷
TOKEN[39]: 0.0082498    2 stream
	stream WORD[39,   1]: 0.0041249 谷筋
	stream WORD[39,   2]: 0.0041249 谷川
TOKEN[40]: 0.0080030    2 mountain
	mountain WORD[40,   1]: 0.0048314 谷懐
	mountain WORD[40,   2]: 0.0031716 谷川
TOKEN[41]: 0.0076257    2 part
	part WORD[41,   1]: 0.0046035 谷あい
	part WORD[41,   2]: 0.0030221 谷間
TOKEN[42]: 0.0073238    2 work
	work WORD[42,   1]: 0.0044213 谷あい
	work WORD[42,   2]: 0.0029025 谷間
TOKEN[43]: 0.0070150    2 place
	place WORD[43,   1]: 0.0042349 谷あい
	place WORD[43,   2]: 0.0027801 谷間
TOKEN[44]: 0.0068234    2 special
	special WORD[44,   1]: 0.0034117 澁谷
	special WORD[44,   2]: 0.0034117 渋谷
TOKEN[45]: 0.0067945    1 traveling
	traveling WORD[45,   1]: 0.0067945 谷渡り
TOKEN[46]: 0.0067660    1 bush
	bush WORD[46,   1]: 0.0067660 谷渡り
TOKEN[47]: 0.0067250    1 reach
	reach WORD[47,   1]: 0.0067250 谷まる
TOKEN[48]: 0.0064014    1 rill
	rill WORD[48,   1]: 0.0064014 谷水
TOKEN[49]: 0.0062836    1 crossing
	crossing WORD[49,   1]: 0.0062836 谷渡り
TOKEN[50]: 0.0060832    1 singing
	singing WORD[50,   1]: 0.0060832 谷渡り
TOKEN[51]: 0.0055979    1 land
	land WORD[51,   1]: 0.0055979 谷地
TOKEN[52]: 0.0050866    1 terminate
	terminate WORD[52,   1]: 0.0050866 谷まる
TOKEN[53]: 0.0045420    1 channel
	channel WORD[53,   1]: 0.0045420 谷筋
TOKEN[54]: 0.0044768    1 decided
	decided WORD[54,   1]: 0.0044768 谷まる
TOKEN[55]: 0.0043467    1 wind
	wind WORD[55,   1]: 0.0043467 谷風
TOKEN[56]: 0.0043084    1 dilemma
	dilemma WORD[56,   1]: 0.0043084 谷まる
TOKEN[57]: 0.0043039    2 one
	one WORD[57,   1]: 0.0025982 谷あい
	one WORD[57,   2]: 0.0017057 谷間
TOKEN[58]: 0.0040616    1 settled
	settled WORD[58,   1]: 0.0040616 谷まる
TOKEN[59]: 0.0038700    1 stuck
	stuck WORD[59,   1]: 0.0038700 谷まる
TOKEN[60]: 0.0038463    1 floor
	floor WORD[60,   1]: 0.0038463 谷底
TOKEN[61]: 0.0037918    1 Japanese
	Japanese WORD[61,   1]: 0.0037918 谷渡り
TOKEN[62]: 0.0036685    1 limit
	limit WORD[62,   1]: 0.0036685 谷まる
TOKEN[63]: 0.0035431    1 extreme
	extreme WORD[63,   1]: 0.0035431 谷まる
TOKEN[64]: 0.0033099    1 loss
	loss WORD[64,   1]: 0.0033099 谷まる
TOKEN[65]: 0.0027480    1 water
	water WORD[65,   1]: 0.0027480 谷水
TOKEN[66]: 0.0026936    1 come
	come WORD[66,   1]: 0.0026936 谷まる
TOKEN[67]: 0.0026327    1 end
	end WORD[67,   1]: 0.0026327 谷まる
