Summary: {Weight} {token}: {words[0:10]}
0.0026201   22 leg            : 足趾, 鶏足, 足輪, 上げ足, 挙げ足, 揚げ足, 揚足, おみ足, 猫足, 足偏, ...
0.0026176    3 authority      : 踰越, 盤踞, 蟠踞
0.0025894    6 short          : 一跨ぎ, 踏み上げ, 跡切れる, 直路, ひと足, 一足
0.0025851    2 rising         : 蹶起, 一躍
0.0025425    1 sake           : 香露
0.0025303   21 ground         : 長跪, 躄, 蹴る, 鳶足, 踏みこたえる, 踏み堪える, 踏歌, 露地, 踏んばる, 踏ん張る, ...
0.0025245    3 depression     : 躁鬱病, 躁うつ, 躁鬱
0.0024883    1 disorder       : 躁鬱病
0.0024541   33 jump           : 飛躍, 跳び越える, 躍り込む, 躍り上がる, 跳ねまわる, 跳ね回る, 跳躍, 跳びのく, 跳び降りる, 跳ね上がる, ...
0.0024460    1 upright        : 長跪
0.0024105    1 action         : 蹶起
0.0024046    1 exceeding      : 踰越
0.0023981    1 urgent         : 促迫
0.0023797    1 Antennarius    : 躄魚
0.0023797    1 Antennariidae  : 躄魚
0.0023797    1 striated       : 躄魚
0.0023776    2 butterbur      : 山蕗, 蕗
0.0023409    3 fail           : 蹴躓く, 躓く, 蹴つまずく
0.0023328    9 trip           : 蹴躓く, 躓く, 蹴つまずく, 復路, 舟路, 遠足, 帰り路, 足かけ, 足掛け
0.0023199    1 hallex         : 母趾
0.0023078   14 horse          : 跳ね馬, 装蹄, 馬蹄, 跳馬, 跳び箱, 跳箱, 横足, 跑足, 早足, 速足, ...
0.0023035    1 rhododendron   : 山躑躅
0.0022870    1 surpassing     : 踰越
0.0022330    2 missing        : 失踪, 跳ぶ
0.0022312    1 scope          : 踰越
0.0022221    1 totter         : 蹌踉めく
0.0022210    1 crouching      : 蹲踞
0.0022026    8 site           : 城趾, 聖蹟, 史蹟, 城跡, 跡地, 聖跡, 史跡, 跡
0.0021562    1 growing        : 促迫
0.0021425   21 leap           : 飛躍, 躍りかかる, 躍り掛かる, 躍り掛る, 躍り上がる, 躍らす, 跳躍, 跳び越える, 躍る, 躍り出る, ...
0.0021416    2 little         : 小鷺, 過不足
0.0021184    4 squat          : 蹲う, 踞む, 蹲る, 踞る
0.0021100    1 misconduct     : 蹌踉めく
0.0021079   18 way            : 長跪, 跳びのく, 路次, 路, 足はこび, 足運び, 踏み破る, 踏み迷う, 帰り路, 帰路, ...
0.0021046    4 crossing       : 踰越, 踏切り, 踏み切り, 踏切
0.0020587    2 lotus          : 半跏, 結跏
0.0020421   14 underfoot      : 躙る, 踏み躙る, 足触り, 踏み殺す, 踏み倒す, 踏倒す, 踏みしだく, 踏みにじる, 踏みつぶす, 踏み潰す, ...
0.0020396   14 running        : 失踪, 跳び, 横っ跳び, 横跳び, 踏み板, 踏板, 逃げ足, 快足, 用足し, かけ足, ...
0.0019278    9 track          : 輪距, 飛跡, 軌跡, 踏み外す, 線路, 走路, 正路, 足どり, 足取り
0.0018841    2 observing      : 蹈襲, 踏襲
0.0018811    8 position       : 半跏, 結跏, 躄る, うさぎ跳び, 兎跳び, 手踊り, 鳶足, 要路
0.0018679    2 posture        : 半跏, 結跏
0.0018635   42 step           : 践む, 踏み割る, 餅踏み, 踏みかえる, 踏み替える, 跨ぐ, 踏み面, 踏みだす, 踏み出す, 踏出す, ...
0.0018492    2 fetlock        : 距, 蹴爪
0.0018492    2 cockspur       : 距, 蹴爪
0.0018492    2 calcar         : 距, 蹴爪
0.0018354   10 great          : 母趾, 大鷺, 活躍, 躍進, 飛躍, 遠路, 長足, 駿足, 逸足, 俊足
0.0018234    6 family         : 躄魚, 名蹟, 跳鼠, 跡目, 門跡, 名跡
0.0018013    2 meditation     : 半跏, 結跏
0.0017850    1 frowning       : 顰蹙
0.0017846    1 inclination    : 蹌踉めく
0.0017841    1 lame           : 片跛
0.0017745    1 limit          : 踰越
0.0017530    2 wheel          : 輪距, 踏み面
0.0017499    8 penmanship     : 書蹟, 墨蹟, 手蹟, 筆蹟, 書跡, 墨跡, 手跡, 筆跡
0.0017443    2 giant          : 山蕗, 蕗
0.0017067    3 capital        : 都大路, 露都, 大路
0.0016890    1 cloven         : 双蹄
0.0016806    1 claudication   : 跛行
0.0016368    2 sticking       : 蹈襲, 踏襲
0.0016343    2 Petasites      : 蕗の薹, 蕗
0.0016324    1 affair         : 蹌踉めく
0.0016264    2 enter          : 躙り口, 躙口
0.0016232    1 cutting        : 削蹄
0.0016217    2 basin          : 蹲い, 蹲
0.0016217    1 scrunch        : 蹙める
0.0016212    2 grovel         : 這い蹲う, 這い蹲る
0.0015877    1 formal         : 蹲踞
0.0015849    2 pheasant       : 距, 蹴爪
0.0015818    4 policy         : 蹈襲, 踏襲, 対露, 路線
0.0015814    3 species        : 山躑躅, 鷺苔, 松露
0.0015726    1 disapproval    : 顰蹙
0.0015691    1 troupe         : 総踊り
0.0015619    7 small          : 躙り口, 躙口, 鷺苔, 促音, 踏み台, 踏台, 小路
0.0015540    3 river          : 踰越, 瀬踏み, 川路
0.0015381    2 found          : 蹲い, 蹲
0.0015215    1 pucker         : 蹙める
0.0015171    3 following      : 蹈襲, 追跡, 踏襲
0.0015162    4 main           : 都大路, 要路, 大路, 広小路
0.0015148    2 wash           : 蹲い, 蹲
0.0015003    3 heel           : 踵骨, 踵, 足刀
0.0014930    2 entrance       : 躙り口, 躙口
0.0014767    3 feel           : 蹌踉めく, 足触り, 探り足
0.0014729    1 imbalance      : 跛行
0.0014729    1 limp           : 跛行
0.0014680    1 wavering       : 躑躅
0.0014674    1 calcaneus      : 踵骨
0.0014674    1 calcaneum      : 踵骨
0.0014490    2 misstep        : 躓き, 踏み違える
0.0014446    2 spur           : 距, 蹴爪
0.0014415    6 practice       : 実践, 履践, 足ならし, 足慣らし, 足馴らし, 足固め
0.0014278    2 rampancy       : 跋扈, 跳梁
0.0014227    1 match          : 蹲踞
0.0014213    1 furrow         : 蹙める
0.0014209   10 stone          : 蹲い, 蹲, 石蹴り, 踏み台, 踏台, 踏み石, 踏石, 足がかり, 足掛かり, 足掛り
0.0014182    1 scorn          : 顰蹙
0.0014055   11 someone        : 捉まえる, 踏み跡, 蹴り出す, 踊らす, 跳び越える, 足蹴, 跳ねる, 踏み込む, 足止め, 足留め, ...
0.0014039    2 mountain       : 踰越, 山路
0.0014030    2 shuffle        : 躙る, 躄る
0.0014007    2 domination     : 跋扈, 跳梁
0.0013890    1 brow           : 蹙める
0.0013863    1 prevalence     : 跋扈
0.0013747    2 big            : 母趾, 大足
0.0013725    2 beginning      : 蹲踞, 出足
0.0013670    2 implementation : 履践, 実践
0.0013644    1 entire         : 総踊り
0.0013622    2 showing        : 顰蹙, 披露
0.0013567    6 go             : 這い蹲う, 践む, 這い蹲る, 烏鷺, 踏み迷う, 踏む
0.0013518    3 ceremony       : 躙り口, 躙口, 露払い
0.0013486    1 mass           : 総踊り
0.0013422    1 odd            : 片跛
0.0013411    4 progress       : 跛行, 躍進, 飛躍, 長足
0.0012986    3 unsteady       : 跛行, 浮き足, 浮足
0.0012979    4 former         : 蹈襲, 跡地, 踏襲, 淡路
0.0012862    3 tea            : 躙り口, 躙口, 玉露
0.0012861    2 bone           : 踵骨, 踝
0.0012856    2 room           : 躙り口, 躙口
0.0012854    2 love           : 蹌踉めく, 恋路
0.0012852    1 proceeding     : 跛行
0.0012750    1 wrinkle        : 蹙める
0.0012743    1 padmasana      : 結跏
0.0012708    3 chicken        : 距, 蹴爪, 鶏足
0.0012654    2 thoroughfare   : 都大路, 大路
0.0012403   11 hold           : 捉まえる, 捉える, 捉まる, 踏みこたえる, 踏み堪える, 踏みとどまる, 踏み止まる, 踏み留まる, 踏んばる, 踏ん張る, ...
0.0012013    2 coiled         : 盤踞, 蟠踞
0.0011956    1 yoga           : 結跏
0.0011937   11 street         : 都大路, 捉まえる, 路上, 露店, 袋小路, 広小路, 路駐, 路, 岐路, 街路, ...
0.0011617    1 sidle          : 躙り寄る
0.0011604    3 avenue         : 都大路, 通路, 街路
0.0011575    1 diametrical    : 対蹠
0.0011575    1 antipodal      : 対蹠
0.0011538    2 wandering      : 跋渉, 足任せ
0.0011340    2 fish           : 躄魚, 跳び
0.0011314    1 looking        : 顰蹙
0.0011206    1 screw          : 蹙める
0.0011112    3 throne         : 践む, 践祚, 踏む
0.0011089    6 spot           : 名蹟, 古蹟, 旧蹟, 名跡, 古跡, 旧跡
0.0010805    3 name           : 名蹟, 名跡, 名披露目
0.0010800    3 dominant       : 盤踞, 蟠踞, 利き足
0.0010708    3 wild           : 山蕗, 躁狂, 狂躁
0.0010482    2 settling       : 盤踞, 蟠踞
0.0010476    8 flying         : 跳び蹴り, 飛び蹴り, 蹴り飛ばす, 跳び, 横っ跳び, 横跳び, 跳ね飛ばす, 跳ぶ
