Summary: {Weight} {token}: {words[0:10]}
0.0020746    6 person         : 轍鮒, 下輩, 弱輩, 若輩, 軌跡, 突き転ばす
0.0020481    1 dog            : 軍犬
0.0020420   28 army           : 軍将, 一軍, 総軍, 友軍, 旧軍, 北軍, 建軍, 幕軍, 全軍, 西軍, ...
0.0020328    3 creak          : 軋る, 軋む, 軋み
0.0020261    1 hush           : 金轡
0.0019871    2 causing        : 轢き逃げ, 轢逃げ
0.0019482    9 carriage       : 鳳輦, 小車, 砲車, 牛車, 馬車, 車寄, 車寄せ, うば車, 乳母車
0.0019443    1 radiation      : 輻射
0.0019157    1 supervision    : 統轄
0.0019140    8 scroll         : 軸装, 巻軸, 軸物, 軸木, 横軸, 軸, 掛け軸, 掛軸
0.0019077    5 knock          : 転す, 轢く, 転ばす, 転かす, 突き転ばす
0.0018911    7 portable       : 輿, 御輿, 神輿, 羽車, 軽便, 地車, 山車
0.0018702    1 separate       : 分轄
0.0018484    1 recommendation : 推輓
0.0018152    1 furrow         : 轍
0.0018059    5 board          : 轍鮒, 軒並, 軒並み, 載せる, 載っける
0.0018015    2 grinding       : 歯軋り, 軋り
0.0017676    4 injury         : 轢き逃げ, 轢逃げ, 重軽傷, 軽傷
0.0017645    4 rear           : 尻輪, 後輪, 殿軍, 後車
0.0017163    1 shunting       : 転轍
0.0016232   13 soft           : 軟条, 軟らかい, 軟らか, 軟便, 軟鉄, 軟調, 軟水, 軟球, 軟投, 軟式, ...
0.0016138    1 imminent       : 轍鮒
0.0015980    1 blip           : 輝点
0.0015607    1 chopping       : 轍鮒
0.0015462    7 course         : 常軌, 軌道, 転針, 転舵, 転科, 反転, 転進
0.0015397    3 general        : 総轄, 軍門, 将軍
0.0015347    2 personal       : 轢き逃げ, 轢逃げ
0.0015006    3 run            : 轢死, 轢く, 載せる
0.0014852    2 Buddha         : 輦台, 法輪
0.0014836    1 auspicious     : 六輝
0.0014734    2 eye            : 見較べる, 眼軸
0.0014664    1 switching      : 転轍
0.0014621    4 part           : 分載, 載せる, 転句, 従軍
0.0014613    2 squeak         : 軋る, 軋み
0.0014613    2 squeaking      : 軋り, 軋み
0.0014548    8 axle           : 輪軸, 同軸, 車軸, 軸受, 軸受け, 枢軸, 軸, 機軸
0.0014543    1 six            : 六輝
0.0014445    1 danger         : 轍鮒
0.0014373    2 thing          : 轍鮒, 軌跡
0.0014364    1 range          : 較差
0.0014353   10 something      : 較べもの, 較べ物, 載っける, 載せる, 輪っぱ, 転, 不見転, 横車, 転用, 転がし
0.0014122    6 position       : 推輓, 転針, 転落, 転進, 転身, 退転
0.0014011    6 shrine         : 輿, 御輿, 神輿, 羽車, 地車, 山車
0.0014005    1 radar          : 輝点
0.0013569    2 species        : 轡虫, 風車
0.0013295    1 imperial       : 鳳輦
0.0013287    4 magazine       : 分載, 併載, 訳載, 満載
0.0013241    1 calibration    : 較正
0.0012981    2 streets        : 御輿, 神輿
0.0012740    2 calendar       : 六輝, 大将軍
0.0012703    5 two            : 轢断, 軌, 両輪, 双輪, 車間
0.0012699    1 luminous       : 輝点
0.0012307    2 rachis         : 羽軸, 花軸
0.0012288    2 grate          : 軋る, 軋む
0.0012238    1 money          : 金轡
0.0012221    1 engage         : 軋み合う
0.0012038    3 carried        : 御輿, 神輿, 輪宝
0.0012034    1 proofreading   : 較正
0.0011998    1 ornithological : 羽軸
0.0011956    4 someone        : 推輓, 載せる, 載っける, 肩車
0.0011933    4 assistance     : 輔翼, 輔弼, 輔助, 輔佐
0.0011891    1 mutual         : 軋み合う
0.0011818    1 vie            : 較べる
0.0011712    1 dot            : 輝点
0.0011672    4 aid            : 輔翼, 輔助, 輔佐, 輔ける
0.0011606    2 public         : 輿論, 輪行
0.0011157    2 waist          : 御輿, 神輿
0.0011090    2 left           : 前轍, 車偏
0.0011088    1 defect         : 輝点
0.0011056    4 rickshaw       : 人車, 車夫, 車屋, 車引き
0.0010957    3 export         : 直輸, 輸出入, 輸出
0.0010871    1 compete        : 較べる
0.0010843    5 house          : 軒並, 軒並み, 軒灯, 軒先, 軟禁
0.0010800    2 day            : 六輝, 終車
0.0010679    5 transportation : 輪行, 輸配送, 輸送, 運輸, 舶載
0.0010655    1 stuck          : 輝点
0.0010595    2 surrounding    : 軟膜, 軒
0.0010509    1 jinrikisha     : 人車
0.0010469    1 elision        : 転音
0.0010401    3 colleague      : 同輩, 傍輩, 朋輩
0.0010400    1 mouth          : 猿轡
0.0010232   10 Japanese       : 六輝, 旧軍, 相輪, 赤軍, 水軍, 皇軍, 車えび, 車エビ, 車海老, 車蝦
0.0010171    5 people         : 軋り, 鼠輩, 輩出, 後輩, 茅の輪
0.0010169    3 import         : 直輸, 輸入, 輸出入
0.0010143    1 lawlessness    : 不軌
0.0010140    1 killing        : 轢殺
0.0010082    3 load           : 載荷, 満載, 載せる
0.0010044    1 pubescence     : 軟毛
0.0010014    1 pia            : 軟膜
0.0009899    2 Shinto         : 御輿, 神輿
0.0009867    2 proper         : 常軌, 軌道
0.0009822    1 euphonic       : 転音
0.0009707    2 fish           : 轍鮒, 竹輪
0.0009599    1 contest        : 較べ
0.0009590    3 lower          : 御輿, 神輿, 退転
0.0009581    2 blanching      : 軟白, 軟化
0.0009463    2 back           : 御輿, 神輿
0.0009463    4 make           : 較べる, 轟かす, 車名, 軽んじる
0.0009424    1 mounting       : 軸装
0.0009271    1 spot           : 輝点
0.0009254    1 rasp           : 軋る
0.0009073    2 narrow         : 狭軌, 軒
0.0008954    4 period         : 軒猿, 少輔, 埴輪, 転び
0.0008898    1 rasping        : 軋り
0.0008898    1 grating        : 軋り
0.0008849    1 fuzz           : 軟毛
0.0008647    3 system         : 少輔, 大輔, 軍制
0.0008577    1 mater          : 軟膜
0.0008575   20 change         : 転音, 転職, 転針, 転舵, 転地, 流転, 変転, 転変, 転任, 転調, ...
0.0008550    2 cutting        : 轢断, 輪切り
0.0008493    1 numeral        : 輩行
0.0008480    2 assistant      : 少輔, 輔佐
0.0008326    3 earth          : 輿地, 地軸, 金輪際
0.0008287    2 pronunciation  : 転音, 転呼
0.0008266    1 inferior       : 下輩
0.0008139    1 violation      : 不軌
0.0008093    1 bier           : 輿
0.0007958    1 spinal         : 軟膜
0.0007896    1 peach          : 軟毛
0.0007663    2 underling      : 末輩, 軽輩
0.0007622    2 prank          : 転合, 転業
0.0007583    1 consensus      : 輿論
0.0007524    2 death          : 轢死, 輪廻
0.0007434    1 brain          : 軟膜
0.0007412    1 customs        : 不軌
0.0007397    4 road           : 軍路, 脱輪, 車道, 車線
0.0007396    5 help           : 輔助, 輔佐, 輔ける, 載っける, 載せる
0.0007124    6 shaft          : 軸線, 軸受, 軸受け, 縦軸, 軸, 主軸
0.0007041    4 main           : 付載, 附載, 主軸, 輝夜姫
0.0007019    3 student        : 傍輩, 朋輩, 後輩
0.0007002    1 according      : 輩行
0.0006966    1 grind          : 軋る
0.0006898    5 truck          : 軽トラ, はしご車, 梯子車, 台車, 軽
0.0006768    4 shine          : 照り輝く, 光り輝く, 光輝く, 輝く
0.0006748    1 lining         : 輩行
0.0006740    3 commander      : 軍将, 軍長, 軍扇
0.0006682    2 bearing        : 軸受, 軸受け
0.0006611    1 clan           : 軒猿
0.0006570    2 aged           : 老輩, 年輩
0.0006539    4 door           : 軒灯, 軒並, 軒並み, 戸車
0.0006530    1 confidence     : 輿望
0.0006521    1 normal         : 常軌
0.0006481    1 esteem         : 輿望
0.0006466    1 involuntary    : 歯軋り
0.0006431    1 suffix         : 号車
0.0006405    1 cord           : 軟膜
0.0006402    4 work           : 付載, 附載, 先輩, 後輩
0.0006348    2 novice         : 弱輩, 若輩
0.0006244    4 glitter        : 光り輝く, 光輝く, 輝く, 輝き
0.0006229    2 popular        : 輿論, 一軍
0.0006229    2 transfusion    : 輸液, 輸血
0.0006217    1 vexation       : 歯軋り
0.0006158    2 serving        : 軒猿, 従軍
0.0006156    2 appendix       : 付載, 附載
0.0006149    3 brightness     : 光輝, 輝度, 輝き
0.0006125    1 broad          : 広軌
0.0006114    3 joke           : 転合, 転業, 軽い
0.0006082    1 sentiment      : 輿論
0.0006068    2 uproarious     : 轟々, 轟轟
0.0006068    2 clamorous      : 轟々, 轟轟
0.0006024    2 apprentice     : 傍輩, 朋輩
0.0005983    1 nocturnal      : 歯軋り
0.0005982    1 regular        : 常軌
0.0005962    1 geometrical    : 眼軸
0.0005914    4 article        : 併載, 載せる, 登載, 掲載
0.0005872    1 birth          : 輩行
0.0005867   15 ring           : 足輪, 外輪, 輪, 年輪, 輪投げ, 浮き輪, 浮輪, 鼻輪, 鉄輪, 銀輪, ...
0.0005856    1 locus          : 軌跡
0.0005847    1 action         : 常軌
0.0005816   10 parking        : 出車, 入車, 満車, 駐停車, 輪留め, 車止, 車止め, 空車, 駐輪, 駐車
0.0005794    2 associate      : 傍輩, 朋輩
0.0005713    2 inexperienced  : 弱輩, 若輩
0.0005670    1 popularity     : 輿望
0.0005651    2 criterion      : 軌範, 基軸
0.0005619    4 bicycle        : 輪行, 銀輪, 駐輪, 愛車
0.0005614    2 boisterous     : 轟々, 轟轟
0.0005503    1 orbit          : 軌道
0.0005503    1 trajectory     : 軌道
0.0005503    1 early          : 少輔
0.0005464    2 voice          : 輿論, 軟らか
0.0005353    3 distance       : 軌, 車間, 汽車
0.0005352    3 roller         : 軸木, 巻軸, 戸車
0.0005324    1 tooth          : 歯軋り
0.0005261    2 protest        : 轟々, 轟轟
0.0005255    1 reputation     : 輿望
0.0005235    2 noisy          : 轟々, 轟轟
0.0005210    1 hair           : 軟毛
0.0005176    2 order          : 輩行, 輪伐
0.0005085    2 friend         : 傍輩, 朋輩
0.0005072    1 bridal         : 輿入れ
0.0005012    2 addition       : 付載, 附載
0.0004892    1 opinion        : 輿論
0.0004850    1 anger          : 歯軋り
0.0004850    2 loud           : 轟々, 轟轟
0.0004834   10 battle         : 負け軍, 勝ち軍, 夜軍, 船軍, 敗軍, 軍兵, 軍神, 軍旗, 大軍, 軍
0.0004807    2 edge           : 軒端, 軒先
0.0004779    5 block          : 軸受, 軸受け, 滑車, 車止, 車止め
0.0004772    1 contribute     : 輔ける
0.0004764    3 standard       : 軌範, 基軸, 軍旗
0.0004757    3 way            : 常軌, 転がり込む, 反転
0.0004754    1 related        : 併載
0.0004743    2 fierce         : 轟々, 轟轟
0.0004735    1 jar            : 軋む
0.0004727    1 aisle          : 軒
0.0004692   14 roll           : 後転, 転がり落ちる, 前転, 転げまわる, 転げ回る, 軍籍, 転げる, 転がる, 転げ込む, 転がり込む, ...
0.0004654    1 tire           : 軌跡
0.0004566    3 flexible       : 軟らかい, 軟らか, 柔軟
0.0004558    3 number         : 軒数, 増車, 減車
0.0004527    2 core           : 軒, 基軸
0.0004526    1 norm           : 軌範
0.0004525    3 softness       : 軟性, 軟質, 硬軟
0.0004482    2 criticism      : 轟々, 轟轟
0.0004480    4 model          : 軌範, 車名, 実車, 車種
0.0004461    1 deputy         : 大輔
0.0004418    1 procession     : 輿入れ
0.0004416    4 pivot          : 軸足, 枢軸, 中軸, 主軸
0.0004409    1 minister       : 大輔
0.0004373    2 young          : 弱輩, 若輩
0.0004358    5 body           : 付載, 附載, 車台, 公転, 車体
0.0004357    1 wedding        : 輿入れ
0.0004302    2 senior         : 年輩, 先輩
