Summary: {Weight} {token}: {words[0:10]}
0.0044567   11 firefly        : 蛍族, 螢火, 螢, 姫蛍, 海蛍, 蛍狩, 蛍狩り, 蛍火, 蛍烏賊, 蛍雪, ...
0.0044443    1 ladle          : 蝌蚪
0.0044130    7 maple          : 唐楓, 楓林, 楓葉, いろは楓, 伊呂波楓, 楓, 蛙手
0.0043737    2 threadworm     : 蟯虫, ぎょう虫
0.0043737    2 pinworm        : 蟯虫, ぎょう虫
0.0043463    7 wind           : 山颪, 颪, 颯颯, 飄々, 飄飄, 風蝕, 青嵐
0.0043391    5 blowing        : 山颪, 颪, 飄々, 飄飄, 青嵐
0.0041812    6 dragonfly      : 蜉蝣, 黄蜻蛉, 昔蜻蛉, 赤蜻蛉, 蜻蜓, 蜻蛉
0.0040863    7 cocoon         : 黄繭, 蚕繭, 収繭, 屑繭, 玉繭, 繭価, 繭
0.0040722    1 bushy          : 蚰蜒眉
0.0039119    7 locust         : 蟬, 蝗害, 負んぶ飛蝗, 飛蝗, 蝗虫, 蝗, 蝉
0.0038176    4 scorpion       : 蛇蝎, 擬蠍, 蛇蠍, 蠍
0.0037673    1 musical        : 蝌蚪
0.0037575    8 Asian          : 鄙蝙蝠, 袋蜘蛛, 川蛇, 磯蟹, 南蛮, 土蜘蛛, 地蜘蛛, 雀蜂
0.0036973   20 person         : 狆くしゃ, 瘋癲, 蚰蜒, 虫螻, 蚊蜻蛉, 蝿, 蟲, 茹で蛸, 茹蛸, 蚊トンボ, ...
0.0036862   11 shrimp         : 蛯, 兜蝦, 蝦蛄, 海蛍, 小蝦, 芝蝦, 桜蝦, 車蝦, 糠蝦, 醤蝦, ...
0.0036662    9 bee            : 螫す, 虻蜂, 蜜蜂, 花蜂, 雄蜂, 働き蜂, 蜂, 熊ん蜂, 熊蜂
0.0036662   10 louse          : 蚰蜒, 人虱, 木虱, 羽虱, 毛虱, 虱, 蟻巻, 草鞋虫, 羽虫, 油虫
0.0035259    1 note           : 蝌蚪
0.0034688    3 grasshopper    : 蟋蟀, 蝗, 蝗虫
0.0034400    1 abalone        : 蚫
0.0034380    5 serpentine     : 蜿蜒, 蜿々, 蜿蜿, 蜒々, 蛇体
0.0034285    2 Simuliidae     : 蚋, 蟆子
0.0034285    2 gnat           : 蚋, 蟆子
0.0033934    2 leech          : 山蛭, 蛭
0.0033647   21 crab           : 蟹殻, 渡り蟹, 砂蟹, 蝦蛄, 花蜘蛛, 油蟹, 磯蟹, 蟹しゃぶ, 岩蟹, ずわい蟹, ...
0.0033550    3 hornworm       : 螟蛉, いも虫, 芋虫
0.0032758    4 sinuous        : 蜿蜒, 蜿々, 蜿蜿, 蜒々
0.0032334    2 lizard         : 蜥蜴, 金蛇
0.0031701   16 moth           : 雀蛾, 夜蛾, 螟蛾, 白灯蛾, 蚕蛾, 尺蛾, 桑蚕, 野蚕, 毒蛾, 灯蛾, ...
0.0031596    2 face           : 狆くしゃ, 中る
0.0031250   13 ant            : 蟻んこ, 蟻蜂, 山蟻, 火蟻, 蟻ん子, 赤蟻, 侍蟻, 羽蟻, 黒蟻, 働き蟻, ...
0.0030451    5 maggot         : 蛆虫, 蛆, うじ虫, ウジ虫, 幼虫
0.0030328    2 slug           : 蛞蝓, 虫拳
0.0030183    1 tornado        : 颶風
0.0029656    1 pupation       : 蛹化
0.0029564    1 chrysalis      : 蛹
0.0028958    3 sting          : 螫す, 虫さされ, 虫刺され
0.0028571    1 Arisaema       : 蝮草
0.0028359   11 order          : 川螻蛄, 擬蠍, 飛螻蛄, 蝦蛄, 蜘蛛海星, 町触, 町触れ, 陣触れ, 羽虱, 跳び虫, ...
0.0028241    2 viper          : 蝮, 鎖蛇
0.0028155    4 winding        : 蜿蜒, 蜿々, 蜿蜿, 蜒々
0.0028038    5 rainbow        : 主虹, 虹霓, 虹鱒, 白虹, 虹
0.0027737    1 pupa           : 蛹
0.0027567    3 crayfish       : 蛯, 蝦蟹, 蝦
0.0027342    3 basket         : 蜆貝, 蜆汁, 蜆
0.0027087    1 heavy          : 蟒蛇
0.0027067    6 egg            : 皮蛋, 鶏蛋, 蛋白, 蟹玉, 蚕卵, 虫卵
0.0026754    1 adopted        : 螟蛉
0.0026696    2 ear            : 蚫, 中耳
0.0026385    1 diver          : 蜑
0.0026279    4 ascend         : 冲する, 蛟竜, 蛟龍, 沖する
0.0026255    1 Tettigoniidae  : 蟋蟀
0.0026063    5 prawn          : 蛯, 車蝦, 芝蝦, 小蝦, 蝦
0.0025993    4 beeswax        : 蜂蝋, 蜜蝋, 黄蝋, 蜜蠟
0.0025799    1 lacewing       : 草蜉蝣
0.0025799    1 intima         : 草蜉蝣
0.0025799    1 Chrysopa       : 草蜉蝣
0.0024844    5 serpent        : 蛇蝎, 蛇蠍, 毒蛇, 大蛇, 蛇
0.0024748    5 singing        : 夕蟬, 蝉声, 夕蝉, 蝉しぐれ, 蝉時雨
0.0024663    3 lobster        : 蛯, 小蝦, 蝦
0.0024646    3 Ascaris        : 蛔虫, 回虫, 腹の虫
0.0024592    2 detestation    : 蛇蝎, 蛇蠍
0.0024437    4 heavens        : 冲天, 蛟竜, 蛟龍, 沖天
0.0024387    4 green          : 草蜉蝣, 翠嵐, 青蛙, 蝶鮫
0.0024152   13 silkworm       : 蚕繭, 蚕棚, 養蚕, 蚕蛾, 天蚕糸, 春蚕, 蚕児, 蚕卵, 蚕糞, 毛蚕, ...
0.0024071    1 ephemerality   : 蜉蝣
0.0024009    7 skin           : 蚯蚓脹れ, 蛻, 茹で蛸, 茹蛸, 蛇皮, 気触れる, 気触れ
0.0023891    3 false          : 蜚語, 擬蠍, 蛇苺
0.0023704    5 roundworm      : 蛔虫, 蟲, 回虫, 腹の虫, 虫
0.0023501    1 baseless       : 蜚語
0.0023368    1 fisherman      : 蜑
0.0023147    6 mountain       : 山颪, 嵐気, 晴嵐, 山嵐, 青嵐, 中腹
0.0022658    1 littleneck     : 浅蜊
0.0022658    1 Manila         : 浅蜊
0.0021834    7 common         : 鄙蝙蝠, 文蛤, 蛤, 真蛸, 川蝉, 有り触れる, 有触れる
0.0021796    4 barbarous      : 蛮的, 蛮風, 蛮習, 野蛮
0.0021714    3 intestinal     : 蛔虫, 回虫, 腹の虫
0.0021668    5 black          : 蚋, 蟆子, 糖蜜, 黒蟻, 烏蛇
0.0021168    7 savage         : 蛮的, 蛮民, 蛮勇, 蛮地, 野蛮, 蛮族, 蛮人
0.0020871    2 peach          : 蟠桃, 水蜜
0.0020803    1 vagabond       : 瘋癲
0.0020781    1 earthworm      : 蚯蚓
0.0020408    1 spaniel        : 狆
0.0020300   11 frog           : 土蛙, 蟇股, 井蛙, 爪蛙, 雨蛙, 赤蛙, 蛙, 河鹿蛙, 蛙股, 青蛙, ...
0.0020292    1 skunk          : 蚰蜒
0.0020245    1 Wind           : 王蟲
0.0019981    1 wale           : 蚯蚓脹れ
0.0019981    1 welt           : 蚯蚓脹れ
0.0019847    1 vesper         : 鄙蝙蝠
0.0019847    1 Vespertilionidae: 鄙蝙蝠
0.0019847    1 Vespertilio    : 鄙蝙蝠
0.0019780    8 going          : 蜿蜒, 蜿々, 蜿蜿, 蜒々, 渡独, 独往, 独行, 中折れ
0.0019702    1 seaweed        : 蜑
0.0019661    1 Clubionidae    : 袋蜘蛛
0.0019598    1 rustic         : 蛮的
0.0019489    1 soup           : 蜆汁
0.0019302    1 insanity       : 瘋癲
0.0019146    3 male           : 蜑, 雄螺子, 独男
0.0019136    5 child          : 螟蛉, 独りっ子, 独り子, かんの虫, 疳の虫
0.0019111    1 pit            : 蝮
0.0018972    1 weal           : 蚯蚓脹れ
0.0018907    1 insane         : 瘋癲
0.0018907    1 wanderer       : 瘋癲
0.0018829    2 fighting       : 闘蟋, 独り相撲
0.0018807    2 dusk           : 夕蟬, 夕蝉
