Summary: {Weight} {token}: {words[0:10]}
0.0026463    7 item           : 珍しもの, 珍し物, 珠, 珍物, 珍貨, 料理, 玉
0.0025993    3 tree           : 珍木, 玉ぐし, 玉串
0.0025352    1 flawless       : 完璧
0.0025003    3 hanging        : 瓔珞, くす玉, 薬玉
0.0024628    1 fixed          : 琉歌
0.0024342    1 personal       : 瓔珞
0.0022972    2 color          : 瑠璃, 琉璃
0.0022797    1 poetry         : 琉歌
0.0022155    1 pair           : 双璧
0.0022065    6 omen           : 祥瑞, 瑞兆, 瑞祥, 瑞象, 瑞気, 奇瑞
0.0021494    1 petty          : 瑣事
0.0020387    1 perfect        : 完璧
0.0020216    5 form           : 琉歌, 権現, 化現, 具現, 品玉
0.0019997    1 signet         : 印環
0.0018984    1 bright         : 双璧
0.0018018   10 emperor        : 璽, 神璽, 現つ神, 現御神, 帝王, 王師, 勤王, 大王, 尊王, 王
0.0017340    1 complete       : 完璧
0.0017140    1 boa            : 王蛇
0.0016410    4 cell           : 印環, 王台, 芽球, 血球
0.0016274    3 sacred         : 剣璽, 玉ぐし, 玉串
0.0016220   11 good           : 祥瑞, 瑞兆, 瑞祥, 瑞象, 瑞気, 奇瑞, 選球, 好球, 魔王, 善玉, ...
0.0015414    1 happy          : 琴瑟
0.0015202    1 vexatious      : 煩瑣
0.0015194    1 catfish        : 権瑞
0.0015169    1 ruling         : 両班
0.0014586    2 plaything      : 玩弄, 玩具
0.0014552    1 quartzite      : 珪岩
0.0014297    1 preliminary    : 両班
0.0014286    1 associated     : 浄瑠璃
0.0014235    2 marriage       : 琴瑟, 義理
0.0014070    2 sword          : 剣璽, 玉羊歯
0.0014035   21 king           : 前王, 王偏, 先王, 教王, 神王, 倭王, 父王, 覇王, 王公, 王侯, ...
0.0013968    1 dramatic       : 浄瑠璃
0.0013934    1 insignificant  : 瑣細
0.0013912    8 strange        : 珍木, 珍説, 珍問, 珍事, 珍奇, もの珍しい, 物珍しい, 珍
0.0013698    1 phoenix        : 瑞鳥
0.0013461    3 harp           : 口琴, たて琴, 竪琴
0.0013346   11 pitch          : 熱球, 好球, くせ球, 曲球, 荒れ球, 選球, 球種, 直球, 初球, 死球, ...
0.0013159    1 introduction   : 両班
0.0013030    1 included       : 食玩
0.0012935   17 royal          : 王台, 王孫, 王統, 王府, 王弟, 王都, 王法, 王土, 王城, 王事, ...
0.0012871    1 puppet         : 浄瑠璃
0.0012787    1 complicated    : 煩瑣
0.0012787    1 troublesome    : 煩瑣
0.0012518    1 Zen            : 両班
0.0012499    1 slight         : 瑣細
0.0012251    1 crane          : 瑞鳥
0.0012192    2 dynasty        : 両班, 王朝
0.0012091    1 recitation     : 浄瑠璃
0.0012067    1 different      : 琴瑟
0.0011916    3 palace         : 玉殿, 王宮, 玉垂れ
0.0011895    1 eel            : 権瑞
0.0011809    1 theater        : 浄瑠璃
0.0011687    1 striped        : 権瑞
0.0011674    1 class          : 両班
0.0011557    4 loop           : 遊環, 外環, 循環, 環状
0.0011453    1 symbol         : 霊璽
0.0011251    5 string         : 胡琴, 琴線, 念珠, 数珠, 苔玉
0.0010781    3 type           : 浄瑠璃, 球種, 球
0.0010760    3 instrument     : 胡琴, 提琴, 琴
0.0010591    7 koto           : 弾琴, 立琴, 琴爪, 琴柱, 琴線, 琴曲, 琴
0.0010523    3 sovereign      : 玉璽, 帝王, 国王
0.0010476    3 traditional    : 両班, 玉鋼, 王道
0.0010375    3 chain          : 琉球, 連環, 一環
0.0009969    2 Ryukyu         : 琉球, 王府
0.0009931   18 present        : 現時, 現在, 近現代, 現人, 現代, 現任, 現高, 現勢, 現数, 現今, ...
0.0009861    1 southwestern   : 琉球
0.0009841    4 group          : 班員, 班長, 班, 表現
0.0009590    2 dead           : 霊璽, 十王
0.0009586    1 tragi          : 耳珠
0.0009586    1 antilobium     : 耳珠
0.0009477    1 Oriental       : 胡琴
0.0009356    4 leader         : 班長, 首班, 総理, 目玉
0.0009352    1 transport      : 現着
0.0009255    2 arrival        : 現着, 出現
0.0009225    4 spirit         : 霊璽, 肝っ玉, 肝玉, 胆玉
0.0009170    3 sign           : 瑞兆, 瑞祥, 瑞象
0.0009059    3 location       : 現着, 現場, 現地
0.0009020    2 bow            : 胡琴, 提琴
0.0008994    1 cartilaginous  : 耳珠
0.0008994    1 tragus         : 耳珠
0.0008947    1 silicification : 珪化
0.0008919    2 enjoyment      : 賞玩, 玩味
0.0008881    4 food           : 食玩, 珍物, 料理, 調理
0.0008780    3 appreciation   : 賞玩, 玩味, 理解
0.0008710   13 logic          : 理致, 理屈, 理窟, 理路, 理詰, 理詰め, 節理, 純理, 情理, 論理, ...
0.0008656    2 straight       : 口琴, 棒球
0.0008612    1 crupper        : 雲珠
0.0008293    1 police         : 現着
0.0008046    1 hurt           : 瑕
0.0008012    2 vivacious      : 瑞々しい, 瑞瑞しい
0.0007958    5 world          : 現国, 現生, 現世, 現在, 球界
0.0007925    1 Wind           : 王蟲
0.0007909    7 used           : 現着, 珠, 現用, 蹴球, 玉, 玉ぐし, 玉串
0.0007773    3 fresh          : 瑞々しい, 瑞瑞しい, 瑞穂
0.0007698    6 prince         : 王太子, 王弟, 親王, 大王, 王子, 王
0.0007687    5 King           : 狂王, 英王, 竜王, 龍王, 明王
0.0007608    2 juicy          : 瑞々しい, 瑞瑞しい
0.0007608    2 vibrant        : 瑞々しい, 瑞瑞しい
0.0007566    5 fruit          : 瑞々しい, 瑞瑞しい, 珍果, 玉飾り, 小玉
0.0007379    1 medical        : 印環
0.0007160    2 frame          : 口琴, 現人
0.0007026    1 flap           : 耳珠
0.0006990    1 keeper         : 遊環
0.0006983    2 youthful       : 瑞々しい, 瑞瑞しい
0.0006974    1 allotment      : 班田
0.0006972    1 tongue         : 口琴
0.0006946    1 anime          : 王蟲
0.0006892   22 egg            : 温玉, 苧環, 珠, むき玉子, 煮玉子, かに玉, 蟹玉, 豚玉, 玉子焼き, 玉子, ...
0.0006891    2 decorated      : 玉殿, 玉門
0.0006808    6 god            : 現つ神, 現御神, 神王, 冥王, 化現, 天王
0.0006806    2 silica         : 珪石, 珪砂
0.0006689   14 reason         : 理致, 節理, 事理, 純理, 情理, 理由, 理性, 理屈, 理窟, 道理, ...
0.0006659    1 gigantic       : 王蟲
0.0006502    1 mouth          : 口琴
0.0006500    1 external       : 耳珠
0.0006399    1 strap          : 遊環
0.0006363    2 squad          : 班長, 班
0.0006124    1 fiddle         : 玩ぶ
0.0006115    1 member         : 班員
0.0006092    6 life           : 浮環, 現生, 現世, 十王, 現在, 生玉
0.0006038    2 long           : 口琴, 生玉
0.0005927    1 appreciate     : 玩ぶ
0.0005908    1 ear            : 耳珠
0.0005891    1 privy          : 御璽
0.0005819    1 elbow          : 環
0.0005808    3 front          : 耳珠, 前玉, 現在
0.0005616    5 queen          : 王台, 王后, 女王, 国王, 王妃
0.0005486    1 relishing      : 玩味
0.0005427    1 watch          : 遊環
0.0005369    1 opening        : 耳珠
0.0005264    4 crown          : 王太子, 王弟, 王冠, 王位
0.0005257    3 team           : 班長, 班, 球団
0.0005188    9 current        : 現価, 環流, 現勢, 現世, 現状, 現職, 現行, 現下, 現
0.0005178    2 sand           : 珪砂, 玉鋼
0.0005125    1 toying         : 玩弄
0.0005102    1 carillon       : 鉄琴
0.0005102    1 glockenspiel   : 鉄琴
0.0005102    1 metallophone   : 鉄琴
0.0005086    9 curious        : 珍案, 珍問, 珍聞, 珍奇, もの珍しい, 物珍しい, 珍しい, 珍らしい, 珍
0.0005048    1 fleck          : 班点
0.0004987    6 bulb           : 珠, 豆球, 嗅球, 球根, 電球, 玉
0.0004987    4 living         : 現つ神, 現御神, 現地, 現存
0.0004971   11 baseball       : 球趣, 球戯, 野球, 白球, 球拾い, 球団, 球場, 球児, 球技, 球界, ...
0.0004970    2 stringed       : 琴, 環
0.0004954    1 outer          : 外環
0.0004795    1 insect         : 王蟲
0.0004675    4 state          : 国璽, 現状, 現勢, 心理
0.0004666    1 hockey         : 氷球
