Summary: {Weight} {token}: {words[0:10]}
0.0023759    4 chant          : 誦する, 朗誦, 吟誦, 博士
0.0023623    1 grieving       : 哀痛
0.0023078    2 traps          : わな猟, 罠猟
0.0022432    1 crawl          : 匍う
0.0022393    1 platypus       : 鴨の嘴
0.0022061    3 night          : 糞桶, 踊り明かす, 夜通し
0.0021886    3 entire         : 総踊り, 通奏, 通し
0.0021821    2 Digitaria      : 地縛, 地縛り
0.0021696    1 value          : 簿価
0.0021459    8 dim            : 薄れゆく, 薄れ行く, 薄暗がり, 薄明かり, 望み薄, 薄れる, 薄闇, 薄暗い
0.0021283    1 rote           : 記誦
0.0021272    3 day            : 哺育, 日用, 通し券
0.0021140    1 mass           : 総踊り
0.0020816   16 go             : 匍う, 羽搏く, 蒲鉾, 通る, つらぬき通す, 貫き通す, 通う, 通りこす, 通り越す, 通りぬける, ...
0.0020655    1 paddy          : 田圃
0.0020624    1 civil          : 太傅
0.0020455    1 phonograph     : 蝋管
0.0020202   10 animal         : わな猟, 罠猟, 床敷, 敷きわら, 敷き藁, 敷わら, 敷藁, 生け捕り, 捕れる, 捕る
0.0019997    1 farm           : 田圃
0.0019940    2 gutter         : 雨樋, 樋
0.0019921    2 lettuce        : 地縛, 地縛り
0.0019907    1 spit           : 砂嘴
0.0019539    3 gushing        : 涌泉, 涌き, 涌出
0.0019385    3 sad            : 哀痛, 沈痛, 痛ましい
0.0019384   17 arrest         : 就縛, ふん縛る, 捕縛, 縛, 召し捕る, ひっ捕える, ひっ捕らえる, 引っ捕える, 引っ捕らえる, からめ捕る, ...
0.0019052    2 veil           : 薄絹, 薄衣
0.0018867    4 arise          : 涌き起こる, 涌き起る, 涌く, 涌き上がる
0.0018807    1 mourning       : 哀痛
0.0018380   30 thin           : 薄絹, 薄雲, 薄靄, 薄層, 薄衣, 薄っぺらい, 薄焼き, 薄手, 薄口, 薄切り, ...
0.0018209   22 light          : 薄絹, 薄暗がり, 薄明かり, 薄青, 薄雪, 薄紅, 薄靄, 薄衣, 薄味, 薄口, ...
0.0018152    4 public         : 公簿, 花屋敷, 公用, 用金
0.0018127    3 land           : 圃場, 屋敷神, 家屋敷
0.0018087    4 fade           : 薄れゆく, 薄れ行く, 薄れる, 薄らぐ
0.0018060    2 aloud          : 読誦, 誦する
0.0017967    2 sheer          : 薄絹, 薄衣
0.0017741    3 flower         : 花圃, 菖蒲, 花屋敷
0.0017650    1 three          : 太傅
0.0017494    1 unaccounted    : 簿外
0.0017142    1 talent         : 博才
0.0017014    8 tie            : 縛る, ふん縛る, 縛りつける, 縛り付ける, 縛りあげる, 縛り上げる, からめ捕る, 搦め捕る
0.0016973    1 cylinder       : 蝋管
0.0016816    2 second         : 太傅, 兼補
0.0016654    2 language       : 葡, 通用
0.0016211    1 top            : 太傅
0.0015997    2 record         : 公簿, 原簿
