Summary: {Weight} {token}: {words[0:10]}
0.0021844    4 folding        : 畳み皺, 畳紙, 折り畳み, 折畳み
0.0021624    2 eccentric      : 畸人, 異様
0.0021500    3 mulberry       : 桑畠, 桑畑, 桑田
0.0021367    9 mind           : 異志, 留心, 畳み込む, 界, 画境, 留意, 留める, 画く, 思い留まる
0.0021253    4 odd            : 畸人, 奇異, 異様, 寺男
0.0021060   17 land           : 畠, 焼き畑, 焼畑, 異境, 水界, 畑, 職田, 異郷, 仏界, 仙界, ...
0.0020902    1 crease         : 畳み皺
0.0020885    2 ribbed         : 畝織, 畝織り
0.0020885    2 repp           : 畝織, 畝織り
0.0020885    2 rep            : 畝織, 畝織り
0.0020885    2 corded         : 畝織, 畝織り
0.0020278   10 sexagenary     : 丙申, 甲申, 甲寅, 壬申, 甲辰, 甲戌, 甲午, 戊申, 庚申, 甲子
0.0020240    1 corduroy       : 畝
0.0020177    2 right          : 本當, 男結び
0.0020051   11 reason         : 働き甲斐, 原由, 縁由, 理由, 由縁, 由, 事由, 申し聞かせる, 申聞かせる, 生き甲斐, ...
0.0020045    7 animal         : 患畜, 畜種, 畜生, 畜力, 畜産, 仕留める, 為留める
0.0019575   12 realm          : 顕界, 畜生, 新界, 色界, 天界, 幽界, 欲界, 法界, 仏界, 冥界, ...
0.0019523   10 cycle          : 丙申, 甲申, 甲寅, 壬申, 甲辰, 甲戌, 甲午, 戊申, 庚申, 甲子
0.0018340    2 treacherous    : 異志, 異心
0.0018205    1 slay           : 打ち留める
0.0018154    5 short          : 畢竟, 略歴, 短甲, 結界, 茶番
0.0018114    7 dead           : 打ち留める, 顕界, 幽界, 冥界, 異物, 仕留める, 為留める
0.0018072   10 term           : 丙申, 甲申, 甲寅, 壬申, 甲辰, 甲戌, 甲午, 戊申, 庚申, 甲子
0.0017971    3 slaughter      : 畜殺, と畜, 屠畜
0.0017752    1 bank           : 畔
0.0017701    2 treachery      : 異志, 異心
0.0017673    6 performance    : 打ち留める, 田舎芝居, 田遊, 田遊び, 本番, 番外
0.0017117    9 countryside    : 田舍, 田野, ど田舎, ド田舎, 田園, 片田舎, 田舎もん, 田舎者, 田舎
0.0017081    1 goodwill       : 異志
0.0017067    1 hammer         : 打ち留める
0.0016593   15 person         : 畸人, 畜生, 田守, 異才, 異人, 燗番, 田舎もん, 田舎者, 田作り, 甲羅, ...
0.0016361    1 approach       : 橋畔
0.0016331    3 shoot          : 打ち留める, 仕留める, 為留める
0.0016248    1 rebellious     : 異志
0.0016245    1 wolfsbane      : 鳥甲
0.0016245    1 aconite        : 鳥甲
0.0016245    1 monkshood      : 鳥甲
0.0016245    1 Aconitum       : 鳥甲
0.0016092    4 exceptional    : 異志, 異数, 異な, 異例
0.0016023    1 clustered      : 畑占地
0.0015856    3 kill           : 打ち留める, 仕留める, 為留める
0.0015718    1 bridge         : 橋畔
0.0015683    5 species        : 鳥甲, 畜種, 沼田鰻, 甲烏賊, 異種
0.0015612    1 rib            : 畝
0.0015500    3 growing        : 畠, 雄町, 畑
0.0015464    4 sticks         : 田舍, ど田舎, ド田舎, 田舎
0.0015444   31 male           : 男方, 男神, 毒男, 独男, 男手, おおかみ男, 狼男, 男臭い, 男木, 男色, ...
0.0015039    1 gun            : 打ち留める
0.0014746   23 different      : 異字, 異派, 異版, 異星, 異姓, 異見, 異義, 異説, 異人, 異材, ...
0.0014696    2 side           : 畔, 横町
0.0014449    2 close          : 畢る, 畳む
0.0014205    3 planting       : 畝, 田植, 田植え
0.0013975    8 place          : 打ち留める, 仙界, 異所, 番手, 仮留め, 一番, １番, 留める
0.0013957    4 cultivated     : 畠, 畑, 田野, 田園
0.0013952    2 specialization : 畠, 畑
0.0013773    2 womb           : 畠, 畑
0.0013748    5 come           : 畢る, 由る, 留る, 留まる, 立ち留まる
0.0013707    1 finish         : 畢る
0.0013669   18 country        : 田舎暮らし, 田舎っぺ, 異所, 田舎侍, 田舎娘, 田舎町, 侵略, 異境, 異邦, 異朝, ...
0.0013626    3 breeding       : 畜養, 牧畜, 種畜
0.0013474    2 sea            : 畝, 海界
0.0013364    4 wheat          : 畠, 麦畑, 畑, 麦田
0.0013342    2 flooring       : 置き畳, 畳床
0.0013272    6 plot           : 畠, 畑, 謀略, 計略, 一画, 区画
0.0013188   10 farm           : 畑仕事, 切り畑, 切畑, 田荘, 田租, 田舎家, 田んぼ, 田圃, 田所, 作男
0.0013030    1 Arvicolinae    : 畑鼠
0.0013030    1 Microtus       : 畑鼠
0.0013030    1 vole           : 畑鼠
0.0012945    1 cord           : 畝
0.0012877    7 cause          : 来由, 原由, 縁由, 由, 事由, 因由, 突き留める
0.0012575    1 sword          : 打ち留める
0.0012496    1 hat            : 鳥甲
0.0012479    2 birthplace     : 畠, 畑
