Summary: {Weight} {token}: {words[0:10]}
0.0120767    2 thunder        : 雷霆, 雷声
0.0120482    2 deity          : 伊弉冉, 伊弉諾
0.0120482    1 category       : 範疇
0.0120482    1 cunning        : 奸黠
0.0110381    4 surging        : 彭湃, 澎湃, 波濤, 怒濤
0.0103193    5 japonica       : 目鯛, 鱚, 白鱚, 庭梅, 血鯛
0.0093319   23 sound          : 鼕々, 彭湃, 澎湃, 松濤, 雷声, 渓声, 声符, 初声, 絃声, 秋声, ...
0.0092686    2 gore           : 袵, 衽
0.0087907    2 gusset         : 袵, 衽
0.0087332   17 era            : 纐纈, 嘉慶, 正嘉, 嘉禎, 嘉禄, 嘉祥, 嘉承, 嘉応, 嘉元, 嘉保, ...
0.0082805    3 equal          : 匹儔, 拮抗, 頡頏
0.0074795    5 match          : 匹儔, 拮抗, 頡頏, 泥仕合, 仕合
0.0071830    1 whisk          : 簓
0.0070973    3 evening        : 茅蜩, 蜩, 晩禱
0.0069555   95 one            : 壻, 壱, 籌木, 挺する, 擡げる, 勿吉, 擡頭, 壼, 志半ば, 周天, ...
0.0068488    2 sort           : 恁麼, 恁麽
0.0068394    3 cicada         : 茅蜩, 蜩, 蝉声
0.0065057    2 virtue         : 懿徳, 士君子
0.0061792   29 used           : 纐纈, 籌木, 捨て仮名, 磬, 蟹殻, 庭土, 吉, 吉日, あわび結び, 鮑結び, ...
0.0060679    3 kimono         : 袵, 衽, 和装
0.0056736    1 groom          : 壻
0.0053616    1 Platycodon     : 桔梗
0.0051370    3 publication    : 某誌, 週刊, 続刊
0.0051253    8 happy          : 嬉笑, 嘉例, 嘉辰, 嬉し涙, 嬉しい, 喜ばす, 吉祥, 喜ばしい
0.0048956    2 welling        : 彭湃, 澎湃
0.0048864    2 Perilla        : 荏胡麻, 荏
0.0048844    6 water          : 鼕々, 彭湃, 澎湃, 水周り, 凍結, 水声
0.0048652    1 bamboo         : 簓
0.0048178    2 piecework      : 賃仕事, 手間仕事
0.0047601    1 Quercus        : 赤檮
0.0046467    2 husband        : 壻, 男任せ
0.0044879    6 certain        : 某誌, 切り捨てる, 切捨てる, 斬り捨てる, 強調, 仕向ける
0.0044849   17 court          : 廷内, 廷吏, 宮廷, 廷丁, 法廷, 閉廷, 退廷, 出廷, 桐壷, 休廷, ...
0.0044611    1 oak            : 赤檮
0.0044507    1 bellflower     : 桔梗
0.0044479    2 choke          : 噎せ返る, 噎せる
0.0044270    2 shelling       : 殻むき, 殻剥き
0.0044175    3 laughter       : 嬉笑, 笑声, 笑い声
0.0043641    1 resounding     : 鼕々
0.0043183    3 vigorous       : 彭湃, 澎湃, 壮ん
0.0042037    6 style          : 纐纈, 文調, 調子, 調, 語調, 格調
0.0041616   14 week           : 翌週, 各週, 前週, 先週, 週内, 週あけ, 週明け, 来週, 毎週, 次週, ...
0.0039967    1 viscous        : 粘稠
0.0039313   28 tone           : 画調, 声点, 声調, 平声, 頭声, 仄声, 上声, 調色, 色調, 強調, ...
0.0039169    1 longevity      : 壽
0.0039072    6 sexagenary     : 壬子, 壬寅, 壬戌, 壬辰, 壬申, 壬午
0.0038968    4 best           : 壽, 壱, 完調, 盛装
0.0038698    8 life           : 壽, 挺する, 田舎暮らし, 立志, 壮年, 捨て所, 捨て身, 捨身
0.0037383   33 garden         : 庭中, 庭植え, 平庭, 後庭, 庭土, 庭番, 苔庭, 庭火, 庭燎, 作庭, ...
0.0037351    9 cycle          : 壬子, 壬寅, 壬戌, 壬辰, 壬申, 壬午, 周天, 周波, 周期
0.0036837   13 long           : 壽, 挺, うち続く, 打ち続く, 打続く, ひき続く, 引き続く, 引続く, 立ち詰め, 立詰め, ...
0.0036197   11 term           : 壬子, 壬寅, 壬戌, 壬辰, 壬申, 壬午, 残任, 任期, 結願, 読み替える, ...
0.0035806    2 laughing       : 謦咳, 笑い声
0.0035288   24 Chinese        : 桔梗, 磬, 壬, 声点, 壮族, 周天, 庭桜, 進士, 庭梅, 仄声, ...
0.0034451    4 prayer         : 晩禱, 黙禱, 祈禱, 禱る
0.0034260   11 great          : 懿徳, 壮志, 雄志, 径庭, 逕庭, 随喜, 歓喜, 士人, 大喜び, 傑士, ...
0.0034008    9 boat           : 艇長, 艇首, 舟艇, 艇身, 短艇, 端艇, 艇, 船艇, 競艇
0.0033987    1 harlequin      : 虎鱚
0.0033517   19 small          : 籌木, 廬舎, 捨て仮名, 短艇, 端艇, 艇, 小庭, 壺湯, 寸志, 小誌, ...
0.0033355    3 blasphemy      : 汚涜, 涜神, 冒涜
0.0032454    2 Sillago        : 鱚, 白鱚
0.0032441    1 smothered      : 噎ぶ
0.0032247    1 outstanding    : 懿徳
