Summary: {Weight} {token}: {words[0:10]}
0.2376881   47 evening        : 夕礼, 夕霞, 夕冷え, 夕景, 夕勤, 夕ごはん, 夕ご飯, 夕御飯, 夕立, 夕立ち, ...
	dinner WORD[ 4,   3]: 0.0087633 夕御飯
	dinner WORD[ 4,   4]: 0.0039375 夕餉
	dinner WORD[ 4,   5]: 0.0027863 夕飯
	dinner WORD[ 4,   6]: 0.0027850 夕食
TOKEN[ 5]: 0.0302373    6 meal
	meal WORD[ 5,   1]: 0.0074020 夕ごはん
	meal WORD[ 5,   2]: 0.0074019 夕ご飯
	meal WORD[ 5,   3]: 0.0074019 夕御飯
	meal WORD[ 5,   4]: 0.0033258 夕餉
	meal WORD[ 5,   5]: 0.0023534 夕飯
	meal WORD[ 5,   6]: 0.0023524 夕食
TOKEN[ 6]: 0.0280643    1 Korean
	Korean WORD[ 6,   1]: 0.0140322 秋夕
TOKEN[ 7]: 0.0279838    7 twilight
	twilight WORD[ 7,   1]: 0.0065839 夕空
	twilight WORD[ 7,   2]: 0.0041793 夕やみ
	twilight WORD[ 7,   3]: 0.0041793 夕闇
	twilight WORD[ 7,   4]: 0.0041793 夕まぐれ
	twilight WORD[ 7,   5]: 0.0029540 夕ぐれ
	twilight WORD[ 7,   6]: 0.0029540 夕暮
	twilight WORD[ 7,   7]: 0.0029540 夕暮れ
TOKEN[ 8]: 0.0234500    1 assembly
	assembly WORD[ 8,   1]: 0.0234500 夕礼
TOKEN[ 9]: 0.0230661    4 sunset
	sunset WORD[ 9,   1]: 0.0064742 夕雲
	sunset WORD[ 9,   2]: 0.0061296 夕焼
	sunset WORD[ 9,   3]: 0.0061296 夕焼け
	sunset WORD[ 9,   4]: 0.0043328 夕映え
TOKEN[10]: 0.0221921    3 cool
	cool WORD[10,   1]: 0.0078508 夕冷え
	cool WORD[10,   2]: 0.0071706 夕涼み
	cool WORD[10,   3]: 0.0071706 夕涼
TOKEN[11]: 0.0217923    3 mist
	mist WORD[11,   1]: 0.0092078 夕霞
	mist WORD[11,   2]: 0.0063724 夕靄
	mist WORD[11,   3]: 0.0062121 夕霧
TOKEN[12]: 0.0202560    4 sun
	sun WORD[12,   1]: 0.0069478 夕影
	sun WORD[12,   2]: 0.0049169 夕日
	sun WORD[12,   3]: 0.0049169 夕陽
	sun WORD[12,   4]: 0.0034743 夕景
TOKEN[13]: 0.0201520    3 Star
	Star WORD[13,   1]: 0.0088251 七夕祭
	Star WORD[13,   2]: 0.0088250 七夕祭り
	Star WORD[13,   3]: 0.0025019 七夕
TOKEN[14]: 0.0191021    3 August
	August WORD[14,   1]: 0.0083653 七夕祭
	August WORD[14,   2]: 0.0083653 七夕祭り
	August WORD[14,   3]: 0.0023715 七夕
TOKEN[15]: 0.0190469    3 July
	July WORD[15,   1]: 0.0083412 七夕祭
	July WORD[15,   2]: 0.0083411 七夕祭り
	July WORD[15,   3]: 0.0023647 七夕
TOKEN[16]: 0.0175621    1 celebrated
	celebrated WORD[16,   1]: 0.0087811 秋夕
TOKEN[17]: 0.0166530    1 company
	company WORD[17,   1]: 0.0166530 夕礼
TOKEN[18]: 0.0160803    2 shower
	shower WORD[18,   1]: 0.0080402 夕立
	shower WORD[18,   2]: 0.0080401 夕立ち
TOKEN[19]: 0.0155374    2 breeze
	breeze WORD[19,   1]: 0.0093721 夕霞
	breeze WORD[19,   2]: 0.0061653 夕風
TOKEN[20]: 0.0133362    1 calendar
	calendar WORD[20,   1]: 0.0066681 秋夕
TOKEN[21]: 0.0131031    1 lunar
	lunar WORD[21,   1]: 0.0065515 秋夕
TOKEN[22]: 0.0129222    2 day
	day WORD[22,   1]: 0.0053232 秋夕
	day WORD[22,   2]: 0.0022759 旦夕
TOKEN[23]: 0.0128801    1 shaku
	shaku WORD[23,   1]: 0.0064400 夕
TOKEN[24]: 0.0120781    4 setting
	setting WORD[24,   1]: 0.0035366 夕景
	setting WORD[24,   2]: 0.0035363 夕影
	setting WORD[24,   3]: 0.0025026 夕日
	setting WORD[24,   4]: 0.0025026 夕陽
TOKEN[25]: 0.0118522    1 month
	month WORD[25,   1]: 0.0059261 秋夕
TOKEN[26]: 0.0109437    1 sky
	sky WORD[26,   1]: 0.0109437 夕空
TOKEN[27]: 0.0100392    3 glow
	glow WORD[27,   1]: 0.0041575 夕映え
	glow WORD[27,   2]: 0.0029408 夕焼
	glow WORD[27,   3]: 0.0029408 夕焼け
TOKEN[28]: 0.0098318    1 chill
	chill WORD[28,   1]: 0.0098318 夕冷え
TOKEN[29]: 0.0093995    1 unit
	unit WORD[29,   1]: 0.0046997 夕
TOKEN[30]: 0.0091837    1 shift
	shift WORD[30,   1]: 0.0091837 夕勤
TOKEN[31]: 0.0087929    2 cicada
	cicada WORD[31,   1]: 0.0043965 夕蝉
	cicada WORD[31,   2]: 0.0043964 夕蟬
TOKEN[32]: 0.0084745    2 afternoon
	afternoon WORD[32,   1]: 0.0042372 夕立
	afternoon WORD[32,   2]: 0.0042372 夕立ち
TOKEN[33]: 0.0084470    4 night
	night WORD[33,   1]: 0.0025646 旦夕
	night WORD[33,   2]: 0.0024174 昨夕
	night WORD[33,   3]: 0.0021084 夕べ
	night WORD[33,   4]: 0.0013566 朝夕
TOKEN[34]: 0.0082760    1 traditional
	traditional WORD[34,   1]: 0.0041380 夕
TOKEN[35]: 0.0081938    3 light
	light WORD[35,   1]: 0.0027317 夕景
	light WORD[35,   2]: 0.0027314 夕影
	light WORD[35,   3]: 0.0027307 夕明り
TOKEN[36]: 0.0076613    3 morning
	morning WORD[36,   1]: 0.0031333 朝夕
	morning WORD[36,   2]: 0.0029616 旦夕
	morning WORD[36,   3]: 0.0015664 朝な夕な
TOKEN[37]: 0.0074991    2 singing
	singing WORD[37,   1]: 0.0037496 夕蝉
	singing WORD[37,   2]: 0.0037496 夕蟬
TOKEN[38]: 0.0074699    2 tide
	tide WORD[38,   1]: 0.0037349 夕汐
	tide WORD[38,   2]: 0.0037349 夕潮
TOKEN[39]: 0.0074525    2 afterglow
	afterglow WORD[39,   1]: 0.0037262 夕焼
	afterglow WORD[39,   2]: 0.0037262 夕焼け
TOKEN[40]: 0.0070822    2 sudden
	sudden WORD[40,   1]: 0.0035411 夕立
	sudden WORD[40,   2]: 0.0035411 夕立ち
TOKEN[41]: 0.0069827    1 haze
	haze WORD[41,   1]: 0.0069827 夕靄
TOKEN[42]: 0.0069551    2 yesterday
	yesterday WORD[42,   1]: 0.0037149 昨夕
	yesterday WORD[42,   2]: 0.0032402 夕べ
TOKEN[43]: 0.0066119    2 summer
	summer WORD[43,   1]: 0.0033059 夕立
	summer WORD[43,   2]: 0.0033059 夕立ち
TOKEN[44]: 0.0065390    2 heavy
	heavy WORD[44,   1]: 0.0032695 夕立
	heavy WORD[44,   2]: 0.0032695 夕立ち
TOKEN[45]: 0.0058624    1 moon
	moon WORD[45,   1]: 0.0058624 夕月
TOKEN[46]: 0.0054821    1 cloud
	cloud WORD[46,   1]: 0.0054821 夕雲
TOKEN[47]: 0.0051687    1 volume
	volume WORD[47,   1]: 0.0025844 夕
TOKEN[48]: 0.0048375    1 square
	square WORD[48,   1]: 0.0024188 夕
TOKEN[49]: 0.0045640    2 last
	last WORD[49,   1]: 0.0024378 昨夕
	last WORD[49,   2]: 0.0021262 夕べ
TOKEN[50]: 0.0043456    1 lit
	lit WORD[50,   1]: 0.0043456 夕影
TOKEN[51]: 0.0041092    2 red
	red WORD[51,   1]: 0.0020546 夕焼
	red WORD[51,   2]: 0.0020546 夕焼け
TOKEN[52]: 0.0040601    1 landscape
	landscape WORD[52,   1]: 0.0040601 夕景
TOKEN[53]: 0.0040525    1 area
	area WORD[53,   1]: 0.0020262 夕
TOKEN[54]: 0.0039019    1 moonflower
	moonflower WORD[54,   1]: 0.0039019 夕顔
TOKEN[55]: 0.0038132    1 brink
	brink WORD[55,   1]: 0.0038132 旦夕
TOKEN[56]: 0.0037230    1 Lagenaria
	Lagenaria WORD[56,   1]: 0.0037230 夕顔
TOKEN[57]: 0.0037169    1 hour
	hour WORD[57,   1]: 0.0037169 夕刻
TOKEN[58]: 0.0036010    1 scene
	scene WORD[58,   1]: 0.0036010 夕景
TOKEN[59]: 0.0035891    1 calm
	calm WORD[59,   1]: 0.0035891 夕凪
TOKEN[60]: 0.0034802    1 calabash
	calabash WORD[60,   1]: 0.0034802 夕顔
TOKEN[61]: 0.0034802    1 alba
	alba WORD[61,   1]: 0.0034802 夕顔
TOKEN[62]: 0.0033863    1 figure
	figure WORD[62,   1]: 0.0033863 夕影
TOKEN[63]: 0.0032554    1 Ipomoea
	Ipomoea WORD[63,   1]: 0.0032554 夕顔
TOKEN[64]: 0.0031351    1 clear
	clear WORD[64,   1]: 0.0031351 夕晴れ
TOKEN[65]: 0.0029309    1 gourd
	gourd WORD[65,   1]: 0.0029309 夕顔
TOKEN[66]: 0.0027455    1 tonight
	tonight WORD[66,   1]: 0.0027455 今夕
TOKEN[67]: 0.0026294    1 daily
	daily WORD[67,   1]: 0.0026294 夕菅
TOKEN[68]: 0.0026189    1 bottle
	bottle WORD[68,   1]: 0.0026189 夕顔
TOKEN[69]: 0.0019369    1 paper
	paper WORD[69,   1]: 0.0019369 夕刊
TOKEN[70]: 0.0011409    1 one
	one WORD[70,   1]: 0.0011409 一夕
