Summary: {Weight} {token}: {words[0:10]}
0.0022318    6 horse          : 麒麟, 驥尾, 死に馬, 馬背, 死馬, 老馬
0.0022295    4 defamation     : 讒, 讒口, 讒謗, 讒言
0.0022147    2 moose          : 麋, 篦鹿
0.0021879    3 husband        : 伉儷, 背の君, 妹背
0.0021767    2 elk            : 麋, 篦鹿
0.0021682    1 medlar         : 枇杷
0.0021666    7 foot           : 麓, 山麓, 指骨, 靴ずれ, 靴擦れ, 足背, 階下
0.0021430    1 shush          : 叱
0.0021365    1 stool          : 囮
0.0021165    4 wife           : 伉儷, 謁える, 妹背, 北の方
0.0020947    7 emperor        : 麹塵, 内旨, 紫微, 拝謁, 綸旨, 特旨, 元老
0.0020921    1 loquat         : 枇杷
0.0020873   31 north          : 正北, 磁北, 北征, 北面, 北向き, 北行, 北寄り, 北家, 北進, 北壁, ...
0.0020760    2 ill            : 瞋, 瞋恚
0.0020724   17 plant          : 蓖麻, 雌木, 漉油, 牝, 傾性, 雌株, 雌, 紫蘇, 浮塵子, 黄花, ...
0.0020652    2 husk           : 秕, 粃
0.0020409    1 streaming      : 滂沱
0.0020260    2 unripe         : 秕, 粃
0.0020143    1 sh             : 叱
0.0019908    6 harmonious     : 藹々, 藹藹, 諧声, 和諧, 諧調, 混然
0.0019844    2 insanity       : 癲狂, 瘋癲
0.0019818    6 mist           : 雨靄, 薄靄, 夕靄, 靄, 朝靄, 花霞
0.0019752    5 plum           : 犬槇, 槇, 李花, 梅花, 老梅
0.0019717    4 pine           : 犬槇, 雌松, 槇, 松脂
0.0019604   19 something      : 佗言, 些事, 屁, 斃す, 耄ける, 雨混じり, 塡める, 漉く, 涙混じり, 雪混じり, ...
0.0019591    1 windlass       : 轆轤
0.0019261    1 Giraffa        : 麒麟
0.0019105    1 shoo           : 叱
0.0018764    1 giraffe        : 麒麟
0.0018749    2 immature       : 秕, 粃
0.0018747    1 phenomenological: 毘盧遮那
0.0018535    2 congenial      : 藹々, 藹藹
0.0018457    6 thirst         : 渇, 渇愛, 口渇, 渇き, 飢渇, 渇く
0.0018426    2 potter         : 轆轤, 泥蜂
0.0018390    2 base           : 麓, 山麓
0.0018385    3 hunting        : 囮, 鉈, 大鉈
0.0018166    1 Hedysarum      : 黄耆
0.0018063    1 unicorn        : 麒麟
0.0018050    2 luxuriant      : 藹々, 藹藹
0.0018034   10 go             : 乘る, 叱, 詣る, 塡まる, 傾ぐ, 傾く, 背く, 目指す, 時化る, 死ね
0.0017978    1 lathe          : 轆轤
0.0017916    2 hollow         : 秕, 粃
0.0017865    3 knife          : 石匙, 鉈, 大鉈
0.0017829    1 hob            : 焜炉
0.0017713    3 stronghold     : 城砦, 山砦, 砦
0.0017694    1 pulley         : 轆轤
0.0017663    3 ability        : 驥足, 背のび, 背伸び
0.0017663    2 vegetation     : 藹々, 藹藹
0.0017429   15 Buddha         : 毘盧遮那, 南無阿弥陀仏, 仏陀, 牟尼, 阿弥陀, 阿彌陀, 化仏, 化城, 花水, 権化, ...
0.0017330    6 false          : 讒, 讒口, 付け髭, 讒訴, 讒言, 蛇苺
0.0017264    2 sweat          : 滂沱, 脂汗
0.0016892    2 wheat          : 秕, 粃
0.0016850    7 salt           : 柴漬け, 旨塩, 鮨飯, 潮花, 盛り花, 盛花, 塩花
0.0016765    1 lunacy         : 癲狂
0.0016701   19 time           : 頃おい, 頃合, 頃合い, 末頃, 頃, 此方, 嘗て, 此度, 此れ, 此, ...
0.0016492    2 wheel          : 轆轤, 舵輪
0.0016491   19 become         : 靄る, 耄ける, 老い耄れる, 塡まり込む, 病み耄ける, 塡まる, 脂ぎる, 泥む, 目指す, 死に絶える, ...
0.0016490    2 grain          : 秕, 粃
0.0016446   16 woman          : 姥, 牝狐, 雌豚, 塡まり込む, 老婦, 疵物, 年頃, 麗人, 老妻, 初花, ...
0.0016412   11 small          : 纔か, 麁品, 些事, 円匙, ちょび髭, チョビ髭, 指し物, 指物, 指金, 小花, ...
0.0016290    4 ear            : 秕, 粃, 花薄, 尾花
0.0016282   23 beautiful      : 瑰麗, 匂いやか, 匂やか, 咲き匂う, 麗容, 麗筆, 麗人, 麗姿, 豊麗, 麗しい, ...
0.0016149    1 entirety       : 毘盧遮那
0.0016138    1 tinged         : 麹塵
0.0016043    1 divergence     : 乖離
0.0015886    1 arsenious      : 砒石
0.0015871    5 object         : 秕, 粃, 本旨, 趣旨, 主旨
0.0015850    3 empty          : 秕, 粃, 傾ける
0.0015841   13 shoe           : 靴跡, 靴型, 靴裏, 靴直し, 靴みがき, 靴磨き, 靴底, 靴屋, 靴箱, 靴ずれ, ...
0.0015830    2 Astragalus     : 黄耆, 蓮花
0.0015707    1 mantra         : 眞言
