Summary: {Weight} {token}: {words[0:10]}
0.1441274    8 praise         : 誉め殺し, 誉め上げる, 誉めちぎる, 誉めたたえる, 誉め称える, 毀誉, 誉める, 誉め言葉
	distinction WORD[12,   2]: 0.0094661 名誉
TOKEN[13]: 0.0302835    2 acclaim
	acclaim WORD[13,   1]: 0.0151418 誉めたたえる
	acclaim WORD[13,   2]: 0.0151417 誉め称える
TOKEN[14]: 0.0299298    2 applaud
	applaud WORD[14,   1]: 0.0149649 誉めたたえる
	applaud WORD[14,   2]: 0.0149649 誉め称える
TOKEN[15]: 0.0272827    2 admire
	admire WORD[15,   1]: 0.0136414 誉めたたえる
	admire WORD[15,   2]: 0.0136413 誉め称える
TOKEN[16]: 0.0210740    2 fame
	fame WORD[16,   1]: 0.0116079 声誉
	fame WORD[16,   2]: 0.0094661 名誉
TOKEN[17]: 0.0200874    2 credit
	credit WORD[17,   1]: 0.0110645 声誉
	credit WORD[17,   2]: 0.0090229 名誉
TOKEN[18]: 0.0186171    2 reputation
	reputation WORD[18,   1]: 0.0102546 声誉
	reputation WORD[18,   2]: 0.0083625 名誉
TOKEN[19]: 0.0165540    1 speak
	speak WORD[19,   1]: 0.0165540 誉める
TOKEN[20]: 0.0155609    1 laud
	laud WORD[20,   1]: 0.0155609 誉めそやす
TOKEN[21]: 0.0138210    1 condemnation
	condemnation WORD[21,   1]: 0.0138210 毀誉
TOKEN[22]: 0.0136983    1 doctorate
	doctorate WORD[22,   1]: 0.0136983 名誉
TOKEN[23]: 0.0130342    1 approbation
	approbation WORD[23,   1]: 0.0130342 毀誉
TOKEN[24]: 0.0125328    1 disapproval
	disapproval WORD[24,   1]: 0.0125328 毀誉
TOKEN[25]: 0.0120054    1 honorary
	honorary WORD[25,   1]: 0.0120054 名誉
TOKEN[26]: 0.0112913    1 commend
	commend WORD[26,   1]: 0.0112913 誉める
TOKEN[27]: 0.0110360    1 censure
	censure WORD[27,   1]: 0.0110360 毀誉
TOKEN[28]: 0.0108865    1 prestige
	prestige WORD[28,   1]: 0.0108865 名誉
TOKEN[29]: 0.0105492    1 approval
	approval WORD[29,   1]: 0.0105492 毀誉
TOKEN[30]: 0.0101687    1 president
	president WORD[30,   1]: 0.0101687 名誉
TOKEN[31]: 0.0101027    1 glory
	glory WORD[31,   1]: 0.0101027 名誉
TOKEN[32]: 0.0099998    1 eulogy
	eulogy WORD[32,   1]: 0.0099998 誉め言葉
TOKEN[33]: 0.0095449    1 dignity
	dignity WORD[33,   1]: 0.0095449 名誉
TOKEN[34]: 0.0066891    1 name
	name WORD[34,   1]: 0.0066891 名誉
TOKEN[35]: 0.0060732    1 good
	good WORD[35,   1]: 0.0060732 名誉
