Summary: {Weight} {token}: {words[0:10]}
0.1214276   10 emperor        : 前帝, 幼帝, 先帝, 廃帝, 帝王, 大帝, 聖帝, 新帝, 皇帝, 帝
TOKEN[27]: 0.0121970    1 sovereign
	sovereign WORD[27,   1]: 0.0121970 帝王
TOKEN[28]: 0.0120989    1 monarch
	monarch WORD[28,   1]: 0.0120989 帝王
TOKEN[29]: 0.0114975    1 supreme
	supreme WORD[29,   1]: 0.0114975 天帝
TOKEN[30]: 0.0109162    1 empress
	empress WORD[30,   1]: 0.0109162 女帝
TOKEN[31]: 0.0107760    1 virtuous
	virtuous WORD[31,   1]: 0.0107760 聖帝
TOKEN[32]: 0.0103308    1 folk
	folk WORD[32,   1]: 0.0103308 上帝
TOKEN[33]: 0.0095155    1 late
	late WORD[33,   1]: 0.0095155 先帝
TOKEN[34]: 0.0094138    1 empire
	empire WORD[34,   1]: 0.0094138 帝国
TOKEN[35]: 0.0082362    1 ancient
	ancient WORD[35,   1]: 0.0082362 天帝
TOKEN[36]: 0.0080923    1 mikado
	mikado WORD[36,   1]: 0.0080923 帝
TOKEN[37]: 0.0074943    1 new
	new WORD[37,   1]: 0.0074943 新帝
TOKEN[38]: 0.0073729    1 great
	great WORD[38,   1]: 0.0073729 大帝
TOKEN[39]: 0.0067435    1 university
	university WORD[39,   1]: 0.0067435 帝大
TOKEN[40]: 0.0052800    1 residence
	residence WORD[40,   1]: 0.0052800 帝
TOKEN[41]: 0.0044848    1 Japan
	Japan WORD[41,   1]: 0.0044848 帝
