Summary: {Weight} {token}: {words[0:10]}
0.0689065    2 sadism         : 加虐, 嗜虐
	slaughter WORD[33,   1]: 0.0118464 虐殺
TOKEN[34]: 0.0115107    1 teasing
	teasing WORD[34,   1]: 0.0115107 虐め
TOKEN[35]: 0.0111098    1 harshly
	harshly WORD[35,   1]: 0.0111098 虐める
TOKEN[36]: 0.0105812    1 abuse
	abuse WORD[36,   1]: 0.0105812 虐待
TOKEN[37]: 0.0104894    1 tease
	tease WORD[37,   1]: 0.0104894 虐める
TOKEN[38]: 0.0101449    1 driving
	driving WORD[38,   1]: 0.0101449 虐使
TOKEN[39]: 0.0100262    1 torment
	torment WORD[39,   1]: 0.0100262 虐める
TOKEN[40]: 0.0098063    1 oneself
	oneself WORD[40,   1]: 0.0098063 自虐
TOKEN[41]: 0.0095971    1 damage
	damage WORD[41,   1]: 0.0095971 自虐
TOKEN[42]: 0.0094835    1 tough
	tough WORD[42,   1]: 0.0094835 虐める
TOKEN[43]: 0.0088527    1 treat
	treat WORD[43,   1]: 0.0088527 虐める
TOKEN[44]: 0.0082596    1 hard
	hard WORD[44,   1]: 0.0082596 虐使
TOKEN[45]: 0.0081866    1 pick
	pick WORD[45,   1]: 0.0081866 虐める
TOKEN[46]: 0.0068102    1 body
	body WORD[46,   1]: 0.0068102 虐める
TOKEN[47]: 0.0057901    1 someone
	someone WORD[47,   1]: 0.0057901 虐使
TOKEN[48]: 0.0037651    1 one
	one WORD[48,   1]: 0.0037651 虐める
