Summary: {Weight} {token}: {words[0:10]}
	affront WORD[36,   1]: 0.0061696 陵虐
TOKEN[37]: 0.0061271    1 treason
	treason WORD[37,   1]: 0.0061271 悪虐
TOKEN[38]: 0.0058601    1 Japanese
	Japanese WORD[38,   1]: 0.0058601 八虐
TOKEN[39]: 0.0054674    1 masochism
	masochism WORD[39,   1]: 0.0054674 自虐
TOKEN[40]: 0.0054151    1 humiliation
	humiliation WORD[40,   1]: 0.0054151 陵虐
TOKEN[41]: 0.0051637    1 mistreatment
	mistreatment WORD[41,   1]: 0.0051637 虐待
TOKEN[42]: 0.0050153    1 assault
	assault WORD[42,   1]: 0.0050153 陵虐
TOKEN[43]: 0.0042679    1 cruelty
	cruelty WORD[43,   1]: 0.0042679 虐待
TOKEN[44]: 0.0042679    1 massacre
	massacre WORD[44,   1]: 0.0042679 虐殺
TOKEN[45]: 0.0041279    1 bullying
	bullying WORD[45,   1]: 0.0041279 虐め
TOKEN[46]: 0.0039488    1 slaughter
	slaughter WORD[46,   1]: 0.0039488 虐殺
TOKEN[47]: 0.0038369    1 teasing
	teasing WORD[47,   1]: 0.0038369 虐め
TOKEN[48]: 0.0037033    1 harshly
	harshly WORD[48,   1]: 0.0037033 虐める
TOKEN[49]: 0.0035271    1 abuse
	abuse WORD[49,   1]: 0.0035271 虐待
TOKEN[50]: 0.0034965    1 tease
	tease WORD[50,   1]: 0.0034965 虐める
TOKEN[51]: 0.0033816    1 driving
	driving WORD[51,   1]: 0.0033816 虐使
TOKEN[52]: 0.0033421    1 torment
	torment WORD[52,   1]: 0.0033421 虐める
TOKEN[53]: 0.0032688    1 oneself
	oneself WORD[53,   1]: 0.0032688 自虐
TOKEN[54]: 0.0031990    1 damage
	damage WORD[54,   1]: 0.0031990 自虐
TOKEN[55]: 0.0031612    1 tough
	tough WORD[55,   1]: 0.0031612 虐める
TOKEN[56]: 0.0029509    1 treat
	treat WORD[56,   1]: 0.0029509 虐める
TOKEN[57]: 0.0027532    1 hard
	hard WORD[57,   1]: 0.0027532 虐使
TOKEN[58]: 0.0027289    1 pick
	pick WORD[58,   1]: 0.0027289 虐める
TOKEN[59]: 0.0022701    1 body
	body WORD[59,   1]: 0.0022701 虐める
TOKEN[60]: 0.0019300    1 someone
	someone WORD[60,   1]: 0.0019300 虐使
TOKEN[61]: 0.0012550    1 one
	one WORD[61,   1]: 0.0012550 虐める
