Summary: {Weight} {token}: {words[0:10]}
	humble WORD[41,   1]: 0.0051012 畏まる
TOKEN[42]: 0.0050876    1 concern
	concern WORD[42,   1]: 0.0050876 畏れ
TOKEN[43]: 0.0043859    1 feel
	feel WORD[43,   1]: 0.0043859 畏れ入る
TOKEN[44]: 0.0036325    1 good
	good WORD[44,   1]: 0.0036325 畏い
TOKEN[45]: 0.0035357    1 small
	small WORD[45,   1]: 0.0035357 畏れ入る
TOKEN[46]: 0.0033483    1 one
	one WORD[46,   1]: 0.0033483 畏友
