Summary: {Weight} {token}: {words[0:10]}
0.0034375   40 drink          : 飮む, 饗応, 冷やし飴, 飲み応え, 飲みかける, 飲み掛ける, 飲み倒す, 飲みかけ, 飲み掛け, 飲みで, ...
0.0033889    6 hall           : 貸し館, 当館, 会館, 本館, 乞食, 食堂
0.0032662   11 feed           : 餌箱, 練り餌, 撒き餌, 餌付く, 餌, 養う, 飼料, 飼う, 食わす, 衣食, ...
0.0032648    9 live           : 生餌, 活き餌, 活餌, 生き餌, おどり食い, 踊り食い, 躍り食い, 食べる, 食う
0.0032098    6 supper         : 夕餉, 夕ご飯, 夕御飯, 夕飯, 晩食, 夜食
0.0031391    1 luncheon       : 昼餐
0.0031035    1 consecrated    : 饌米
0.0030964    2 opposed        : 家飲み, 本館
0.0030421    7 home           : 家飲み, 特養, 玉飾り, 内食, 検食, 食いつぶす, 食い潰す
0.0030249    5 tired          : 食べ飽きる, 見飽きる, 聞き飽きる, 飽き飽き, 飽きる
0.0029513    1 independent    : 単館
0.0029239    3 banquet        : 正餐, 饗宴, 椀飯
0.0029118   68 one            : 加餐, 尻餠, 飽食, 饗, 飽きる, 一飲み, 養老, 力餅, 完飲, 養生, ...
0.0028696    2 backside       : 尻餠, 尻餅
0.0028668    4 fillingness    : 食べ出, 食べごたえ, 食べ応え, 食いで
0.0028049    6 midday         : 昼餉, 昼ご飯, 昼御飯, 昼飯, 中食, 昼食
0.0028017    4 substantiality : 食べ出, 食べごたえ, 食べ応え, 食いで
0.0028008    1 Eucharist      : 聖餐
0.0027998    1 community      : 貸し館
0.0027947    4 birthday       : 尻餠, 餅踏み, 尻餅, 力餅
0.0027500   10 evening        : 夕餉, 夜ご飯, 夜御飯, 晩ご飯, 晩御飯, 夕ご飯, 夕御飯, 晩飯, 夕飯, 夕食
0.0027000   10 cold           : 饑寒, 飢寒, 蒸し飯, 蒸飯, 水飯, 冷や飯, 冷飯, 冷食, 寒食, 薬食い
0.0026647    4 solidity       : 食べ出, 食べごたえ, 食べ応え, 食いで
0.0025697    1 remnant        : 餘り
0.0025648    7 alcohol        : 神饌, 飲みニケーション, 飲みニュケーション, 飲ます, 飲酒, 飲み口, 飲口
0.0025004    4 satisfied      : 飽き足りる, 飽足りる, 飽き足る, 飽足る
0.0024730    1 tremendous     : 餘り
