Summary: {Weight} {token}: {words[0:10]}
0.0555556    1 notwithstanding: 雖も
0.0019325    1 hired          : 雇われ
0.0018574    5 job            : 雇われ, 離職, 手離れ, 雑役, 離れる
0.0018476    2 day            : 日雇, 日雇い
0.0018475    1 turtle         : 雉鳩
0.0018078    1 Branta         : 黒雁
0.0018078    1 brent          : 黒雁
0.0017942    4 grace          : 雅び, 雅致, 風雅, 雅
0.0017773    1 performance    : 雑芸
0.0017437    2 sire           : 雄親, 種雄
0.0017074    1 orpiment       : 雄黄
0.0016515    2 child          : 雛妓, 手離す
0.0016302    4 tit            : 四十雀, 山雀, 小雀, 日雀
0.0016202    1 bustard        : 野雁
0.0016192    2 chick          : 雛鳥, 雛
0.0015793    3 nut            : 雌ねじ, 雌螺子, 難物
0.0015789   12 difficulty     : 一難, 難化, 難度, 難事, 難渋, 難航, 難儀, 難関, 難易, 困難, ...
0.0015580    6 brave          : 雄途, 雄壮, 雄々しい, 雄雄しい, 雄心, 雄
0.0015568    2 woody          : 雌木, 雄木
0.0015545    2 Phasianus      : 雉, 雉子
0.0015160    5 two            : 雌雄, 雌滝, 両雄, 雄滝, 雄
0.0015158    1 title          : 雇われ
0.0014996    2 employ         : 雇い入れる, 雇う
0.0014911    2 working        : 雇われ, 手離す
0.0014705    1 atypical       : 人離れ
0.0014686    2 festal         : 大雅, 雅
0.0014619    2 penis          : 雁首, 雁
0.0014569    3 pistil         : 雌しべ, 雌蘂, 雌蕊
0.0014426    1 end            : 雑芸
0.0014252    1 daisy          : 雛菊
0.0014191    2 versicolor     : 雉, 雉子
0.0013812    5 heroic         : 雄壮, 雄々しい, 雄雄しい, 雄心, 雄
0.0013738    2 pine           : 雌松, 雄松
0.0013717    3 red            : 雛罌粟, 紅雀, 雌松
0.0013579    2 Oriental       : 雉鳩, 四十雀
0.0013487    5 part           : 雌木, 雄木, 雀頭, 手離す, 離す
0.0013357    3 Anser          : 真雁, 雁金, 雁が音
0.0013228    2 growing        : 雄町, 手離れ
0.0013193    2 glans          : 雁首, 雁
0.0013120    1 Papaver        : 雛罌粟
0.0012756    1 peregrine      : 隼
0.0012734    1 gularis        : 雀鷹
0.0012595    1 typical        : 人離れ
0.0012473    1 brooding       : 育雛
0.0012411    3 greater        : 真雁, 雄滝, 雄
0.0012383    1 lived          : 隼人
0.0012291    1 era            : 白雉
0.0012093    1 turtledove     : 雉鳩
0.0011947    1 Accipiter      : 雀鷹
0.0011945    1 production     : 雄町
0.0011680   14 separation     : 離別, 離職, 離隔, 別離, 離苦, 離脱, 遊離, 分離, はく離, 剝離, ...
0.0011650    1 fledgling      : 雛
0.0011460    3 classical      : 古雅, 雅俗, 雅語
0.0011450    1 variety        : 雄町
0.0011447    1 workplace      : 人離れ
0.0011446    3 wooden         : 雌木, 雄木, 雑器
0.0011374    1 late           : 雄町
0.0011335    3 dog            : 雌犬, 雄犬, 雑犬
0.0011311    2 joint          : 雌木, 雄木
0.0011297    1 rufous         : 雉鳩
0.0011192    3 skylark        : 揚げ雲雀, 揚雲雀, 雲雀
0.0011123    1 corn           : 雛罌粟
0.0011121    1 Yamato         : 隼人
0.0011024    4 taste          : 雅致, 風雅, 雅人, 雑味
0.0011023    2 construction   : 雌木, 雄木
0.0010991    1 shopping       : 人離れ
0.0010797    4 majestic       : 雄峰, 雄壮, 雄大, 雄姿
0.0010770    5 name           : 雅称, 雅号, 離籍, 難読, 難波
0.0010630    1 indented       : 雌木
0.0010617    2 ancient        : 隼人, 海雀
0.0010603    4 someone        : 雇われ, 雑ぜっ返す, 雑ぜ返す, 集る
0.0010520    9 leaving        : 離塁, 離席, 離岸, 離村, 離船, 離職, 離床, 巣離れ, 離島
0.0010509    1 rookie         : 雛
0.0010478    1 murrelet       : 海雀
0.0010455    1 winter         : 寒雀
0.0010416    2 employer       : 雇い主, 雇主
0.0010306    1 doe            : 雌鹿
0.0010273    1 display        : 女雛
0.0010171    1 sake           : 雄町
0.0010139    2 hen            : 雌鳥, 雌鶏
0.0010051    1 regular        : 常雇い
0.0009843    2 diction        : 雅語, 雅言
0.0009797    3 common         : 雛罌粟, 金雀児, 雑兵
0.0009785    1 parent         : 雄親
0.0009766    1 mare           : 雌馬
0.0009765    3 Parus          : 四十雀, 小雀, 日雀
0.0009734    2 laborer        : 日雇, 日雇い
0.0009596    4 pattern        : 雛型, 雛形, 落雁, 雁木
0.0009592    7 different      : 雑著, 離れ, かけ離れる, 懸け離れる, 懸離れる, 掛け離れる, 掛離れる
0.0009435    1 table          : 雀卓
0.0009434    2 attendance     : 人離れ, 集まり
0.0009388    1 priest         : 雛僧
0.0009382    1 corona         : 雁首
0.0009365    1 flocking       : 稲雀
0.0009351    1 nuthatch       : 五十雀
0.0009351    1 Sitta          : 五十雀
0.0009313    2 plume          : 雅称, 雅号
0.0009313    2 pseudonym      : 雅称, 雅号
0.0009289    1 heifer         : 雌牛
0.0009156    2 deer           : 雌鹿, 雄鹿
0.0009152    1 bean           : 雛豆
0.0009128    1 classified     : 雑著
0.0009068    1 Sphingidae     : 雀蛾
0.0009068    1 sphinx         : 雀蛾
0.0009046    2 flower         : 雌花, 雄花
0.0009031    3 interest       : 客離れ, 離れ, 雑じる
0.0009013    2 losing         : 客離れ, 離職
