Summary: {Weight} {token}: {words[0:10]}
0.0032759    5 maggot         : 蛆虫, 蛆, うじ虫, ウジ虫, 幼虫
0.0032201   16 moth           : 雀蛾, 夜蛾, 螟蛾, 白灯蛾, 蚕蛾, 尺蛾, 桑蚕, 野蚕, 毒蛾, 灯蛾, ...
0.0032176    3 sting          : 螫す, 虫さされ, 虫刺され
0.0031529    4 caries         : 齲蝕, 齲歯, う蝕, 虫歯
0.0031381    2 lizard         : 蜥蜴, 金蛇
0.0030685    1 tornado        : 颶風
0.0030047    4 winding        : 蜿蜒, 蜿々, 蜿蜿, 蜒々
0.0029771    5 rainbow        : 主虹, 虹霓, 虹鱒, 白虹, 虹
0.0029721    2 viper          : 蝮, 鎖蛇
0.0029642   11 order          : 川螻蛄, 擬蠍, 飛螻蛄, 蝦蛄, 蜘蛛海星, 町触, 町触れ, 陣触れ, 羽虱, 跳び虫, ...
0.0029070    3 basket         : 蜆貝, 蜆汁, 蜆
0.0029033    1 pupa           : 蛹
0.0029033    1 chrysalis      : 蛹
0.0029019    1 Arisaema       : 蝮草
0.0029007    1 heavy          : 蟒蛇
0.0028951    3 crayfish       : 蛯, 蝦蟹, 蝦
0.0028418    2 slug           : 蛞蝓, 虫拳
0.0028366    4 beeswax        : 蜂蝋, 蜜蝋, 黄蝋, 蜜蠟
0.0028312    1 Tettigoniidae  : 蟋蟀
0.0028206    6 egg            : 皮蛋, 鶏蛋, 蛋白, 蟹玉, 蚕卵, 虫卵
0.0028196    1 adopted        : 螟蛉
0.0028097    1 ear            : 蚫
0.0027916    5 prawn          : 蛯, 車蝦, 芝蝦, 小蝦, 蝦
0.0027205    1 Chrysopa       : 草蜉蝣
0.0027205    1 intima         : 草蜉蝣
0.0027189    2 detestation    : 蛇蝎, 蛇蠍
0.0027005    3 Ascaris        : 蛔虫, 回虫, 腹の虫
0.0026931    5 singing        : 夕蟬, 蝉声, 夕蝉, 蝉しぐれ, 蝉時雨
0.0026906    1 ephemerality   : 蜉蝣
0.0026901    4 dental         : 齲蝕, 齲歯, う蝕, 虫歯
0.0026772    5 serpent        : 蛇蝎, 蛇蠍, 毒蛇, 大蛇, 蛇
0.0026377    1 diver          : 蜑
0.0026259    5 decay          : 齲蝕, 齲歯, う蝕, 腐蝕, 虫歯
0.0026249    1 lacewing       : 草蜉蝣
0.0025937    5 roundworm      : 蛔虫, 蟲, 回虫, 腹の虫, 虫
0.0025721    7 skin           : 蚯蚓脹れ, 蛻, 茹で蛸, 茹蛸, 蛇皮, 気触れる, 気触れ
0.0025676    4 green          : 草蜉蝣, 翠嵐, 青蛙, 蝶鮫
0.0025650   18 person         : 瘋癲, 蚰蜒, 虫螻, 蚊蜻蛉, 蝿, 蟲, 茹で蛸, 茹蛸, 蚊トンボ, 独り身, ...
0.0025601    3 false          : 蜚語, 擬蠍, 蛇苺
0.0025484   13 silkworm       : 蚕繭, 蚕棚, 養蚕, 蚕蛾, 天蚕糸, 春蚕, 蚕児, 蚕卵, 蚕糞, 毛蚕, ...
0.0025096    3 lobster        : 蛯, 小蝦, 蝦
0.0025007    5 mountain       : 山颪, 嵐気, 晴嵐, 山嵐, 青嵐
0.0024855    1 fisherman      : 蜑
