Summary: {Weight} {token}: {words[0:10]}
0.0022809    1 flour          : 軽羹
0.0022776    1 medication     : 痒み止め
0.0022678    1 victim         : 犠牲
0.0022473    9 consultation   : 諮議, 内議, 談議, 商議, 合議, 凝議, 協議, 回議, 談義
0.0021871    1 jock           : 頑癬
0.0021632    1 hourglass      : 羯鼓
0.0020860    1 spider         : 蟻蜘蛛
0.0020765    3 japonica       : 蟻蜘蛛, 海羊歯, 羊歯
0.0020743    1 intertwine     : 縒り合わせる
0.0020181    1 sweet          : 軽羹
0.0020166    1 mite           : 恙虫
0.0020163    2 teach          : 躾ける, 躾る
0.0019934    2 twine          : 縒り糸, 縒糸
0.0019869   10 flock          : 群鴉, 群羊, 羊群, 一群れ, 群雀, 鶏群, 群れる, 群れ, 大群, 一群
0.0019175    3 living         : 犠牲, 群生, 群棲
0.0019051    2 twisting       : 縒り糸, 縒糸
0.0018936    5 health         : 恙ない, 恙無い, 清祥, 養生, 保養
0.0018852   22 meaning        : 別儀, 義訓, 句義, 古義, 別義, 両義, 転義, 義解, 字義, 本義, ...
0.0018846    2 furnace        : 官窯, 窯
0.0018841    8 explanation    : 詳論, 詳説, 詳述, 詳言, 詳解, 義解, 釈義, 正義
0.0018658    1 lichen         : 苔癬
0.0018569    1 Nephrolepis    : 玉羊歯
0.0018524    3 brilliant      : 色鮮やか, 鮮か, 鮮やか
0.0017930   12 ceremony       : 秘儀, 大儀, 盛儀, 婚儀, 儀典, 儀じょう, 儀仗, 祝儀, 儀式, 儀, ...
0.0017896    1 sticks         : 羯鼓
0.0017873    1 groin          : 頑癬
0.0017801    2 teaching       : 躾, 躾け
0.0017548    2 safe           : 恙ない, 恙無い
0.0017547    1 drug           : 痒み止め
0.0017301    5 training       : 躾, 躾け, 修養, 養成, 素養
0.0017258    2 milk           : 山羊乳, 羊乳
0.0017255    1 second         : 大祥
0.0017126    1 tile           : 瓦窯
0.0017059    5 minute         : 詳密, 詳細, 詳記, 詳しい, 微差
0.0016904    1 green          : 鮮緑
0.0016902    1 tuberous       : 玉羊歯
0.0016770    1 drum           : 羯鼓
0.0016717    1 governmental   : 官窯
0.0016409    1 enviable       : 羨ましい
0.0016216    1 rice           : 軽羹
0.0015883    3 pottery        : 登り窯, 窯場, 窯元
0.0015752    1 sides          : 羯鼓
0.0015687    1 bunt           : 犠打
0.0015542    9 foster         : 養い親, 養い育てる, 養母, 養親, 養女, 養父, 養う, 義母, 義父
0.0015522    1 instant        : 咄嗟
0.0015425    1 huh            : 嗟
0.0015067    1 Solenopsis     : 火蟻
0.0014872    2 free           : 恙ない, 恙無い
0.0014835    1 porcelain      : 官窯
0.0014777    1 velvet         : 蟻蜂
0.0014688    1 yo             : 嗟
0.0014576    1 ah             : 嗟
0.0014458    2 train          : 躾ける, 躾る
0.0014355    6 foreign        : 洋もく, 洋モク, 洋種, 洋式, 洋犬, 洋
