Summary: {Weight} {token}: {words[0:10]}
0.0015111   10 shoot          : 撃ち殺す, 撃殺す, 撃ち抜く, 撃ち止める, 撃止める, 撃ち落す, 撃ち落とす, 撃ち出す, 撃ちこむ, 撃ち込む
0.0014471    1 piecework      : 手間仕事
0.0014461    1 series         : 鉄拳
0.0014039    4 martial        : 拳法, 撃術, 承け, 封じ手
0.0013673   35 person         : 手暗がり, 手ん棒, 手棒, 吹挙, 推挙, 挙, あん摩, 按摩, 巧手, やり手, ...
0.0013368   11 small          : 掌大, ひと手間, 一手間, 手ぜま, 手狭, 手塩, 手あぶり, 手焙り, 手箱, 御手塩, ...
0.0013356    1 film           : 鉄拳
0.0013277    1 tauten         : 引き攣る
0.0013197    1 jurisdiction   : 所掌
0.0013015    1 pin            : 撃針
0.0012778    1 gizzard        : 砂摩り
0.0012678    5 undertaking    : 美挙, 壮挙, 盛挙, 義挙, 愚挙
0.0012489    1 tedious        : 手間仕事
0.0012215    1 minding        : 看視
0.0012116    1 book           : 襷
0.0012113   12 used           : 襷, 手酢, 手事, 手刀, 十手, 四手, 小手, 籠手, 古手, 手なれる, ...
0.0011558    1 troublesome    : 手間仕事
0.0011490    3 rule           : 掌る, 掌理, 庇い手
0.0011414    6 Chinese        : 承句, 拳法, 撃壌, 科挙, 承, 拱手
0.0011264    1 mortar         : 砂摩り
0.0011241    9 enemy          : 迎え撃つ, 邀え撃つ, 遊撃, 追撃, 撃退, 撃攘, 追い撃ち, 追撃ち, 敵手
0.0011118   11 someone        : 挙げる, 看取る, 看破, 行き手, 撃ち払う, 駁撃, 撃つ, 来手, 行手, 手向ける, ...
0.0010909    8 agreement      : 承伏, 承服, 承認, 承知, 承諾, 承引, 承け, 手打ち
0.0010772    1 slug           : 虫拳
0.0010666    5 approval       : 了承, 諒承, 領承, 承認, 承諾
0.0010653    1 stiffen        : 引き攣る
0.0010564    5 understanding  : 手張り, 了承, 諒承, 領承, 拝承
0.0010505    1 shrink         : 引き攣る
0.0010499    3 taking         : 分掌, 管掌, 駁撃
0.0010470    1 guarding       : 看視
0.0010446    1 fat            : 砂摩り
0.0010327    1 forefinger     : 虫拳
0.0010296    4 receive        : 落掌, 承ける, 承る, 落手
0.0010252    1 freeze         : 引き攣る
0.0010242    2 finishing      : 砂摩り, 手離れ
0.0010057    5 raising        : 旗挙, 旗挙げ, 挙手, 挙兵, 手飼い
0.0010044    2 finish         : 砂摩り, 挙がる
0.0009911    3 nursing        : 看取り, 看病, 看護
0.0009649    5 rub            : 摩する, 摩れ合う, 摩れる, 摩れ, 摩る
0.0009640    2 chicken        : 砂摩り, 手羽
0.0009621    7 example        : 挙示, 挙例, 挙げる, 手鑑, 手跡, 手蹟, 手本
0.0009408    1 function       : 職掌
0.0009401    6 draw           : 摩り寄る, 看板, 摩する, 早撃ち, 千日手, 手繰る
0.0009265    2 thumb          : 虫拳, 搩手
0.0009222    1 bilboquet      : 拳玉
0.0009186    1 frog           : 虫拳
0.0009124    1 variant        : 虫拳
0.0009036    2 watching       : 看視, 拱手
0.0008754   25 go             : 挙がる, 撃ち抜く, 承ける, 羽撃く, 手止まり, 禁じ手, 巧手, 手ばなす, 手放す, 手離す, ...
0.0008676    1 muscle         : 挙筋
0.0008666    2 voice          : 引き攣る, 挙げる
0.0008596    1 preside        : 掌る
0.0008582    5 finger         : 虫拳, 搩手, 手あか, 手垢, 手指
0.0008556    2 deathbed       : 看取る, 看取り
0.0008491    1 wall           : 砂摩り
0.0008427    1 snake          : 虫拳
0.0008393    1 due            : 引き攣る
0.0008337    1 cast           : 手暗がり
0.0008293    1 shadow         : 手暗がり
0.0008244    1 pearl          : 摩尼
0.0008222    2 boxing         : 拳闘, 手数
0.0008158    3 friction       : 摩擦, 減摩, 摩損
0.0008154    1 grow           : 引き攣る
0.0008070    3 face           : 引き攣る, 承ける, 手前
0.0008066    4 compliance     : 承伏, 承服, 承知, 承諾
0.0008046    6 handling       : 分掌, 手ずれ, 手擦れ, 手さばき, 手捌き, 手沢
0.0008029    3 exchange       : 撃ち合う, 撃合い, 撃ち合い
