Summary: {Weight} {token}: {words[0:10]}
0.1152466    1 phenomenological: 毘盧遮那
0.0015877    1 blame          : 比丘尼
0.0015616    1 double         : 比翼
0.0015476    1 similitude     : 比況
0.0015454    1 analogy        : 類比
0.0015377    1 family         : 比目魚
0.0015325    1 captain        : 甲比丹
0.0015251    1 flight         : 比翼
0.0015202    1 Dutch          : 甲比丹
0.0014978    1 trader         : 甲比丹
0.0014744    1 monk           : 比丘
0.0014628    1 servant        : 比丘尼
0.0014600    1 trading        : 甲比丹
0.0014586    1 halibut        : 比目魚
0.0014517    1 European       : 甲比丹
0.0014262    1 proportional   : 比例
0.0014157    1 density        : 比重
0.0014143    1 single         : 比翼
0.0013888    1 prostitute     : 比丘尼
0.0013866    1 heat           : 比熱
0.0013756    1 toady          : 比目魚
0.0013464    1 gravity        : 比重
0.0013330    1 hypothesis     : 比定
0.0013228    1 parallel       : 比類
0.0012625    1 olive          : 比目魚
0.0012613    1 race           : 駆け比べ
0.0012354    1 importance     : 比重
0.0012280    1 representation : 比例
0.0012200    1 percentage     : 比率
0.0012198    1 bastard        : 比目魚
0.0011981    1 chief          : 甲比丹
0.0011943    1 identification : 比定
0.0011943    1 formed         : 比定
0.0011810    1 skill          : 腕比べ
0.0011602    1 election       : 比例
0.0011492    1 look           : 比翼
0.0011053    1 post           : 甲比丹
0.0010844    1 ship           : 甲比丹
0.0010358    1 sponge         : 西比利亜
0.0010241    2 something      : 比べもの, 比べ物
0.0010229    1 contrast       : 対比
0.0010222    1 section        : 比例
0.0010211    1 vie            : 比べる
0.0010197    1 similar        : 比定
0.0010186    1 take           : 比丘尼
0.0009803    1 weight         : 比重
0.0009699    1 eye            : 見比べる
0.0009393    1 compete        : 比べる
0.0009345    1 lining         : 櫛比
0.0008556    1 test           : 根比べ
0.0008447    1 bean           : 西比利亜
0.0008406    1 competition    : 比べ
0.0008337    1 row            : 櫛比
0.0008295    1 paste          : 西比利亜
0.0007849    1 Japan          : 日比
0.0007827    1 sweet          : 西比利亜
0.0007821    1 close          : 櫛比
0.0007631    1 street         : 櫛比
0.0007395    1 standing       : 櫛比
0.0006193    1 person         : 比目魚

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.1152466    1 phenomenological
	phenomenological WORD[ 1,   1]: 0.1152466 毘盧遮那
TOKEN[ 2]: 0.0926725    1 entirety
	entirety WORD[ 2,   1]: 0.0926725 毘盧遮那
TOKEN[ 3]: 0.0631047    1 Buddha
	Buddha WORD[ 3,   1]: 0.0631047 毘盧遮那
TOKEN[ 4]: 0.0594210    1 world
	world WORD[ 4,   1]: 0.0594210 毘盧遮那
TOKEN[ 5]: 0.0591920    2 seafaring
	seafaring WORD[ 5,   1]: 0.0571861 金毘羅
	seafaring WORD[ 5,   2]: 0.0020059 金比羅
TOKEN[ 6]: 0.0435980    2 guardian
	guardian WORD[ 6,   1]: 0.0421206 金毘羅
	guardian WORD[ 6,   2]: 0.0014774 金比羅
TOKEN[ 7]: 0.0381701    2 deity
	deity WORD[ 7,   1]: 0.0368766 金毘羅
	deity WORD[ 7,   2]: 0.0012935 金比羅
TOKEN[ 8]: 0.0333720    1 cremation
	cremation WORD[ 8,   1]: 0.0333720 荼毘
TOKEN[ 9]: 0.0247744   12 comparison
	comparison WORD[ 9,   1]: 0.0112406 比色
	comparison WORD[ 9,   2]: 0.0018084 比べもの
	comparison WORD[ 9,   3]: 0.0018084 比べ物
	comparison WORD[ 9,   4]: 0.0015137 丈比べ
	comparison WORD[ 9,   5]: 0.0012771 類比
	comparison WORD[ 9,   6]: 0.0011323 比定
	comparison WORD[ 9,   7]: 0.0011267 比況
	comparison WORD[ 9,   8]: 0.0011191 比較
	comparison WORD[ 9,   9]: 0.0009749 対比
	comparison WORD[ 9,  10]: 0.0009647 背比べ
	comparison WORD[ 9,  11]: 0.0009042 比べる
	comparison WORD[ 9,  12]: 0.0009042 比べ
TOKEN[10]: 0.0232725    1 explicit
	explicit WORD[10,   1]: 0.0232725 比興
TOKEN[11]: 0.0225622    1 interesting
	interesting WORD[11,   1]: 0.0225622 比興
TOKEN[12]: 0.0225622    1 unfavorable
	unfavorable WORD[12,   1]: 0.0225622 比興
TOKEN[13]: 0.0213634    1 underhanded
	underhanded WORD[13,   1]: 0.0213634 比興
TOKEN[14]: 0.0196520    1 insignificant
	insignificant WORD[14,   1]: 0.0196520 比興
TOKEN[15]: 0.0182654    5 ratio
	ratio WORD[15,   1]: 0.0080015 公比
	ratio WORD[15,   2]: 0.0040270 性比
	ratio WORD[15,   3]: 0.0034429 逆比
	ratio WORD[15,   4]: 0.0016072 等比
	ratio WORD[15,   5]: 0.0011868 比率
TOKEN[16]: 0.0181382    1 unreasonable
	unreasonable WORD[16,   1]: 0.0181382 比興
TOKEN[17]: 0.0177139    1 literary
	literary WORD[17,   1]: 0.0177139 比興
TOKEN[18]: 0.0167273    1 strange
	strange WORD[18,   1]: 0.0167273 比興
TOKEN[19]: 0.0121755    6 compare
	compare WORD[19,   1]: 0.0038180 食べ比べる
	compare WORD[19,   2]: 0.0020559 引き比べる
	compare WORD[19,   3]: 0.0015211 比する
	compare WORD[19,   4]: 0.0014098 比える
	compare WORD[19,   5]: 0.0011181 見比べる
	compare WORD[19,   6]: 0.0008426 比べる
TOKEN[20]: 0.0116930    1 used
	used WORD[20,   1]: 0.0116930 比興
TOKEN[21]: 0.0098909    4 Philippines
	Philippines WORD[21,   1]: 0.0038034 比島
	Philippines WORD[21,   2]: 0.0033109 訪比
	Philippines WORD[21,   3]: 0.0014317 比律賓
	Philippines WORD[21,   4]: 0.0013448 日比
TOKEN[22]: 0.0089957    5 equal
	equal WORD[22,   1]: 0.0014813 比倫
	equal WORD[22,   2]: 0.0013975 等比
	equal WORD[22,   3]: 0.0010320 比類
	equal WORD[22,   4]: 0.0010240 比肩
	equal WORD[22,   5]: 0.0010152 比
TOKEN[23]: 0.0087435    1 color
	color WORD[23,   1]: 0.0087435 比色
TOKEN[24]: 0.0069590    2 peer
	peer WORD[24,   1]: 0.0018599 比倫
	peer WORD[24,   2]: 0.0012748 比
TOKEN[25]: 0.0067147    2 type
	type WORD[25,   1]: 0.0032098 食べ比べる
	type WORD[25,   2]: 0.0008762 比
TOKEN[26]: 0.0059529    3 match
	match WORD[26,   1]: 0.0013413 比倫
	match WORD[26,   2]: 0.0009344 比類
	match WORD[26,   3]: 0.0009193 比
TOKEN[27]: 0.0059441    2 strength
	strength WORD[27,   1]: 0.0047733 力比べ
	strength WORD[27,   2]: 0.0011708 腕比べ
TOKEN[28]: 0.0058005    1 nun
	nun WORD[28,   1]: 0.0058005 比丘尼
TOKEN[29]: 0.0055044    4 contest
	contest WORD[29,   1]: 0.0025701 力比べ
	contest WORD[29,   2]: 0.0012608 腕比べ
	contest WORD[29,   3]: 0.0008441 根比べ
	contest WORD[29,   4]: 0.0008293 比べ
TOKEN[30]: 0.0050612    1 geometric
	geometric WORD[30,   1]: 0.0050612 公比
TOKEN[31]: 0.0045453    1 goatfish
	goatfish WORD[31,   1]: 0.0045453 比売知
TOKEN[32]: 0.0045263    1 sort
	sort WORD[32,   1]: 0.0011316 比
TOKEN[33]: 0.0039909    1 inverse
	inverse WORD[33,   1]: 0.0039909 逆比
TOKEN[34]: 0.0039872    1 several
	several WORD[34,   1]: 0.0039872 食べ比べる
TOKEN[35]: 0.0039356    1 kind
	kind WORD[35,   1]: 0.0009839 比
TOKEN[36]: 0.0034739    1 sex
	sex WORD[36,   1]: 0.0034739 性比
TOKEN[37]: 0.0034658    1 taste
	taste WORD[37,   1]: 0.0034658 食べ比べる
TOKEN[38]: 0.0034170    1 liken
	liken WORD[38,   1]: 0.0017085 比える
TOKEN[39]: 0.0033077    1 dressed
	dressed WORD[39,   1]: 0.0033077 比丘尼
TOKEN[40]: 0.0031862    2 smiling
	smiling WORD[40,   1]: 0.0015931 恵比寿顔
	smiling WORD[40,   2]: 0.0015931 恵比須顔
TOKEN[41]: 0.0030738    1 accompany
	accompany WORD[41,   1]: 0.0015369 比える
TOKEN[42]: 0.0030398    2 parable
	parable WORD[42,   1]: 0.0015199 比ゆ
	parable WORD[42,   2]: 0.0015199 比喩
TOKEN[43]: 0.0029721    2 simile
	simile WORD[43,   1]: 0.0014861 比ゆ
	simile WORD[43,   2]: 0.0014861 比喩
TOKEN[44]: 0.0029337    2 specific
	specific WORD[44,   1]: 0.0017429 比熱
	specific WORD[44,   2]: 0.0011908 比重
TOKEN[45]: 0.0029268    1 common
	common WORD[45,   1]: 0.0029268 公比
TOKEN[46]: 0.0028676    2 allegory
	allegory WORD[46,   1]: 0.0014338 比ゆ
	allegory WORD[46,   2]: 0.0014338 比喩
TOKEN[47]: 0.0028254    2 metaphor
	metaphor WORD[47,   1]: 0.0014127 比ゆ
	metaphor WORD[47,   2]: 0.0014127 比喩
TOKEN[48]: 0.0026716    1 trial
	trial WORD[48,   1]: 0.0026716 力比べ
TOKEN[49]: 0.0026708    1 slope
	slope WORD[49,   1]: 0.0026708 黄泉比良坂
TOKEN[50]: 0.0026046    1 female
	female WORD[50,   1]: 0.0026046 比丘尼
TOKEN[51]: 0.0025937    2 honor
	honor WORD[51,   1]: 0.0012969 恵比寿講
	honor WORD[51,   2]: 0.0012969 恵比須講
TOKEN[52]: 0.0025849    2 one
	one WORD[52,   1]: 0.0012925 比々
	one WORD[52,   2]: 0.0012924 比比
TOKEN[53]: 0.0025675    1 flounder
	flounder WORD[53,   1]: 0.0025675 比目魚
TOKEN[54]: 0.0024722    2 Buddhist
	Buddhist WORD[54,   1]: 0.0012361 比丘尼
	Buddhist WORD[54,   2]: 0.0012360 比丘
TOKEN[55]: 0.0024582    2 commerce
	commerce WORD[55,   1]: 0.0015464 恵比須
	commerce WORD[55,   2]: 0.0009118 恵比寿
TOKEN[56]: 0.0024404    2 proportion
	proportion WORD[56,   1]: 0.0012204 比例
	proportion WORD[56,   2]: 0.0012200 比率
TOKEN[57]: 0.0024363    2 make
	make WORD[57,   1]: 0.0009379 比える
	make WORD[57,   2]: 0.0005605 比べる
TOKEN[58]: 0.0022674    2 Edo
	Edo WORD[58,   1]: 0.0012294 比丘尼
	Edo WORD[58,   2]: 0.0010380 甲比丹
TOKEN[59]: 0.0022260    1 relative
	relative WORD[59,   1]: 0.0022260 比重
TOKEN[60]: 0.0022044    1 visit
	visit WORD[60,   1]: 0.0022044 訪比
TOKEN[61]: 0.0021387    1 dead
	dead WORD[61,   1]: 0.0021387 黄泉比良坂
TOKEN[62]: 0.0020830    1 parity
	parity WORD[62,   1]: 0.0020830 比価
TOKEN[63]: 0.0020330    1 noblewoman
	noblewoman WORD[63,   1]: 0.0020330 比丘尼
TOKEN[64]: 0.0020136    2 face
	face WORD[64,   1]: 0.0010068 恵比寿顔
	face WORD[64,   2]: 0.0010068 恵比須顔
TOKEN[65]: 0.0020004    1 endurance
	endurance WORD[65,   1]: 0.0020004 根比べ
TOKEN[66]: 0.0019951    2 period
	period WORD[66,   1]: 0.0010818 比丘尼
	period WORD[66,   2]: 0.0009133 甲比丹
TOKEN[67]: 0.0019918    1 land
	land WORD[67,   1]: 0.0019918 黄泉比良坂
TOKEN[68]: 0.0019789    2 worthy
	worthy WORD[68,   1]: 0.0009894 比べもの
	worthy WORD[68,   2]: 0.0009894 比べ物
TOKEN[69]: 0.0019708    1 peerless
	peerless WORD[69,   1]: 0.0019708 無比
TOKEN[70]: 0.0019425    1 abreast
	abreast WORD[70,   1]: 0.0019425 比翼
TOKEN[71]: 0.0019128    1 unparalleled
	unparalleled WORD[71,   1]: 0.0019128 無比
TOKEN[72]: 0.0018678    2 god
	god WORD[72,   1]: 0.0011750 恵比須
	god WORD[72,   2]: 0.0006928 恵比寿
TOKEN[73]: 0.0018423    2 fishing
	fishing WORD[73,   1]: 0.0011589 恵比須
	fishing WORD[73,   2]: 0.0006833 恵比寿
TOKEN[74]: 0.0018151    1 hired
	hired WORD[74,   1]: 0.0018151 比丘尼
TOKEN[75]: 0.0017826    2 made
