Summary: {Weight} {token}: {words[0:10]}
0.0023135    5 cannon         : 砲音, 砲煙, 砲声, 砲, 大砲
0.0023107    1 deity          : 分祀
0.0022976    1 blade          : 鉋身
0.0022870    1 matrimony      : 枸杞
0.0022671    3 dried          : 匏, 熨斗鮑, 巻繊
0.0022670    4 souvenir       : 苞苴, 紀念, 苞, 記念
0.0022510    2 carving        : 庖丁, 包丁
0.0022376    4 froth          : 泡ぶく, 泡だつ, 泡立つ, 泡
0.0022040    2 gorgeous       : 艷やか, 艶やか
0.0021836    2 street         : 巷, 巷間
0.0021822    5 foam           : 泡ぶく, 泡だつ, 泡立つ, 水泡, 泡
0.0021739    3 coquettish     : 艷冶, 艶かしい, 艶めかしい
0.0021734    1 tie            : 鮑結び
0.0021726  114 color          : 色艶, 色ち, 主色, 顕色, 測色, 色むら, 色ムラ, 色斑, 比色, 艶, ...
0.0021721    1 pan            : 炮烙
0.0021596    1 crinkle        : 捲縮
0.0021596    1 waviness       : 捲縮
0.0021195    1 bumpkin        : 巴人
0.0021128    1 bottle         : 匏
0.0020973    4 elegant        : 艷やか, 幽艶, 優艶, 艶やか
0.0020577    2 fatigue        : 倦憊, 倦怠
0.0020507    1 gripping       : 握把
0.0020252  112 colour         : 色校, 色艶, 主色, 新色, 艶, 羽色, 色出し, 配色, 色合わせ, 色差, ...
0.0020193    1 cutting        : 鉋身
0.0019845    1 shrine         : 分祀
0.0019813    2 cooking        : 庖丁, 包丁
0.0019731    1 resident       : 巴人
0.0019348    2 bellow         : 咆吼, 咆哮
0.0019277    4 empress        : 皇妃, 后妃, 国忌, 王妃
0.0019068    5 straw          : 苞苴, 藁苞, 苞, 巻き藁, 巻藁
0.0018927    1 crimp          : 捲縮
0.0018611    3 pick           : 枹, 起こす, 起す
0.0018366    1 portfolio      : 折り鞄
0.0018351    1 vine           : 枸杞
0.0018101    3 follicle       : 濾胞, 卵胞, 毛包
0.0018049    1 hilt           : 握把
0.0017943    3 kimono         : 縕袍, 腰巻, 腰巻き
0.0017701   10 artillery      : 砲熕, 野砲, 砲兵, 砲戦, 重砲, 砲列, 砲術, 砲, 大砲, 火砲
0.0017694    2 gossip         : 巷談, 巷説
0.0017671    2 enshrine       : 祀る, 奉祀
0.0017291    5 handle         : 握把, 把っ手, 把手, 柄巻, 柄巻き
0.0017236    2 blister        : 疱疹, 水疱
0.0017222    4 weary          : 倦み疲れる, 倦きる, 飽かす, 飽きる
0.0017210    2 princess       : 公妃, 妃
0.0016980    8 holding        : 握把, 縦抱き, 肥だめ, 肥溜, 肥溜め, 横抱き, 抱擁, 懐抱
0.0016916    1 foot           : 汗疱
0.0016898    1 remote         : 僻邑
0.0016719    2 emperor        : 妃嬪, 国忌
0.0016696    4 produce        : 苞苴, 苞, 起こす, 起す
0.0016694    3 queen          : 皇妃, 后妃, 王妃
0.0016435    4 following      : 鞄持ち, 已下, 左記, 下記
0.0016421    2 local          : 苞苴, 苞
0.0016299    1 pustule        : 膿疱
0.0016100    1 woodworking    : 鉋
0.0016074    4 satisfied      : 飽き足りる, 飽足りる, 飽き足る, 飽足る
0.0015982   13 end            : 已上, 已める, 飽くまで, 飽く迄, 巻尾, 忌み明け, 跡絶える, 途絶える, 絶やす, 絶命, ...
0.0015859    1 saliva         : 泡ぶく
0.0015814    4 tire           : 待ち倦む, 倦きる, 飽かす, 飽きる
0.0015733    1 flunky         : 鞄持ち
0.0015581    6 cease          : 已める, 已む, 跡絶える, 途絶える, 絶える, 絶する
0.0015504    3 present        : 苞苴, 配り物, 苞
0.0015209    2 carrier        : 鞄持ち, 抱っこ紐
0.0014791   11 death          : 忌み日, 巷, 国忌, 周忌, 忌日, 回忌, 年忌, 遠忌, 絶命, 絶息, ...
0.0014728    7 anniversary    : 忌み日, 国忌, 周忌, 年忌, 回忌, 忌日, 遠忌
0.0014407    1 oiled          : 炮烙
0.0014347    2 secretary      : 鞄持ち, 書記
0.0014182   29 person         : 炮烙, 飽き性, 抱き起こす, 抱き起す, 忌日, 単記, 配属, 周忌, 抱き込む, 抱込む, ...
0.0013971    2 extreme        : 倦憊, 絶倒
0.0013587    1 parching       : 炮烙
0.0013495    4 influence      : 圏域, 圏外, 圏内, 支配
0.0013384    1 duchess        : 公妃
0.0013201   19 fertilizer     : 肥効, リン肥, 燐肥, 元肥, 補肥, 肥だめ, 肥溜, 肥溜め, 液肥, 原肥, ...
0.0013129    1 robe           : 袍
0.0013098    1 luggage        : 鞄持ち
0.0013093    2 vacuole        : 空胞, 液胞
0.0013085    6 sword          : 握把, 柄巻, 柄巻き, 長巻, 巻き藁, 巻藁
