Summary: {Weight} {token}: {words[0:10]}
0.0081633    3 bread          : 麪包, 麵麭, 麺麭
0.0057619   57 Japanese       : 鰆, 蟾蜍, 樅, 鰮, 鞨鼓, 秦皮, 野衾, 真鰺, 秋茱萸, 羯鼓, ...
0.0049151  241 one            : 壻, 靺鞨, 婿選び, 反噬, 頰杖, 頷きあう, 頷き合う, 劍, 聳やかす, 擒, ...
0.0041686    8 priest         : 老衲, 野臥, 巫祝, 捨身, 入定, 座主, 神人, 上人
0.0040816    1 prophecy       : 讖
0.0040816    1 protector      : 鞆
0.0040148   44 Chinese        : 臉譜, 茯苓, 羯, 哨吶, 饂飩, 皮蛋, 仄声, 介詞, 姫椿, 胡琴, ...
0.0034116   12 Japan          : 日泰, 漢検, 石剣, 昔蜻蛉, 勝絶, 磯城島, 耳栓, 国会, 内帯, 毛人, ...
0.0032712    1 toad           : 蟾蜍
0.0031765    2 fur            : 膃肭獣, 膃肭臍
0.0029872    6 fence          : 垣牆, 姫墻, 墻壁, 牆壁, 結界, 雪除け
0.0029641    4 mackerel       : 鰆, 真鰺, 室鰺, 鰺
0.0027550   10 seal           : 膃肭獣, 膃肭臍, 刻印, 捨て印, 捨印, 塗り込める, 篆刻, 印刻, 検印, 実印
0.0027058    4 mast           : 帆檣, 檣, 檣頭, 船檣
0.0026004   18 blue           : 滄浪, 蒼波, 滄海, 磯鵯, 滄溟, 藤紫, 蒼竜, 蒼龍, 蒼海, 蒼, ...
0.0025686   16 mountain       : 青嶺, 袂, 山椿, 聳える, 泰山, 峻嶺, 銀嶺, 験者, 野臥, 春山, ...
0.0025583    1 millions       : 幾千万
0.0025548   22 title          : 掲題, 題簽, 経題, 唱題, 地券, 改題, 今作, 無題, 題字, 題号, ...
0.0025258    1 quintillion    : 垓
0.0024844    8 sticks         : 田舍, 鞨鼓, 占筮, 羯鼓, 焼き麩, ど田舎, ド田舎, 田舎
0.0024403    1 pilchard       : 鰮
0.0024239    4 moving         : 蹌々, 奉遷, 快走, 渡座
0.0024198    6 slander        : 讒誣, 誹譏, 誣言, 誣いる, 誣告, 譏る
0.0023963   15 stone          : 石碣, 石堤, 石匙, 心礎, 定礎, 礎, 礎石, 膿栓, 核果, 刻銘, ...
