Summary: {Weight} {token}: {words[0:10]}
0.0016033   14 sacrifice      : 供犠, 生け贄, 生贄, 犠飛, 犠打, 犠牲, 贄, 献げる, 人柱, 身代り, ...
0.0016020    1 knotty         : 節榑
0.0015867    3 vicinity       : 京畿, 畿内, 牢屋敷
0.0015777   33 made           : 善哉, 麈尾, 裘, 錢, 甃, 華瓶, 偽版, 雪兎, 蒲団, 熨斗目, ...
0.0015679    6 cry            : 吶喊, 喊声, 魘される, 哭く, 吠える, 半泣き
0.0015649    2 ridge          : 棟瓦, 氷壁
0.0015506    1 jerky          : 脯
0.0015426    4 honest         : 摯実, 誠実, 律儀, 律義
0.0015396    1 duplicity      : 弐心
0.0015383    6 starvation     : 餓莩, 饑餓, 飢餓, 餓え死に, 餓死, 餓え
0.0015360   35 charge         : 讒, 冤枉, 冤罪, 讒口, 駄賃, 讒言, 席料, 請求, 料金, 料, ...
0.0015322   12 unit           : 勺, 錢, 斛, 銭, 航戦, 親機, 有半, 住戸, 単価, 半, ...
0.0015242    3 musical        : 蝌蚪, 載せる, 丸
0.0015234    7 menace         : 威脅, 威迫, 猛威, 脅威, 威す, 威かす, 威嚇
0.0015201   12 acting         : 媒妁, 媒酌, 猿芝居, 球拾い, 代弁, 代辨, 代辯, 代行, 親代り, 親代わり, ...
0.0015195    4 watch          : 見戍る, 撃柝, 認める, 注視
0.0015109   19 two            : 双璧, 弐, 豊州, 筑州, 丹州, 肥州, 両義, 割り注, 割注, 柱間, ...
0.0015074    3 giant          : 甌穴, 半裂, 大玉
0.0014820    2 ten            : 十誡, 十戒
0.0014797    6 earthenware    : 平瓮, 甕, 藍瓶, 瓶子, 土瓶, 大瓶
0.0014626   10 rabbit         : 兔, 家兎, 穴兎, 兎狩り, 狡兎, 白兎, 雪兎, 野兎, 兎角, 兎
0.0014578   11 blue           : 青黛, 磯鵯, 荵, 青懸巣, 花菖蒲, 瓶覗, 雪兎, 薄青, 青丹, 丹青, ...
0.0014567   18 machine        : 軽機, 機械, 器械, 筺体, 実機, 編み機, 織機, 紡機, 名機, 愛機, ...
0.0014316    4 rocky          : 礒, 磯浜, 磯魚, 磯
0.0014292    7 goods          : 贓物, 贓品, 受発注, 諸式, 特注, 代物, 品薄
0.0014207    1 purity         : 梵僧
0.0014137    2 Paeonia        : 芍薬, 牡丹
0.0014067    1 goose          : 鵞鳥
0.0014053   13 roof           : 甍, 鳶尾, 石瓦, 越し屋根, 越屋根, 丸瓦, 瓦屋, 瓦屋根, 平瓦, 屋根瓦, ...
0.0014005    1 forethought    : 遠猷
0.0013954   14 ship           : 艤装, 戎克, 帆足, 帆船, 就航, 床敷, 載貨, 甲比丹, 搭載, 着氷, ...
0.0013894    2 peony          : 芍薬, 牡丹
0.0013885    5 defamation     : 讒, 誹譏, 讒口, 讒謗, 讒言
0.0013805    1 treachery      : 弐心
0.0013772    1 popliteal      : 膕
0.0013625    4 reeled         : 綛糸, 綛, 釣り上がる, 釣り上る
0.0013575    2 starved        : 餓莩, 餓える
0.0013304    1 carabid        : 筬虫
0.0013290    2 epilogue       : 跋, 跋文
0.0013264    7 garden         : 前栽, 圃場, 花圃, 灯蛾, 白洲, 白州, 花屋敷
0.0013255   31 large          : 麈尾, 尨大, 甕, 卓袱, 泳がす, 幾ど, 鸚鵡, 巨獣, 博大, 千畳敷, ...
0.0013116    6 threat         : 威脅, 戦雲, 威迫, 脅威, 威し, 威嚇
0.0012955   13 common         : 靫草, 蒲, 常識, 銭葵, 凡愚, 袋狐, 平凡, 木賊, 鯣烏賊, 熟する, ...
0.0012903   23 book           : 箴言, 簿価, 紀伊國屋, 簿冊, 単著, 帳簿, 述作, 献本, 駄本, 貸しきる, ...
0.0012601    6 steaming       : 甑, 蒸熱, 盛りそば, 盛り蕎麦, 盛蕎麦, 盛
0.0012572   26 low            : 微賎, 卑賎, 卓袱, 下賎, 卓袱台, 貶める, 貴賎, 残り少な, 残り少ない, 微賤, ...
0.0012548   44 cloth          : 麻織り, 縮絨, 袱紗, 太織, 太織り, 裁ち出す, 足拭き, 截つ, 裁ち物, 熨斗目, ...
0.0012387   35 school         : 退塾, 通塾, 院試, 学閥, 國語, 画塾, 私塾, 塾舎, 塾長, 家塾, ...
0.0012297    2 parrot         : 洋鵡, 鸚鵡
0.0012289    1 oak            : 槲
0.0012275    5 relative       : 外戚, 遠戚, 縁戚, 親戚, 姻戚
0.0012274    1 celadon        : 青瓷
0.0012256   14 sail           : 縮帆, 横帆, 主帆, 縦帆, 真帆, 帆桁, 帆影, 白帆, 帰帆, 片帆, ...
0.0012173   21 people         : 菁莪, 双璧, 賎民, 賤民, 契丹, 武辺, 万歳, 大勢, 大御宝, 州民, ...
0.0012114    1 foresight      : 遠猷
0.0012061    2 penitence      : 懺法, 懺悔
0.0012019   36 area           : 膕, 勺, 機場, 輪伐, 県域, 職域, 白洲, 戦域, 求積, 墓域, ...
0.0011996    9 tree           : 節榑, 柝, 叉木, 叉, 雪釣り, 牡丹, 丸八, 玉ぐし, 玉串
0.0011985    6 monk           : 梵僧, 執行, 檀越, 山伏, 神主, 布袋
0.0011955   12 ant            : 蟻んこ, 山蟻, 蟻蜂, 火蟻, 蟻ん子, 赤蟻, 侍蟻, 羽蟻, 黒蟻, 働き蟻, ...
0.0011930   20 punishment     : 刑戮, 誅戮, 蟄居, 酬い, 必罰, 征伐, 誡め, 求刑, 懲戒, 制裁, ...
0.0011860    4 threshold      : 識閾, 閾値, 閾, 敷居
0.0011747   14 leaving        : 扠置き, 退塾, 志半ば, 去就, 巣離れ, 巣立ち, 離職, 見残し, 下国, 卒業, ...
0.0011736    5 farewell       : 餞, 餞別, 草鞋銭, 永訣, 永別
0.0011698    1 metric         : 瓲
0.0011586   17 ground         : 筬虫, 啓蟄, 鳶足, 聖域, 霊域, 浄域, 蹴る, うつ伏す, 伏せる, 組み伏せる, ...
0.0011574   67 someone        : 魘魅, 斥ける, 泳がす, 魁ける, 掴まえる, 掴み出す, 遠吠, 遠吠え, 酌み取る, 蹴り出す, ...
0.0011454    7 paving         : 鋪石, 甃, 鋪装, 舗装, 舗石, 石敷, 敷石
0.0011447   25 letter         : 召状, 単字, 封状, 本状, 斜字, 偽書, 稟議, 申し越し, 謝状, 許状, ...
0.0011397    1 Chang          : 嫦娥
0.0011367    9 green          : 糂汰, 翠黛, 荵, 毬藻, 未熟, 忍, 浅緑, 玉露, 薄緑
0.0011271    5 raising        : 菁莪, 植栽, 成育, 盛り土, 盛土
0.0011168   43 family         : 稲科, 鹹草, 夜蛾, 門閥, 雀蛾, 袋蜘蛛, 葵科, 菊科, 磯目, 鷲, ...
0.0011158    7 cram           : 退塾, 通塾, 塾舎, 入塾, 塾生, 塾通い, 塾
0.0011119    1 pothole        : 甌穴
0.0011111    3 postscript     : 跋, 跋文, 識語
0.0011098    1 selfheal       : 靫草
0.0011071    3 hatching       : 孵卵, 孵化, ふ卵
0.0011064    5 incubation     : 孵卵, 孵化, 抱卵, ふ卵, 潜伏
0.0010967   59 dog            : 豚犬, 尨犬, 尨, 軍犬, 送り犬, 犬笛, 藪犬, 犬食い, 犬皮, 犬肉, ...
0.0010819   19 white          : 白瓷, 白洲, 花筏, 宝毛, 白兎, 白州, 白帆, 雪兎, 卵肌, 白蟻, ...
0.0010747    2 murder         : 弑逆, 主殺し
0.0010669   36 animal         : 供犠, 尨毛, 虎豹, 穢多, 巨獣, 海豹, 獣人, 害獣, 幼獣, 獣骨, ...
0.0010658   77 state          : 宗国, 國家, 國, 国璽, 沙汰, 州外, 州内, 全州, 州境, 同州, ...
0.0010638   34 kick           : 騷ぐ, 回し蹴り, 前蹴り, 跳び蹴り, 飛び蹴り, 蹴り出す, 蹴り入れる, 蹴上がり, 蹴り返す, 蹴り込む, ...
0.0010527    7 appointment    : 親補, 予約, 約束, 約, 補職, 補任, 国選
0.0010515   12 lord           : 弑逆, 城主, 居城, 威張りちらす, 威張り散らす, 領主, 主従, 主君, 旧主, 藩主, ...
0.0010500    9 setting        : 扠置き, 帰帆, 論述, 出帆, 兎も角, 兎に角, 巣引き, 予約, 斜陽
0.0010463   14 range          : 亙る, 黛, 職域, 狭域, 声域, 変域, 芸域, 領域, 値域, 帯域, ...
0.0010461   10 superficial    : 淺見, 半可通, 生半可, 浅薄, 浅学, 浅見, 浅はか, 浅い, 軽薄, 薄手
0.0010459   35 hold           : 摑む, 鷲掴み, 摑まる, 押し戴く, 貶む, 鷲づかみ, 賤しむ, 掴まえる, 献げる, 華瓶, ...
0.0010445   11 dynasty        : 犬戎, 太傅, 西戎, 宋銭, 元代, 清代, 太保, 宋代, 馬賊, 清国, ...
0.0010424   18 shallow        : 淺見, 浅鉢, 生半可, 浅薄, 浅学, 遠浅, 浅海, 浅見, 浅はか, 浅い, ...
0.0010409    1 invitation     : 召状
0.0010395   47 castle         : 西の丸, 城隍, 名城, 帰城, 城跡, 城将, 廃城, 金城, 化城, 敵城, ...
0.0010366   41 sword          : 剣璽, 大太刀, 剣戟, 刀刃, 白刃, 刃文, 玉羊歯, 忍び刀, 忍刀, 利刃, ...
0.0010337   10 shop           : 印舗, 老鋪, 名舗, 舗, 鋪, 老舗, 店鋪, 本舗, 店舗, 店主
0.0010332   26 red            : 善哉, 赤丹, 火蟻, 熾火, 鉛丹, 角叉, 赤蟻, 灼ける, 灼熱, 雪兎, ...
0.0010329   51 period         : 干魃, 旱魃, 六国, 少輔, 宝丹, 鳶職, 鳶の者, 仁太夫, 私塾, 白洲, ...
0.0010295   22 side           : 扠置き, 幟旗, 幟, 内職, 釣り殿, 釣殿, 壁越し, 兼業, 傍注, 半面, ...
0.0010286   27 cutting        : 除伐, 主伐, 截頭, 截金, 断截, 半截, 伐採, 断裁, 半裁, 截断, ...
0.0010245    5 hare           : 兔, 雪兎, 脱兎, 野兎, 兎
0.0010207   24 play           : 歌舞伎芝居, 戯る, 夏芝居, 搏つ, 村芝居, 戯える, 為る, 訴える, 芝居, 性戯, ...
0.0010168    6 dried          : 脯, 熨斗鮑, 熨斗, 裂き烏賊, 丸干し, 藍玉
0.0010095   16 emperor        : 槲, 璽, 宝位, 贄, 神璽, 献物, 就ける, 親裁, 国忌, 天職, ...
0.0010094    7 thread         : 綛糸, 綛, 玉結び, 太糸, 糸玉, 極太, 太白
0.0010092   53 fishing        : 岸釣り, 戎, 磯釣, 磯釣り, 泛子, 鮪釣り, 引き釣り, 釣り具, 釣具, 穴釣り, ...
0.0009977   23 blade          : 替え刃, 替刃, 刀刃, 刃こぼれ, 刃毀れ, 刃文, もろ刃, 両刃, 双刃, 諸刃, ...
0.0009962    2 maroon         : 葡萄色, 葡萄茶
0.0009955    1 shaku          : 勺
0.0009953   10 binding        : 縅, 縛り, 緊縛, 束縛, 呪縛, 繋縛, 金縛り, 縛め, 綴じ代, 威
0.0009941   68 person         : 虎豹, 訴外, 賤, 之, 之れ, 財閥, 威張りん坊, 山住み, 凡人, 監的, ...
0.0009940    5 father         : 弑逆, 義父, 国父, 太閤, 先代
0.0009918    2 cony           : 兔, 兎
0.0009914    1 alcoholic      : 盞
0.0009908   19 set            : 扠置く, 践む, 泛べる, 泳がす, 食い縛る, 題詠, 墓域, 戦わす, 載る, 単品, ...
0.0009811   33 water          : 饑饉, 水甕, 水疣, 花筏, 鹹水, 水注ぎ, 泳がす, 酌み取る, 熱水, 撥ね釣瓶, ...
0.0009808    1 e              : 嫦娥
0.0009805   24 pillar         : 橋杙, 残柱, 脇柱, 隅柱, 炭柱, 鉱柱, 斗, 心柱, 真柱, 親柱, ...
0.0009758   74 something      : 戯る, 魁ける, 霊璽, 尤物, 掴まり立ち, 為所, 太巻き, 蹴り入れる, 戴く, 戴き, ...
0.0009757    3 raft           : 花筏, 竹筏, 筏
0.0009714    1 muttering      : 囈言
0.0009701    5 shaggy         : 尨, 尨犬, 尨毛, むく犬, ムク犬
0.0009687   14 bamboo         : 筺, 竹筏, 竹籤, 箋, 茶杓, 杓子, 忍び返し, 忍返し, 犬矢来, 丸竹, ...
0.0009662    2 lagomorph      : 兔, 兎
0.0009638    1 Prunella       : 靫草
0.0009626    6 meat           : 脯, 丼, 牡丹, 獣, 犬肉, 主菜
0.0009557    1 Alcor          : 輔星
0.0009537   13 view           : 淺見, 斜め顔, 広域, 料簡, 公議, 斜, 斜め, 浅見, 覗き機関, 覗機関, ...
0.0009500   13 humble         : 微賎, 卑賎, 賎民, 下賎, 微賤, 卑賤, 賤民, 下賤, 賤しい, 約やか, ...
0.0009465    7 idea           : 淺見, 説述, 料簡, 卓識, 浅見, 主意, 主観
0.0009463   10 god            : 蚩尤, 戎, 城隍, 武神, 玄武, 梵, 神威, 梵天, 布袋, 犬神
0.0009427    3 tiled          : 甍, 瓦屋, 瓦屋根
0.0009426    1 lard           : 膩
0.0009419    2 beetle         : 筬虫, 玉虫
0.0009417   31 art            : 文藝, 藝術, 藝, 磯城島, 杖術, 刀術, 秘術, 体術, 兵術, 武術, ...
0.0009404    5 kettle         : 甌穴, 水注ぎ, 鉄瓶, 釜敷, 釜敷き
0.0009403   26 making         : 斟酌, 鹹水, 茶杓, 申述, 巣作り, しん酌, 酌量, 往復, 求愛, 和裁, ...
0.0009398   59 ball           : 毬藻, 球際, こぼれ球, 蹴り返す, 捕逸, 蹴り込む, 綿球, 魔球, 鋼球, 荒れ球, ...
0.0009356    8 contempt       : 貶下, 貶む, 貶み, 貶める, 賤しむ, 賤しめる, 我れ, 我
0.0009326    1 delirium       : 囈言
0.0009266    2 grease         : 膩, 獣脂
0.0009263   23 offering       : 速贄, 献饌, 贄, 献詠, 献物, 献杯, 献盃, 献納, 献言, 献金, ...
0.0009252    5 crying         : 号哭, 半べそ, 半ベソ, 泣き伏す, 泣伏す
0.0009205    2 suckling       : 哺乳, 哺育
0.0009197   19 grasp          : 摑み取る, 摑む, 摑まる, 掴み取る, 酌み取る, 掴む, 掴みかかる, 掴み掛かる, 掴まる, 掴まえる, ...
0.0009179    5 penalty        : 刑戮, 誅戮, 減刑, 減, 主刑
0.0009170    2 roast          : 浅煎り, 丸焼き
0.0009142   12 special        : 親補, 別儀, 別義, 特約, 特認, 済州, 別注, 特注, 別科, 専業, ...
0.0009096   12 poetry         : 詞賦, 詠吟, 磯城島, 詩賦, 賦する, 題詠, 流儀, 詩業, 敷島, 国ぶり, ...
0.0009060    9 moth           : 雀蛾, 夜蛾, 白灯蛾, 尺蛾, 蚕蛾, 毒蛾, 灯蛾, 螟蛾, 蛾
0.0009027    1 grey           : 洋鵡
0.0009022    2 tallow         : 膩, 獣脂
0.0009021    4 scorn          : 貶下, 顰蹙, 貶む, 賤しむ
0.0009020    2 sensitiveness  : 鋭感, 感性
0.0008992   22 top            : 太傅, 幟旗, 幟, 半切れ, かつ丼, カツ丼, 梁成, 斗, 戴く, 太保, ...
0.0008980    1 Poria          : 茯苓
0.0008932   10 plan           : 遠猷, 賦払い, 試案, 偽計, 代案, 骨太, 成案, 作成, 機軸, 丸優
0.0008896   33 home           : 蟄伏, 國, 巣篭もり, 家塾, 晩酌, 帰帆, 巣ごもり, 巣籠もり, 巣籠り, 我が家, ...
0.0008884   36 land           : 圃場, 出洲, 出州, 國, 減歩, 穢土, 墓域, 料地, 職田, 袋地, ...
0.0008865    2 scarce         : 尠い, 乏しい
0.0008810    5 divination     : 平瓮, 占術, 卜術, 式神, 太占
0.0008787    1 rigging        : 艤装
0.0008782    2 goddess        : 嫦娥, 歳神
0.0008776    5 sniff          : 嗅ぎ回る, 嗅ぎつける, 嗅ぎ付ける, 嗅ぎ当てる, 嗅ぐ
0.0008746   17 sea            : 浦風, ウニ丼, 浦里, 吠える, 大鷲, 磯焼け, 磯臭い, 浅堆, 戸惑い, 雲丹, ...
0.0008744   17 annotation     : 評註, 校註, 附註, 訳註, 註釈, 註記, 註解, 註, 校注, 私注, ...
0.0008737    3 execution      : 刑戮, 誅戮, 執行
0.0008724    7 distant        : 遠戚, 翠黛, 黛, 遠吠, 遠吠え, 遠国, 古代
0.0008715    1 durability     : 永存
0.0008706   28 taking         : 斟酌, 丸読み, 魁, しん酌, 酌量, 掴み取り, 就任, 自裁, 載貨, 武装, ...
0.0008697    4 dipper         : 烏柄杓, 杓, 柄杓, 半夏
0.0008696    3 matchless      : 双璧, 稀代, 希代
0.0008678   19 coin           : 錢, 銭袋, 宋銭, 銭貨, 穴銭, びた銭, 鐚銭, 銀銭, 投げ銭, 投銭, ...
0.0008665    8 iron           : 鐵, 鉄瓶, 火熨斗, 鉄球, 忍び返し, 忍返し, 鉄柱, 玉鋼
0.0008665    1 basidiomycete  : 茯苓
0.0008609   54 ice            : 氷球, 氷棚, 氷丘, 氷詰め, 氷柱, 角氷, 氷片, かき氷, カキ氷, 欠き氷, ...
