Summary: {Weight} {token}: {words[0:10]}
0.0018199    7 pardon         : 大赦, 容赦, 赦す, 赦し, 特赦, 赦免, 恩赦
0.0018114   16 respect        : 敬愛, 敬する, 敬す, 恭敬, 敬う, 敬い, 表敬, 尊敬, 敬老, 敬慕, ...
0.0018008   10 fall           : 興敗, 毎秋, 散りぎわ, 散り際, 覆いかぶさる, 覆い被さる, 舞い散る, 激減, 散る, 秋気
0.0017895    1 verdure        : 嫩葉
0.0017738   11 rescue         : 救い上げる, 救ける, 救う, 救い出す, 救い, 救難, 救助, 救恤, 救出, 救済, ...
0.0017611    3 discussion     : 論攷, 政談, 激論
0.0017507    6 food           : 乞児, 行乞, 乞食, 食傷, 腹持ち, 傷む
0.0017487   17 time           : 毎次, 邀える, 毎々, 毎毎, 毎度, 毎回, 取り敢えず, 取敢えず, 復, 改めて, ...
0.0017325   14 place          : 藪沢, 拉致る, 故山, 故地, 複, 故里, 攻め口, 故郷, 敵地, とっ散らかる, ...
0.0017295    1 inquiry        : 論攷
0.0017289   30 wound          : 弾傷, 刺し傷, 致死傷, かみ傷, 噛み傷, 刺傷, ためらい傷, 深傷, 刀傷, 浅傷, ...
0.0017244   24 defeat         : 斃す, 必敗, 敗滅, 惜敗, 惨敗, 完敗, 敗報, 敗勢, 敗残, 敗軍, ...
0.0017136    2 research       : 論攷, 政調
0.0017003    1 arsenal        : 工廠
0.0016871    3 music          : 笙, 拍数, 御遊
0.0016763    3 destiny        : 興敗, 命数, 数
0.0016760    7 offering       : 雛霰, 奉幣, 幣帛, 幣, 神遊, 搔敷, 神遊び
0.0016597    5 study          : 論攷, 攻究, 専攻, 教門, 遊ぶ
0.0016590    3 court          : 笙, 朝政, 御遊
0.0016363   22 change         : 變, 改氏, 改号, 履きかえる, 履き替える, 変改, 政変, 改名, 改変, 改訂, ...
0.0016244    4 wind           : 笙, 屁放き, 放つ, 飛散
0.0016174    5 last           : 晦, 大晦, 晦日, 散りぎわ, 散り際
0.0016045    6 flat           : 變, 枚数, 枚, 千畳敷, 閑散, 気抜け
0.0015979    1 lodging        : 廠舎
0.0015698   11 evil           : 悪弊, 余弊, 弊風, 病弊, 通弊, 積弊, 宿弊, 弊害, 豆撒き, 悪遊び, ...
0.0015555    1 ammunition     : 工廠
0.0015340    2 article        : 論攷, 傷物
0.0015177    5 conceal        : 晦ます, 蔽う, 覆いかくす, 覆い隠す, 覆う
0.0015162   19 strict         : 韜晦, 厳律, 峻厳, 厳めしい, 手厳しい, 厳命, 厳密, 厳秘, 厳探, 厳達, ...
0.0015150    5 military       : 廠舎, 軍警, 軍政, 警務, 遊撃
0.0014928    6 grove          : 薮, 竹薮, 屋敷林, 藪の中, 藪, 竹藪
0.0014927    5 Shinto         : 三教, 禊教, 奉幣, 幣物, 幣束
0.0014787   14 police         : 国警, 軍警, 警吏, 警察, 自警, 市警, 警務, 警棒, 府警, 県警, ...
0.0014699    3 amazed         : 驚き入る, 吃驚, 喫驚
0.0014670    1 reprimand      : 厳責
0.0014663    2 rebuke         : 厳責, 警める
0.0014514    6 preparedness   : 敢死, 氣持ち, 気組み, 気構え, 気持, 気持ち
0.0014336    8 quick          : 慧敏, 敏しょう, 敏捷, 敏, 機敏, 速攻, 呆気ない, 短気
0.0014301    5 hide           : 晦ます, 蔽う, 覆いかくす, 覆い隠す, 覆う
0.0014277    2 abundant       : 藪沢, 贅沢
0.0014255    5 day            : 晦, 大晦, 晦日, 毎日, 放課
0.0014185    3 cattle         : 斃牛馬, 牧牛, 牧畜
0.0014100    2 reason         : 故無い, 理致
0.0013965    1 towering       : 危巌
0.0013913    4 month          : 毎月, 晦, 晦日, 中気
0.0013906    1 transhumance   : 移牧
0.0013785    1 convergence    : 収斂
0.0013777    1 factory        : 工廠
0.0013695    9 covering       : 陰蔽, 隠蔽, 覆土, 被覆, 床敷, 腹巻, 腹巻き, 敷, 敷き
0.0013649    6 sea            : 熬海鼠, 海遊び, 激浪, 水遊び, 海気, 潮気
0.0013623    1 bekko          : 鼈甲
0.0013573   13 side           : 側腹, 斃す, 敵側, 敵方, わき腹, 脇腹, 横腹, 横っ腹, 脾腹, 腹合せ, ...
0.0013495    5 bush           : 薮, 藪犬, 繁み, 草藪, 藪
0.0013352    8 begging        : 乞児, 行乞, 乞食, 命乞, 命乞い, もの乞い, 物乞, 物乞い
0.0013341    9 relief         : 救民, 救貧, 救荒, 救い, 救助, 救恤, 救済, 救護, 救援
0.0013315    1 autocracy      : 専政
0.0013254    2 temporary      : 廠舎, 気休め
0.0013126    3 screening      : 遮蔽, 掩蔽, 厳選
0.0013120    2 observation    : 見倣う, 緻密
0.0013118    2 arrogance      : 驕傲, 傲り
0.0013020    3 super          : 激, 激かわ, 激安
0.0012987    2 fresh          : 嫩葉, 生傷
0.0012954    1 roof           : 廠舎
0.0012951    1 white          : 橄欖
0.0012785    2 insolent       : 倨傲, 傲慢
0.0012624   15 give           : 言い做す, 言做す, 赦す, 撒く, 敗ける, かじり散らす, 明け放れる, 見放す, 放る, 放りだす, ...
0.0012613    2 steep          : 危巌, 激しい
0.0012572    2 rise           : 興敗, 激増
0.0012540    7 strong         : 厳責, 激臭, 厳談, 厳重, 激しい, 強敵, 気概
0.0012388   20 go             : 拉致る, 邀える, 敗着, 攻め合い, 復る, 履む, 碁敵, 手放す, 野放し, 放免, ...
0.0012379    1 latus          : 側腹
0.0012353    6 power          : 復電, 政柄, 敵勢, 大政, 政権, 合気
0.0012330    4 amnesty        : 大赦, 特赦, 赦免, 恩赦
0.0012186   33 government     : 顚覆, 憲政, 転覆, 顛覆, 政変, 政体, 自警, 覆す, 朝敵, 軍政, ...
