Summary: {Weight} {token}: {words[0:10]}
0.0022253    5 someone        : 預かり人, 預ける, 踊らす, 見通す, 通す
0.0022231    1 bronze         : 銅矛
0.0022157    2 aloud          : 読誦, 誦する
0.0022069    2 land           : 所務, 預かり人
0.0021508    4 burst          : 涌き起こる, 涌き起る, 湧き起こる, 湧き起る
0.0021507    2 fountain       : 涌泉, 湧泉
0.0021305    1 rote           : 記誦
0.0021297    1 cloakroom      : 預かり所
0.0020645    1 phyllotaxis    : 葉序
0.0020645    1 phyllotaxy     : 葉序
0.0020622    4 crumple        : 揉み拉く, 揉みしだく, 揉み立てる, 揉む
0.0020553    1 Fortunella     : 金橘
0.0020553    1 kumquat        : 金橘
0.0020451    3 Imperata       : 白茅, 茅萱, 茅
0.0020274    2 Citrus         : 橘, 酢橘
0.0020234    6 custody        : 預かり人, 預ける, 預け, 預かる, 預かり, 預り
0.0020016    4 springing      : 涌き, 涌出, 湧き, 湧出
0.0019393    4 uproar         : 湧き上る, 涌き上がる, 湧きあがる, 湧き上がる
0.0019234    9 gentle         : 手柔らか, 柔順, もの柔らか, 物柔らか, 柔かい, 柔らかい, 柔らか, 柔和, 懐柔
0.0019223    2 poem           : 記誦, 愛誦
0.0019178    4 seethe         : 湧き上る, 涌き上がる, 湧きあがる, 湧き上がる
0.0019068    5 foreword       : 序詞, 序, 序文, 序章, 序言
0.0018573    6 massage        : 揉み拉く, 揉みしだく, 揉む, 揉みほぐす, 揉み解す, 肩揉み
0.0018570   17 business       : 先務, 実務, 常務, 社務, 公務, 業務, 要務, 用務, 本務, 党務, ...
0.0018142    6 valor          : 勇烈, 勇武, 勇者, 武勇, 蛮勇, 勇気
0.0017778    2 spearhead      : 矛先, 銅矛
0.0017769   10 deposit        : 預かり証, 預り証, 預かり金, 預り金, 預け入れる, 預金, 預ける, 預け入れ, 預入, 預入れ
0.0017331    2 medical        : 予診, 医務
0.0017259    4 excited        : 湧き上る, 涌き上がる, 湧きあがる, 湧き上がる
0.0017116    5 task           : 先務, 務まる, 任務, 務め, 業務
0.0017004    5 rub            : 揉み拉く, 揉みしだく, 揉み込む, 揉む, 肩揉み
0.0016791    9 brave          : 勇士, 勇者, 勇姿, 勇壮, 勇将, 勇猛, 勇戦, 勇敢, 勇ましい
0.0016656   13 duty           : 所務, 専務, 本務, 法務, 服務, 任務, 特務, 務め, 責務, 劇務, ...
0.0016363    2 recite         : 誦する, 愛誦
0.0016297    2 sweat          : 涌く, 湧く
0.0016225    7 mild           : 手柔らか, もの柔らか, 物柔らか, 柔かい, 柔らかい, 柔らか, 柔和
0.0016010    1 apple          : 蓮霧
0.0015916    1 parcel         : 預かり所
0.0015887    1 potatoes       : 橘飩
0.0015682    6 understanding  : 記誦, 通り, 通じ, 通, 疎通, 疏通
0.0015470    2 check          : 預かり証, 預り証
0.0015407    5 forth          : 涌き, 涌き出る, 湧き, 湧き出る, 通う
0.0015360    3 reading        : 読誦, 誦経, 通読
0.0015005    4 appear         : 涌く, 涌き立つ, 湧く, 湧き立つ
0.0014797    1 chamois        : 揉み皮
0.0014758    6 preliminary    : 予震, 予審, 予選, 予告, 予稿, 通過
0.0014515    8 prediction     : 予報, 予知, 予断, 予測, 予想, 予言, 見通, 見通し
0.0014468    7 beginning      : 序の口, 序ノ口, 序, 序章, 通す, 通し, 開通
0.0014245    7 break          : 湧き上る, 涌き上がる, 湧きあがる, 湧き上がる, 痛み, 通奏, 通す
0.0014219    4 roof           : 茅茨, 茅ぶき, 茅葺, 茅葺き
0.0014185    4 wooden         : 木樋, 風呂桶, 湯桶, 火桶
0.0013979    1 buff           : 揉み皮
0.0013709    6 military       : 隊務, 軍務, 勇武, 武勇, 兵務, 警務
0.0013578    5 consecutive    : 一通, ぶっ通し, 打っ通し, 通し, 通巻
0.0013396    1 taken          : 預かり人
0.0013253    3 rain           : 雨樋, 霧雨, 通り雨
0.0012777   17 work           : 隊務, 予鈴, 作務, 事務, 劇務, 激務, 労務, 務める, 乗務, 実務, ...
0.0012742    2 flume          : 樋, 木樋
0.0012588    6 come           : 湧き上る, 涌き上がる, 湧きあがる, 湧き上がる, 通り合わせる, 通る
0.0012544   12 service        : 所務, 戦務, 軍務, 労務, 服務, 務める, 務め, 勤務, 役務, パソ通, ...
0.0012542    2 wrinkle        : 揉み拉く, 揉みしだく
0.0012508    3 sexual         : 揉み拉く, 揉みしだく, 柔肉
0.0012347    2 cottage        : 茅舎, 茅屋
0.0012333    2 growing        : 浅茅生, 浅茅
0.0012280    1 stratigraphy   : 層序
0.0012178    1 job            : 所務
0.0012129    4 thatching      : 茅茨, 茅ぶき, 茅葺, 茅葺き
0.0012003    1 tax            : 所務
