Summary: {Weight} {token}: {words[0:10]}
0.0026236    1 motif          : 饕餮
0.0026236    1 avarice        : 饕餮
0.0026160    4 captive        : 虜囚, 俘虜, 捕虜, 虜
0.0025735    3 gambol         : 戯る, 巫山戯る, 戯れる
0.0025706    1 ague           : 瘧
0.0025499    6 frolic         : 戯る, 戯れ合う, 遊び戯れる, 巫山戯る, 巫山戯, 戯れる
0.0025492    1 creature       : 饕餮
0.0025247    1 waterside      : 青蘆
0.0025160    5 concern        : 虞, 憂慮, 配慮, 顧慮, 屈託
0.0025042    1 withered       : 枯蘆
0.0024884   25 play           : 戯る, 劇中, 旧劇, 寸劇, 悲劇, 戯える, 劇, 剣劇, 楽劇, 演劇, ...
0.0024767    6 go             : 叱, 突っ切る, 切る, 切れる, 打ち切り, 打切り
0.0024415    1 greed          : 饕餮
0.0024362    2 worrying       : 煩慮, 苦慮
0.0024041    1 lush           : 青蘆
0.0023903   12 cloth          : 濾し布, 有り切れ, ぼろ切れ, ボロ切れ, 襤褸切れ, 共切れ, 端切れ, 小切れ, 切れ地, 切地, ...
0.0023758    2 ornament       : 金鯱, 鯱
0.0023621    1 plague         : 瘧
0.0023346    2 amused         : 戯る, 戯れる
0.0023004    1 Zalophus       : 海驢
0.0022963    1 horror         : 虞
0.0022801    2 intermittent   : 瘧, 途切れ途切れ
0.0022699    4 prisoner       : 虜囚, 俘虜, 捕虜, 虜
0.0022675    1 reverence      : 虞
0.0022675    1 uneasiness     : 虞
0.0022522    2 playful        : 戯る, 戯れる
0.0022126    1 follicle       : 濾胞
0.0021931    2 anxiety        : 虞, 憂慮
0.0021772    6 ritual         : 饕餮, 腹切, 腹切り, 切腹, 仕切, 仕切り
0.0021746    1 epidemic       : 瘧
0.0021623    1 eared          : 海驢
0.0021096    1 piracy         : 剽窃
0.0021096    1 plagiarism     : 剽窃
0.0020815    4 sport          : 戯る, 巫山戯, 戯れる, 戯れ
0.0020810    1 rasp           : 鑢
0.0020394    1 surreptitious  : 窃か
0.0020278    6 number         : 七難, 虚部, 虚数, 切りあげる, 切り上げる, 切上げる
0.0020210    1 infectious     : 瘧
0.0020008    1 California     : 海驢
0.0019906   62 one            : 鯱立ち, 俘虜, 地膚, 虜, 拙宅, 宅, 虐める, 自宅, 本宅, 苦慮, ...
0.0019592    2 fear           : 虞, 憂慮
0.0018884    5 ancient        : 胡虜, 八虐, 大虚, 太虚, 切韻
0.0018706   15 something      : 戯る, 鯱立ち, 託する, 託す, 委託, 貸し切る, ぶっ切る, 打っ切る, 買い切り, 戯れる, ...
0.0018697    1 ass            : 驢馬
0.0018342    1 mooring        : 艫綱
0.0018125    1 sandpaper      : 紙鑢
0.0017895    1 flute          : 蘆笛
0.0017769   21 someone        : 託する, 託す, 託ける, 負託, 虐使, 信託, 隠宅, 委託, 寄り切る, 寄切る, ...
0.0017299    7 falsehood      : 噓, 虚辞, 虚言, 虚実, 虚偽, 虚妄, 嘘
0.0017146    3 name           : 瘧, 戯称, 虚名
0.0017066    3 wretched       : 侘住い, 侘しい, 侘びしい
0.0017031    1 various        : 煩慮
0.0016978    2 headstand      : 鯱立ち, 鯱鉾立ち
0.0016948    2 stiffen        : 鯱張る, 鯱鉾ばる
0.0016617    2 great          : 七難, 葦切
0.0016294    2 quiet          : 侘, 侘び
0.0016242    1 foreigner      : 胡虜
0.0016120    1 pipe           : 蘆笛
0.0015776    1 filtrate       : 濾液
0.0015719    2 slave          : 俘虜, 虜
0.0015591    1 tribe          : 胡虜
0.0015525    1 disease        : 瘧
0.0015370    2 lust           : 俘虜, 虜
0.0015345    4 untruth        : 噓, 虚偽, 虚妄, 嘘
0.0015222    1 medium         : 濾材
0.0015078    1 surrounding    : 胡虜
0.0015058    2 causing        : 加虐, 鯱
0.0014743    5 old            : 瘧, 旧劇, ぼろ切れ, ボロ切れ, 襤褸切れ
0.0014676    1 golden         : 金鯱
0.0014517   13 drama          : 旧劇, 詩劇, 史劇, 劇談, 悲劇, 新劇, 劇評, 劇, 剣劇, 活劇, ...
0.0014336    2 victim         : 俘虜, 虜
0.0014289    2 sadism         : 加虐, 嗜虐
0.0014206    2 tense          : 鯱張る, 鯱鉾ばる
0.0014070    1 hectic         : 遽しい
0.0014045    3 bare           : 地膚, 赤膚, 素膚
0.0014032    2 winter         : 枯蘆, 虎落笛
0.0013920   14 home           : 帰宅, 小宅, 本宅, 宅, 拙宅, 宅送, 宅扱い, 私宅, 居宅, お宅, ...
0.0013851    6 message        : 託する, 託す, 託ける, 神託, 託宣, 託け
0.0013800    1 seal           : 海驢
0.0013779    2 private        : 窃か, 私宅
0.0013694    2 unwise         : 噓, 嘘
0.0013666    1 northern       : 胡虜
0.0013649    1 material       : 濾材
0.0013648    1 reedy          : 蘆辺
0.0013638   15 paper          : 紙鑢, 濾紙, 切り紙, 切紙, 紙切れ, 半切, 紙切り, 千切り絵, たち切る, 截ち切る, ...
0.0013317    4 body           : 人膚, 膚, 鯱, 虐める
0.0013129    5 surface        : 地膚, 赤膚, 膚, 七子, 瀬切れ
0.0013110    1 rushed         : 遽しい
0.0012968    8 make           : 詫びる, 託つ, 託ける, 巫山戯る, 火切り, 切腹, 切る, 思い切る
