Summary: {Weight} {token}: {words[0:10]}
0.0021783   12 fish           : 雎鳩, 漁礁, 魚礁, 隻, 稚魚, 獲れる, 雑炊, 遍羅, 天婦羅, 天麩羅, ...
0.0021758    3 pheasant       : 雉笛, 雉, 雉子
0.0021600    1 Cuculus        : 霍公鳥
0.0021554    3 talented       : 儁才, 羅致, 集英
0.0021384    3 style          : 蕉風, 文雅, 雅文
0.0021283    1 cluster        : 集塊
0.0021199    2 night          : 夜濯ぎ, 夜鷹
0.0021158    1 policeman      : 邏卒
0.0021092    3 lesser         : 霍公鳥, 雁金, 雁が音
0.0021046    1 genius         : 儁才
0.0020955    3 harvest        : 穫れる, 収穫, 穫る
0.0020949    1 cuckoo         : 霍公鳥
0.0020725    1 gray           : 騅
0.0020701    3 theory         : 確説, 唯識, 推し広める
0.0020493    1 exhaustion     : 憔悴
0.0020053    4 era            : 邏卒, 白雉, 神護景雲, 天平神護
0.0019756   10 rough          : 蘿藦, 推算, 難航, 蕪雑, 粗雑, 進む, 難路, 難所, 雑, 大雑把
0.0019566    1 potato         : 蘿藦
0.0018910    2 termination    : 雇い止め, 雇止め
0.0018909    3 contract       : 罹る, 雇い止め, 雇止め
0.0018727    2 mass           : 集塊, 集団
0.0018523    3 competition    : 糶, 糶り, 進出
0.0018388    2 worn           : 憔悴, 湯帷子
0.0018283    1 talent         : 儁才
0.0018253    1 tired          : 憔悴
0.0018233    4 reflect        : 惟みる, 惟る, 顧みる, 顧る
0.0018141    1 embezzlement   : 横奪
0.0018057    1 contrast       : ガラ携
0.0017946    1 established    : 確説
0.0017818    3 able           : 穫れる, 獲れる, 獲る
0.0017774    6 hawk           : 雎鳩, 小鷹, 大鷹, 熊鷹, 雀蛾, 鷹
0.0017679    7 elegance       : 幽雅, 雅び, 古雅, 雅趣, 雅致, 風雅, 雅
0.0017593    1 misappropriation: 横奪
0.0017475    2 japonica       : 蘿藦, 雀榕
0.0017465    2 feature        : ガラ携, 特集
0.0017225    1 smart          : ガラ携
0.0017193    1 morbidity      : 罹病
0.0017137    4 Grus           : 黒鶴, 鍋鶴, 真名鶴, 真鶴
0.0017122    8 young          : 稚鮎, 雛僧, 稚, 鳳雛, 稚い, 稚けない, 雛, 孔雀
0.0016847    2 Mr             : 誰それ, 誰某
0.0016828    1 lovable        : 瞿麦
0.0016771    1 moss           : 蘿
0.0016737    1 shoal          : 浅堆
0.0016610    1 fringed        : 瞿麦
0.0016439    1 early          : 邏卒
0.0016364    2 apprehension   : 疑懼, 危懼
0.0016364    2 uneasiness     : 疑懼, 危懼
0.0016203    1 Musa           : 芭蕉
0.0016151    6 general        : 維那, 准将, 帷幄, 雑報, 雑貨, 大雑把
0.0016122    3 affliction     : 罹災, 患難, 難儀
0.0015552    5 song           : 雉笛, 囃子詞, 大雅, 雅, 雑曲
0.0015531   10 cut            : 薙ぎ倒す, 截ち割る, 薙ぎ払う, 薙ぐ, 截金, 截ち切る, 截つ, 截る, 切り離す, 切離す
0.0015219    7 plant          : 截頭, 雌木, 雄木, 雌株, 雄株, 雁皮, 雌
0.0015176    3 fiber          : 芭蕉, 線維, 繊維
0.0014747    4 many           : 誰彼, 抜擢, 雑著, 万難
0.0014747    3 short          : 蘿, 籬垣, 籬
0.0014511    2 cell           : ガラ携, 携帯
0.0014377    7 certain        : 誰それ, 誰某, 確診, 確か, 確, 確たる, 確実
0.0014335    2 Accipiter      : 雀鷹, 大鷹
0.0014315    2 seven          : 七曜, 朱雀
0.0014309    2 bank           : 浅堆, 堆
0.0014257    6 calamity       : 罹災, 厄難, 大難, 剣難, 火難, 災難
0.0014186    2 gimlet         : 錐, 円錐
0.0014139   10 great          : 七難, 活躍, 躍進, 野雁, 飛躍, 雄志, 両雄, 雄大, 英雄, 大難
0.0013994    3 curtain        : 帷帳, 帷, 帷幕
0.0013974    1 flute          : 雉笛
0.0013930    6 falconry       : 放鷹, 小鷹, 大鷹, 鷹狩, 鷹狩り, 鷹野
0.0013795    7 snatch         : 引っ攫う, かっ攫う, 掻っ攫う, 攫う, 奪う, 奪いとる, 奪い取る
0.0013769    1 banana         : 芭蕉
0.0013750    1 counter        : 隻
0.0013568    1 lure           : 雉笛
0.0013470    1 lumbar         : 腰椎
0.0013430    5 refinement     : 幽雅, 雅び, 風雅, 推敲, 進む
0.0013402    1 contraction    : 罹病
0.0013399    1 ocean          : 浅堆
0.0013337    1 swath          : 神籬
0.0013242    2 crop           : 収穫, 穫る
0.0013216    3 acrobatics     : 雑芸, 雑伎, 雑技
0.0013181    1 eye            : 隻眼
0.0013159    5 form           : 宿曜, 倶利迦羅, 截金, 雛型, 雛形
0.0013056    1 cone           : 錐体
0.0013021   15 male           : 雄親, 雄馬, 雌雄, 雄性, 雄猿, 雄木, 雄犬, 雄ねじ, 雄螺子, 雄株, ...
0.0012938    1 gularis        : 雀鷹
0.0012917   15 someone        : 誰それ, 誰某, 雇われ, 稚, 奪う, 推挽, 推輓, 進士, 焦らす, 進ぜる, ...
0.0012869    1 mowing         : 横薙ぎ
0.0012850    7 goose          : 黒雁, 雁金, 真雁, 雁が音, 孤雁, 雁首, 雁
0.0012818    1 suffer         : 罹る
0.0012747    3 mow            : 薙ぎ倒す, 薙ぎ払う, 薙ぐ
0.0012619    5 cutting        : 截頭, 截金, 断截, 半截, 截断
0.0012614    6 catch          : 収穫, 攫む, 獲れる, 収獲, 漁獲, 獲物
0.0012595    3 variety        : 蘿蔔, 羅国, 雄町
0.0012585    3 flower         : 瞿麦, 雌花, 雄花
0.0012583    3 hosting        : 開催, 主催, 共催
0.0012580    5 suffering      : 罹災, 難渋, 難儀, 苦難, 集諦
0.0012572    8 making         : 巡邏, 躍進, 飛躍, 離活, 注進, 進捗, 進出, 進行
0.0012558    2 examination    : 推問, 進士
0.0012556    2 fear           : 危懼, 懼れる
0.0012515    1 fringing       : 裾礁
0.0012511    2 woven          : 籬垣, 籬
0.0012417    1 investigation  : 推問
0.0012369    3 green          : 雉笛, 雉, 雉子
0.0012353    5 heap           : 堆積, 堆, 堆い, 堆く, 掃き集める
0.0012352    6 group          : 集群, 推し, 雑婚, 集団, 集英, 群集
0.0012260   10 high           : 堆い, 堆く, 奮いたつ, 奮い立つ, 奮い起つ, 勇躍, 稚, 雅味, 進路, 進学
0.0012257   10 leap           : 飛躍, 躍りかかる, 躍り掛かる, 躍り掛る, 躍り上がる, 躍らす, 跳躍, 躍る, 躍り出る, 一躍
0.0012140    1 osprey         : 雎鳩
0.0012140    1 Pandion        : 雎鳩
0.0012097    2 glittering     : 光耀, 耀かしい
0.0012048    6 cheer          : 奮いたつ, 奮い立つ, 奮い起つ, 囃したてる, 囃し立てる, 囃す
0.0011807   13 elegant        : 雅びやか, 雅やか, 文雅, 清雅, 高雅, 閑雅, 雅称, 雅語, 雅言, 風雅, ...
0.0011757    7 paper          : 半截, 贋札, 流し雛, 折り鶴, 折鶴, 截ち切る, 雁皮
0.0011740    2 half           : 隻, 半截
0.0011705    4 falcon         : 隼, 小鷹, 大鷹, 鷹
0.0011562    1 anybody        : 誰彼
0.0011511    1 girl           : 瞿麦
0.0011476    3 burner         : 下焦, 中焦, 上焦
0.0011360    6 common         : 黒鶴, 唯, 雛罌粟, 催合う, 金雀児, 雑兵
0.0011328    1 sideways       : 横薙ぎ
0.0011285    3 isle           : 女護, 女護が島, 女護島
0.0011218    9 plunder        : 鹵獲, 奪掠, 奪略, 掠奪, 略奪, 獲物, 強奪, 奪いとる, 奪い取る
0.0011202    1 ingathering    : 収穫
0.0011060    2 primitive      : 神籬, 幼稚
0.0011025    6 consideration  : 思惟, 顧慮, 顧みる, 顧る, 顧み, 一顧
0.0010868    1 crime          : 推問
0.0010818    5 charge         : 維那, 唯, 突進, 進撃, 難
0.0010728    1 brigadier      : 准将
0.0010698    2 fence          : 籬垣, 籬
0.0010572    1 poppy          : 雛罌粟
0.0010524    2 sweeping       : 横薙ぎ, 大雑把
0.0010515    1 genus          : 瞿麦
0.0010514    1 profound       : 幽雅
0.0010513    3 woman          : 雌豚, 姑獲鳥, 女難
0.0010392    7 employee       : 常雇い, 雇い人, 雇人, 雇, 雇員, 雇い, 解雇
0.0010361    1 thoracic       : 胸椎
0.0010355    8 carry          : 引っ攫う, かっ攫う, 掻っ攫う, 攫う, 奪い去る, 進める, 携える, 困難
0.0010348   21 miscellaneous  : 雑芸, 雑物, 雑器, 雑題, 雑感, 雑益, 雑用, 雑則, 雑歌, 雑録, ...
0.0010324    3 four           : 四維, 四顧, 雀頭
0.0010316    1 surrounded     : 神籬
0.0010252    4 market         : 糶市, 焦げつく, 焦げ付く, 進出
0.0010233    3 inhabited      : 女護, 女護が島, 女護島
0.0010128   11 take           : 引っ攫う, 顧みる, 顧る, 攫う, 奪い去る, 奪う, 奪い返す, 携える, 携る, 携わる, ...
0.0010105    5 fishing        : 収穫, 乱獲, 濫獲, 収獲, 漁獲
0.0010090    2 pyramid        : 錐体, 角錐
0.0010084    1 commodore      : 准将
0.0010081    1 Phoenicopteridae: 紅鶴
