Summary: {Weight} {token}: {words[0:10]}
0.1793386   11 decline        : 衰態, 必衰, 衰耗, 衰勢, 衰滅, 衰亡, 衰微, 衰退, 衰頽, 衰える, ...
TOKEN[30]: 0.0049493    1 attenuation
	attenuation WORD[30,   1]: 0.0049493 減衰
TOKEN[31]: 0.0047673    1 prostration
	prostration WORD[31,   1]: 0.0047673 衰弱
TOKEN[32]: 0.0047397    1 breakdown
	breakdown WORD[32,   1]: 0.0047397 衰弱
TOKEN[33]: 0.0045775    1 emaciation
	emaciation WORD[33,   1]: 0.0045775 衰え
TOKEN[34]: 0.0044860    1 weakening
	weakening WORD[34,   1]: 0.0044860 衰え
TOKEN[35]: 0.0044333    1 death
	death WORD[35,   1]: 0.0044333 五衰
TOKEN[36]: 0.0043130    1 ebb
	ebb WORD[36,   1]: 0.0043130 衰微
TOKEN[37]: 0.0041978    1 weakness
	weakness WORD[37,   1]: 0.0041978 衰弱
TOKEN[38]: 0.0041773    1 age
	age WORD[38,   1]: 0.0041773 老衰
TOKEN[39]: 0.0041499    1 abate
	abate WORD[39,   1]: 0.0041499 衰える
TOKEN[40]: 0.0041499    1 wither
	wither WORD[40,   1]: 0.0041499 衰える
TOKEN[41]: 0.0041098    1 welfare
	welfare WORD[41,   1]: 0.0041098 盛衰
TOKEN[42]: 0.0034239    1 rise
	rise WORD[42,   1]: 0.0034239 盛衰
TOKEN[43]: 0.0032121    1 wear
	wear WORD[43,   1]: 0.0032121 衰える
TOKEN[44]: 0.0032021    1 weak
	weak WORD[44,   1]: 0.0032021 衰える
