Summary: {Weight} {token}: {words[0:10]}
0.0013742    1 shield         : 臭亀
0.0013713    3 deduce         : 導く, 導きだす, 導き出す
0.0013635    4 snout          : ブタ鼻, 豚鼻, 鼻づら, 鼻面
0.0013611    1 piercing       : 鼻ピ
0.0013560    4 gasp           : 息せき, 息急き, 息づく, 息衝く
0.0013489    3 derive         : 導く, 導きだす, 導き出す
0.0013479    4 good           : 化導, 息災, 臭う, 有道
0.0013404    8 part           : 首部, 導入, 首脳, 出っ鼻, 出鼻, 道ずれ, 道づれ, 道連れ
0.0012970    3 ring           : 鼻ピ, 鼻輪, 鼻木
0.0012897    4 pant           : 息せき, 息急き, 息づく, 息衝く
0.0012878    2 measurement    : 首まわり, 首回り
0.0012819    3 priest         : 導師, 生臭, 入道
0.0012800    2 penis          : 雁首, 息子
0.0012773    1 prideful       : 鼻高
0.0012343    1 grandson       : 孫息子
0.0012215    8 odor           : 腋臭, 男臭い, 体臭, 余臭, 劇臭, 激臭, 臭い, 悪臭
0.0012176    1 misleading     : 誤導
0.0012063    1 emperor        : 御息所
0.0011920    4 heresy         : 魔導, 魔道, 外道, 邪道
0.0011909    8 death          : 虫の息, 曝首, 絶息, 縛り首, 絞首, 道ずれ, 道づれ, 道連れ
0.0011887    1 pond           : 臭亀
0.0011798    1 tao            : 導引
0.0011697    2 size           : 首まわり, 首回り
0.0011685    7 hanging        : 縊首, 縛り首, 首くくり, 首縊り, 絞首, 首つり, 首吊り
0.0011220    3 righteousness  : 善道, 正道, 公道
0.0011171    1 astray         : 誤導
0.0011151    3 draw           : 導き入れる, 導きだす, 導き出す
0.0011000    3 stifling       : 息づまる, 息詰まる, 息苦しい
0.0010982    2 roam           : 魔導, 魔道
0.0010840    2 sorcery        : 魔導, 魔道
0.0010797    6 ways           : 魔導, 魔道, わかれ道, 分かれ道, 分れ道, 別れ道
0.0010448    3 six            : 魔導, 六道, 魔道
0.0010423    4 breather       : 一息, 息抜き, 息つぎ, 息継ぎ
0.0010336    7 leader         : 上首, 嚮導, 党首, 首領, 首謀, 首班, 首脳
0.0010281    1 board          : 鼻隠し
0.0010244    1 yin            : 導引
0.0010119    2 inducement     : 導因, 誘導
0.0010027    3 realm          : 六道, 天道, 人道
0.0009995    2 dying          : 虫の息, 絶息
0.0009948    3 profligate     : どら息子, ドラ息子, 極道
0.0009909    3 choking        : 息詰まり, 窒息, 息苦しい
0.0009900    2 introduction   : 導入, 誘導
0.0009703    1 slight         : 低臭
0.0009691    4 Buddhism       : 唱導, 引導, 道仏, 仏道
0.0009644    1 bedchamber     : 御息所
0.0009614    3 level          : 低臭, 坑道, 阿鼻
0.0009545    2 low            : 低臭, 白首
0.0009539    1 massage        : 導引
0.0009529    3 breathe        : 息吹く, 息づく, 息衝く
0.0009463    3 lazy           : どら息子, ドラ息子, 物臭
0.0009349    3 conclusion     : 導きだす, 導き出す, 導出
0.0009321   11 suicide        : 縊首, 自剄, 自死, 自裁, 自刎, 自爆, 自尽, 自刃, 自殺, 自決, ...
0.0009253    1 prominent      : 鼻高
0.0009236    1 enlighten      : 教え導く
0.0009186    4 rest           : 息休め, 一息, 休息, 安息
0.0009141    2 magic          : 魔導, 魔道
0.0009005    1 tether         : 首綱
0.0008999    4 burnt          : 焦げ臭い, 焦臭い, きな臭い, キナ臭い
