Summary: {Weight} {token}: {words[0:10]}
TOKEN[60]: 0.0023139    1 privileged
	privileged WORD[60,   1]: 0.0023139 賓客
TOKEN[61]: 0.0019823    1 predicate
	predicate WORD[61,   1]: 0.0019823 賓辞
TOKEN[62]: 0.0016671    1 objective
	objective WORD[62,   1]: 0.0016671 賓格
TOKEN[63]: 0.0013851    1 Philippines
	Philippines WORD[63,   1]: 0.0013851 比律賓
TOKEN[64]: 0.0013316    1 case
	case WORD[64,   1]: 0.0013316 賓格
TOKEN[65]: 0.0013284    1 object
	object WORD[65,   1]: 0.0013284 賓辞
TOKEN[66]: 0.0012134    1 arrival
	arrival WORD[66,   1]: 0.0012134 来賓
TOKEN[67]: 0.0011628    1 noble
	noble WORD[67,   1]: 0.0011628 貴賓
TOKEN[68]: 0.0010367    1 overseas
	overseas WORD[68,   1]: 0.0010367 迎賓
TOKEN[69]: 0.0010246    1 welcoming
	welcoming WORD[69,   1]: 0.0010246 迎賓
TOKEN[70]: 0.0007054    1 main
	main WORD[70,   1]: 0.0007054 主賓
TOKEN[71]: 0.0006619    1 state
	state WORD[71,   1]: 0.0006619 国賓
