Summary: {Weight} {token}: {words[0:10]}
TOKEN[17]: 0.0033062    2 depressed
	depressed WORD[17,   1]: 0.0017798 陰鬱
	depressed WORD[17,   2]: 0.0015263 鬱ぐ
TOKEN[18]: 0.0032673    2 vegetation
	vegetation WORD[18,   1]: 0.0020350 鬱然
	vegetation WORD[18,   2]: 0.0012323 鬱
TOKEN[19]: 0.0029332    2 dense
	dense WORD[19,   1]: 0.0018272 鬱然
	dense WORD[19,   2]: 0.0011060 鬱蒼
TOKEN[20]: 0.0025298    1 blues
	blues WORD[20,   1]: 0.0025298 鬱ぎ込む
TOKEN[21]: 0.0025182    2 luxuriant
	luxuriant WORD[21,   1]: 0.0012594 鬱
	luxuriant WORD[21,   2]: 0.0012588 鬱蒼
TOKEN[22]: 0.0024848    1 Curcuma
	Curcuma WORD[22,   1]: 0.0024848 鬱金
TOKEN[23]: 0.0024701    1 brood
	brood WORD[23,   1]: 0.0024701 鬱ぎ込む
TOKEN[24]: 0.0024545    2 thick
	thick WORD[24,   1]: 0.0015290 鬱然
	thick WORD[24,   2]: 0.0009255 鬱蒼
TOKEN[25]: 0.0023654    1 irrepressible
	irrepressible WORD[25,   1]: 0.0023654 鬱勃
TOKEN[26]: 0.0023629    2 frustration
	frustration WORD[26,   1]: 0.0011816 鬱憤
	frustration WORD[26,   2]: 0.0011814 鬱積
TOKEN[27]: 0.0023356    1 turmeric
	turmeric WORD[27,   1]: 0.0023356 鬱金
TOKEN[28]: 0.0021759    1 dismal
	dismal WORD[28,   1]: 0.0021759 陰鬱
TOKEN[29]: 0.0019715    1 despondency
	despondency WORD[29,   1]: 0.0019715 憂鬱
TOKEN[30]: 0.0019433    2 anger
	anger WORD[30,   1]: 0.0009717 鬱憤
	anger WORD[30,   2]: 0.0009716 鬱積
TOKEN[31]: 0.0019224    1 dreary
	dreary WORD[31,   1]: 0.0019224 陰鬱
TOKEN[32]: 0.0018716    1 ambition
	ambition WORD[32,   1]: 0.0018716 鬱勃
TOKEN[33]: 0.0018394    1 prominent
	prominent WORD[33,   1]: 0.0018394 鬱然
TOKEN[34]: 0.0017570    1 enthusiasm
	enthusiasm WORD[34,   1]: 0.0017570 鬱勃
TOKEN[35]: 0.0017223    1 burning
	burning WORD[35,   1]: 0.0017223 鬱勃
TOKEN[36]: 0.0016118    1 mental
	mental WORD[36,   1]: 0.0016118 気鬱
TOKEN[37]: 0.0015970    1 desire
	desire WORD[37,   1]: 0.0015970 鬱勃
TOKEN[38]: 0.0015656    1 energy
	energy WORD[38,   1]: 0.0015656 鬱勃
TOKEN[39]: 0.0014614    1 popular
	popular WORD[39,   1]: 0.0014614 鬱然
TOKEN[40]: 0.0014613    1 engorgement
	engorgement WORD[40,   1]: 0.0014613 鬱血
TOKEN[41]: 0.0013860    1 buildup
	buildup WORD[41,   1]: 0.0013860 鬱積
TOKEN[42]: 0.0013134    1 discontent
	discontent WORD[42,   1]: 0.0013134 鬱積
TOKEN[43]: 0.0012927    1 oppression
	oppression WORD[43,   1]: 0.0012927 鬱結
TOKEN[44]: 0.0012667    1 bitterness
	bitterness WORD[44,   1]: 0.0012667 鬱憤
TOKEN[45]: 0.0012667    1 depressing
	depressing WORD[45,   1]: 0.0012667 鬱陶しい
TOKEN[46]: 0.0012064    1 swing
	swing WORD[46,   1]: 0.0012064 躁鬱
TOKEN[47]: 0.0011947    1 irritating
	irritating WORD[47,   1]: 0.0011947 鬱陶しい
TOKEN[48]: 0.0011947    1 cloudy
	cloudy WORD[48,   1]: 0.0011947 鬱陶しい
TOKEN[49]: 0.0011693    1 accumulation
	accumulation WORD[49,   1]: 0.0011693 鬱積
TOKEN[50]: 0.0011657    1 feel
	feel WORD[50,   1]: 0.0011657 鬱ぐ
TOKEN[51]: 0.0011584    1 resentment
	resentment WORD[51,   1]: 0.0011584 鬱憤
TOKEN[52]: 0.0011355    1 suppression
	suppression WORD[52,   1]: 0.0011355 鬱積
TOKEN[53]: 0.0011062    1 grudge
	grudge WORD[53,   1]: 0.0011062 鬱憤
TOKEN[54]: 0.0010723    1 troublesome
	troublesome WORD[54,   1]: 0.0010723 鬱陶しい
TOKEN[55]: 0.0009085    1 weather
	weather WORD[55,   1]: 0.0009085 鬱陶しい
TOKEN[56]: 0.0008885    1 heavy
	heavy WORD[56,   1]: 0.0008885 鬱陶しい
TOKEN[57]: 0.0008752    1 blood
	blood WORD[57,   1]: 0.0008752 鬱血
