Summary: {Weight} {token}: {words[0:10]}
0.2888610   12 lacquer        : 漆屋, 漆樹, 朱漆, 乾漆, 膠漆, 漆芸, 漆工, 漆絵, 漆器, 生漆, ...
TOKEN[31]: 0.0027102    1 sap
	sap WORD[31,   1]: 0.0027102 生漆
TOKEN[32]: 0.0024529    1 soaked
	soaked WORD[32,   1]: 0.0024529 乾漆
TOKEN[33]: 0.0023360    1 hemp
	hemp WORD[33,   1]: 0.0023360 乾漆
TOKEN[34]: 0.0023198    1 unrefined
	unrefined WORD[34,   1]: 0.0023198 生漆
TOKEN[35]: 0.0023015    1 stucco
	stucco WORD[35,   1]: 0.0023015 漆喰
TOKEN[36]: 0.0019699    1 dry
	dry WORD[36,   1]: 0.0019699 乾漆
TOKEN[37]: 0.0018709    1 dried
	dried WORD[37,   1]: 0.0018709 乾漆
TOKEN[38]: 0.0018589    1 many
	many WORD[38,   1]: 0.0018589 乾漆
TOKEN[39]: 0.0018115    1 cloth
	cloth WORD[39,   1]: 0.0018115 乾漆
TOKEN[40]: 0.0016831    1 making
	making WORD[40,   1]: 0.0016831 乾漆
TOKEN[41]: 0.0016768    1 mortar
	mortar WORD[41,   1]: 0.0016768 漆喰
TOKEN[42]: 0.0016330    1 plaster
	plaster WORD[42,   1]: 0.0016330 漆喰
TOKEN[43]: 0.0015706    1 lacquering
	lacquering WORD[43,   1]: 0.0015706 漆塗り
TOKEN[44]: 0.0012765    1 object
	object WORD[44,   1]: 0.0012765 黒漆
