Summary: {Weight} {token}: {words[0:10]}
0.0028439    1 initiate       : 阿闍梨
0.0028434    2 fighter        : 屠龍, 猛者
0.0028279    1 yell           : 咆哮
0.0028011    5 cord           : 飾緒, へその緒, 臍の緒, 下げ緒, 下緒
0.0028010    1 aiguillette    : 飾緒
0.0027186    1 western        : 伯耆
0.0027024    1 enzyme         : 酵素
0.0026537    4 luxury         : 奢侈, 驕奢, 奢る, 奢り
0.0026296    6 police         : 来署, 署内, 本署, 同署, 署長, 署
0.0026060    4 bumpkin        : 藷, 薯, いなか者, 田舎者
0.0025927    2 month          : 賭弓, 玄猪
0.0025829    4 worthless      : 藷, 薯, へな猪口, 埴猪口
0.0025825   10 religious      : 阿闍梨, 教母, 立教, 宣教, 宗教, 教団, 教務, 信教, 教祖, 教主
0.0024941    3 taro           : 藷, 薯, 海老芋
0.0024889    7 become         : 耄ける, 老い耄れる, 病み耄ける, 老いぼれる, 老け込む, 老いさらばえる, 老い込む
0.0024766    1 Lespedeza      : 蓍萩
0.0024660    1 row            : 堵列
0.0024469    3 extravagance   : 奢侈, 驕奢, 奢り
0.0023876    4 ladies         : 諸兄姉, 諸姉, 諸公, 諸君
0.0023862    2 province       : 伯耆, 主都
0.0023837    1 central        : 伯耆
0.0023796    8 senile         : 耄ける, 老い耄れる, 老い耄れ, 老いぼれる, 老いぼれ, 老い込む, 老衰, 老化
0.0023451   12 people         : 堵列, 姥捨, 姥捨て, 諸人, 棄老, 諸々, 諸諸, 若者, 諸君, 老害, ...
0.0023077    4 dotage         : 老い耄れ, 老耄, 耄碌, 老いぼれ
0.0023052    1 aircraft       : 屠龍
0.0022863    9 government     : 官公署, 公署, 官署, 還都, 都電, 諸政, 都政, 都営, 都
0.0022814    7 former         : 伯耆, 還都, 旧都, 教え子, 都, 古都, 前者
0.0022647    2 single         : 単著, 独り者
0.0022584    2 daybreak       : 曙光, 曙
0.0022460   92 person         : 慌て者, しっかり者, 確り者, 教え魔, へな猪口, 埴猪口, 不束者, 昔者, あぶれ者, 溢れ者, ...
0.0021982    1 thoroughfare   : 都大路
0.0021813    1 braided        : 飾緒
0.0021691    7 sake           : 鰭酒, 屠蘇, 煮きり, 煮切り, 煮切る, 猪口, 諸味
0.0021539    1 hedge          : 堵
0.0021489    1 ruddy          : 赭顔
0.0021340    3 face           : 赭顔, 赭ら顔, 老け顔
0.0021160    1 correct        : 阿闍梨
0.0021160    1 conduct        : 阿闍梨
0.0020967    8 priest         : 阿闍梨, 僧都, 老衲, 老僧, 仏者, 智者, 知者, 老師
0.0020778    8 Buddhism       : 三教, 諸教, 密教, 外教, 顕教, 仏教, 佛教, 聖教
0.0020768    2 Shinto         : 三教, 禊教
0.0020502    1 avenue         : 都大路
0.0020386    1 heavy          : 屠龍
0.0020359    3 side           : 堵列, 移り箸, 迷い箸
0.0020307   10 public         : 官公署, 教宣, かぶき者, 傾奇者, 歌舞伎者, 顕教, さらし者, 晒し者, 晒者, 曝し者
0.0020286    6 profit         : 丸儲け, 一儲け, 儲ける, 儲け, 儲かる, 大儲け
0.0020234    2 dawn           : 曙光, 曙
0.0019765    3 Dioscorea      : 長薯, 野老葛, 野老
0.0019571    1 model          : 阿闍梨
0.0019467    2 role           : 阿闍梨, 老け役
0.0019451    1 formal         : 阿闍梨
0.0019274   22 man            : 荒者, 老い耄れ, 老夫, 智者, 知者, したたか者, 強か者, 数奇者, 数寄者, 勇者, ...
0.0018711    5 thing          : 藷, 薯, 拙著, くせ者, 曲者
0.0018564    1 prize          : 賭弓
0.0018486    1 fence          : 堵
0.0018466    1 dainty         : 華奢
0.0018321    3 mountain       : 山姥, 赤鰭, 験者
0.0018288    1 ornamental     : 飾緒
0.0017675    1 rank           : 阿闍梨
0.0017351    7 wild           : 野老葛, 猪豚, 猪子, 野猪, 猪, 猛者, 野老
0.0017230   24 boiled         : いとこ煮, 従兄弟煮, 煮卵, 煮玉子, 飴煮, 炒め煮, 茹で海老, 含め煮, 煮ころがし, 煮っころがし, ...
0.0017158    5 imperial       : 賭弓, 皇都, 王都, 帝都, 諸王
0.0017062    3 practice       : 姥捨, 姥捨て, 棄老
0.0016995    5 beginning      : 曙, 緒戦, 端緒, 薄暑, 緒
0.0016739    1 danio          : 赤鰭
0.0016733    1 frail          : 華奢
0.0016609    1 tenth          : 玄猪
0.0016573    3 decrepitude    : 老耄, 耄碌, 老朽
0.0016552    1 busy           : 都大路
0.0016527    4 slaughter      : 屠る, 屠牛, 屠畜, 屠殺
0.0016394    1 event          : 賭弓
0.0016344   12 woman          : 姥, 老婦, 悪戯者, 過ぎ者, 老妻, 壮者, 徒者, したたか者, 強か者, 老婆, ...
0.0016309    1 wall           : 堵
0.0016098    1 lunar          : 賭弓
0.0016008    3 Confucianism   : 三教, 聖教, 儒教
0.0015808    1 slim           : 華奢
0.0015803    3 devotion       : 孝心, 孝養, 孝行
0.0015744    1 fragile        : 華奢
0.0015553    1 glimpse        : 曙光
0.0015495    4 senility       : 老耄, 耄碌, 老衰, 老朽
0.0015333    1 lined          : 堵列
0.0015216    5 signature      : 親署, 署する, 連署, 自署, 署名
0.0015053    1 gleam          : 曙光
0.0014945    1 furniture      : 華奢
0.0014889    1 eaten          : 玄猪
0.0014719    1 slender        : 華奢
