Summary: {Weight} {token}: {words[0:10]}
0.0025010    1 ah             : 於戯
0.0025003    6 set            : 嗾ける, 放つ, 解き放す, 放鳥, 放す, 族
0.0024905    2 servant        : 公妨, 四季施
0.0024504    1 alas           : 於戯
0.0024504    1 hey            : 於戯
0.0024416    3 slander        : 謗る, 誹謗, 讒謗
0.0024238    1 ornament       : 彡旁
0.0024199    1 autograph      : 遺芳
0.0023654    4 situation      : 淤泥, 訪れる, 旗色, 方
0.0023499    1 yes            : 於戯
0.0022864    3 sleep          : 上蔟, 敷き物, 敷物
0.0022818   28 person         : 威張りん坊, 怒りん坊, あわてん坊, 慌てん坊, 忘れん坊, 裸ん坊, 黒ん坊, 遊び好き, 見栄坊, でくの坊, ...
0.0022182    9 standing       : 標榜, 立ちん坊, 通せん坊, 傍観, 立ち方, 立方, 味方, 御方, 身方
0.0021747    3 addition       : 旁, 傍, 傍ら
0.0021584    1 emulate        : 倣う
0.0021463    2 stage          : 上蔟, 旅宿
0.0021368    5 beneath        : 蘇枋, 蘇芳, 下敷, 下敷き, 蘇方
0.0021073   16 time           : 旁, 旁々, 傍, 傍ら, 遊び暮す, 遊び暮らす, 遊びほうける, 遊び呆ける, 遊び惚ける, 此方, ...
0.0021047    9 pleasure       : 画舫, 遊び好き, 放楽, 遊蕩, 漫遊, 清遊, 逸遊, 遊ぶ, 遊び
0.0020895    3 edge           : 旁, 傍, 傍ら
0.0020730    6 rotation       : 内旋, 旋光, 旋転, 旋回, 回旋, 廻旋
0.0020630    4 fragrant       : 芳草, 芳枝, 芳ばしい, 芳しい
0.0020562    3 layered        : 蘇枋, 蘇芳, 蘇方
0.0020251    1 correct        : 於戯
0.0020096    3 last           : 上蔟, 仕方なく, 仕方無く
0.0019969    4 blocking       : 妨害, 妨碍, 妨礙, 通せん坊
0.0019969    4 obstruction    : 妨害, 妨碍, 妨礙, 妨げ
0.0019950    5 public         : 公妨, 花屋敷, 開放, 大方, 公方
0.0019587    2 deceased       : 遺芳, 遺族
0.0019448    3 spun           : 紡ぎ糸, 紡糸, 紡績
0.0019378    4 hindrance      : 妨害, 妨碍, 妨礙, 妨げ
0.0019350    2 loiter         : 彷徨う, 彷徨く
0.0019147    2 prowl          : 彷徨う, 彷徨く
0.0019022    2 barrier        : 防材, 防壁
0.0018963    2 roam           : 彷徨う, 彷徨く
0.0018938    2 unreasonable   : 謗法, 便乱坊
0.0018772    1 decorated      : 画舫
0.0018683    1 boom           : 防材
0.0018392    2 libel          : 謗る, 讒謗
0.0018084    3 three          : 彡旁, 士族, 三方
0.0018041    1 impossible     : 謗法
0.0017701    2 memory         : 遺芳, 解放
0.0017557    3 dye            : 蘇枋, 蘇芳, 蘇方
0.0017544    1 demand         : 謗法
0.0017524    4 black          : カラス族, 黒房, 黒ん坊, 弔旗
0.0017457    1 observation    : 見倣う
0.0017359    1 herb           : 芳草
0.0017359    1 learn          : 見倣う
0.0016967    2 wander         : 彷徨う, 彷徨く
0.0016793    1 chain          : 防材
0.0016460    1 example        : 見倣う
0.0016261    3 interruption   : 妨害, 妨碍, 妨礙
0.0016024    3 cotton         : 綿紡, 紡糸, 紡ぎ糸
0.0015953    3 brown          : 蘇枋, 蘇芳, 蘇方
0.0015942    1 Buddhism       : 謗法
0.0015827   10 tribe          : 蛍族, 神族, 裸族, 蕃族, 蛮族, 支族, 枝族, 種族, 部族, 同族
0.0015589    7 excursion      : 修旅, 旅行, 遊山, 野遊び, 清遊, 周遊, 回遊
0.0015534    3 disturbance    : 妨害, 妨碍, 妨礙
0.0015261    2 blame          : 謗り, 訪う
0.0015163    4 pattern        : 見倣う, 下敷, 下敷き, 方眼
