Summary: {Weight} {token}: {words[0:10]}
0.0178913    3 bread          : 麵麭, 麺麭, 麪包
0.0178571    1 Shanghai       : 滬
0.0137455    2 curettage      : 掻爬, 搔爬
0.0137305   17 Japanese       : 髱, 琵琶, 芭蕉, 枇杷, 書紀, 圏点, 巻纓, 紀, 改善, 艶歌, ...
0.0124343    1 chignon        : 髱
0.0107477    6 village        : 村邑, 市邑, 僻邑, 都邑, 邑, 村起こし
0.0098940    9 sexagenary     : 己巳, 丁巳, 己丑, 辛巳, 己未, 癸巳, 己酉, 己卯, 乙巳
0.0094459    2 biwa           : 琵琶, 枹
0.0089933    9 cycle          : 己巳, 丁巳, 己丑, 辛巳, 己未, 癸巳, 己酉, 己卯, 乙巳
0.0088360    3 hail           : 雹害, 雹, 降雹
0.0085785    9 term           : 己巳, 丁巳, 己丑, 辛巳, 己未, 癸巳, 己酉, 己卯, 乙巳
0.0082130    3 abalone        : 蚫, 熨斗鮑, 鮑
0.0080246    4 kitchen        : 庖厨, 庖廚, 庖丁, 包丁
0.0073928    1 lute           : 琵琶
0.0071004    2 Cape           : 山梔子, 梔子
0.0070217    2 gourd          : 匏, 五色
0.0060190    1 Musa           : 芭蕉
0.0059512    4 ear            : 蚫, 鮑, 肥える, 揚巻
0.0057604    5 shell          : 蚫, 鮑, 砲弾, 巻き貝, 巻貝
0.0056222    2 acne           : 大人面皰, 面皰
0.0051146    1 banana         : 芭蕉
0.0048233   24 gun            : 握把, 鉄炮, 銃把, 砲架, 午砲, 空砲, 号砲, 野砲, 礼砲, 砲身, ...
0.0047832    5 roar           : 咆える, 砲音, 咆吼, 咆哮, 砲声
0.0047609    1 Eriobotrya     : 枇杷
0.0045646    7 bewitching     : 艷冶, 艷やか, 艶かしい, 艶めかしい, 濃艶, 妖艶, 艶やか
0.0044913    1 medlar         : 枇杷
0.0044177    9 charming       : 艷冶, 艷やか, 艶かしい, 艶めかしい, 濃艶, 艶容, 艶姿, 優艶, 艶やか
0.0043573    1 fiber          : 芭蕉
0.0043336    1 loquat         : 枇杷
0.0042234    2 knife          : 庖丁, 包丁
0.0041705    1 rampancy       : 跋扈
0.0041116    1 reptile        : 爬虫
0.0040385    1 prevalence     : 跋扈
0.0040354    1 covered        : 面皰面
0.0039987    1 shavings       : 鉋屑
0.0039643    2 consort        : 公妃, 妃
0.0038615    2 domination     : 跋扈, 支配
0.0038031    1 gown           : 旗袍
0.0037580    2 jessamine      : 山梔子, 梔子
0.0037485    1 adult          : 大人面皰
0.0036935    2 Gardenia       : 山梔子, 梔子
0.0036221    5 city           : 市邑, 港市, 港町, 都邑, 外港
0.0036076    5 town           : 市邑, 巷間, 巷説, 都邑, 町起こし
0.0035704    8 tired          : 倦み疲れる, 食べ飽きる, 倦む, 見飽きる, 聞き飽きる, 倦きる, 飽き飽き, 飽きる
0.0035506   11 food           : 庖丁, 苞苴, 食べ飽きる, 飽食, 苞, 配食, 配給, 包丁, 巻きす, 巻き簀, ...
0.0035495    1 mandarin       : 旗袍
0.0035360    2 plane          : 鉋身, 鉋
0.0035092    1 hailstorm      : 降雹
0.0034083   17 port           : 港祭り, 港市, 港外, 港町, 開港, 出港, 要港, 母港, 商港, 外港, ...
0.0034005   16 used           : 鮑結び, 匏, 圏点, 色砂, 肥だめ, 肥溜, 肥溜め, 色出し, 忌み言葉, 忌み詞, ...
0.0034004   79 one            : 扈従, 飽食, 己が, 已上, 身包み, 倦きる, 改氏, 抱きよせる, 抱き寄せる, 飽きる, ...
0.0033964   15 harbor         : 港口, 港市, 良港, 港外, 内港, 凍港, 港内, 港町, 臨港, 入港, ...
0.0033693    5 face           : 面皰面, 表記, 令色, 顔色, 色
0.0033255    1 smallpox       : 疱瘡
0.0033234    1 bustling       : 煕々
0.0033234    1 enjoyable      : 煕々
0.0033093   25 someone        : 鞄持ち, 改心, 抱きよせる, 抱き寄せる, 揺すり起こす, 捲き上げる, 抱きしめる, 抱き締める, 抱締める, たたき起こす, ...
0.0033052    2 jasmine        : 山梔子, 梔子
0.0032634    3 howl           : 咆える, 咆吼, 咆哮
0.0032493    2 worship        : 分祀, 祀る
0.0031147   10 bubble         : 泡ぶく, 泡風呂, 泡箱, 水の泡, 気泡, 泡沫, 泡だつ, 泡立つ, 水泡, 泡
0.0030739    1 drumstick      : 枹
0.0030600    1 spacious       : 煕々
0.0030152    3 item           : 苞苴, 苞, 絶品
0.0029864    1 wood           : 鉋屑
0.0029389    1 pompholyx      : 汗疱
0.0029060    1 greater        : 雹
0.0028820    5 ancient        : 巴人, 炮烙, 勝絶, 古記, 揚巻
0.0028806    1 braided        : 鮑結び
