Summary: {Weight} {token}: {words[0:10]}
0.0025727    1 divisional     : 中扉
0.0025539    2 flap           : 煽り立てる, 煽る
0.0025112    2 Buddhism       : 遍昭, 遍照
0.0023746    5 deceive        : 騙くらかす, 騙しこむ, 騙し込む, 騙かす, 騙す
0.0023738    6 looking        : 四顧, 後顧, 顧み, 回顧, 余所見, 付け所
0.0023675    2 editor         : 副編, 編者
0.0023300    4 patronage      : 眷顧, 恩顧, 愛顧, 肩入れ
0.0023051    2 contract       : 雇い止め, 雇止め
0.0023003    2 cheating       : 騙し合い, 騙し
0.0022953    4 instigate      : 煽てる, 煽る, 煽ぐ, 扇ぐ
0.0022760    4 engagement     : 雇入, 雇入れ, 雇い入れ, 所用
0.0022410    3 depot          : 持戻, 持ち戻り, 持戻り
0.0022332    9 take           : 顧みる, 顧る, 煽る, 騙しとる, 騙し取る, 受け戻す, とり戻す, 取り戻す, 取戻す
0.0022314    2 rally          : 小戻り, 小戻す
0.0022015    5 consideration  : 顧慮, 顧みる, 顧る, 顧み, 一顧
0.0021863    2 stir           : 煽り立てる, 煽る
0.0021791    1 warming        : 肩慣らし
0.0021643    1 outer          : 外扉
0.0020938    1 external       : 外扉
0.0020897    9 gate           : 閉扉, 門扉, 扉, 枝折り戸, 枝折戸, 切り戸, くぐり戸, 潜り戸, 木戸
0.0020521    1 Labridae       : 遍羅
0.0020091    2 narrow         : 戸浪, 波戸
0.0020002    3 package        : 持戻, 持ち戻り, 持戻り
0.0019928    1 chapter        : 中扉
0.0019914    3 attempt        : 持戻, 持ち戻り, 持戻り
0.0019881    4 day            : 開炉, 日雇, 日雇い, 日偏
0.0019532    6 tassel         : 白房, 青房, 黒房, 赤房, 房飾り, 房
0.0019484    2 become         : 捩じれる, 捩れる
0.0019262    1 gray           : 芦毛
0.0018961    1 wrasse         : 遍羅
0.0018919    1 bid            : 買い煽る
0.0018908    4 middle         : 中扉, 中篇, 中編, 政所
0.0018896    5 attention      : 眷顧, 顧みる, 顧る, 一顧, 付け所
0.0018892    2 page           : 中扉, 扉
0.0018848    2 Zen            : 満遍, 開炉
0.0018767    3 favor          : 眷顧, 恩顧, 愛顧
0.0018479    1 coat           : 芦毛
0.0018208    3 incitement     : 煽動, 煽り, 扇動
0.0017986    4 swindle        : 騙る, 騙り, 騙しとる, 騙し取る
0.0017977    3 colour         : 芦毛, 編みこむ, 編み込む
0.0017879    2 cabinet        : 前扉, 戸棚
0.0017803    2 balance        : 満遍, 捩り秤
0.0017704    3 fire           : 炉火, 炉端, 火偏
0.0017539    6 sequel         : 後篇, 本篇, 続篇, 後編, 本編, 続編
0.0017442    2 umbrella       : 蝙蝠傘, 蝙蝠
0.0017400    2 open           : 炉火, 戸外
0.0017149    1 skiff          : 扁舟
0.0016646    1 pilgrim        : 遍路
0.0016619    3 delivery       : 持戻, 持ち戻り, 持戻り
0.0016611    3 front          : 前扉, 表戸, 大戸
0.0016430    3 tearful        : 涙顔, 声涙, 涙声
0.0016394    3 agitation      : 煽動, 煽り, 扇動
0.0016393    1 coaxing        : 騙し騙し
0.0016256    2 fabric         : 編み地, 編地
0.0016210    2 horse          : 芦毛, 馬偏
0.0016030    4 composition    : 作編曲, 篇章, 編章, 編成
0.0015943    4 making         : 小戻り, 作物所, 偏重, 通所
0.0015898    1 bus            : 前扉
0.0015664    5 small          : 小戻り, こざと偏, 阜偏, 編木, 小房
0.0015662    1 ubiquity       : 遍在
0.0015662    1 omnipresence   : 遍在
0.0015612    4 hire           : 雇い入れる, 雇う, 雇傭, 雇用
0.0015590    3 incite         : 煽る, 煽ぐ, 扇ぐ
0.0015571    3 outstanding    : 佳篇, 力編, 佳編
0.0015567    3 market         : 買い煽る, 小戻す, 戻す
0.0015508    1 framed         : 扁額
0.0014800    2 flatness       : 扁平, 偏平
0.0014778    1 itinerancy     : 遍歴
0.0014732    2 instigation    : 煽て, 煽り
0.0014722    1 rouse          : 騙し騙し
0.0014592    5 warped         : 捩じれる, 捩れる, 捩じ曲がる, 偏屈, 偏窟
0.0014479    1 motto          : 扁額
0.0014392    4 concern        : 顧慮, 顧みる, 顧る, 余所事
0.0014360    4 new            : 新篇, 新編, 編製, 開所
0.0014328   11 compilation    : 新篇, 篇, 新編, 編著, 編成, 編輯, 編集, 編修, 編さん, 編纂, ...
0.0014101   13 knitting       : 編み機, 編みあげる, 編み上げる, 編上げる, 編み針, 編針, 表編み, 裏編み, 手編み, 編み物, ...
0.0014081    3 defraud        : 騙る, 騙しとる, 騙し取る
0.0013960    4 little         : 扁舟, 一顧, 小戻す, 余所
0.0013939    1 nursing        : 騙し騙し
0.0013803    2 torsion        : 捩り秤, 捩じり
0.0013706    1 omnipresent    : 普遍
0.0013681    1 hired          : 雇われ
0.0013645    3 angle          : 煽る, 煽り, 偏角
0.0013511    2 parody         : 捩る, 捩り
0.0013294   13 room           : 房宿, 房室, 同房, 房中, 小房, 預かり所, 納戸, 戸惑い, 風戸, 衛所, ...
0.0013167    2 face           : 涙顔, 肩身
0.0013073    5 Chinese        : 玉篇, 房宿, 戸走り, 蔀戸, 捩花
