,30. ⼝,4. ⼃,9. ⼈,75. ⽊,1. ⼀,72. ⽇,12. ⼋,85. ⽔,140. ⾋,24. ⼗,32. ⼟,8. ⼇,86. ⽕,109. ⽬,61. ⼼,64. ⼿,167. ⾦,3. ⼂,2. ⼁,14. ⼍,37. ⼤,20. ⼓,102. ⽥,120. ⽷,149. ⾔,142. ⾍,27. ⼚,13. ⼌,38. ⼥,96. ⽟,46. ⼭,74. ⽉,118. ⽵,40. ⼧,18. ⼑,154. ⾙,28. ⼛,29. ⼜,7. ⼆,130. ⾁,25. ⼘,195. ⿂,145. ⾐,196. ⿃,115. ⽲,42. ⼩,112. ⽯,21. ⼔,162. ⾡,56. ⼷,117. ⽴,6. ⼅,94. ⽝,104. ⽧,119. ⽶,157. ⾜,62. ⼽,53. ⼴,172. ⾫,159. ⾞,41. ⼨,10. ⼉,66. ⽁,122. ⽹,113. ⽰,163. ⾢,187. ⾺,19. ⼒,33. ⼠,50. ⼱,106. ⽩,170. ⾩,31. ⼞,44. ⼫,55. ⼶,34. ⼡,16. ⼏,146. ⾑,181. ⾴,169. ⾨,108. ⽫,164. ⾣,77. ⽌,184. ⾷,22. ⼕,48. ⼯,57. ⼸,173. ⾬,17. ⼐,60. ⼻,36. ⼣,51. ⼲,128. ⽿,87. ⽖,123. ⽺,15. ⼎,5. ⼄,26. ⼙,70. ⽅,39. ⼦,59. ⼺,93. ⽜,124. ⽻,134. ⾅,177. ⾰,76. ⽋,116. ⽳,166. ⾥,69. ⽄,79. ⽎,152. ⾗,47. ⼮,141. ⾌,49. ⼰,101. ⽤,137. ⾈,151. ⾖,52. ⼳,81. ⽐,99. ⽢,78. ⽍,125. ⽼,147. ⾒,111. ⽮,190. ⾽,138. ⾉,131. ⾂,160. ⾟,188. ⾻,11. ⼊,175. ⾮,211. ⿒,103. ⽦,90. ⽙,121. ⽸,148. ⾓,98. ⽡,82. ⽑,45. ⼬,114. ⽱,133. ⾄,83. ⽒,165. ⾤,198. ⿅,129. ⾀,168. ⾧,180. ⾳,194. ⿁,132. ⾃,150. ⾕,153. ⾘,182. ⾵,203. ⿊,135. ⾆,156. ⾛,144. ⾏,67. ⽂,158. ⾝,107. ⽪,126. ⽽,178. ⾱,54. ⼵,88. ⽗,127. ⽾,100. ⽣,212. ⿓,174. ⾭,43. ⼪,95. ⽞,161. ⾠,89. ⽘,105. ⽨,110. ⽭,210. ⿑,73. ⽈,189. ⾼,68. ⽃,179. ⾲,199. ⿆,208. ⿏,136. ⾇,63. ⼾,65. ⽀,71. ⽆,84. ⽓,143. ⾎,80. ⽏,97. ⽠,91. ⽚,209. ⿐,58. ⼹,193. ⿀,200. ⿇,92. ⽛,155. ⾚,205. ⿌,207. ⿎,171. ⾪,191. ⾾,23. ⼖,35. ⼢,176. ⾯,186. ⾹,197. ⿄,214. ⿕,201. ⿈,213. ⿔,139. ⾊,185. ⾸,202. ⿉,206. ⿍,204. ⿋,183. ⾶,192. ⾿
37. ⼤,85,70,82,23,47,60,29,22,47,15,8,7,23,17,10,21,7,41,18,7,394,9,11,5,8,9,7,24,6,1,5,11,8,5,9,8,17,2,18,4,6,3,4,5,8,13,4,8,4,0,1,16,42,6,10,7,0,2,8,4,4,3,1,3,4,3,4,1,1,4,1,2,7,0,6,2,3,9,3,3,1,6,0,1,5,0,6,1,0,1,2,1,1,8,3,2,0,1,5,0,4,0,1,2,3,3,2,3,0,2,0,0,1,5,0,0,1,5,1,0,2,1,3,44,1,1,0,0,0,1,0,0,6,5,1,0,0,0,0,0,1,0,6,1,1,2,0,2,2,1,1,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20. ⼓,82,201,38,25,36,82,29,23,33,9,11,10,102,7,17,10,6,34,23,6,9,371,86,7,21,19,11,7,4,4,2,6,5,4,13,3,6,5,10,7,4,82,3,1,9,3,3,20,3,8,4,6,2,4,7,3,8,4,1,1,2,3,5,12,2,1,2,2,2,2,2,4,2,5,2,6,0,4,0,1,6,3,3,3,1,0,1,3,11,2,4,1,0,4,6,4,1,5,3,0,3,9,0,11,4,2,0,1,0,0,4,1,2,25,5,1,3,0,5,0,3,1,0,0,1,0,1,0,1,0,1,1,0,0,5,20,0,0,6,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,4,4,0,2,0,0,0,0
102. ⽥,48,97,22,32,57,68,41,14,25,25,12,16,90,10,13,5,7,13,29,12,11,86,366,9,2,6,11,24,10,4,4,12,2,7,14,5,28,4,4,7,3,82,5,3,8,10,4,6,3,4,1,3,6,5,21,3,4,3,1,3,5,3,2,3,4,0,3,12,3,4,3,3,1,1,7,7,0,4,3,0,15,3,1,3,1,1,3,5,2,1,2,2,0,0,4,4,0,1,5,0,3,0,2,2,0,0,0,1,0,0,0,8,19,1,2,2,1,3,2,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,16,0,0,18,0,2,0,0,23,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,2,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120. ⽷,37,54,23,9,17,22,16,4,5,15,10,14,4,13,5,1,2,13,12,11,5,7,9,352,11,4,7,10,5,0,4,7,2,7,5,7,12,11,11,2,4,1,0,1,1,8,0,3,2,8,3,3,0,1,5,0,8,3,5,4,3,3,6,11,2,0,1,0,5,3,4,0,1,0,4,5,3,1,2,1,3,0,1,0,1,3,3,2,1,4,0,2,1,4,2,1,2,1,1,2,1,0,1,0,0,0,0,2,0,3,2,2,0,1,1,0,0,2,2,1,0,1,1,0,0,0,3,2,0,0,3,0,2,0,1,0,0,0,1,0,1,2,1,0,2,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,2,0,0,0,0,0,1,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
149. ⾔,194,35,24,11,22,20,20,4,9,19,6,12,6,5,5,3,1,14,6,10,8,21,2,11,333,3,5,7,0,3,3,7,1,6,4,4,3,6,6,3,4,0,1,1,1,2,0,9,1,7,6,7,3,0,1,0,6,0,5,1,4,2,2,6,0,0,0,0,6,1,1,0,0,2,3,1,3,1,0,0,3,0,2,0,1,3,2,1,0,0,0,5,1,3,3,1,2,1,2,1,3,1,1,3,1,1,0,0,2,2,0,1,1,1,1,0,1,1,2,1,0,3,0,0,0,0,0,2,0,1,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142. ⾍,152,53,12,8,20,16,9,1,7,10,9,9,5,3,3,1,0,9,151,10,9,19,6,4,3,327,3,16,1,2,1,7,0,4,3,0,6,4,4,0,5,0,1,0,2,5,2,2,0,2,1,3,3,1,2,1,2,0,2,0,0,2,2,10,2,1,2,0,2,1,1,0,1,5,3,3,13,2,0,0,1,0,3,1,1,2,4,1,3,0,1,1,1,1,1,1,2,2,2,2,0,2,0,1,0,1,0,0,2,0,1,0,0,1,2,0,0,1,0,1,0,1,1,1,0,1,0,0,1,2,1,1,1,0,0,4,0,0,2,5,1,0,2,0,0,0,0,0,0,0,0,12,0,1,0,0,1,0,0,1,0,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27. ⼚,54,96,32,33,52,37,36,17,23,29,23,7,23,19,15,6,7,49,6,1,7,11,11,7,5,3,313,6,4,2,6,6,2,1,3,11,8,18,4,7,13,4,3,4,8,11,6,22,6,42,8,2,6,1,9,5,42,119,7,5,14,3,8,5,0,3,1,2,2,4,7,3,3,0,4,3,2,0,3,0,1,0,8,2,0,0,1,2,4,1,1,1,7,0,1,0,0,10,0,2,7,1,1,1,2,4,0,11,2,2,0,1,3,2,7,0,2,6,20,3,0,0,0,0,0,2,6,0,0,0,1,0,0,4,0,1,1,1,4,4,0,1,0,19,0,0,0,2,2,0,0,0,1,0,1,0,2,3,0,0,0,1,0,1,2,0,0,1,0,20,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,11,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
13. ⼌,130,107,42,27,49,21,40,17,18,49,21,42,11,9,8,7,7,8,18,3,24,7,24,10,7,16,6,303,5,3,19,7,7,3,3,3,10,3,3,6,3,1,8,1,5,35,3,2,10,0,3,4,4,2,14,2,0,1,4,4,0,2,14,5,2,1,2,1,12,5,0,3,0,2,29,0,0,0,0,0,0,0,1,1,4,0,3,11,11,0,1,5,0,4,0,1,1,0,1,1,3,1,1,1,2,0,2,2,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,15,0,1,0,0,0,0,0,0,0,33,0,0,7,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,1,0,0,6,0,0,0,7,0,3,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0
38. ⼥,39,32,10,22,13,10,16,6,5,10,5,13,6,11,3,3,1,7,18,12,6,4,10,5,0,1,4,5,300,2,2,6,2,11,1,8,4,14,3,1,2,2,3,1,8,4,1,2,1,5,5,2,0,3,4,0,5,0,0,0,0,1,6,0,1,1,2,4,4,4,0,1,3,2,1,0,1,3,1,2,1,0,1,1,6,0,3,3,0,0,1,2,2,5,1,3,0,1,1,2,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,2,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96. ⽟,22,26,14,8,10,18,10,7,2,10,3,9,5,7,5,2,3,21,2,5,1,4,4,0,3,2,2,3,2,272,5,5,4,3,2,4,3,1,3,0,0,1,0,0,1,3,1,2,2,2,3,1,2,1,0,0,1,2,0,1,2,2,3,3,0,2,2,1,4,2,14,1,3,1,3,2,2,1,0,3,0,1,0,0,5,1,0,0,1,4,0,0,5,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,1,0,0,0,1,0,2,0,0,0,1,0,0,2,0,1,0,5,1,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46. ⼭,31,32,23,7,22,8,12,4,1,10,7,4,5,4,4,7,3,6,9,4,5,2,4,4,3,1,6,19,2,5,271,5,0,4,4,2,4,2,1,1,3,0,0,5,1,1,2,3,2,4,3,6,2,2,1,0,3,0,5,2,1,3,8,0,2,0,0,0,0,0,2,1,0,6,3,5,2,0,2,1,0,0,0,0,1,2,1,0,14,6,0,2,2,5,3,1,2,0,0,0,0,0,1,1,0,1,1,2,2,0,0,0,0,0,0,0,11,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
74. ⽉,47,25,25,15,58,21,10,20,12,20,9,21,16,4,9,10,5,12,8,13,11,6,12,7,7,7,6,7,6,5,5,265,7,9,13,2,9,3,8,12,3,3,1,4,2,18,4,5,5,0,13,3,13,5,3,2,0,1,1,2,8,1,7,5,6,1,0,6,1,0,0,10,1,1,1,1,4,4,0,4,1,3,1,1,4,7,1,3,8,3,0,1,1,2,1,1,0,2,0,0,0,0,1,0,3,0,1,1,0,1,2,0,0,0,0,0,1,1,0,2,0,0,1,0,0,2,0,0,16,13,0,1,2,7,7,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,12,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
118. ⽵,25,34,18,11,14,11,11,5,0,16,4,8,2,8,0,4,0,12,12,3,8,5,2,2,1,0,2,7,2,4,0,7,264,2,6,3,3,2,3,0,3,0,2,0,1,0,0,3,0,6,3,2,0,0,0,0,6,1,1,1,4,2,3,0,0,0,1,2,2,3,2,0,2,1,6,1,2,2,1,1,1,0,2,0,4,6,1,0,1,0,0,2,0,2,0,0,1,5,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,3,5,0,1,1,3,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40. ⼧,52,38,22,17,38,22,74,13,9,5,9,8,10,20,13,7,5,2,8,221,5,4,7,7,6,4,1,3,11,3,4,9,2,261,3,15,10,4,15,4,12,1,0,3,2,12,4,11,2,0,5,14,2,0,5,2,0,0,3,1,2,3,2,9,9,0,2,1,1,0,6,3,0,2,1,4,0,0,1,0,5,0,0,1,0,7,2,0,1,0,10,0,2,0,1,1,1,8,2,1,2,2,1,3,1,0,42,0,0,0,5,0,0,0,0,1,1,1,0,0,1,0,2,0,1,0,1,3,0,0,0,0,9,4,2,0,0,0,0,2,5,0,3,0,0,1,0,0,2,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18. ⼑,57,45,26,31,31,5,40,16,10,16,6,24,6,17,12,11,5,14,6,5,9,13,14,5,4,3,3,3,1,2,4,13,6,3,258,16,5,0,18,1,4,3,3,0,10,2,1,1,3,0,6,1,1,4,4,1,0,2,0,1,0,0,0,1,2,1,0,1,0,5,0,0,0,2,2,0,0,2,7,0,2,1,4,1,0,1,1,3,3,0,6,5,0,0,0,1,0,4,0,0,2,10,1,1,2,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,6,0,0,0,1,0,0,3,0,0,2,3,0,0,0,6,1,0,0,0,3,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154. ⾙,55,45,20,19,18,11,221,10,4,13,7,10,7,221,5,4,3,16,11,15,8,3,5,7,4,0,11,3,8,4,2,2,3,15,16,257,4,3,7,1,15,0,1,2,4,18,3,9,2,12,4,5,2,3,1,2,6,2,3,0,1,1,2,11,2,0,0,2,14,1,1,1,2,1,5,2,3,2,69,0,2,0,7,1,4,5,1,0,2,0,2,1,1,0,0,0,1,2,1,0,5,1,0,0,0,1,1,1,2,0,0,2,1,0,1,0,1,1,0,0,2,1,1,0,2,0,2,0,0,0,0,0,1,1,2,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28. ⼛,39,81,23,23,7,10,61,14,13,10,46,33,10,6,12,8,4,7,8,15,17,6,28,12,3,6,8,10,4,3,4,9,3,10,5,4,255,4,24,7,5,2,1,3,5,1,2,8,1,0,6,0,4,0,1,0,0,7,1,3,0,16,5,6,1,0,3,1,4,1,1,3,0,5,6,12,1,4,2,1,5,3,2,2,1,0,7,7,5,1,1,0,1,3,0,1,4,5,2,2,28,6,3,0,0,1,4,0,0,0,0,12,0,1,0,1,0,1,0,0,1,1,0,6,19,3,0,4,0,1,0,1,2,0,1,1,1,1,0,7,28,0,1,0,1,21,0,23,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29. ⼜,26,65,21,14,12,18,9,11,11,21,19,4,12,9,6,17,10,5,13,17,2,5,4,11,6,4,18,3,14,1,2,3,2,4,0,3,4,243,5,5,17,3,0,0,3,9,2,1,2,0,3,1,1,5,2,1,0,5,9,7,0,0,5,12,0,0,5,1,12,2,2,2,0,5,0,1,53,2,1,0,3,2,0,3,4,0,5,1,1,3,4,1,15,12,1,0,1,3,0,1,2,0,2,10,1,0,0,0,0,53,1,0,0,0,0,7,4,0,0,0,1,0,0,2,2,0,10,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7. ⼆,46,44,48,15,32,26,31,11,15,17,9,24,5,10,13,6,5,11,7,23,18,10,4,11,6,4,4,3,3,3,1,8,3,15,18,7,24,5,240,10,5,1,6,2,2,2,0,1,3,4,1,7,1,1,1,4,0,1,1,1,2,1,2,5,1,4,1,3,4,2,4,4,4,6,6,1,0,1,3,0,2,1,3,0,8,0,0,9,2,1,0,0,0,1,0,3,2,7,0,0,0,4,1,1,0,11,1,0,0,0,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,19,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130. ⾁,15,28,20,1,13,18,10,3,6,14,4,13,3,1,2,0,0,8,6,6,4,7,7,2,3,0,7,6,1,0,1,12,0,4,1,1,7,5,10,236,2,0,0,1,0,2,0,5,0,4,4,0,0,0,1,0,3,3,1,0,4,1,1,0,0,0,1,4,1,1,1,0,2,2,2,1,3,1,0,0,2,0,1,0,1,4,0,2,4,0,2,2,0,0,1,0,1,4,3,0,2,0,1,1,0,0,2,1,0,2,2,3,2,1,2,0,1,1,0,1,0,0,0,0,0,3,3,1,0,1,1,0,1,1,0,0,0,0,1,0,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25. ⼘,51,37,62,20,43,15,18,15,6,14,13,9,8,23,1,8,3,13,6,17,6,4,3,4,4,5,13,3,2,0,3,3,3,12,4,15,5,17,5,2,219,1,2,1,7,21,6,22,2,12,1,0,0,4,7,3,6,1,1,1,0,1,7,3,3,0,0,0,1,3,0,2,5,1,0,1,2,1,5,1,1,1,95,1,0,0,0,3,17,6,5,4,2,0,0,2,0,6,1,0,2,0,0,0,1,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,6,1,1,1,0,0,0,0,17,35,0,0,2,0,0,0,2,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0
195. ⿂,9,17,8,8,9,17,4,3,4,4,4,6,81,0,2,0,0,4,1,1,3,82,82,1,0,0,4,1,2,1,0,3,0,1,3,0,2,3,1,0,1,216,0,0,4,3,1,3,0,2,1,0,0,1,1,0,2,1,0,0,2,1,1,2,2,0,0,0,2,2,1,0,1,0,1,2,0,3,0,0,3,2,0,1,0,0,1,1,0,1,1,1,0,0,4,2,0,1,3,0,2,0,0,1,0,0,0,1,0,0,0,1,2,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145. ⾐,44,16,16,11,20,15,8,3,3,9,13,59,1,2,2,2,0,7,9,2,4,3,5,0,1,1,3,8,3,0,0,1,2,0,3,1,1,0,6,0,2,0,209,0,1,4,0,1,1,3,3,1,2,0,1,0,2,0,1,2,1,2,0,5,2,0,1,1,5,1,2,0,3,3,1,1,0,1,1,1,2,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196. ⿃,15,18,12,5,4,4,10,1,2,7,3,4,83,4,0,1,0,6,2,8,5,1,3,1,1,0,4,1,1,0,5,4,0,3,0,2,3,0,2,1,1,0,0,197,0,2,0,3,0,4,0,5,0,0,1,1,2,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,0,1,0,2,2,2,0,0,1,2,1,1,2,0,1,2,2,0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115. ⽲,19,130,10,128,10,11,11,7,12,8,5,9,14,5,11,0,2,9,4,3,8,9,8,1,1,2,8,5,8,1,1,2,1,2,10,4,5,3,2,0,7,4,1,0,196,5,0,6,2,3,0,2,1,4,0,0,3,2,2,1,0,2,0,0,0,0,0,0,3,1,1,0,8,1,0,4,3,1,2,0,0,1,6,0,1,2,0,1,1,0,1,2,0,5,2,1,0,0,0,2,1,4,0,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,5,0,0,0,0
42. ⼩,50,86,19,13,26,28,33,18,5,5,5,21,11,30,5,6,6,10,5,13,13,3,10,8,2,5,11,35,4,3,1,18,0,12,2,18,1,9,2,2,21,3,4,2,5,188,3,2,4,5,0,0,0,1,0,2,5,1,2,1,0,3,14,0,2,0,1,2,0,6,5,4,0,1,1,0,0,0,5,0,0,0,10,1,1,0,1,1,0,1,2,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112. ⽯,79,15,10,6,9,6,7,2,3,8,3,5,3,4,0,1,1,2,2,7,4,3,4,0,0,2,6,3,1,1,2,4,0,4,1,3,2,2,0,0,6,1,0,0,0,3,188,4,0,2,2,2,0,0,1,1,2,3,3,0,2,2,0,0,0,0,1,0,1,0,2,0,0,1,1,0,2,0,1,0,0,0,1,0,1,2,0,0,0,0,2,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,1,2,3,1,2,0,0,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21. ⼔,29,31,34,15,11,40,28,7,15,11,16,0,16,20,3,6,4,5,3,14,8,20,6,3,9,2,22,2,2,2,3,5,3,11,1,9,8,1,1,5,22,3,1,3,6,2,4,182,0,0,0,0,0,3,4,0,0,22,1,1,1,3,1,4,1,0,3,0,1,0,10,3,2,7,1,0,1,0,7,0,0,0,15,0,0,0,0,1,3,0,6,0,0,0,0,1,0,0,0,0,2,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,54,1,5,10,0,7,1,0,0,0,0,0,0,1,7,0,1,2,0,1,0,0,1,0,0,19,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
