,30. ⼝,4. ⼃,9. ⼈,75. ⽊,1. ⼀,72. ⽇,12. ⼋,85. ⽔,140. ⾋,24. ⼗,32. ⼟,8. ⼇,86. ⽕,109. ⽬,61. ⼼,64. ⼿,167. ⾦,3. ⼂,2. ⼁,14. ⼍,37. ⼤,20. ⼓,102. ⽥,120. ⽷,149. ⾔,142. ⾍,27. ⼚,13. ⼌,38. ⼥,96. ⽟,46. ⼭,74. ⽉,118. ⽵,40. ⼧,18. ⼑,154. ⾙,28. ⼛,29. ⼜,7. ⼆,130. ⾁,25. ⼘,195. ⿂,145. ⾐,196. ⿃,115. ⽲,42. ⼩,112. ⽯,21. ⼔,162. ⾡,56. ⼷,117. ⽴,6. ⼅,94. ⽝,104. ⽧,119. ⽶,157. ⾜,62. ⼽,53. ⼴,172. ⾫,159. ⾞,41. ⼨,10. ⼉,66. ⽁,122. ⽹,113. ⽰,163. ⾢,187. ⾺,19. ⼒,33. ⼠,50. ⼱,106. ⽩,170. ⾩,31. ⼞,44. ⼫,55. ⼶,34. ⼡,16. ⼏,146. ⾑,181. ⾴,169. ⾨,108. ⽫,164. ⾣,77. ⽌,184. ⾷,22. ⼕,48. ⼯,57. ⼸,173. ⾬,17. ⼐,60. ⼻,36. ⼣,51. ⼲,128. ⽿,87. ⽖,123. ⽺,15. ⼎,5. ⼄,26. ⼙,70. ⽅,39. ⼦,59. ⼺,93. ⽜,124. ⽻,134. ⾅,177. ⾰,76. ⽋,116. ⽳,166. ⾥,69. ⽄,79. ⽎,152. ⾗,47. ⼮,141. ⾌,49. ⼰,101. ⽤,137. ⾈,151. ⾖,52. ⼳,81. ⽐,99. ⽢,78. ⽍,125. ⽼,147. ⾒,111. ⽮,190. ⾽,138. ⾉,131. ⾂,160. ⾟,188. ⾻,11. ⼊,175. ⾮,211. ⿒,103. ⽦,90. ⽙,121. ⽸,148. ⾓,98. ⽡,82. ⽑,45. ⼬,114. ⽱,133. ⾄,83. ⽒,165. ⾤,198. ⿅,129. ⾀,168. ⾧,180. ⾳,194. ⿁,132. ⾃,150. ⾕,153. ⾘,182. ⾵,203. ⿊,135. ⾆,156. ⾛,144. ⾏,67. ⽂,158. ⾝,107. ⽪,126. ⽽,178. ⾱,54. ⼵,88. ⽗,127. ⽾,100. ⽣,212. ⿓,174. ⾭,43. ⼪,95. ⽞,161. ⾠,89. ⽘,105. ⽨,110. ⽭,210. ⿑,73. ⽈,189. ⾼,68. ⽃,179. ⾲,199. ⿆,208. ⿏,136. ⾇,63. ⼾,65. ⽀,71. ⽆,84. ⽓,143. ⾎,80. ⽏,97. ⽠,91. ⽚,209. ⿐,58. ⼹,193. ⿀,200. ⿇,92. ⽛,155. ⾚,205. ⿌,207. ⿎,171. ⾪,191. ⾾,23. ⼖,35. ⼢,176. ⾯,186. ⾹,197. ⿄,214. ⿕,201. ⿈,213. ⿔,139. ⾊,185. ⾸,202. ⿉,206. ⿍,204. ⿋,183. ⾶,192. ⾿
32. ⼟,73,103,41,19,57,62,54,19,24,52,598,34,21,18,9,14,6,29,15,20,8,11,12,10,6,9,23,21,5,3,7,9,4,9,6,7,46,19,9,4,13,4,13,3,5,5,3,16,7,14,4,2,4,1,3,3,13,11,2,5,21,12,14,17,1,2,2,3,10,2,0,9,12,9,3,8,3,6,1,5,7,2,3,1,2,9,1,1,4,5,1,23,1,2,5,4,13,3,10,5,2,2,1,2,2,1,5,8,2,2,5,0,1,2,1,1,1,0,2,3,1,48,2,1,1,2,5,1,0,1,4,1,2,1,0,1,1,1,2,0,28,0,2,1,1,1,1,1,0,1,1,0,1,0,13,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8. ⼇,197,104,70,52,42,70,51,31,39,75,34,572,21,17,21,15,11,27,13,43,7,10,16,14,12,9,7,42,13,9,4,21,8,8,24,10,33,4,24,13,9,6,59,4,9,21,5,0,8,4,154,18,3,4,4,5,1,2,8,3,1,11,29,9,4,8,4,4,2,20,8,5,18,19,2,2,13,6,4,6,1,5,2,2,22,0,3,4,10,4,7,0,1,1,2,10,6,0,73,24,5,3,3,0,0,0,2,14,3,1,4,13,1,0,1,4,0,19,0,2,2,0,2,6,1,1,1,35,1,0,4,0,3,2,0,0,2,4,0,11,0,1,2,0,0,1,20,2,1,0,0,1,2,1,0,1,24,0,0,1,0,0,18,0,3,16,1,3,19,0,0,0,1,19,0,15,0,2,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
86. ⽕,77,97,43,34,44,48,33,13,18,36,21,21,535,10,9,3,1,30,17,29,23,102,90,4,6,5,23,11,6,5,5,16,2,10,6,7,10,12,5,3,8,81,1,83,14,11,3,16,2,9,4,10,9,3,6,2,6,10,12,1,3,2,6,8,4,0,65,7,5,2,3,2,3,2,4,7,3,8,2,3,11,3,4,2,7,3,3,1,1,2,6,5,3,6,9,3,6,3,4,3,3,3,3,9,3,1,2,27,1,1,2,4,4,5,2,1,2,6,3,2,1,2,0,0,0,0,2,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,3,1,5,0,2,0,1,1,0,0,17,0,0,1,1,0,0,0,0,0,3,0,0,0,1,1,0,0,2,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109. ⽬,76,77,37,38,29,19,250,14,10,45,18,17,10,481,16,9,6,20,15,33,17,7,10,13,5,3,19,9,11,7,4,4,8,20,17,221,6,9,10,1,23,0,2,4,5,30,4,20,6,14,7,5,4,3,1,2,8,4,12,0,2,37,4,18,3,0,0,2,15,2,1,1,2,3,12,10,4,2,69,1,3,0,10,1,5,6,2,2,2,2,4,3,2,3,1,1,2,2,2,0,5,2,0,3,0,1,3,2,2,0,1,2,1,0,1,0,3,2,0,0,3,3,36,0,2,1,7,0,0,2,0,0,1,1,2,0,0,0,2,0,0,1,0,0,1,2,1,0,24,0,0,1,1,1,0,1,2,0,1,0,0,0,1,0,0,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,4,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,5,0,1,0,0,0
61. ⼼,52,64,40,26,42,36,22,10,13,26,9,21,9,16,476,3,2,17,13,24,10,17,13,5,5,3,15,8,3,5,4,9,0,13,12,5,12,6,13,2,1,2,2,0,11,5,0,3,0,7,7,8,2,2,5,0,7,8,7,3,5,2,3,18,3,1,1,3,7,1,4,2,4,2,2,11,3,2,2,2,8,0,0,0,5,4,2,2,3,4,2,4,9,8,1,0,1,2,0,3,2,3,1,0,0,3,1,2,3,2,0,2,3,1,4,0,1,1,0,1,0,0,0,0,0,3,1,0,0,1,3,0,0,0,0,1,0,0,1,1,0,1,3,0,0,1,6,1,3,1,1,0,0,3,0,1,2,1,0,2,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64. ⼿,43,47,31,11,33,26,24,4,4,19,14,15,3,9,3,475,0,13,12,16,21,10,5,1,3,1,6,7,3,2,7,10,4,7,11,4,8,17,6,0,8,0,2,1,0,6,1,6,1,4,4,12,3,0,2,1,3,3,8,2,5,3,2,3,2,2,0,3,5,3,4,0,3,5,1,4,6,1,0,3,0,1,1,0,2,5,3,1,3,0,2,4,6,5,2,3,3,4,0,1,1,1,5,7,0,1,2,1,9,4,2,1,1,3,2,1,0,2,2,3,0,1,3,2,0,0,1,1,0,1,1,0,3,0,3,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167. ⾦,33,39,14,6,17,12,20,3,5,18,6,11,1,6,2,0,462,10,5,5,7,6,7,2,1,0,7,7,1,3,3,5,0,5,5,3,4,10,5,0,3,0,0,0,2,6,1,4,0,7,2,2,0,0,1,0,6,4,5,2,3,3,1,5,0,0,0,2,1,1,4,0,1,2,2,2,2,1,0,0,3,0,2,0,3,1,1,0,1,1,2,1,1,1,0,1,1,5,2,1,1,1,1,1,0,1,0,2,3,2,0,3,2,1,1,0,3,2,1,2,0,0,0,1,0,1,3,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3. ⼂,84,234,44,33,81,27,53,38,25,39,29,27,30,20,17,13,10,434,14,7,41,34,13,13,14,9,49,8,7,21,6,12,12,2,14,16,7,5,11,8,13,4,7,6,9,10,2,5,3,173,8,22,38,1,3,6,146,1,3,4,14,7,3,4,1,0,4,1,1,3,3,0,9,2,4,0,14,4,0,5,3,3,9,4,8,11,0,0,1,2,4,7,2,1,16,5,16,2,7,4,3,2,2,0,4,1,0,5,5,0,1,5,3,0,32,1,2,6,4,3,4,0,0,0,1,0,6,2,0,0,10,0,0,6,0,2,19,2,1,0,0,0,0,1,0,1,6,3,3,0,1,1,4,1,1,1,2,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,1,0,13,10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0
2. ⼁,211,133,47,25,76,86,38,16,20,18,15,13,17,15,13,12,5,14,430,16,18,23,29,12,6,151,6,18,18,2,9,8,12,8,6,11,8,13,7,6,6,1,9,2,4,5,2,3,5,4,1,4,7,5,7,2,4,3,2,1,1,4,17,11,7,2,4,0,2,4,1,1,1,4,8,11,13,2,0,3,7,0,4,2,5,2,27,1,6,3,3,1,3,2,1,2,3,3,2,2,3,2,0,11,0,3,1,0,2,0,1,3,3,1,2,2,0,4,0,2,1,1,1,4,1,1,0,0,2,2,1,0,1,0,0,4,0,0,2,1,1,0,3,0,29,2,0,0,0,0,0,12,0,1,1,0,1,0,0,1,0,7,1,0,0,0,1,0,1,1,0,0,0,0,3,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14. ⼍,90,73,27,31,54,38,107,27,29,17,20,43,29,33,24,16,5,7,16,401,7,6,12,11,10,10,1,3,12,5,4,13,3,221,5,15,15,17,23,6,17,1,2,8,3,13,7,14,4,1,13,17,2,1,5,3,1,0,3,16,4,8,3,14,9,0,3,7,22,22,7,3,0,2,3,11,6,2,1,0,5,2,1,2,0,7,2,1,2,0,17,1,3,10,1,2,2,8,10,7,3,4,1,11,1,1,42,0,0,5,17,1,0,0,0,2,6,2,0,0,3,0,6,0,1,0,1,3,0,0,0,0,9,4,3,0,1,1,0,2,8,0,3,0,0,1,0,0,3,8,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,1,0,0,1,1,5,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
