order,element,is_kanji,is_kangxi_radical,pruned_kanji_count,new_kanji_count,cumulative_covered,remaining_kanji,kanji_1,kanji_2,kanji_3,kanji_4,kanji_5,kanji_6,kanji_7,kanji_8,kanji_9,kanji_10,kanji_11,kanji_12,kanji_13,kanji_14,kanji_15,kanji_16,kanji_17,kanji_18,kanji_19,kanji_20,kanji_21,kanji_22,kanji_23,kanji_24,kanji_25,kanji_26,kanji_27,kanji_28,kanji_29,kanji_30,kanji_31,kanji_32,kanji_33,kanji_34,kanji_35,kanji_36,kanji_37,kanji_38,kanji_39,kanji_40,kanji_41,kanji_42,kanji_43,kanji_44,kanji_45,kanji_46,kanji_47,kanji_48,kanji_49,kanji_50,kanji_51,kanji_52,kanji_53,kanji_54,kanji_55,kanji_56,kanji_57,kanji_58,kanji_59,kanji_60,kanji_61,kanji_62,kanji_63,kanji_64,kanji_65,kanji_66,kanji_67,kanji_68,kanji_69,kanji_70,kanji_71,kanji_72
33,糸,True,True,210,35,536,5995,繰,紳,給,絲,統,紆,紋,絹,紵,綸,紿,絵,組,綴,係,縞,綽,繞,系,納,絅,練,䜌,紊,縉,級,欒,糸,索,綺,絽,紜,経,紬,紂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,弋,True,True,175,44,580,5951,戉,咸,濺,戌,賊,賤,淺,戝,械,杙,戟,浅,域,栽,貮,綫,戎,誡,戰,戔,哉,弋,弌,賎,緘,戈,貸,桟,喊,減,膩,或,伐,𢦏,弍,戍,貳,找,弐,棧,代,戊,垈,絨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,王,True,True,134,31,611,5920,現,住,主,注,宝,詮,王,珊,栓,枉,抂,弄,珪,玉,玩,呈,哢,全,琺,壬,玳,柱,程,汪,珂,瑁,琳,瑚,斑,註,旺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,山,True,True,150,31,642,5889,山,岨,崎,峇,繃,岱,圸,崕,岐,嵒,辿,両,峡,崩,嶮,峠,峽,岾,崘,岫,仙,杣,汕,巒,岬,峙,嵩,嶢,崖,崙,峅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,干,True,True,91,19,661,5870,稈,干,开,訐,旱,幹,岸,枅,幵,汗,肝,澣,杆,栞,桿,午,捍,扞,罕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,貝,True,True,7,1,662,5869,贔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,艹,True,True,408,62,724,5807,莢,艾,莽,蕀,苦,菓,寛,暮,茎,莧,苧,艹,蒿,藁,嚆,芥,荷,莫,蕎,渮,摸,茯,菖,寞,芫,萌,萊,苛,藻,葆,模,菘,墓,苒,萱,苔,蓁,葫,苫,荅,苴,莞,萓,苜,蕘,芸,蒄,菻,萠,膜,謨,茂,塔,茶,漠,蒔,膵,草,芋,搭,苻,萃,,,,,,,,,,
40,彳,True,True,69,8,732,5799,循,徂,彳,得,待,徠,径,往,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,立,True,True,162,46,778,5753,菩,站,織,賠,暗,親,梓,苙,境,竚,柆,辜,泣,竦,辣,縡,竏,樟,嶂,咅,商,識,培,竍,位,諳,韻,璋,莅,竝,辯,競,宰,立,滓,竸,竟,竒,音,章,嵜,拉,辮,倍,辛,戠,,,,,,,,,,,,,,,,,,,,,,,,,,
42,田,True,True,317,56,834,5697,畐,累,睥,鬼,囎,壘,畍,畆,卑,嵬,畤,渭,畺,畚,細,堺,佃,瑰,甶,魃,苗,塊,畸,橿,畦,魘,界,甼,稗,畊,畴,胃,僵,畷,喟,沺,富,儡,傀,櫑,田,俾,畳,冨,逼,謂,縲,槐,魂,曽,町,蒐,薑,描,疊,畀,,,,,,,,,,,,,,,,
43,心,True,True,160,35,869,5662,思,億,秘,瑟,宓,患,憖,感,惑,臆,腮,蕊,撼,必,心,泌,意,芯,噫,忠,惷,檍,恚,密,戀,忩,偲,沁,想,蘂,総,窓,恷,怠,樒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,勹,True,True,187,30,899,5632,佝,勹,勺,匐,旬,甸,匀,蔔,蒟,芍,掲,匁,喝,勾,葛,荀,謁,苟,詢,約,均,杓,葯,洵,渇,絢,句,枸,徇,拘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,⺕,False,False,131,10,909,5622,侵,彗,君,伊,窘,浸,秉,桾,尹,慧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,戈,True,True,26,1,910,5621,戒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,中,True,False,1,0,910,5621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,凵,True,True,92,20,930,5601,沌,屯,洶,屮,匈,凵,漓,离,芻,兇,凶,純,柮,出,画,咄,拙,胸,朏,蒭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,女,True,True,172,50,980,5551,倭,魏,女,婪,佞,按,婢,奸,妛,案,奴,安,汝,宴,瓔,妲,妾,絮,妓,嚶,櫻,嬰,姑,縅,娼,姐,委,威,椄,妍,娃,萎,纓,始,接,茹,晏,姶,洳,恕,嬋,妖,嬌,怒,姦,如,娟,巍,呶,妁,,,,,,,,,,,,,,,,,,,,,,
50,𠂉,True,False,196,30,1010,5521,畋,微,徽,做,斂,警,撤,條,瀲,敗,𠂉,絛,嫩,悠,敬,倏,滌,故,澂,變,枚,脩,攵,薇,敕,懲,檠,徹,徴,攸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,門,True,True,67,35,1045,5486,閲,閂,闡,閾,閉,閊,閏,閇,櫚,嫻,閔,繝,捫,閘,們,悶,闃,問,闇,間,椚,潤,閭,蘭,閠,墹,閃,閥,閑,澗,門,閨,開,嫺,閤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,刀,True,True,112,42,1087,5444,吩,綛,荵,扮,刄,藾,紹,仞,召,劒,茘,拐,認,竕,仭,朷,枴,剱,紛,沼,岔,屶,詔,刧,芬,扨,貧,辺,汾,嬾,招,辧,劔,分,昭,刀,忍,韶,忿,叨,刃,枌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,力,True,True,88,29,1116,5415,劫,力,嫐,朸,劭,仂,茄,莇,賀,肋,募,伽,迦,助,勅,協,脅,嬲,劦,勗,加,男,珈,脇,劬,枷,架,努,娚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,本,True,False,5,2,1118,5413,本,体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,囗,True,True,99,38,1156,5375,菌,國,茴,咽,四,茵,擅,困,圓,囚,梱,姻,囗,個,椢,圖,因,団,嗇,掴,稟,国,摑,徊,薔,回,穡,恩,壇,固,膕,亶,檀,涸,檣,泅,囲,泗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,子,True,True,71,22,1178,5353,勃,李,孜,遜,字,暾,仔,孛,椁,淳,諄,季,享,敦,厚,孑,孫,子,好,孥,斈,渤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,灬,True,True,325,8,1186,5345,烋,点,然,杰,照,煦,撚,灬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,士,True,True,132,28,1214,5317,劼,読,姙,週,拮,佶,調,稠,綢,恁,誌,周,売,仕,続,吉,荏,桔,任,妊,結,舎,志,賃,士,詰,涜,捨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,广,True,True,120,26,1240,5291,俯,縻,店,広,応,腑,床,嘛,廟,魔,椨,庁,賍,拡,庚,廂,廩,广,昿,麿,府,庄,麻,蓙,座,絋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,𠂊,False,False,186,31,1271,5260,急,鰔,沒,鱆,蘇,鯛,鮭,櫓,渙,喚,換,鰄,魚,鰆,奐,鮒,負,城,晟,魯,鰓,成,漁,浄,鯀,蘓,鮴,争,鮎,誠,鮟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,刂,True,True,98,37,1308,5223,廁,副,則,利,刑,剳,荊,側,刈,俐,鯏,班,剌,刺,莉,辨,剣,捌,苅,刂,刊,刹,剞,溂,厠,䚯,剖,剋,刋,喇,刪,測,劍,梨,薊,型,別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,年,True,False,1,1,1309,5222,年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,耂,True,True,48,15,1324,5207,儲,孝,著,哮,渚,者,賭,諸,藷,堵,教,暑,煮,耂,緒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,匕,True,True,176,34,1358,5173,脂,囮,貨,訛,椛,鮨,藹,匂,它,詣,姥,臈,花,佗,埖,指,叱,能,老,熊,壱,旨,態,嗜,鰭,耆,曷,蓍,柁,沱,匕,咾,化,詑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,里,True,True,70,40,1398,5133,廛,墨,黛,理,厘,浬,黜,瞳,黯,働,黑,腫,里,種,橦,動,量,勳,哩,竰,撞,童,重,熏,黠,俚,點,薫,黶,鯉,潼,纒,僮,默,纏,埋,黒,董,黙,勲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,夂,True,True,122,46,1444,5087,洛,咎,鰒,挌,落,絡,格,峻,蔆,崚,稜,畧,咯,賂,略,閣,夂,竣,条,擱,椶,珞,峰,腹,薐,各,綾,蓬,复,夊,喀,麥,夌,夋,菱,茖,峯,唆,復,客,浚,馥,梭,逢,夆,俊,,,,,,,,,,,,,,,,,,,,,,,,,,
67,禾,True,True,2,0,1444,5087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,乙,True,True,71,15,1459,5072,扎,糺,吼,孔,迅,七,丸,札,卂,乢,訊,乙,紮,乞,九,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,夕,True,True,88,27,1486,5045,侈,名,殀,葬,殕,殘,殉,列,残,殫,洌,歿,殆,死,茗,汐,移,例,梦,夕,歹,夥,外,殞,多,烈,夛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,千,True,False,23,10,1496,5035,括,闊,辞,話,乱,舍,濶,舌,活,刮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,小,True,True,128,44,1540,4991,景,寂,妙,抄,娑,劣,椒,尖,亰,瞥,暼,督,京,涼,紗,省,槭,戚,弊,秒,敝,少,鯨,尓,杪,鯊,掠,小,渺,諒,沙,淑,勍,黥,緲,叔,椋,莎,俶,菽,尗,蔽,瑣,眇,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,三,True,False,16,9,1549,4982,覯,溝,構,縫,媾,冓,搆,講,購,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,白,True,True,108,25,1574,4957,迫,皀,皖,柏,原,愿,皇,白,泊,畠,百,湟,皃,魄,皐,伯,皈,鰉,皋,拍,源,珀,徨,岶,的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,隹,True,True,137,53,1627,4904,讐,寉,雜,維,崔,焦,觀,樵,催,奮,隼,蒦,奪,集,推,應,護,誰,雛,蕉,灌,椎,準,讎,權,雁,攫,勸,堆,雙,欟,隻,雎,攜,囃,進,矍,贋,唯,稚,雕,讙,淮,售,穫,膺,摧,奞,截,藺,雀,隹,瞿,,,,,,,,,,,,,,,,,,,
75,方,True,True,75,34,1661,4870,傍,鰲,游,徼,遊,坊,斿,方,贅,倣,謗,妨,熬,肪,紡,枋,彷,滂,傲,竅,圀,放,榜,魴,激,芳,訪,旁,檄,敫,嗷,蒡,膀,敖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,生,True,True,19,9,1670,4861,姓,生,旌,星,甦,産,徃,甥,腥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,行,True,True,19,12,1682,4849,衢,衍,街,垳,術,哘,衡,桁,愆,衝,絎,行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,金,True,True,160,59,1741,4790,鍠,金,銅,鈍,鉛,銃,釵,釣,鈑,錬,鋭,崟,釟,針,釦,銛,鈔,釖,鋒,錢,鍄,鉱,鐓,銘,錨,鍾,銓,鈷,鈿,鋤,錣,釘,鍼,鏡,錐,銜,鈎,錺,鉈,鉢,钁,鈞,鑾,鋏,鉞,錮,鐃,鐵,銭,釼,鎬,釛,鉤,淦,釡,錵,鑵,鐘,鋳,,,,,,,,,,,,,
79,斤,True,True,61,32,1773,4758,哲,薪,浜,柝,鋲,沂,兵,芹,晰,質,斤,丘,岳,皙,析,淅,圻,泝,新,誓,折,釿,近,浙,梹,听,斥,訴,拆,晢,噺,逝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,米,True,True,122,47,1820,4711,粧,糜,米,潘,粭,釉,繙,粡,旙,旛,蕃,糧,鐇,粉,菊,瀋,迷,粁,薮,粲,粹,謎,糎,粗,播,糀,審,粒,掬,籾,渊,番,粕,籵,糊,匊,娄,膰,悉,藩,糢,奥,粘,椈,釆,楼,数,,,,,,,,,,,,,,,,,,,,,,,,,
81,止,True,True,92,34,1854,4677,雌,貲,企,賦,眥,錻,歳,正,址,止,櫪,呰,眦,些,柴,澁,武,歴,瀝,斌,歩,蕋,紫,澀,歯,歰,渉,噛,捗,肯,此,贇,穢,沚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
