order,element,is_kanji,is_kangxi_radical,pruned_kanji_count,new_kanji_count,cumulative_covered,remaining_kanji,kanji_1,kanji_2,kanji_3,kanji_4,kanji_5,kanji_6,kanji_7,kanji_8,kanji_9,kanji_10,kanji_11,kanji_12,kanji_13,kanji_14,kanji_15,kanji_16,kanji_17,kanji_18,kanji_19,kanji_20,kanji_21,kanji_22,kanji_23,kanji_24,kanji_25,kanji_26,kanji_27,kanji_28,kanji_29,kanji_30,kanji_31,kanji_32,kanji_33,kanji_34,kanji_35,kanji_36,kanji_37,kanji_38,kanji_39,kanji_40,kanji_41,kanji_42,kanji_43,kanji_44,kanji_45,kanji_46,kanji_47,kanji_48,kanji_49,kanji_50,kanji_51,kanji_52,kanji_53,kanji_54,kanji_55,kanji_56,kanji_57,kanji_58,kanji_59,kanji_60,kanji_61,kanji_62,kanji_63,kanji_64,kanji_65,kanji_66,kanji_67,kanji_68,kanji_69,kanji_70,kanji_71,kanji_72
94,己,True,True,78,36,2220,4311,芭,色,胞,杷,把,起,悒,鉋,肥,葩,絶,妃,皅,巳,鮑,笆,囘,枹,垉,麭,已,泡,琶,紀,邑,苞,咆,杞,萢,抱,忌,己,庖,記,包,改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,天,True,False,60,5,2225,4306,輳,湊,奏,俣,昊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,頁,True,True,63,30,2255,4276,類,瀕,頒,瀬,顆,頂,顴,願,囂,頑,頻,頏,頚,蘋,頓,頼,纈,頰,額,頬,頁,頽,噸,顋,頃,顫,頡,穎,頌,傾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,廿,True,False,147,7,2262,4269,渡,度,鍍,遮,蔗,廿,庶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,⻏,False,True,45,15,2277,4254,鄒,部,槨,鄲,邱,郢,鄙,邦,廓,邨,郡,邵,都,郭,蔀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,巾,True,True,92,42,2319,4212,帆,閙,帰,幎,巾,掃,幗,棉,緜,綿,幅,乕,凧,姉,刷,逓,帷,錦,婦,箒,幢,幇,帑,蓆,菷,柿,幕,席,市,帽,幡,冪,旆,沛,幣,吊,帛,帖,幀,幟,帚,肺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,廾,True,True,17,3,2322,4209,曲,鼾,腆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,䒑,True,False,89,5,2327,4204,幸,䒑,圉,倖,睾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,⺌,False,True,60,47,2374,4157,稍,鮹,銷,晄,敞,堂,鐺,幌,尚,黨,悄,档,消,滉,輝,恍,洸,嫦,党,哨,賞,誚,儻,梢,嘗,趙,淌,廠,斃,屑,厰,削,宵,常,晃,光,胱,幤,絖,棠,當,当,肖,瞠,鎖,償,峭,,,,,,,,,,,,,,,,,,,,,,,,,
103,耳,True,True,73,38,2412,4119,咠,鑷,輯,囁,耶,聶,椰,聞,攝,緝,楫,諏,趣,取,茸,耳,揖,聖,耻,恥,聒,聡,樶,職,掫,懾,撮,顳,揶,娵,聳,輙,葺,最,珥,娶,耽,陬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,冫,True,True,78,21,2433,4098,終,冽,韵,凍,凉,柊,鮗,凋,准,冫,尽,冶,苳,凜,侭,况,凅,冬,冲,凖,凌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,工,True,True,93,39,2472,4059,潯,恐,訌,軾,築,筑,噬,控,肛,墻,紅,攻,空,式,跫,蕁,弑,倥,杠,椌,腔,試,項,扛,筮,槓,功,箜,尋,誣,江,噐,貢,覡,啌,巫,拭,杢,工,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,衣,True,True,58,26,2498,4033,滾,依,衣,裹,表,裔,裁,園,袁,喪,裟,袞,襞,袈,遠,裏,簔,裳,衷,薗,裂,轅,畩,褒,袋,哀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,手,True,True,22,12,2510,4021,看,摩,拜,撃,攣,湃,掌,擘,手,攀,拿,拏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,牛,True,True,51,30,2540,3991,犇,牧,掣,桙,制,皓,製,晧,浩,吽,件,牲,犁,造,告,梏,犒,牢,犂,惣,牝,特,牡,牟,眸,窖,牛,鉾,誥,物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,礻,True,True,22,15,2555,3976,禎,祁,社,神,榊,視,礼,福,祖,鰰,礻,祝,祉,祈,祷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,マ,False,False,51,12,2567,3964,甬,桶,涌,鯒,樋,勇,俑,誦,湧,慂,囹,通,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,文,True,True,1,0,2567,3964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,入,True,True,35,10,2577,3954,愈,諭,込,圦,輸,入,陝,愉,叺,杁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,石,True,True,79,39,2616,3915,磊,磨,碍,砲,碩,柘,礁,硼,碵,斫,石,碎,碚,研,確,硝,碑,碓,礬,鮖,碕,砧,拓,磅,鉐,碧,磽,硴,宕,硯,砦,妬,硅,砠,礑,矼,岩,砿,砂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,火,True,True,105,62,2678,3853,烱,楸,𤇾,耿,啖,焔,烙,烽,炙,犖,塋,灯,炭,燻,瑩,啾,勞,炯,煩,詼,愀,熾,炎,煢,萩,鍬,灰,淡,焙,灼,燃,畑,煥,煌,湫,秋,燒,滅,煬,燦,火,炮,談,熄,愁,炒,撈,營,烟,榮,燗,焼,燔,燉,熕,燥,燮,焚,炳,煉,恢,鰍,,,,,,,,,,
115,弓,True,True,72,37,2715,3816,彎,弱,弸,嫋,蒻,彁,弭,弟,鰯,拂,彿,弗,溺,弘,嵶,姨,洟,弔,弖,銕,沸,搦,泓,怫,粥,穹,彈,彊,疆,夷,費,弓,灣,第,弩,佛,引,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,龶,False,False,44,29,2744,3787,債,錆,積,害,清,契,麹,瞎,楔,簀,素,静,請,漬,麦,磧,責,勣,割,精,青,績,轄,情,喫,靖,嘖,晴,鯖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,也,True,False,10,8,2752,3779,也,釶,他,地,弛,池,施,葹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,疋,True,True,35,22,2774,3757,礎,疎,婿,掟,提,壻,題,寔,匙,諚,碇,是,綻,淀,胥,定,楚,疋,錠,旋,堤,聢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,欠,True,True,53,22,2796,3735,坎,漱,吹,恣,粢,歡,次,茨,掀,炊,歛,欽,欹,欠,軟,欣,姿,諮,咨,嗽,歌,資,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,艮,True,True,50,13,2809,3722,眼,即,恨,銀,喞,很,腿,限,根,艮,節,退,垠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,虫,True,True,156,72,2881,3650,蠢,虹,蚫,蟐,蛤,螯,蛙,嘱,繦,蜩,蠻,蝗,蠖,蛔,蛋,蜜,属,螺,蝠,蛄,蠑,蟯,雖,蝴,蛯,蟋,蠎,蜴,櫁,蝮,蟲,蟶,蟒,蛻,蛹,蚓,蚯,蝟,蚋,虫,螟,蛆,蟇,螳,蟷,蝨,蚕,蠧,蛇,蚩,蛸,蟠,蜆,蚌,嗤,蛞,蚊,禹,蛩,螢,蚰,蜂,蝣,蚣,蟆,蜥,蝪,掻,強,蜊,螽,蟬
122,卩,True,True,89,44,2925,3606,怜,危,怨,聆,碗,服,軛,玲,伶,冷,却,令,脚,范,卩,鈴,齢,苓,鋺,腕,苑,掵,叩,詭,氾,嶺,範,蜿,報,脆,領,阨,櫛,蛉,命,宛,厄,椀,笵,夘,鮠,婉,扼,箙,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,羊,True,True,69,32,2957,3574,蘚,鮮,洋,羣,詳,祥,搓,遅,羔,羌,磋,窯,羨,恙,羹,羊,達,嵯,譱,瑳,嗟,嵳,着,羶,差,姜,庠,群,佯,槎,縒,羮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,示,True,True,59,26,2983,3548,棕,款,示,尉,祟,禊,捺,蔚,祀,宗,祓,禪,禁,凛,祕,綜,熨,蒜,崇,頴,粽,噤,禀,慰,奈,淙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,戸,True,True,35,27,3010,3521,涙,扈,篇,雇,枦,唳,啓,滬,炉,遍,房,芦,肩,捩,鈩,扁,顧,蝙,戻,編,諞,戸,粐,綮,綟,偏,所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,前,True,False,7,6,3016,3515,煎,箭,前,剪,揃,擶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,長,True,True,28,8,3024,3507,悵,套,張,脹,帳,萇,漲,長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,西,True,True,70,44,3068,3463,哂,酵,鄭,擲,醒,醺,酥,縹,襾,醇,酲,酋,猷,醜,酊,酷,墫,酉,洒,酪,醉,酎,樽,酩,奠,配,酸,酌,楢,栖,鱒,茜,尊,醐,鰌,酘,酒,醍,酖,噂,晒,醂,西,遵,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,了,True,False,37,24,3092,3439,譎,亨,袤,橘,糅,預,茅,柔,序,務,懋,予,舒,矛,楙,抒,杼,敄,矞,了,揉,凾,烹,蕷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,雨,True,True,66,32,3124,3407,蕾,霑,轌,雫,霜,雰,曇,靂,零,霄,霹,漏,繧,靄,鱈,靈,膤,擂,雹,霍,孀,霧,壜,雨,雷,霈,霖,雲,澪,霎,雪,櫺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,共,True,False,29,18,3142,3389,港,戴,供,蛬,洪,拱,巷,殿,撰,異,閧,糞,巽,臀,哄,共,澱,選,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,业,False,False,25,7,3149,3382,業,並,普,顕,霊,晋,湿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,皿,True,True,91,36,3185,3346,慍,鰛,盛,盪,溘,葢,蘯,薀,温,闔,盞,盜,盗,鰮,聹,蓋,皿,謐,濘,盂,檸,蘊,榲,盍,盆,孟,蠱,昷,膃,媼,盒,盟,盖,塩,𥁕,嚀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,足,True,True,61,35,3220,3311,踵,蹟,躁,跼,踴,躑,跖,践,跂,躇,蹠,跋,蕗,蹐,趾,跪,躡,躪,踐,踊,踈,踪,蹉,蹲,躓,露,跏,踝,跟,躙,路,蹂,躔,踞,跚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,七,True,False,62,13,3233,3298,侘,咤,託,𠮟,砌,切,亳,窃,托,宅,梍,乇,詫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,癶,True,True,20,11,3244,3287,発,溌,癶,葵,廢,廃,醗,發,撥,揆,癸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,正,True,False,16,8,3252,3279,麪,柾,政,征,眄,鉦,証,整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,罒,True,False,114,67,3319,3212,罧,羅,蘿,覿,譯,羂,聴,羃,犢,薨,澤,瀆,壊,漫,詈,罒,寍,贖,幔,堽,躅,黷,寧,釋,懌,羆,罷,縵,蜀,夢,燭,蘰,擇,讀,濁,蔓,罣,懐,曼,罩,買,楞,徳,鏝,蔑,鑼,罸,曙,薯,鰻,廰,繹,竇,欝,罹,續,署,慢,睪,鐸,罫,謾,罟,儚,罰,擺,賣,,,,,
139,覀,True,False,40,32,3351,3180,票,覈,剽,簟,要,煙,蕈,樮,漂,價,嫖,慓,賈,遷,標,覃,篥,潭,僊,粟,鐔,垔,譚,覆,堙,鰾,価,腰,慄,覀,湮,栗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,⺤,False,False,82,43,3394,3137,曖,稱,爵,霪,俘,綏,乳,諍,淨,瞹,郛,浮,綵,穩,辭,蜉,埒,婬,隱,愛,錚,孚,崢,菜,嚼,淫,爭,亂,覓,受,妥,桴,採,采,埓,殍,穏,隠,授,箏,靉,稲,綬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,由,True,False,12,9,3403,3128,礦,鑛,黃,笛,簧,擴,曠,壙,廣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,豕,True,True,51,20,3423,3108,家,燹,豬,糘,毅,逐,瀦,稼,琢,豚,嫁,壕,啄,濠,豕,冢,縁,塚,溷,豪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,学,True,False,1,1,3424,3107,学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,後,True,False,1,1,3425,3106,後,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,聿,True,True,26,16,3441,3090,贐,燼,書,律,筆,肇,葎,盡,壗,晝,儘,肆,畫,聿,劃,津,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,馬,True,True,65,44,3485,3046,駻,馮,駝,驛,罵,駱,驕,駈,碼,駑,駸,駛,驫,篤,馭,隲,馳,驗,闖,驀,駘,瑪,駕,憑,駟,驩,騙,駿,驚,馬,驍,馼,騎,駁,駄,駅,騅,驃,媽,駐,騒,験,騾,駒,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,氺,True,True,44,21,3506,3025,隷,暴,録,彔,隸,瀑,棣,糠,緑,鱇,函,様,禄,隶,泰,曝,康,慷,氺,爆,逮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,予,True,False,2,2,3508,3023,野,墅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,疒,True,True,72,47,3555,2976,痰,瘁,癌,痢,疼,瘍,疔,疥,癈,痾,痣,癇,疸,疝,痲,癧,癖,痿,疱,癆,瘰,癪,瘠,疫,痩,病,癒,痼,痔,瘴,痳,痕,癜,癩,癨,症,癬,痒,疒,痂,疵,瘟,痊,痛,痺,疽,痍,,,,,,,,,,,,,,,,,,,,,,,,,
150,九,True,False,33,29,3584,2947,砕,贄,粋,孰,塾,抛,卆,究,囈,雑,仇,忰,蟄,酔,執,軌,枠,旭,勢,熟,笂,藝,染,尻,伜,埶,熱,摯,褻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,衤,True,False,59,36,3620,2911,褂,裾,襟,褌,袱,袍,衤,裡,裸,袵,衵,衲,襭,襌,褊,襠,裨,襯,襪,袿,初,袷,袖,裄,裙,褞,裃,複,襍,袒,褓,裼,衽,袙,襁,褐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,彡,True,True,74,43,3663,2868,蓚,鬚,彫,形,彦,彬,惨,彰,杉,参,髻,鬘,滲,偐,髷,參,珍,顔,修,蔘,影,髫,髮,須,鯵,顏,衫,診,諺,驂,鬆,穆,髯,簓,鰺,彩,髣,髟,慘,髴,髭,髢,髱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,水,True,True,31,28,3691,2840,永,線,漾,水,踏,沓,冰,泳,脉,湶,閖,氷,泉,樣,詠,承,咏,尿,楾,丞,蒸,潁,烝,怺,腺,昶,汞,拯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,幺,True,True,57,46,3737,2794,拗,藥,酳,礫,樂,顯,㬎,玄,隰,櫟,擽,幼,孳,鉉,蹊,衒,磯,窈,慈,滋,鑠,胤,眩,茲,爍,呟,麼,絃,磁,畿,牽,濕,幽,轢,蓄,弦,痃,幾,幺,機,奚,譏,畜,溪,聨,黝,,,,,,,,,,,,,,,,,,,,,,,,,,
155,⺍,False,True,30,23,3760,2771,鼡,蝉,巣,栄,脳,労,覚,図,褝,桜,珱,営,蛍,戦,撹,蝋,箪,弾,禅,畄,単,騨,悩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,乍,True,False,15,15,3775,2756,酢,筰,咋,炸,祚,作,柞,昨,鮓,搾,怎,胙,窄,乍,詐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,鳥,True,True,88,61,3836,2695,鸛,樢,嶌,鶉,鴕,鷭,鴒,鴪,鴈,島,嶋,鵯,鶴,鴨,鳬,鳰,蔦,烏,鵙,鶤,鴣,鵆,鳴,鳩,鶯,鷓,鷸,鷹,鷄,鵡,鳶,鸚,鳥,鴬,鴇,鳫,鴿,鴻,鵬,鶺,鴾,搗,嗚,槝,鵈,梟,鶸,鷦,鶩,鷙,鴆,鵐,鷺,鴫,鶇,鸞,塢,鵑,鳧,鴛,鵠,,,,,,,,,,,
158,⺨,False,False,56,39,3875,2656,猗,獄,獰,猛,狒,荻,狎,狸,猿,狆,獺,猩,狢,猝,狙,獨,狂,狹,潴,狗,狩,蕕,猶,誑,獏,獲,猟,猪,狛,狽,狭,嶽,猖,猫,狠,犲,狄,独,狷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,少,True,False,1,1,3876,2655,顰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,氏,True,True,31,22,3898,2633,婚,祇,帋,詆,抵,鴟,舐,紙,低,祗,昏,氐,柢,胝,底,岻,羝,牴,邸,棔,砥,氏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,矢,True,True,45,34,3932,2599,知,肄,矯,矮,蜘,笶,蔟,俟,智,埃,矧,雉,疑,薙,疾,痴,嫉,椥,矣,簇,礙,嗾,竢,矢,癡,族,嶷,挨,踟,欸,聟,擬,鏃,凝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,甲,True,False,1,0,3932,2599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,父,True,True,22,21,3953,2578,纐,鵁,釜,鮫,校,狡,駮,交,蛟,傚,咬,郊,爺,効,佼,效,皎,斧,父,絞,較,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,关,True,False,6,6,3959,2572,咲,送,関,朕,关,渕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,毋,True,True,24,7,3966,2565,毋,貫,毎,樌,慣,實,毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,豆,True,True,53,44,4010,2521,豌,壴,艶,鎧,證,樹,鐙,廚,剴,嶝,厨,彭,短,豆,荳,澎,膨,頭,榿,醴,禮,豈,鼓,逗,磑,燈,登,鼕,痘,豊,瞽,闘,澄,殪,鱧,覬,凱,噎,磴,壹,皚,鐡,懿,橙,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,青,True,True,7,7,4017,2514,菁,猜,睛,靜,倩,蜻,瀞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,今,True,False,20,20,4037,2494,岑,黔,稔,衿,矜,衾,莟,含,頷,琴,今,念,鯰,捻,吟,陰,唸,蔭,棯,貪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,川,True,True,25,22,4059,2472,侃,梳,馴,琉,蔬,丗,醯,旒,棄,駲,硫,疏,流,川,洲,州,訓,㐬,酬,順,滞,釧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,比,True,True,54,27,4086,2445,皆,琵,屁,箟,揩,比,枇,階,批,崑,菎,昆,砒,妣,鯤,楷,棍,秕,粃,陛,諧,偕,毘,焜,庇,混,紕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,至,True,True,28,27,4113,2418,到,倒,腟,咥,臺,耋,姪,致,擡,窒,幄,膣,至,薹,桎,握,鵄,臻,渥,屋,垤,椡,榁,室,緻,輊,蛭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,未,True,False,30,14,4127,2404,耕,昧,妹,未,釐,耘,誄,耙,朱,耒,眛,魅,味,耡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,羽,True,True,56,39,4166,2365,栩,燿,糶,翼,翌,褶,挧,翫,濯,曜,習,翆,擢,扇,翠,翻,搨,慴,翦,羽,鶲,榻,翕,翁,翹,翅,翊,翔,摺,躍,戳,櫂,耀,糴,歙,煽,翩,蓊,翟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,甘,True,True,54,21,4187,2344,煤,甜,鉗,篏,酣,疳,蚶,媒,嵌,拑,某,坩,邯,楳,謀,憇,箝,甘,柑,甞,紺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,匚,True,True,65,43,4230,2301,駆,戡,堪,堰,匠,匳,框,鍖,謳,枢,嘔,匯,匡,匝,筺,鷗,醫,歐,勘,翳,匚,糂,篋,湛,椹,偃,毆,筐,嶇,樞,奩,甚,鴎,嫗,殹,殴,箍,尠,驅,欧,碪,傴,匣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,束,True,False,1,1,4231,2300,欄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,匸,True,True,28,26,4257,2274,盲,惘,罔,区,贏,虻,羸,區,芒,匸,慌,妄,望,茫,忘,魍,医,網,鋩,肓,亡,瀛,匹,侫,荒,忙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,夫,True,False,39,39,4296,2235,規,畉,賛,嘆,輦,跌,麩,纉,難,窺,軼,艱,儺,迭,替,佚,鑚,僣,芙,渓,秩,𦰩,失,攤,夫,鉄,漢,鶏,潜,讃,灘,攅,帙,譛,扶,槻,歎,麸,趺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,其,True,False,22,20,4316,2215,撕,箕,棋,欺,廝,碁,嘶,厮,旗,朞,騏,期,其,祺,籏,斯,淇,稘,基,棊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,世,True,False,15,14,4330,2201,枼,蝶,緤,世,泄,諜,葉,貰,楪,笹,渫,喋,紲,鰈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,我,True,False,20,17,4347,2184,鵝,我,蟻,儀,犠,鵞,俄,峩,礒,蛾,莪,峨,議,娥,嶬,義,哦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,气,True,True,7,7,4354,2177,气,気,氤,氛,氣,汽,愾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,首,True,True,5,5,4359,2172,首,導,馗,馘,道,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,直,True,False,9,9,4368,2163,置,殖,植,悳,稙,直,矗,値,埴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,甫,True,False,33,30,4398,2133,圃,薄,尃,舖,鋪,傅,簿,埔,膊,補,敷,甫,捕,溥,舗,榑,浦,哺,葡,脯,搏,愽,輔,旉,賻,縛,鯆,蒲,博,匍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,皮,True,True,23,22,4420,2111,彼,被,疲,頗,破,皮,陂,波,婆,皸,碆,皷,皴,皺,皰,玻,菠,披,坡,跛,簸,皹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,五,True,False,14,12,4432,2099,衙,梧,語,五,圄,晤,唔,吾,悟,牾,伍,珸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,走,True,True,2,2,4434,2097,跿,赱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,非,True,True,40,38,4472,2059,薤,殱,俳,斐,籖,靠,裴,徘,琲,讖,霏,靡,韭,殲,鯡,榧,菲,韱,悲,暃,纖,匪,孅,罪,緋,懴,扉,排,懺,輩,腓,蜚,籤,誹,非,韮,纎,翡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,廴,True,True,21,20,4492,2039,健,廴,延,鍵,庭,蜑,廼,挺,廸,腱,梃,建,莚,誕,筵,涎,霆,廻,廷,蜒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
