order,element,is_kanji,is_kangxi_radical,pruned_kanji_count,new_kanji_count,cumulative_covered,remaining_kanji,kanji_1,kanji_2,kanji_3,kanji_4,kanji_5,kanji_6,kanji_7,kanji_8,kanji_9,kanji_10,kanji_11,kanji_12,kanji_13,kanji_14,kanji_15,kanji_16,kanji_17,kanji_18,kanji_19,kanji_20,kanji_21
71,白,True,True,28,10,678,1564,源,白,拍,皇,原,伯,泊,的,百,迫,,,,,,,,,,,
72,隹,True,True,41,17,695,1547,準,集,催,椎,穫,稚,誰,奪,堆,奮,隻,護,進,推,維,唯,焦,,,,
73,方,True,True,23,14,709,1533,妨,紡,傍,芳,方,肪,贅,坊,激,放,遊,訪,倣,傲,,,,,,,
74,生,True,True,8,4,713,1529,生,星,産,姓,,,,,,,,,,,,,,,,,
75,行,True,True,7,6,719,1523,行,衡,街,桁,衝,術,,,,,,,,,,,,,,,
76,金,True,True,34,18,737,1505,銘,鏡,鈍,鉱,鋳,釘,鐘,銭,錮,銅,鉢,釣,金,鉛,鋭,針,銃,錬,,,
77,斤,True,True,23,16,753,1489,訴,薪,誓,質,新,逝,哲,近,析,浜,折,丘,岳,斤,兵,斥,,,,,
78,米,True,True,31,16,769,1473,粗,迷,米,粧,奥,粉,粘,藩,謎,糧,楼,粒,菊,番,数,審,,,,,
79,止,True,True,27,16,785,1457,此,紫,捗,歴,渉,企,正,歩,賦,柴,歳,雌,止,歯,肯,武,,,,,
80,車,True,True,27,16,801,1441,揮,転,運,蓮,連,軍,軽,軸,輪,斬,庫,載,漸,暫,軒,車,,,,,
81,竹,True,True,30,16,817,1425,箸,笠,等,箱,竹,笑,篠,筋,筒,簡,箇,答,算,策,符,箋,,,,,
82,忄,True,True,31,10,827,1415,怪,恒,憤,悦,憾,憶,性,憧,憬,悼,,,,,,,,,,,
83,⻖,False,True,33,16,843,1399,険,阪,院,陵,附,障,阻,陸,防,隙,阿,陥,隆,陳,陣,陪,,,,,
84,自,True,True,11,7,850,1392,臭,自,鼻,嗅,息,憩,夏,,,,,,,,,,,,,,
85,几,True,True,36,18,868,1374,殻,殺,坑,凡,設,冗,繋,机,肌,投,穀,拠,没,処,汎,股,抗,役,,,
86,勿,True,False,11,9,877,1365,易,傷,勿,陽,賜,場,湯,腸,揚,,,,,,,,,,,,
87,尸,True,True,40,20,897,1345,沢,釈,局,掘,壁,窟,択,避,泥,履,尼,尺,据,堀,屈,届,訳,居,昼,璧,
88,龰,False,False,10,8,905,1337,促,徒,走,赴,足,超,越,捉,,,,,,,,,,,,,
89,用,True,True,17,3,908,1334,備,用,庸,,,,,,,,,,,,,,,,,,
90,事,True,False,1,1,909,1333,事,,,,,,,,,,,,,,,,,,,,
91,己,True,True,25,16,925,1317,包,忌,紀,絶,泡,肥,胞,起,色,把,妃,記,改,琶,己,抱,,,,,
92,天,True,False,22,1,926,1316,奏,,,,,,,,,,,,,,,,,,,,
93,頁,True,True,26,14,940,1302,頒,傾,額,瀬,頁,頰,願,頃,頼,頻,頓,頑,頂,類,,,,,,,
94,廿,True,False,30,4,944,1298,遮,渡,庶,度,,,,,,,,,,,,,,,,,
95,⻏,False,True,14,5,949,1293,都,郡,邦,郭,部,,,,,,,,,,,,,,,,
96,巾,True,True,38,20,969,1273,市,掃,幕,席,肺,幣,刷,吊,帰,綿,姉,逓,巾,幅,錦,幡,柿,婦,帽,帆,
97,廾,True,True,7,1,970,1272,曲,,,,,,,,,,,,,,,,,,,,
98,䒑,True,False,27,1,971,1271,幸,,,,,,,,,,,,,,,,,,,,
99,⺌,False,True,17,15,986,1256,削,党,鎖,尚,宵,常,賞,光,当,償,堂,消,幌,輝,肖,,,,,,
100,耳,True,True,15,10,996,1246,茸,最,撮,趣,聖,耳,取,聞,恥,職,,,,,,,,,,,
101,冫,True,True,31,6,1002,1240,終,凍,冬,准,冶,尽,,,,,,,,,,,,,,,
102,工,True,True,22,16,1018,1224,拭,江,工,功,貢,筑,項,空,式,紅,試,恐,控,尋,築,攻,,,,,
103,衣,True,True,21,13,1031,1211,裏,裁,哀,遠,褒,喪,表,依,園,裂,袋,衷,衣,,,,,,,,
104,手,True,True,9,5,1036,1206,摩,撃,手,看,掌,,,,,,,,,,,,,,,,
105,牛,True,True,15,11,1047,1195,件,特,制,造,製,牛,浩,牲,牧,物,告,,,,,,,,,,
106,礻,True,True,13,9,1056,1186,祖,礼,祈,祝,祉,社,福,視,神,,,,,,,,,,,,
107,マ,False,False,15,3,1059,1183,湧,勇,通,,,,,,,,,,,,,,,,,,
108,文,True,True,1,0,1059,1183,,,,,,,,,,,,,,,,,,,,,
109,入,True,True,7,5,1064,1178,輸,愉,諭,込,入,,,,,,,,,,,,,,,,
110,石,True,True,21,12,1076,1166,砲,研,碑,礁,妬,岩,確,磨,石,硝,砂,拓,,,,,,,,,
111,火,True,True,21,16,1092,1150,焼,畑,談,灰,秋,炭,火,炒,愁,滅,炎,煩,燃,淡,灯,燥,,,,,
112,弓,True,True,18,10,1102,1140,弟,弓,弱,弔,溺,沸,費,弘,引,第,,,,,,,,,,,
