order,element,is_kanji,is_kangxi_radical,pruned_kanji_count,new_kanji_count,cumulative_covered,remaining_kanji,kanji_1,kanji_2,kanji_3,kanji_4,kanji_5,kanji_6,kanji_7,kanji_8,kanji_9,kanji_10,kanji_11,kanji_12,kanji_13,kanji_14,kanji_15,kanji_16,kanji_17,kanji_18,kanji_19,kanji_20,kanji_21
259,尞,True,False,4,4,1981,261,療,寮,瞭,僚,,,,,,,,,,,,,,,,,
260,爰,True,False,4,4,1985,257,緩,媛,暖,援,,,,,,,,,,,,,,,,,
261,电,False,False,4,4,1989,253,俺,縄,庵,亀,,,,,,,,,,,,,,,,,
262,鹿,True,True,3,2,1991,251,麓,鹿,,,,,,,,,,,,,,,,,,,
263,岡,True,False,4,4,1995,247,岡,綱,鋼,剛,,,,,,,,,,,,,,,,,
264,彑,True,True,4,4,1999,243,剥,彙,互,剝,,,,,,,,,,,,,,,,,
265,南,True,False,2,2,2001,241,献,南,,,,,,,,,,,,,,,,,,,
266,巛,True,True,3,3,2004,238,拶,災,巡,,,,,,,,,,,,,,,,,,
267,権,True,False,1,1,2005,237,権,,,,,,,,,,,,,,,,,,,,
268,倉,True,False,3,3,2008,234,槍,倉,創,,,,,,,,,,,,,,,,,,
269,貴,True,False,3,3,2011,231,貴,潰,遺,,,,,,,,,,,,,,,,,,
270,並,True,False,1,1,2012,230,譜,,,,,,,,,,,,,,,,,,,,
271,𠂤,True,False,2,2,2014,228,阜,追,,,,,,,,,,,,,,,,,,,
272,左,True,False,3,3,2017,225,惰,佐,左,,,,,,,,,,,,,,,,,,
273,并,True,False,4,3,2020,222,併,塀,餅,,,,,,,,,,,,,,,,,,
274,万,True,False,3,3,2023,219,栃,励,万,,,,,,,,,,,,,,,,,,
275,夜,True,False,2,2,2025,217,液,夜,,,,,,,,,,,,,,,,,,,
276,龷,False,False,2,2,2027,215,横,黄,,,,,,,,,,,,,,,,,,,
277,升,True,False,1,0,2027,215,,,,,,,,,,,,,,,,,,,,,
278,臣,True,True,10,9,2036,206,臓,臨,堅,緊,腎,姫,蔵,賢,臣,,,,,,,,,,,,
279,美,True,False,1,1,2037,205,美,,,,,,,,,,,,,,,,,,,,
280,巨,True,False,3,3,2040,202,距,拒,巨,,,,,,,,,,,,,,,,,,
281,牙,True,True,4,4,2044,198,牙,芽,邪,雅,,,,,,,,,,,,,,,,,
282,片,True,True,2,2,2046,196,片,版,,,,,,,,,,,,,,,,,,,
283,血,True,True,2,1,2047,195,血,,,,,,,,,,,,,,,,,,,,
284,乗,True,False,2,2,2049,193,剰,乗,,,,,,,,,,,,,,,,,,,
285,午,True,False,3,3,2052,190,卸,許,御,,,,,,,,,,,,,,,,,,
286,声,True,False,1,1,2053,189,声,,,,,,,,,,,,,,,,,,,,
287,亜,True,False,2,2,2055,187,悪,亜,,,,,,,,,,,,,,,,,,,
288,赤,True,True,3,3,2058,184,赦,嚇,赤,,,,,,,,,,,,,,,,,,
289,龍,True,True,3,3,2061,181,籠,龍,襲,,,,,,,,,,,,,,,,,,
290,垂,True,False,4,4,2065,177,郵,垂,睡,唾,,,,,,,,,,,,,,,,,
291,母,True,True,1,1,2066,176,母,,,,,,,,,,,,,,,,,,,,
292,帝,True,False,3,3,2069,173,諦,帝,締,,,,,,,,,,,,,,,,,,
293,段,True,False,2,2,2071,171,段,鍛,,,,,,,,,,,,,,,,,,,
294,𠂢,True,False,2,2,2073,169,脈,派,,,,,,,,,,,,,,,,,,,
