Summary: {Weight} {token}: {words[0:10]}
0.0014475   14 notice         : 凶報, 張り出, 届け出でる, 張出, 見い出す, 見出す, 見出だす, 張り出す, 張出す, 貼り出す, ...
0.0014353    8 result         : 凶相, 引き出す, 引出す, 出来ばえ, 出来映え, 出来栄え, 出来上がり, 出来上り
0.0014144    1 inquire        : 調べ出す
0.0013612    1 rich           : 豊凶
0.0013179    1 dagger         : 凶刃
0.0013101    1 rebel          : 凶徒
0.0012681    1 terrible       : 大凶
0.0012394    1 offense        : 凶状
0.0012320   45 start          : こぎ出す, 漕ぎ出す, すべり出し, 滑り出し, 書き出す, 出る, 出す, あふれ出す, 溢れ出す, 出だし, ...
0.0012031    1 main           : 元凶
0.0011409    1 fierce         : 凶猛
0.0011275    1 delineation    : 点出
0.0010902   30 begin          : こぎ出す, 漕ぎ出す, 織り出す, 買い出す, 説き出す, 歌い出す, 書き出す, 考え出す, あふれ出す, 溢れ出す, ...
0.0010532    1 depiction      : 点出
0.0010191    1 algebra        : 括り出す
0.0010080    1 heinous        : 凶悪
0.0010080    1 fiendish       : 凶悪
0.0009794    1 lethal         : 凶器
0.0009595   11 pull           : 括り出す, こぎ出す, 漕ぎ出す, 釣り出す, つまみ出す, 摘み出す, 撮み出す, 引き出す, 引出す, ぬき出す, ...
0.0009295    1 ringleader     : 元凶
0.0009295    1 culprit        : 元凶
0.0008990    1 barbarous      : 凶暴
0.0008945    6 good           : 吉凶, 上出来, 使い出, 出物, 出きる, 出来る
0.0008746   24 leaving        : 出渠, 出京, 遅出, 出門, 出戻り, 出定, 出校, 出庫, 出がけ, 出掛け, ...
0.0008741    7 source         : 元凶, 出どころ, 所出, 出典, 出先, 出所, 出処
0.0008527    1 factor         : 括り出す
0.0008477    1 wickedness     : 凶
0.0008417   39 going          : 御出で, 出門, 出京, 出校, 出馬, 買い出し, 買出し, 使い出, 出がけ, 出っ鼻, ...
0.0008416    1 ferocious      : 凶暴
0.0008012    1 savage         : 凶暴
0.0008010    1 violence       : 凶行
0.0007971    1 bullet         : 凶弾
0.0007787    1 dangerous      : 凶器
0.0007671   31 come           : 出る, 御出で, はえ出る, 生え出る, 名乗り出る, 生まれ出る, 考え出す, 出どころ, 浮き出す, 浮出す, ...
0.0007228    3 act            : 凶行, 後出し, 出る
0.0006879    1 picture        : 点出
0.0006656    1 perciform      : 角出
0.0006656    1 moorish        : 角出
0.0006411   25 take           : つかみ出す, 掴み出す, 逃れ出る, 受け出す, 請け出す, 請出す, 持ち出す, 持出す, 踏み出す, 踏出す, ...
0.0006293    1 cause          : 元凶
0.0006214   20 someone        : 引き出す, 引出す, 蹴り出す, つかみ出す, 掴み出す, いびり出す, 呼び出す, 呼出す, 出先, 聞き出す, ...
0.0006207    1 common         : 括り出す
0.0006158   18 beginning      : すべり出し, 滑り出し, 書出し, 書き出し, 出だし, 出出し, 出っ鼻, 出鼻, 出っ端, 出はな, ...
0.0005967   22 run            : 流し出す, にげ出す, 逃げ出す, 逃出す, 走り出る, 駆け出す, 駈け出す, 駈出す, 飛び出す, 飛出す, ...
0.0005915    3 spit           : 出州, 出洲, 吐き出す
0.0005685   18 appear         : 現れ出る, 現われ出る, 出る, 出かかる, 出掛かる, まかり出る, 罷り出る, 出どころ, 出盛る, 飛び出す, ...
0.0005627    1 intravaginal   : 中出し
0.0005521   15 bring          : あぶり出す, 炙り出す, 焙り出す, えぐり出す, 抉り出す, 持ち出す, 持出す, 引き出す, 引出す, うみ出す, ...
0.0005501    1 idol           : 角出
0.0005496   21 go             : 出張る, 御出で, はみ出る, 食み出る, はみ出す, 食み出す, 出渋る, 出る, 出歩く, 浮かれ出る, ...
0.0005471   17 departure      : 出駕, 出征, 出っ鼻, 出鼻, 出っ端, 出はな, 出ばな, 出端, 出陣, 出帆, ...
0.0005236   40 one            : おん出る, 後出し, 出番, 出戻り, 投げ出す, 続出, 出かかる, 出掛かる, 押し出し, 押出し, ...
