Summary: {Weight} {token}: {words[0:10]}
0.0024345    9 bravery        : 勇烈, 勇武, 武勇, 剛勇, 豪勇, 勇名, 勇気, 忠勇, 勇
0.0024242    2 urging         : 策励, 督励
0.0023639    4 exertion       : 努力, 勤労, 力行, 尽力
0.0023131    2 striving       : 努力, 労
0.0023101    2 confederacy    : 加耶, 加羅
0.0022900   18 business       : 先務, 実務, 常務, 社務, 公務, 業務, 要務, 用務, 本務, 冥加, ...
0.0022587    4 exert          : 努める, 勉める, 力む, 力める
0.0022431    2 little         : 努努, 微力
0.0022330    4 subscription   : 募入, 募集, 応募, 加入
0.0022322    1 diploma        : 勲記
0.0021936   13 good           : 勧懲, 勧善, 励行, 劣る, 効く, 効かす, 博労, 功罪, 清勝, 健勝, ...
0.0021618    8 task           : 先務, 労作, 務まる, 任務, 務め, 業務, 勤まる, 勤め
0.0021380    1 emulation      : 励み合い
0.0021267    1 whipping       : 策励
0.0021187   13 make           : 努める, 勉める, 励む, 労する, 勇退, 効かす, 加薬, 動き掛ける, 響動めく, 動く, ...
0.0020732    6 valor          : 勇烈, 勇武, 勇者, 武勇, 蛮勇, 勇気
0.0020603    1 persuade       : 説き勧める
0.0020556    1 emulate        : 励み合う
0.0020362    1 encyclical     : 回勅
0.0019863   16 duty           : 所務, 専務, 本務, 勤務, 法務, 服務, 任務, 特務, 務め, 責務, ...
0.0019643    2 aftereffect    : 余効, 残効
0.0019357    9 brave          : 勇士, 勇者, 勇姿, 勇壮, 勇将, 勇猛, 勇戦, 勇敢, 勇ましい
0.0019237    3 ancient        : 加耶, 勝絶, 加羅
0.0018985   49 one            : 励ます, 好き勝手, 得手勝手, 勇名, 勇退, 効き目, 効目, 効かす, 勝ち逃げ, 力餅, ...
0.0018791   34 victory        : 勝ち筋, 大勝, 圧勝, 奇勝, 完勝, 勝ち負け, 快勝, 勝報, 制勝, 勝因, ...
0.0018778   13 position       : 劣位, 勧める, 劣勢, 勘所, 劫, 務める, 体勢, 姿勢, 形勝, 勤め口, ...
0.0018677    6 emperor        : 勅勘, 勅答, 勅撰, 違勅, 勤王, 勤皇
0.0018054    3 edict          : 勅, 勅令, 詔勅
0.0017825    1 purplish       : 勘八
0.0017577    1 vie            : 励み合う
0.0017425    2 Korean         : 加耶, 加羅
0.0017350    1 separate       : 他励
0.0016988    1 allotment      : 募入
0.0016964    1 reception      : 受勲
0.0016916    1 rivalry        : 励み合い
0.0016875    2 harder         : 吹き募る, 降り募る
0.0016747    4 mean           : 陋劣, 下劣, 卑劣, 鄙劣
0.0016604    1 Seriola        : 勘八
0.0016491    4 command        : 密勅, 勅命, 勅定, 勅諚
0.0016421    1 statesman      : 元勲
0.0016061   13 someone        : 勧める, 励ます, 勘ぐる, 勘繰る, 労する, 力づける, 力付ける, 労う, 労い, 動き掛ける, ...
0.0015938    8 cheer          : 励ます, 勇む, 勇みたつ, 勇み立つ, 勢いづく, 勢い付く, 力づける, 力付ける
0.0015916    2 tax            : 所務, 冥加
0.0015890    1 yellowtail     : 勘八
0.0015868    1 investigation  : 勘検
0.0015852    1 learning       : 勧学
0.0015845    1 peerage        : 勲爵
0.0015800    2 competition    : 励み合い, 応募
0.0015604   19 winning        : 粘り勝ち, ぼろ勝ち, ボロ勝ち, 勝着, 勝ち馬, 勝馬, 勝運, 勝ち戦, 勝ち軍, 勝戦, ...
0.0015420    4 Japan          : 所務, 勝絶, 炭労, 日加
0.0015414    6 situation      : 劣勢, 劣位, 敗勢, 形勢, 情勢, 状勢
0.0014996    2 sanction       : 勅裁, 勅許
0.0014960    6 scenery        : 勝絶, 勝概, 形勝, 奇勝, 景勝, 勝
0.0014472    6 valiant        : 勇姿, 猛勇, 猛勢, 勇猛, 勇ましい, 勇夫
0.0014469    2 job            : 所務, 転勤
0.0014408    2 splitting      : 割り勘, 割勘
0.0014165    3 arms           : 武勲, 兵力, 実力
0.0014050   16 addition       : 加え算, 加薬, 加法, 付加, 附加, 添加, 付け加え, 付加え, 追加, 増加, ...
0.0014029    3 solicitation   : 勧誘, 勧進, 募集
0.0014018    5 land           : 所務, 亜墨利加, 亜米利加, 勝地, 助け上げる
0.0013876   19 win            : 粘り勝ち, ぼろ勝ち, ボロ勝ち, 勝ち放す, 勝ち上がる, 勝機, 勝ち得る, 勝ち得, 競り勝つ, 勝つ, ...
0.0013432    3 despicable     : 下劣, 卑劣, 鄙劣
0.0013425    1 elder          : 元勲
0.0013131    4 base           : 陋劣, 下劣, 卑劣, 鄙劣
0.0013081    1 recommend      : 勧める
0.0012980   11 state          : 動勢, 加減, 情勢, 状勢, 病勢, 現勢, 国務, 国勢, 加州, 動静, ...
0.0012743    6 use            : 効かす, 効用, 効く, 使い勝手, 効, 勝手
0.0012389    7 deed           : 功労, 功名, 功徳, 偉功, 功績, 功, 労り
0.0012326    3 true           : 真勇, 実勢, 実力
0.0012211    4 prowess        : 勇武, 武勇, 剛勇, 豪勇
0.0011942    3 aging          : 劣化, 時効, 加齢
0.0011924    1 chartered      : 勅許
0.0011919    2 rescript       : 勅書, 勅語
0.0011917    4 suspect        : 勘づく, 勘付く, 勘ぐる, 勘繰る
0.0011789    6 temple         : 寺務, 勧進, 作務, 冥加, 法務, 能力
0.0011696    2 disadvantage   : 劣位, 劣勢
0.0011564    1 fertilizer     : 肥効
0.0011518    2 subordination  : 劣位, 劣後
0.0011456   14 influence      : 効かす, 勢威, 権勢, 勢力, 偉力, 加わる, 威勢, 勢, 勢い, 動かす, ...
0.0011433    7 something      : 心勝り, 心劣り, 勘づく, 勘付く, 押し動かす, 付け加え, 付加え
0.0011410    1 evil           : 勧懲
0.0011308    3 heroism        : 真勇, 義勇, 勇
0.0011162    7 role           : 所務, 務まる, 任務, 務める, 勤まる, 勤める, 助演
0.0011107    7 manual         : 労動, 労働, 力仕事, 手動, 力技, 力業, 能力
0.0011061    5 consideration  : 勘案, 勘定, 勘考, 功, 労り
0.0011003    3 urgent         : 先務, 急募, 急務
0.0010849    4 diligent       : 勤勉, 励行, 勤労, 勤しむ
0.0010800    3 union          : 労組, 労金, 労連
0.0010783   27 help           : 募る, 大助かり, 助太刀, 他力, 助け起こす, 助長, 力添え, 助け合う, 助け合い, 共助, ...
0.0010577   24 assistance     : 加勢, 助太刀, 公助, 加担, 助力, 佑助, 力添え, 神助, 祐助, 補助, ...
0.0010518    4 encourage      : 勧める, 励ます, 力づける, 力付ける
0.0010516    2 drudge         : がり勉, ガリ勉
0.0010516    2 swot           : がり勉, ガリ勉
0.0010387    3 effects        : 効果, 特効, 動産
0.0010153    2 unfavorable    : 劣勢, 見劣り
0.0010120    3 advice         : 勧め, 勧告, 助言
0.0010114    3 deity          : 勧請, 勝楽, 不動
