Summary: {Weight} {token}: {words[0:10]}
0.0083512    3 bread          : 麵麭, 麺麭, 麪包
0.0083333    1 anther         : 葯
0.0072448  123 one            : 勿吉, 靺鞨, 殉死, 殉国, 鯣, 忽, 殉職, 飽食, 惚気話, 豹尾, ...
0.0069951    7 counter        : 刎, 鈎, 鉤, 局留め, 包み, 売り場, 売場
0.0057313    1 chignon        : 髱
0.0057262   24 Japanese       : 髱, 鞨鼓, 鯣烏賊, 手鞠, 犬黄楊, 鯣, 羯鼓, 黄楊, 茶杓, 白楊, ...
0.0051943    2 matchmaking    : 媒妁, 媒酌
0.0051205    1 salamander     : 火蜥蜴
0.0050603    9 traditional    : 菊石, 勺, 塩麹, 手鞠, 豹尾, 釣り殿, 釣殿, 傷寒, 着物
0.0049865   11 ancient        : 匈奴, 羯, 羅甸, 鞠, 古句, 蹴鞠, 炮烙, 鈞, 高句麗, 揚巻, ...
0.0049631    1 rickets        : 佝僂
0.0048533    1 exquisite      : 洵美
0.0046114    2 bend           : 跼む, 鉤の手
0.0043487    1 intermittence  : 間歇
0.0040856    6 beautiful      : 洵美, 匂いやか, 匂やか, 咲き匂う, 佳句, 尤物
0.0040578    3 hail           : 雹害, 雹, 降雹
0.0039846    1 intermittent   : 間歇
0.0038972    7 round          : 跼む, つぼ湯, 壺湯, 南場, 持ち場, 持場, 場
0.0038572    1 sneaking       : 匍匐
0.0038358    3 abalone        : 蚫, 熨斗鮑, 鮑
0.0038045   15 Chinese        : 芍薬, 枸杞, 羯, 鈞, 承句, 烏揚羽, 湯円, 起句, 傷寒, 絶句, ...
0.0037203    5 kitchen        : 庖厨, 庖廚, 庖丁, 包丁, 板場
0.0036092    1 crawling       : 匍匐
0.0036048    4 scorpion       : 蛇蝎, 擬蠍, 蛇蠍, 蠍
0.0034823    1 creeping       : 匍匐
0.0034761    2 acting         : 媒妁, 媒酌
0.0034065    1 gourd          : 匏
0.0033750    1 peony          : 芍薬
0.0033750    1 Paeonia        : 芍薬
0.0032778    1 ammonite       : 菊石
0.0032553    3 unit           : 勺, 匁, 鈞
0.0032460   48 used           : 鞨鼓, 鮑結び, 羯鼓, 匏, 喝, 一喝, 楊枝, 楊子, 的矢, 警策, ...
0.0032088    2 scripture      : 偈, 聖句
0.0031922    2 concussion     : 振盪, 震盪
0.0031369    1 Latin          : 羅甸
0.0030835    3 ban            : 禁遏, 警める, 警め
0.0030388    2 shaku          : 勺, 笏
0.0030121    1 trembling      : 恟々
0.0030090    2 prohibition    : 禁遏, 警め
0.0029739    3 squid          : 鯣烏賊, 鯣, 乾き物
0.0029550    1 beseeching     : 請謁
0.0029504   11 verse          : 偈, 一句, 聯句, 連句, 章句, 発句, 下の句, 下句, 詩句, 句, ...
0.0029377    4 source         : 濫觴, 湯元, 湯本, 慰み物
0.0029201    6 shock          : 振盪, 震盪, 驚がく, 驚愕, ひと泡, 一泡
0.0028800    1 afraid         : 恟々
0.0028225    3 origin         : 濫觴, 本場, 物種
0.0027732    9 audience       : 請謁, 面謁, 謁, 謁する, 謁える, 拝謁, 内謁, 謁見, 満場
0.0027457    3 ear            : 蚫, 鮑, 揚巻
0.0027055    5 hurried        : 匆々, 匆匆, 怱卒, 怱々, 怱怱
0.0026961    3 shell          : 蚫, 鮑, 砲弾
0.0026774    2 poetic         : 偈, 詩的
0.0026638    2 lagoon         : 潟湖, 潟
0.0026538    2 title          : 掲題, 敬称
0.0026242    2 shaking        : 振盪, 震盪
0.0026081    2 acne           : 大人面皰, 面皰
0.0026051    1 stalagmite     : 石筍
0.0025947    1 beginning      : 濫觴
0.0025516   47 person         : 佝僂, 虎豹, 炮烙, 面謁, 走狗, 惚け茄子, 下賜, 監的, 酌, 天狗, ...
0.0024718    3 subject        : 掲題, 句題, 物の本
0.0024683    1 scepter        : 王笏
0.0024663    3 weight         : 匁, 千鈞, 鈞
0.0024413    1 fear           : 恟々
0.0024403    2 demon          : 波旬, 魔物
0.0024316    2 hourglass      : 鞨鼓, 羯鼓
0.0024014    1 tombstone      : 石碣
0.0023860    1 hunchback      : 佝僂
0.0023795    3 brown          : 葡萄色, 褐炭, 褐藻
0.0023669    1 animation      : 齣撮り
0.0023360    6 busy           : 匆々, 匆匆, 怱卒, 怱々, 怱怱, 盛り場
0.0023288    4 rushed         : 匆々, 匆匆, 怱々, 怱怱
0.0023042    6 roar           : 咆える, 砲音, 咆吼, 咆哮, 一喝, 砲声
