Summary: {Weight} {token}: {words[0:10]}
0.0021935    5 someone        : 預かり人, 預ける, 踊らす, 見通す, 通す
0.0021556    2 aloud          : 読誦, 誦する
0.0021539    5 gush           : 涌く, 涌き出る, 湧く, 湧き出る, 湧き出す
0.0021528    2 land           : 預かり人, 所務
0.0021514    1 cloakroom      : 預かり所
0.0021355    4 burst          : 涌き起こる, 涌き起る, 湧き起こる, 湧き起る
0.0021320    2 fountain       : 涌泉, 湧泉
0.0020860    2 Citrus         : 橘, 酢橘
0.0020821    4 springing      : 涌き, 涌出, 湧き, 湧出
0.0019780    3 Imperata       : 白茅, 茅萱, 茅
0.0019777    1 phyllotaxy     : 葉序
0.0019777    1 phyllotaxis    : 葉序
0.0019763    6 custody        : 預かり人, 預ける, 預け, 預かる, 預かり, 預り
0.0019552    4 crumple        : 揉み拉く, 揉みしだく, 揉み立てる, 揉む
0.0019245    4 uproar         : 湧き上る, 涌き上がる, 湧きあがる, 湧き上がる
0.0019231    1 kumquat        : 金橘
0.0019231    1 Fortunella     : 金橘
0.0019125    4 seethe         : 湧き上る, 涌き上がる, 湧きあがる, 湧き上がる
0.0019090    6 massage        : 揉み拉く, 揉みしだく, 揉む, 揉みほぐす, 揉み解す, 肩揉み
0.0018984   17 business       : 先務, 実務, 常務, 社務, 公務, 業務, 要務, 用務, 本務, 党務, ...
0.0018812    2 medical        : 予診, 医務
0.0018719    9 gentle         : 手柔らか, 柔順, もの柔らか, 物柔らか, 柔かい, 柔らかい, 柔らか, 柔和, 懐柔
0.0018563    2 poem           : 記誦, 愛誦
0.0018197    1 apple          : 蓮霧
0.0018176    5 foreword       : 序詞, 序, 序文, 序章, 序言
0.0018057    6 valor          : 勇烈, 勇武, 勇者, 武勇, 蛮勇, 勇気
0.0017812   10 deposit        : 預かり証, 預り証, 預かり金, 預り金, 預け入れる, 預金, 預ける, 預け入れ, 預入, 預入れ
0.0017345    4 excited        : 湧き上る, 涌き上がる, 湧きあがる, 湧き上がる
0.0017201    2 spearhead      : 矛先, 銅矛
0.0016860    9 brave          : 勇士, 勇者, 勇姿, 勇壮, 勇将, 勇猛, 勇戦, 勇敢, 勇ましい
0.0016829    5 task           : 先務, 務まる, 任務, 務め, 業務
0.0016712    2 sweat          : 涌く, 湧く
0.0016087    5 rub            : 揉み拉く, 揉みしだく, 揉み込む, 揉む, 肩揉み
0.0015989    1 potatoes       : 橘飩
0.0015971    1 parcel         : 預かり所
0.0015921   13 duty           : 所務, 専務, 本務, 法務, 服務, 任務, 特務, 務め, 責務, 劇務, ...
0.0015862    2 recite         : 誦する, 愛誦
0.0015783    5 forth          : 涌き, 涌き出る, 湧き, 湧き出る, 通う
0.0015612    6 understanding  : 記誦, 通り, 通じ, 通, 疎通, 疏通
0.0015470    7 mild           : 手柔らか, もの柔らか, 物柔らか, 柔かい, 柔らかい, 柔らか, 柔和
0.0015438    4 appear         : 涌く, 涌き立つ, 湧く, 湧き立つ
0.0015367    1 chamois        : 揉み皮
