Summary: {Weight} {token}: {words[0:10]}
0.0021098    2 college        : 卒制, 創部
0.0020870    5 mincing        : 剋, 刻み足, 刻, 小刻み, 刻み
0.0020841    6 project        : 卒制, 企劃, 別件, 区切り, 句切り, 息切れ
0.0020252   14 row            : 音列, 星列, 列柱, 後列, 歯列, 堵列, 列立, 列, 並列, 前列, ...
0.0020217    1 droll          : 剽軽
0.0020076    8 carving        : 剋, 陽刻, 石刻, 陰刻, 鏤刻, 刻, 彫刻, 刻字
0.0019939    8 made           : 刳り物, 刳物, 墨刷り, 新刀, 徳利, 西伯利, 西伯利亜, 西比利亜
0.0019905    2 strictness     : 剋, 刻
0.0019799   13 slice          : 剥身, 剝き身, 剝身, 剥き身, 削ぐ, 厚切り, 切片, 輪切り, ぶつ切り, 切れ, ...
0.0019669   12 rule           : 通則, 鉄則, 原則, 定則, 守則, 方則, 法則, 則る, 則, 規則, ...
0.0019576    3 joke           : 剽げる, 前ふり, 前振り
0.0019555   11 block          : 一劃, 区劃, 借り切り, 貸し切り, 貸切, 木切れ, たち切る, 截ち切る, 断ち切る, 断切る, ...
0.0019361   24 land           : 刈り跡, 一劃, 地券, 地利, 估券, 沽券, 反別, 段別, 得分, 徳分, ...
0.0019236    7 Buddhist       : 刹, 仏刹, 金剛, 剃髪, 則, 軍荼利, 仏前
0.0019208    2 cruelty        : 剋, 刻
0.0019168   31 time           : 剋, 刹那, 刻限, お初, 時刻, 例刻, 見初める, 初冠, 刑余, 知り初める, ...
0.0018971    1 piracy         : 剽窃
0.0018891    3 done           : 卒制, 墨刷り, 半切
0.0018524    1 main           : 本刷り
0.0018515    7 remainder      : 剰余, 余剰, 割り切れる, 割切れる, 割り切る, 割切る, 割れる
0.0018507   12 medicine       : 刺胳, 配剤, 調剤, 油剤, 良剤, 粉剤, 主剤, 散剤, 液剤, 薬剤, ...
0.0018258    2 wool           : 剪毛, 毛刈り
0.0018244   10 coming         : 落剝, 到来, 落剥, 近刊, 剝離, 剝脱, 剥離, 剥脱, 泣き別れ, 泣別れ
0.0017759    8 strong         : 強剛, 剛の者, 劇臭, 剛腕, 剛, 劇しい, 劇薬, 利し
0.0017722    1 plagiarism     : 剽窃
0.0017416    6 secondary      : 副鏡, 副砲, 副生, 副因, 別宅, 別邸
0.0017285   27 something      : 思い到る, 想い到る, 到来, 刈りそろえる, 刈り揃える, 論判, 副長, 踏み割る, 副える, 別条, ...
0.0017200   10 Chinese        : 剋, 刺胳, 京劇, 刻, 刺史, 大刀, 太刀, 横刀, 切韻, 反切
0.0017140    2 zodiac         : 剋, 刻
0.0017049   29 tear           : 劈く, 引き剝ぐ, ひん剝く, 引き剝がす, 剝ぐ, 剝ぎ取る, 剝がす, 引き剥ぐ, 引っ剥ぐ, ひん剥く, ...
0.0016836    2 corresponding  : 剋, 刻
0.0016710    1 facetious      : 剽軽
0.0016525    4 surplus        : 剰余, 余剰, 過剰, 余分
0.0016486    7 radish         : 卵割り, 貝割れ菜, 貝割菜, 穎割, 穎割り, 貝割り, 貝割
0.0016410    9 form           : 剤形, 倶利迦羅, 別体, 剤型, 創る, 割り符, 割符, 切り金, 切金
0.0016390   17 edge           : 錆刀, 刃先, 刺々, 足刀, 片刃, 前縁, 刃渡, 刃渡り, 打ち刀, 打刀, ...
0.0016373    5 shavings       : 削りかす, 削り滓, 削りくず, 削り屑, 切り粉
0.0016352   29 branch         : 根刮ぎ, 分店, 分院, 別れ路, 別れ道, 別家, 分かれ出る, 分枝, 分局, 分かれ道, ...
0.0016298   33 divide         : 分かち取る, 劃する, 劃す, 別ける, 組み分ける, 分ける, 振り分ける, 振分ける, 割り切る, 割切る, ...
0.0016074   24 knife          : 刃こぼれ, 刃毀れ, 片刃, もろ刃, 両刃, 双刃, 諸刃, 刃物, 出刃, 刀剣, ...
0.0015901    3 suppository    : 基剤, 坐剤, 座剤
0.0015795    6 hit            : 思い到る, 想い到る, 刎ねる, かち割る, カチ割る, 搗ち割る
0.0015531   30 split          : 劈く, 削げる, 割り竹, 割竹, 割材, 割り楔, 叩き分け, 割り木, 割木, 別ける, ...
