Summary: {Weight} {token}: {words[0:10]}
0.0022481    1 latus          : 側腹
0.0022440   10 temple         : 刹, 梵刹, 仏刹, 禅刹, 巨刹, 名刹, 古刹, 開創, 別院, 茶利
0.0022148    1 passage        : 刪定
0.0022088    9 measurement    : 測色, 測位, 則, 目測, 歩測, 測量, 測定, 計測, 観測
0.0021954   19 cutting        : 剋, 削蹄, 削り代, 八つ裂き, 手刈り, 毛刈り, 裂帛, 峻烈, 刈り上げる, 削ぎ切り, ...
0.0021872    6 prune          : 苅る, 刈り込む, 刈込む, 削ぎ落とす, 刈, 刈る
0.0021819    1 analysis       : 解剖
0.0021809   13 period         : 剋, 石剣, 旧劇, 刻, 新劇, 中刻, 上刻, 小判, 里帰り, 大判, ...
0.0021750    2 utensil        : 刳り物, 刳物
0.0021450    2 taking         : 剔出, 型取り
0.0021375   12 harvest        : 苅る, 麦刈り, 刈り上げる, 刈り取る, 刈取る, 刈り込む, 刈込む, 刈り入れる, 刈入れる, 刈る, ...
0.0021092    1 loin           : 側腹
0.0020833    6 highwayman     : 剽盗, 追い剝ぎ, 追剝, 追剝ぎ, 追い剥ぎ, 追剥
0.0020831   24 example        : 句例, 新例, 例句, 語例, 範例, 則る, 作例, 例題, 適例, 好例, ...
0.0020813   14 hair           : 苅る, 刺毛, 剃り落とす, 刈り上げる, 刎ねる, 毛刈り, とら刈り, 虎刈, 虎刈り, 裾刈り, ...
0.0020734    6 mow            : 苅る, 刈り取る, 刈取る, 刈る, なぎ倒す, 薙ぎ倒す
0.0020676    2 stinger        : 劍, 剣
0.0020379    2 dart           : 劍, 剣
0.0020353    2 birth          : 産制, 創生
0.0020177    4 cold           : 凛冽, 凜烈, 陰刻, 冷製
0.0019514    3 daring         : 剽悍, 剛気, 剛胆
0.0019081    6 clip           : 苅る, 刈, 刈り込む, 刈込む, 刈る, 割れる
0.0018395    1 shelling       : 殻剥き
0.0018253    3 flank          : 側腹, 側背, 側面
0.0017900   14 print          : 刷了, 初刷り, 復刊, 初刷, 試し刷り, 墨刷り, 合い判, 相判, 間判, 合判, ...
0.0017828    4 blade          : 劍, 割創, 剣身, 剣
0.0017813   11 Japanese       : 浅蜊, 山梨, 新劇, 浜梨, 梨, 半裂, 剣玉, 剣道, 刺青, 縁側, ...
0.0017699    2 briar          : 荊, 荊棘
0.0017645    7 wood           : 刳り物, 刳物, 木刻, 桂剥き, 木製, 割り符, 割符
0.0017609    1 editor         : 副編
0.0017524    3 thorn          : 荊, 荊棘, 刺
0.0017487    2 actual         : 本刷り, 実測
0.0017425   10 engraving      : 剋, 木刻, 刻印, 印刻, 打刻, 石刻, 鏤刻, 刻, 篆刻, 彫刻
0.0017313    3 rose           : 荊, 荊棘, 浜梨
0.0017042    1 jest           : 剽げる
0.0017011   12 wound          : 刺創, 刺し傷, 刀創, 割創, 創面, 刺傷, 銃創, 手創, 創傷, 咬創, ...
0.0016974   25 made           : 刳り物, 刳物, 墨刷り, 打製, 竹製, 磨製, 鋼製, 銅製, 鉛製, 紙製, ...
0.0016937    1 fraud          : 剔抉
0.0016905    8 large          : 劍, 巨刹, 大剣, 大判, 売り捌く, 売捌く, 剣, 大型
0.0016897    4 grass          : 苅る, 刈萱, 刈草, 刈る
0.0016792    1 scandal        : 剔抉
0.0016561    3 Pyrus          : 豆梨, 洋梨, 山梨
0.0016391    5 sensible       : 悧口, 悧巧, 捌ける, 利口, 利巧
0.0016334    1 examination    : 解剖
0.0016271   28 different      : 別体, 別語, 牛裂き, 別字, 別派, 別義, 別訳, 別路, 別様, 別命, ...
0.0016203   12 peeling        : 落剝, 落剥, 剥皮, ずる剥け, 剝離, 剝落, 剝脱, 剝がれ, 剥離, 剥落, ...
0.0015996    1 graduation     : 卒制
0.0015996    1 thesis         : 卒制
0.0015989   12 strong         : 強剛, 剛の者, 烈風, 劇臭, 剛腕, 剛, 猛烈, 烈しい, 劇しい, 強烈, ...
0.0015672    5 art            : 卒制, 味到, 剣法, 剣術, 剣道
0.0015496    1 colorimetry    : 測色
0.0015430    2 college        : 卒制, 創部
0.0015421    1 pineapple      : 鳳梨
