Summary: {Weight} {token}: {words[0:10]}
0.1672399    6 unit           : 解隊, 隊旗, 帰隊, 原隊, 部隊, 隊
	battalion WORD[25,   1]: 0.0099205 大隊
TOKEN[26]: 0.0095678    2 line
	line WORD[26,   1]: 0.0050296 隊伍
	line WORD[26,   2]: 0.0045383 横隊
TOKEN[27]: 0.0089422    1 troop
	troop WORD[27,   1]: 0.0089422 中隊
TOKEN[28]: 0.0087063    1 main
	main WORD[28,   1]: 0.0087063 本隊
TOKEN[29]: 0.0076544    1 array
	array WORD[29,   1]: 0.0076544 隊伍
TOKEN[30]: 0.0074653    1 procession
	procession WORD[30,   1]: 0.0074653 隊伍
TOKEN[31]: 0.0073995    1 battery
	battery WORD[31,   1]: 0.0073995 中隊
TOKEN[32]: 0.0073973    1 aircraft
	aircraft WORD[32,   1]: 0.0073973 編隊
TOKEN[33]: 0.0072640    1 orchestra
	orchestra WORD[33,   1]: 0.0072640 楽隊
TOKEN[34]: 0.0071936    2 body
	body WORD[34,   1]: 0.0039326 本隊
	body WORD[34,   2]: 0.0032610 隊
TOKEN[35]: 0.0068183    1 disposition
	disposition WORD[35,   1]: 0.0068183 隊形
TOKEN[36]: 0.0067744    2 group
	group WORD[36,   1]: 0.0033873 隊員
	group WORD[36,   2]: 0.0033872 隊
TOKEN[37]: 0.0066370    1 caravan
	caravan WORD[37,   1]: 0.0066370 隊商
TOKEN[38]: 0.0064341    1 enlistment
	enlistment WORD[38,   1]: 0.0064341 入隊
TOKEN[39]: 0.0063851    1 sailor
	sailor WORD[39,   1]: 0.0063851 兵隊
TOKEN[40]: 0.0063723    1 band
	band WORD[40,   1]: 0.0063723 楽隊
TOKEN[41]: 0.0063630    1 squadron
	squadron WORD[41,   1]: 0.0063630 戦隊
TOKEN[42]: 0.0060161    1 armada
	armada WORD[42,   1]: 0.0060161 艦隊
TOKEN[43]: 0.0060051    1 battle
	battle WORD[43,   1]: 0.0060051 隊形
TOKEN[44]: 0.0051614    1 crew
	crew WORD[44,   1]: 0.0051614 隊
TOKEN[45]: 0.0051424    1 commanding
	commanding WORD[45,   1]: 0.0051424 隊長
TOKEN[46]: 0.0051348    2 one
	one WORD[46,   1]: 0.0025792 帰隊
	one WORD[46,   2]: 0.0025555 原隊
TOKEN[47]: 0.0048895    1 home
	home WORD[47,   1]: 0.0048895 原隊
TOKEN[48]: 0.0046331    1 armed
	armed WORD[48,   1]: 0.0046331 軍隊
TOKEN[49]: 0.0046271    1 quarters
	quarters WORD[49,   1]: 0.0046271 隊舎
TOKEN[50]: 0.0044959    1 naval
	naval WORD[50,   1]: 0.0044959 艦隊
TOKEN[51]: 0.0042830    1 discharge
	discharge WORD[51,   1]: 0.0042830 除隊
TOKEN[52]: 0.0042213    1 officer
	officer WORD[52,   1]: 0.0042213 隊長
TOKEN[53]: 0.0039559    1 file
	file WORD[53,   1]: 0.0039559 隊列
TOKEN[54]: 0.0039508    1 gang
	gang WORD[54,   1]: 0.0039508 一隊
