Summary: {Weight} {token}: {words[0:10]}
0.0023344    1 trail          : 匍う
0.0023285    1 Portuguese     : 葡
0.0022991    1 crawl          : 匍う
0.0022939    2 pulse          : 脈搏, 搏つ
0.0022775    2 traps          : わな猟, 罠猟
0.0022697    1 platypus       : 鴨の嘴
0.0022196    3 entire         : 総踊り, 通奏, 通し
0.0022128    3 night          : 糞桶, 踊り明かす, 夜通し
0.0021919    8 dim            : 薄れゆく, 薄れ行く, 薄暗がり, 薄明かり, 望み薄, 薄れる, 薄闇, 薄暗い
0.0021720    1 paddy          : 田圃
0.0021468    2 Digitaria      : 地縛, 地縛り
0.0020891    3 day            : 哺育, 日用, 通し券
0.0020756   16 go             : 匍う, 羽搏く, 蒲鉾, 通る, つらぬき通す, 貫き通す, 通う, 通りこす, 通り越す, 通りぬける, ...
0.0020352    1 civil          : 太傅
0.0020243    1 value          : 簿価
0.0020099   10 animal         : わな猟, 罠猟, 床敷, 敷きわら, 敷き藁, 敷わら, 敷藁, 生け捕り, 捕れる, 捕る
0.0019961    1 spit           : 砂嘴
0.0019887    4 arise          : 涌き起こる, 涌き起る, 涌く, 涌き上がる
0.0019750    2 gutter         : 雨樋, 樋
0.0019693    1 mass           : 総踊り
0.0019648    1 farm           : 田圃
0.0019610    1 mourning       : 哀痛
0.0019537    3 sad            : 哀痛, 沈痛, 痛ましい
0.0019305   17 arrest         : 就縛, ふん縛る, 捕縛, 縛, 召し捕る, ひっ捕える, ひっ捕らえる, 引っ捕える, 引っ捕らえる, からめ捕る, ...
0.0019213    3 gushing        : 涌泉, 涌き, 涌出
0.0018993    4 fade           : 薄れゆく, 薄れ行く, 薄れる, 薄らぐ
0.0018993    1 phonograph     : 蝋管
0.0018990    2 lettuce        : 地縛, 地縛り
0.0018643   22 light          : 薄絹, 薄暗がり, 薄明かり, 薄青, 薄雪, 薄紅, 薄靄, 薄衣, 薄味, 薄口, ...
0.0018564    2 aloud          : 読誦, 誦する
0.0018548   30 thin           : 薄絹, 薄雲, 薄靄, 薄層, 薄衣, 薄っぺらい, 薄焼き, 薄手, 薄口, 薄切り, ...
0.0018483    3 land           : 圃場, 屋敷神, 家屋敷
0.0018133    4 public         : 公簿, 花屋敷, 公用, 用金
0.0017925    3 flower         : 花圃, 菖蒲, 花屋敷
