Summary: {Weight} {token}: {words[0:10]}
0.0024981    6 police         : 来署, 署内, 本署, 同署, 署長, 署
0.0024976    2 wedding        : 花燭, 華燭
0.0024896    7 penalty        : 罰符, 罰則, 罰金, 処罰, 刑罰, 死罪, 罪
0.0024892    1 fastening      : 羈縻
0.0024616    1 prefix         : 罷り
0.0024563    1 lamp           : 燭
0.0024457    2 eight          : 白澤, 稲置
0.0024442    1 envelop        : 罩める
0.0024440    1 twisted        : 鐶
0.0024257    2 metal          : 鐶, 鉄網
0.0024171    5 curse          : 罵り言葉, 罵る, 罵り, 罰, 悪罵
0.0023945    1 suffering      : 罹災
0.0023922    2 bus            : 驛, 網棚
0.0023899    3 screen         : 罩める, 網点, 網戸
0.0023891    1 preliminary    : 仮置き
0.0023844    1 lift           : 鐶
0.0023836    8 fish           : 真薯, 建て網, 建網, 立て網, 立網, 遍羅, 天婦羅, 天麩羅
0.0023826    4 post           : 驛, 部署, 留め置き, 留置き
0.0023669    1 tying          : 羈縻
0.0023449    3 rule           : 罰符, 罫, 罫線
0.0023417    1 able           : 白澤
0.0023342    2 link           : 鐶, 一環
0.0023307    3 tax            : 罩める, 署内, 署
0.0023299    1 cargo          : 仮置き
0.0023169    1 understand     : 白澤
0.0023152    2 contract       : 罹る, 買い建て
0.0023113    1 shroud         : 罩める
0.0022758    2 bright         : 花燭, 華燭
0.0022585    1 speech         : 白澤
0.0022441    1 human          : 白澤
0.0021913    3 word           : 罵り言葉, 連濁, 言い置く
0.0021789    1 counter        : 驛
0.0021733    1 include        : 罩める
0.0021454    2 daybreak       : 曙光, 曙
0.0021448    2 body           : 白澤, 羅睺
0.0021400    1 binding        : 羈縻
0.0021349    1 bachelor       : 男鰥
0.0021114    2 heavy          : 鐶, 重罰
0.0020957    2 administrative : 羈縻, 必置
0.0020915    2 train          : 驛, 網棚
0.0020450    1 city           : 金澤
0.0020306    2 variety        : 蘿蔔, 羅国
0.0020222    2 wind           : 風鐸, 鐸
0.0020021    1 candlestand    : 燭台
0.0019952   23 one            : 巡邏, 罷める, 部署, 還暦, 署する, 自署, 一張羅, 濁る, 濁り, 罪ほろぼし, ...
0.0019669    1 emotion        : 罩める
0.0019418    1 load           : 罩める
0.0019293    6 go             : 罷り越す, 罷り通る, 罫, 還る, 置き碁, 置碁
0.0019283    1 daze           : 惘然
0.0019259    2 capital        : 還都, 死罪
0.0019222    2 dawn           : 曙光, 曙
0.0019161    5 charge         : 罩める, 罪名, 罪状, えん罪, 冤罪
0.0019008   16 crime          : 死罪, 罪跡, 大罪, 罪証, 重罪, 同罪, 罪名, 罪責, 罪状, 罪業, ...
0.0018928    2 tea            : 鐶, 蓋置き
0.0018724    1 ship           : 仮置き
0.0018458    1 open           : 鐶
0.0018281   13 leave          : 罷り出る, 罷める, 還る, 言い置く, 置き去る, 静置, 置く, 留め置く, 留置く, 捨て置く, ...
0.0017953    1 expletive      : 罵り言葉
0.0017911    7 put            : 罩める, 置きどころ, 置き所, 置く, 取り置く, 置き場, 置場
0.0017860    1 gun            : 罩める
0.0017843    1 amazement      : 惘然
0.0017817    1 effort         : 罩める
0.0017749    2 clapper        : 木鐸, 鐸
0.0017122    1 Raphanus       : 蘿蔔
0.0016536    1 rhododendron   : 山躑躅
0.0016121    1 overcome       : 惘然
0.0016064    1 Japan          : 驛
0.0015970    1 liberty        : 不羈
0.0015949    1 deductive      : 演繹
0.0015774    3 price          : 罩める, 買い値, 買値
0.0015566    8 muddy          : 濁り水, 濁り江, 濁水, 濁る, 濁す, 濁流, 混濁, 溷濁
0.0015530    1 swear          : 罵り言葉
0.0015479    1 blank          : 惘然
0.0015107    1 surprise       : 惘然
0.0015093    1 violation      : 罰符
0.0014841    3 portable       : 手燭, 置き床, 置床
0.0014776    1 glimpse        : 曙光
0.0014754    1 independence   : 不羈
0.0014672    1 emphatic       : 罷り
0.0014455    5 signature      : 親署, 署する, 連署, 自署, 署名
0.0014412    6 home           : 還る, 召還, 送還, 生還, 帰還, 還す
0.0014313    1 single         : 男鰥
0.0014301    1 gleam          : 曙光
0.0014199    2 line           : 罫, 罫線
0.0014082    1 radish         : 蘿蔔
0.0014079    1 walkout        : 罷業
0.0014052   10 large          : 蘿蔔, 鐸, 大人買い, 修羅, 買いつける, 買い付ける, 買いつけ, 買い付け, 買付, 買付け
0.0013864    4 loop           : 遊環, 外環, 循環, 環状
0.0013661    5 divine         : 冥罰, 仏罰, 天罰, 神罰, 罰
0.0013648    1 freedom        : 不羈
0.0013638    1 exasperated    : 惘れる
0.0013595    2 day            : 曙光, 寧日
0.0013534    1 deduction      : 演繹
0.0013369    1 placement      : 仮置き
0.0013243    2 bronze         : 風鐸, 銅鐸
0.0013073    1 reasoning      : 演繹
0.0012862    1 manifestation  : 倶利迦羅
0.0012760    1 Oriental       : 蘿蔔
0.0012693    1 indication     : 曙光
0.0012608    6 voiced         : 濁る, 濁音, 清濁, 連濁, 濁り, 濁点
0.0012560    3 incense        : 羅国, 多羅, 伽羅
0.0012558    1 quiet          : 静寧
0.0012487    1 flash          : 曙光
0.0012411    2 earth          : 静寧, 置き土
0.0012404    5 payment        : 罰符, 買い切り, 買い取り, 買取, 買取り
0.0012313    1 daikon         : 蘿蔔
0.0012229    1 loading        : 仮置き
0.0012189    1 short          : 蘿
0.0012109    2 fire           : 来署, 署内
0.0012062    1 amazed         : 惘れる
0.0012020    4 small          : 蘿, かすみ網, カスミ網, 霞網
0.0012006    1 disgusted      : 惘れる
0.0011950    1 due            : 罰符
0.0011890    7 sin            : 堕罪, 大罪, 免罪, 罪業, 原罪, 罪悪, 罪
0.0011705    2 turbidity      : 濁度, 白濁
0.0011628    3 coming         : 来署, 還り, 往還
0.0011468    1 fed            : 惘れる
0.0011385    1 vacillation    : 躑躅
0.0011377    1 upright        : 倶利迦羅
0.0011365    1 board          : 罫
0.0011302    1 insatiability  : 望蜀
0.0011266    1 wavering       : 躑躅
0.0011192    1 preparation    : 仮置き
0.0011189    1 wrapped        : 倶利迦羅
0.0011164    1 dragon         : 倶利迦羅
0.0011157    1 indecision     : 躑躅
0.0011139    3 retribution    : 冥罰, 仏罰, 罰
0.0011040    2 visit          : 罷り越す, 還幸
0.0011033    1 withdraw       : 罷り出る
0.0010952    2 substation     : 支署, 分署
0.0010822    3 becoming       : 混濁, 溷濁, 連濁
0.0010802    1 tip            : 倶利迦羅
0.0010788    1 unpunished     : 罷り通る
0.0010756    1 Dioscorea      : 長薯
0.0010463    1 bond           : 羈絆
0.0010364    1 moving         : 仮置き
0.0010205    1 humble         : 罷り
0.0010156    1 province       : 蜀
0.0010141    2 anything       : 寧ろ, 寧
0.0010040    1 appear         : 罷り出る
0.0009968    1 connection     : 羈絆
0.0009827    6 mesh           : 鉄網, 金網, かすみ網, カスミ網, 霞網, 網目
0.0009800    1 Sorghum        : 蜀黍
0.0009794    5 agency         : 官公署, 置き屋, 置屋, 買い上げる, 買上げる
0.0009670    1 white          : 蘿蔔
0.0009612    1 hesitation     : 躑躅
0.0009555    3 medical        : 印環, 白濁, 処置
0.0009531    1 sorghum        : 蜀黍
0.0009526    1 Ipomoea        : 甘薯
0.0009505    1 paper          : 罫紙
0.0009473    5 trap           : 罠, 建て網, 建網, 立て網, 立網
0.0009374    2 first          : 曙光, 買い初め
0.0009321    1 bicolor        : 蜀黍
0.0009204    1 sword          : 倶利迦羅
0.0008968    1 die            : 身罷る
0.0008929    2 form           : 倶利迦羅, 静置
0.0008880    2 former         : 還都, 暹羅
0.0008873    1 pass           : 身罷る
0.0008747    1 present        : 罷り出る
0.0008732    4 dip            : 叉手網, すくい網, 掬い網, たも網
0.0008725    1 become         : 濁る
0.0008700    1 keeper         : 遊環
0.0008559    1 guide          : 木鐸
0.0008553    4 strike         : 罷業, 買いたたく, 買い叩く, 買叩く
0.0008518    1 voice          : 濁声
0.0008479    1 charter        : 買い切る
0.0008466    6 scoop          : 叉手網, すくい網, 掬い網, たも網, 買いあさる, 買い漁る
0.0008441    1 call           : 罷り越す
0.0008409    1 resign         : 罷める
0.0008395    3 leader         : 木鐸, 置き物, 置物
0.0008323    3 sake           : 濁り酒, 濁酒, 濁り
0.0008253    1 retire         : 罷める
0.0008253    1 quit           : 罷める
0.0008220    8 seine          : まき網, 巻き網, 巻網, 旋網, 引き網, 引網, 曳き網, 曳網
0.0008120    1 millet         : 蜀黍
0.0008118    1 cell           : 印環
0.0008047    2 penal          : 罰則, 服罪
